UCL_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
UCL521015,262,264,518,126,72,200,24,59,83,8,11,14,9,3,12,169,140,311,76,95,172,5.3,3.5,4.5,65.3,54.2,59.7,61.8,52.3,57,0,3,3,0,4,4,11,33,45,10,23,36,69,27,96,12,6,16,0,5,12,80,41,120,224,221,442,50,54,103,167,152,314,103,110,213
UCL521016,265,249,516,145,46,188,20,72,88,12,6,14,6,10,14,177,127,312,74,104,179,3.9,6.9,5.2,66.8,52.2,59.8,64.2,48.6,56.7,3,4,4,0,3,3,9,19,30,7,11,19,84,31,115,8,0,8,9,5,12,96,41,129,272,245,520,38,29,70,171,159,333,120,106,223
UCL521017,310,270,578,177,74,247,21,68,89,3,5,9,8,0,7,210,144,355,45,84,134,2.9,0.7,2,67,54.5,61.2,65,54.1,60,3,10,8,0,4,4,21,30,52,21,16,30,57,13,77,4,9,9,0,5,5,61,25,81,274,265,533,47,40,90,169,161,328,124,122,248
UCL521018,210,209,418,102,49,150,22,58,78,11,10,14,0,4,6,133,119,253,66,87,150,1.5,3.4,2.4,65.4,56.5,60.9,64.4,54.5,59.5,0,0,0,0,5,3,12,30,43,12,24,36,74,39,117,8,8,7,0,0,3,85,48,133,230,220,443,34,31,62,154,140,295,79,91,173
UCL521019,844,843,1693,181,110,294,36,101,136,98,85,183,8,7,16,329,305,633,323,341,659,3,2.6,2.8,38.7,36.2,37.5,37.5,35.3,36.4,12,23,39,0,22,23,60,91,147,75,73,151,221,92,315,10,16,25,8,15,26,242,124,361,637,608,1243,87,101,188,450,427,882,243,242,489
UCL521020,296,286,584,81,45,130,31,67,102,30,14,42,7,8,13,152,130,286,140,144,284,5.2,4.5,4.9,51.2,46.5,48.9,48.5,44.4,46.5,0,6,8,0,3,3,9,21,34,10,29,39,107,43,154,0,7,14,0,8,11,115,60,174,298,268,566,46,57,98,248,213,460,82,97,179
UCL521021,306,340,645,141,77,218,34,96,134,14,19,26,0,6,6,191,195,385,100,128,226,1.1,2.1,1.6,62.3,57.2,59.6,61.6,56,58.7,0,5,3,0,13,15,24,53,77,23,29,51,83,44,124,6,8,10,6,14,13,91,61,150,317,334,653,72,68,141,217,234,454,142,143,289
UCL521022,278,300,577,114,66,181,57,121,184,12,18,35,6,0,6,190,213,399,48,58,105,2.1,0.5,1.3,68.5,69.9,69.2,67,69.6,68.3,17,10,26,8,17,28,48,85,135,36,48,83,59,13,68,4,5,10,0,4,5,65,25,87,253,280,536,42,38,84,162,173,334,114,131,248
UCL521023,231,214,444,114,39,152,28,52,78,4,5,13,10,5,19,147,108,255,63,88,150,5.5,7.4,6.3,63.8,50.2,57.2,60.3,46.5,53.6,3,8,8,4,0,7,12,20,32,9,11,21,59,27,87,3,0,3,0,5,5,68,31,98,222,218,442,42,26,65,152,149,301,103,84,184
UCL521024,749,768,1517,184,161,346,28,36,67,40,36,68,31,21,55,291,251,539,300,397,692,11.8,7.9,10,38.6,32.9,35.7,34,30.3,32.2,23,14,34,3,14,20,43,87,126,29,27,52,114,70,186,10,11,22,4,7,12,129,89,218,668,716,1381,102,115,223,502,539,1034,215,231,451
UCL521025,316,300,613,157,71,227,29,70,97,17,22,41,7,5,6,215,165,375,75,120,192,2.8,1.9,2.4,67.6,53.8,60.9,65.7,52.8,59.4,8,5,19,5,3,5,38,44,82,22,37,60,96,31,127,0,8,9,4,6,13,97,45,143,260,237,497,96,96,195,129,113,240,198,185,385
UCL521026,269,320,595,139,92,229,20,79,99,18,13,34,8,11,17,188,198,383,71,109,179,4.7,4.6,4.7,70.4,60.4,64.9,67,57.6,61.9,4,11,10,0,11,11,17,44,66,24,38,64,86,59,152,0,6,9,8,3,11,98,68,165,342,348,687,17,30,45,246,258,509,85,98,186
UCL521027,670,349,1021,216,75,293,20,39,58,19,8,24,11,4,17,271,128,396,50,85,138,4.1,3.9,4,40.3,36.4,39,38.7,35,37.4,11,7,10,0,6,9,18,16,30,17,13,30,118,35,154,7,7,15,0,8,11,128,49,174,299,197,493,85,57,143,193,113,309,162,121,286
UCL521028,335,351,688,120,62,181,30,72,105,9,11,17,15,4,20,174,148,320,127,171,305,8.1,1.4,5,51.5,41.4,46.3,47.3,40.8,44,3,8,9,3,3,4,8,22,35,16,11,25,69,41,106,3,0,4,4,8,7,70,50,117,295,316,611,39,33,75,232,244,473,85,86,174
UCL521029,363,365,724,142,75,222,59,72,130,19,19,43,8,3,12,231,172,402,100,155,252,2.6,2.9,2.7,64,47.9,55.9,62.3,46.6,54.4,4,4,5,0,6,7,23,52,79,17,23,40,68,36,105,4,9,7,3,8,11,76,43,119,329,319,654,66,56,126,216,221,437,150,146,299
UCL521030,319,336,656,108,75,186,38,78,116,25,17,39,3,3,11,177,169,349,117,135,252,2.9,1.7,2.3,54.1,51.3,52.7,52.5,50.4,51.4,0,11,15,0,8,14,20,47,66,27,23,55,84,18,103,0,4,4,3,6,16,89,28,117,243,239,486,71,93,166,167,165,329,138,159,293
UCL521031,646,321,962,253,93,343,25,25,54,20,16,36,4,7,8,307,139,444,75,87,168,1.6,4.4,2.5,47.6,43.2,46.1,46.8,41.3,45,19,10,23,4,3,4,47,26,72,34,22,58,126,29,150,0,7,8,6,3,10,132,34,170,335,207,541,73,51,125,197,125,321,190,118,315
UCL521032,339,316,656,98,63,158,13,23,41,16,19,35,16,18,30,142,122,262,104,119,225,10.4,13.3,11.7,42.6,38,40.4,38.2,32.9,35.6,3,3,13,4,3,8,16,24,45,23,16,36,42,25,63,3,7,9,0,0,9,42,28,78,257,224,481,52,61,114,162,132,302,114,121,234
UCL521033,540,316,859,124,62,186,14,15,27,18,14,30,4,5,11,159,93,258,74,75,147,3.1,6.3,4.3,29.8,30.4,30,28.9,28.5,28.7,5,9,10,9,6,11,23,26,49,11,14,30,83,23,106,4,10,13,3,6,9,94,35,130,213,156,365,41,33,69,151,98,246,96,85,170
UCL521034,317,315,624,146,69,218,29,95,120,18,9,28,9,9,18,202,185,384,98,111,209,4.5,4.9,4.7,64.1,59,61.6,61.3,56.1,58.7,0,3,3,0,6,6,11,31,39,23,34,55,92,42,134,0,5,4,0,8,8,99,52,148,299,304,596,47,43,91,240,226,467,82,102,182
UCL521035,222,240,462,72,38,116,30,60,92,8,6,10,5,6,10,115,116,227,84,106,188,5.2,6.2,5.7,52.5,47.1,49.7,49.8,44.2,46.9,5,7,12,3,4,9,16,22,38,11,23,37,58,30,96,6,8,7,4,4,12,66,44,114,208,197,409,31,42,73,134,140,266,98,94,190
UCL521036,271,240,512,63,58,129,27,32,56,14,14,27,10,8,19,114,109,224,108,90,203,10.5,5.3,7.9,41.9,46.9,44.2,37.5,44.4,40.7,0,7,7,0,10,8,14,15,26,10,9,25,51,24,75,0,4,7,0,0,4,53,29,83,210,180,396,44,46,87,148,129,274,94,93,182
UCL521037,377,389,772,118,59,176,48,82,121,13,11,26,19,18,37,196,175,367,166,196,367,8.7,11,9.8,51.3,44.2,47.7,46.8,39.3,43,0,4,4,0,8,6,4,21,24,21,27,48,103,77,175,11,6,20,10,4,7,118,87,200,400,394,793,56,66,126,274,267,539,157,170,332
UCL521038,330,349,679,67,41,113,28,60,92,16,14,32,21,10,25,131,124,258,151,183,334,12.9,5.6,9.3,39.8,36.3,38,34.6,34.3,34.5,0,3,5,0,4,8,7,31,35,17,17,35,72,40,113,0,7,3,5,4,6,78,48,124,299,314,614,38,38,75,223,238,462,98,98,200
UCL521039,306,340,645,106,57,164,67,109,176,15,15,34,7,5,7,192,190,377,98,128,224,2.1,1.6,1.9,61.8,55.6,58.5,60.5,54.7,57.5,11,20,36,5,15,20,44,97,144,32,47,80,87,28,116,6,6,3,3,8,14,92,41,134,311,316,627,58,70,124,208,208,419,137,156,291
UCL521040,648,596,1246,223,136,353,25,61,92,48,36,80,11,10,19,306,236,544,178,207,383,2.9,3.8,3.3,47.1,40,43.7,45.8,38.5,42.3,7,14,20,4,11,15,57,67,122,43,44,90,171,56,228,7,16,19,11,11,20,184,81,265,445,417,861,117,92,209,266,237,505,263,236,503
UCL521041,306,234,543,228,100,330,24,44,66,35,12,54,0,7,7,291,168,461,13,55,72,0.7,4.8,2.2,95.5,71.5,85.1,94.8,68.1,83.2,3,3,8,0,4,9,12,33,46,21,44,59,157,54,213,0,6,10,9,0,6,164,64,227,298,210,503,113,114,230,150,73,226,224,203,420
UCL521042,278,270,555,117,65,180,36,69,106,17,15,34,3,3,8,166,160,334,85,93,181,2.4,2.5,2.4,60.3,59.3,59.8,58.9,57.9,58.4,6,11,20,6,4,8,21,34,58,21,13,37,45,36,84,3,4,5,0,10,6,48,50,102,261,260,515,44,39,85,182,166,353,99,124,225
UCL521043,184,199,384,89,41,129,29,63,96,10,11,27,0,7,7,124,121,248,45,67,110,0,2.4,1.2,69.2,61.7,65.3,69.2,60.2,64.5,7,15,22,0,8,12,30,43,72,13,22,36,64,30,93,0,6,6,3,4,7,69,43,110,165,195,357,45,40,81,115,124,235,80,99,183
UCL521044,297,292,591,69,28,97,27,60,88,12,8,18,18,7,28,118,115,234,154,154,313,15,9.8,12.5,40,38.4,39.2,34,34.6,34.3,7,4,6,0,4,4,11,22,30,9,22,31,73,39,106,3,8,15,3,6,9,72,53,134,292,272,562,41,46,84,211,188,402,99,111,210
UCL521045,232,256,486,66,35,96,15,27,45,3,3,7,5,3,4,85,69,151,80,128,209,4.7,4.5,4.6,37.2,26.3,31.5,35.5,25.1,30,0,0,6,0,7,3,6,11,22,8,20,27,42,29,70,0,3,9,3,7,5,45,40,87,175,194,363,20,33,51,114,144,259,68,74,137
UCL521046,298,293,595,70,52,125,26,37,67,13,8,25,22,14,39,131,122,252,143,153,295,16,13.2,14.7,43.7,41.2,42.4,36.7,35.7,36.2,0,6,0,4,3,3,0,14,18,17,11,27,40,35,75,4,9,17,4,9,11,50,53,103,270,254,524,73,82,154,130,133,263,192,188,375
UCL521047,299,219,514,140,70,208,26,41,67,11,12,28,14,6,23,193,134,323,69,67,139,5.7,6.9,6.2,64.4,60.4,62.7,60.7,56.2,58.8,5,6,5,4,0,5,15,24,43,13,11,28,72,17,91,0,6,9,4,3,8,73,29,108,238,183,422,66,54,115,174,116,289,109,111,217
UCL521048,384,398,777,104,69,175,30,73,103,13,16,26,14,16,30,165,176,337,178,188,363,10.4,9.1,9.8,42.6,44.1,43.3,38.1,40.1,39.1,11,14,23,0,16,16,22,36,60,28,36,62,96,43,140,5,6,13,6,11,18,111,63,170,341,342,680,62,75,135,216,226,445,170,175,343
UCL521049,192,218,409,43,34,77,10,11,15,4,0,6,23,15,35,77,63,133,110,140,248,28.4,27.4,27.9,38.5,28.7,33.3,27.6,20.8,24,0,4,6,5,4,7,9,5,20,0,3,5,23,8,25,0,4,4,4,0,0,24,9,29,210,218,426,29,28,54,177,198,380,41,32,72
UCL521050,307,274,584,154,61,208,29,73,101,12,12,28,4,13,19,198,160,360,92,101,193,2.5,6.9,4.5,64,57.8,61,62.3,53.8,58.3,9,5,12,0,0,0,20,26,45,3,26,32,88,38,123,9,12,23,4,0,5,100,52,148,284,252,534,65,62,130,174,157,333,154,152,307
UCL521051,317,371,689,128,79,208,36,81,120,12,8,18,20,21,36,196,186,386,100,155,252,9.1,9.6,9.4,62.1,50.5,55.9,56.5,45.7,50.7,0,0,0,0,5,0,9,21,25,10,29,36,92,52,142,9,18,25,0,7,12,101,77,173,326,359,682,53,49,103,246,279,526,111,110,222
UCL521052,426,343,762,121,75,192,19,36,59,28,16,44,10,5,12,175,125,305,131,136,268,4.5,3.1,3.9,41.5,37.6,39.8,39.6,36.5,38.2,6,4,10,0,0,8,22,29,51,19,16,37,75,32,103,8,10,16,10,4,12,85,46,132,317,292,609,73,60,133,198,176,370,168,157,321
UCL522001,196,197,391,26,35,61,7,14,19,0,6,11,49,31,78,86,87,172,103,100,199,56.5,34.5,45.3,43.4,44.6,44,18.9,29.2,24,0,6,10,0,8,8,4,15,18,7,6,16,20,7,24,0,3,4,3,3,11,23,20,45,230,207,434,22,30,55,178,168,348,48,57,107
UCL522002,116,137,249,40,20,59,9,29,35,6,8,17,3,4,3,55,61,117,52,74,122,3.5,6.7,5.1,48.7,44.4,46.4,47,41.5,44,4,5,7,0,4,6,9,24,35,5,17,28,34,18,51,4,6,4,0,7,8,37,24,63,108,124,234,16,21,35,64,84,146,56,63,113
UCL522003,119,116,226,22,18,44,13,13,31,3,0,6,10,6,22,53,42,96,48,60,105,24.1,20.5,22.4,46.6,39.3,43,35.3,31.3,33.3,0,0,4,0,4,4,9,3,12,3,5,3,21,3,24,0,4,6,0,3,4,22,15,36,139,124,261,14,20,35,100,88,188,41,52,89
UCL522004,112,123,233,13,10,20,3,7,9,0,0,0,6,4,13,28,22,44,86,99,184,26.9,21.1,24.4,22.8,16,19.3,16.7,12.6,14.6,0,0,0,0,0,0,0,0,0,0,0,0,13,10,25,0,4,8,0,8,9,12,20,33,136,131,268,19,21,34,109,100,210,29,43,72
UCL522005,106,127,228,14,21,37,9,15,31,7,10,12,7,8,15,40,54,90,57,62,120,20.5,17,18.5,37.5,42.1,40,29.8,34.9,32.6,3,0,4,3,4,5,4,7,9,4,4,9,15,9,29,3,4,9,0,0,0,19,11,31,135,140,278,20,20,43,108,113,226,30,31,57
UCL522006,174,177,348,85,42,127,27,57,83,7,8,16,0,0,4,120,108,230,47,66,115,3.3,1.9,2.7,70.3,59.7,64.9,68,58.5,63.2,11,9,19,4,9,7,31,46,75,24,25,43,53,16,74,4,0,4,0,6,10,56,28,80,192,181,375,22,19,42,142,136,276,73,64,133
UCL522007,89,97,188,34,32,60,14,26,36,5,6,12,4,0,4,47,58,111,33,31,68,4,1.7,2.8,54.9,62.1,58.6,52.7,61.1,57,0,0,4,0,3,5,4,15,18,3,5,10,26,10,37,0,3,4,0,0,0,26,13,42,75,72,150,16,29,46,53,44,96,41,53,92
UCL522008,80,91,167,21,11,38,13,15,31,3,4,7,8,4,15,49,42,86,26,38,73,16.7,10.5,14,60,43.7,51.5,50,39.1,44.3,0,5,5,0,0,4,5,11,15,5,4,14,24,11,33,0,0,3,0,0,0,24,11,36,79,80,160,14,9,20,58,55,115,26,32,63
UCL522009,143,146,289,76,48,122,22,37,55,4,3,12,8,5,11,108,91,199,28,49,73,4.7,2.2,3.5,74.8,61.9,68.3,71.3,60.5,65.9,0,0,0,0,0,0,0,10,13,10,12,19,51,32,83,0,0,0,0,0,0,48,32,83,138,144,287,13,13,27,103,111,211,47,43,88
UCL522010,170,138,315,69,37,103,16,37,53,5,3,8,0,0,7,92,78,167,42,50,89,1.1,2.6,1.8,54.1,54.7,54.3,53.5,53.2,53.4,4,5,4,4,3,8,23,36,52,13,18,24,39,15,55,5,3,3,0,0,3,45,21,60,171,149,319,9,13,19,118,106,219,54,46,95
UCL522011,151,124,273,62,31,94,12,30,35,4,0,7,3,0,0,76,65,140,43,38,85,2.5,1.6,2.1,52.3,51.6,52,51,50.8,50.9,5,5,6,0,0,0,6,14,24,11,7,16,47,9,58,0,4,4,0,4,3,47,18,69,113,103,211,23,20,41,65,60,126,60,58,116
UCL522012,232,224,457,69,45,115,29,42,69,23,14,37,4,4,11,127,105,232,97,103,199,4,6.7,5.2,54.3,47.1,50.8,52.2,43.9,48.1,3,6,8,0,5,5,17,32,44,18,29,49,70,16,83,4,0,4,7,3,11,77,19,97,224,203,431,35,25,59,172,150,322,79,70,148
UCL522013,175,182,351,73,36,112,19,50,67,7,8,17,8,4,13,110,88,200,59,83,140,8.3,3.3,6,63.2,49.5,56.1,57.9,47.8,52.7,0,4,4,0,0,3,9,13,20,11,23,30,59,39,99,5,4,10,4,0,3,63,44,114,174,173,343,26,30,54,130,122,253,53,69,120
UCL522014,71,84,156,33,16,53,9,13,27,8,3,13,0,0,6,54,43,94,17,36,57,5.8,9.3,7.4,71.2,51.8,60.9,67.1,47,56.4,0,0,0,0,0,0,0,4,3,0,4,12,26,16,38,0,0,0,0,4,5,28,14,41,78,87,169,13,12,25,52,57,109,41,40,76
UCL522015,461,470,932,132,80,209,49,80,132,89,92,179,4,0,3,273,247,524,168,196,365,0.7,0.8,0.8,59.2,53.3,56.2,58.7,52.9,55.8,15,22,33,10,9,21,71,84,157,48,59,106,140,55,192,8,9,14,7,16,21,155,74,232,432,419,853,84,84,165,310,280,589,178,199,375
UCL522016,113,114,227,36,17,49,8,27,33,4,0,8,3,6,8,53,51,101,39,48,88,9.6,8.5,9.1,46.4,41.2,43.8,42,37.7,39.8,0,0,0,0,0,0,5,0,9,0,8,6,18,24,35,4,4,3,3,0,0,24,22,48,101,102,202,17,21,35,75,74,157,34,39,71
UCL522017,151,155,303,48,30,76,11,45,58,4,5,11,7,0,8,75,80,146,67,63,132,7,1.3,4,46.4,51,48.7,43.1,50.3,46.7,0,0,0,0,4,4,7,16,18,14,13,25,44,30,72,0,3,3,0,0,4,46,31,77,154,151,304,15,24,36,113,107,221,42,55,103
UCL522018,141,110,256,34,19,56,9,9,16,11,7,21,5,0,4,57,43,92,64,56,125,7.3,5,6.3,37.9,36.4,37.3,35.2,34.5,34.9,6,0,8,0,0,0,12,14,23,8,14,24,30,13,48,0,0,3,0,4,4,33,14,50,104,86,185,19,12,33,72,51,116,54,44,100
UCL522019,77,76,146,31,10,38,6,13,20,0,3,3,0,0,0,35,30,63,25,27,54,5.4,3.6,4.6,50,37.8,43.9,47.3,36.5,41.9,0,0,0,0,0,0,0,9,12,0,7,10,25,5,25,0,0,0,0,0,0,25,10,34,63,59,119,8,8,15,49,37,81,25,24,48
UCL522020,114,106,215,25,16,45,14,13,31,4,5,7,16,20,35,66,55,119,46,40,83,28.1,34.5,31.1,57.1,52.9,55.1,41.1,34.6,38,0,3,3,4,0,4,8,8,11,3,6,7,18,12,27,0,3,3,0,0,4,17,12,32,116,116,236,16,18,29,92,94,184,31,30,59
UCL522021,148,133,282,61,27,89,19,29,51,5,9,10,0,5,7,85,68,160,49,57,107,4.5,5.7,5,60.5,51.9,56.4,57.8,48.9,53.5,0,0,0,0,0,0,9,12,19,7,18,23,32,13,43,4,0,3,0,3,9,42,21,62,158,135,294,16,24,34,116,101,217,52,51,101
UCL522022,103,102,203,34,17,54,16,16,38,3,5,4,7,0,9,57,48,105,27,42,61,10.3,4.2,7.5,57.4,47.1,52.2,51.5,45.1,48.3,0,0,0,0,0,0,3,8,9,5,10,18,14,14,24,4,0,0,0,4,7,18,14,35,79,87,164,15,12,27,55,59,114,28,32,65
UCL522023,140,134,272,47,29,76,14,31,47,4,7,13,0,7,8,74,81,148,50,48,97,5.6,10.3,8,52.2,57.8,54.9,49.3,51.9,50.5,0,3,11,0,3,4,6,13,25,9,8,17,31,16,48,0,4,11,3,0,8,34,30,62,122,130,251,19,22,41,89,88,180,48,60,109
UCL522024,100,110,214,25,24,47,20,23,43,8,5,3,0,0,0,42,51,93,55,59,118,0,0,0,42.7,44.1,43.5,42.7,44.1,43.5,11,10,23,9,7,11,32,30,61,9,15,26,16,13,27,0,0,6,0,0,0,19,15,36,99,107,206,6,8,19,74,75,145,28,39,69
UCL522025,207,190,400,67,30,99,20,44,65,9,8,10,0,5,13,97,87,184,73,77,149,3,7.1,4.9,48.5,44.3,46.5,47.1,41.1,44.2,0,5,5,3,0,5,9,11,20,3,10,15,40,23,63,6,0,4,0,3,3,38,30,63,182,171,348,19,16,36,139,137,275,51,51,99
UCL522026,138,140,271,26,20,46,10,28,41,8,5,9,3,8,9,51,48,99,78,83,161,9.6,10,9.8,38.5,36,37.2,34.8,32.4,33.6,4,3,5,0,0,0,5,10,20,8,13,26,49,15,66,3,0,0,6,6,12,53,23,75,129,121,248,10,19,27,110,95,205,29,45,73
UCL522027,166,142,310,66,34,97,8,29,37,3,4,12,6,0,6,90,65,149,68,65,130,9.2,0,5.3,52.1,46.4,49.5,47.3,46.4,46.9,3,4,11,0,0,0,9,8,21,9,10,18,46,28,70,8,3,9,0,0,3,51,30,85,150,138,285,19,16,41,111,106,219,56,46,99
UCL522028,77,89,164,29,17,38,11,21,32,3,7,11,0,5,6,42,45,87,32,37,66,2.4,6.5,4.6,52.6,53.5,53,51.3,50,50.6,3,3,4,0,7,8,9,3,8,5,4,7,19,8,27,0,0,4,0,4,4,18,13,28,56,52,103,22,33,55,39,31,75,39,46,83
UCL522029,138,152,286,59,24,83,11,48,55,6,3,11,4,3,7,83,79,169,48,66,112,5.9,3.7,4.8,62,54,57.8,58.4,52,55.1,0,0,0,0,0,0,0,6,9,6,19,19,53,28,82,0,3,3,0,7,7,53,37,86,154,175,328,19,20,39,124,130,256,42,41,87
UCL522030,119,99,216,60,27,89,12,24,30,9,5,8,0,7,7,82,59,138,16,20,39,3.7,5.2,4.3,70.1,59.8,65.4,67.5,56.7,62.6,0,0,0,0,3,3,3,16,17,13,8,18,36,13,48,0,7,4,0,0,0,38,18,57,99,74,168,41,22,64,65,41,98,55,54,109
UCL522031,85,110,194,20,13,27,11,7,15,3,4,7,19,19,33,49,41,90,31,67,100,31.9,48.8,39.8,54.7,36.9,44.7,37.2,18.9,26.9,0,0,4,0,3,3,0,4,10,0,0,0,0,3,3,3,9,15,0,0,0,11,12,18,118,124,248,19,25,42,85,92,177,37,39,78
UCL522032,135,160,301,21,19,44,6,12,13,0,0,8,8,11,16,34,45,78,94,105,192,23.5,20.5,21.8,24.6,27.5,26.2,18.8,21.9,20.5,6,3,10,0,0,4,3,5,10,0,4,8,0,5,10,0,3,6,0,4,5,7,11,18,153,178,331,8,17,32,119,150,270,23,31,56
UCL522033,188,167,352,40,25,63,20,27,45,7,0,5,8,0,11,73,54,131,94,102,196,12.2,5.5,9.3,39.8,32.7,36.4,34.9,31,33.1,0,5,5,0,8,8,10,11,17,7,14,20,42,32,80,6,6,9,3,4,3,48,37,90,169,156,324,24,24,43,114,105,224,70,75,143
UCL522034,81,79,163,21,10,27,7,3,9,0,0,0,0,0,0,33,11,43,53,70,117,3.4,0,2.4,35.8,15.2,25.6,34.6,15.2,25,0,0,0,0,0,3,6,0,8,3,3,6,10,0,8,0,0,0,0,0,0,8,0,8,82,90,171,15,11,17,78,81,160,17,9,28
UCL522035,96,95,193,45,26,66,8,25,35,3,0,0,8,0,11,67,47,118,26,38,61,11.9,4,8.5,69.1,53.8,61.6,60.8,51.6,56.3,0,4,4,0,0,0,5,13,12,0,6,9,26,13,32,0,0,0,0,4,4,27,16,44,85,86,165,15,14,33,60,57,117,40,43,79
UCL522036,103,80,184,47,22,70,6,20,27,0,0,4,0,6,6,63,45,106,41,35,73,0,6.8,2.9,59.2,55,57.4,59.2,51.2,55.7,0,0,0,0,0,0,9,7,10,4,8,8,26,7,31,6,4,8,0,6,4,31,18,48,98,76,177,20,13,34,77,60,134,40,26,63
UCL522037,114,100,216,48,24,71,19,30,41,6,5,9,0,0,0,67,54,124,33,32,63,1.4,1.9,1.6,60,52.9,56.7,59.1,52,55.8,0,0,0,0,0,0,3,18,28,3,9,13,35,7,40,0,3,3,4,3,6,37,16,51,106,95,204,9,18,29,77,75,156,36,37,72
UCL522038,202,184,385,139,56,201,18,55,69,7,8,13,0,0,0,161,116,279,27,52,77,0,0,0,80.7,65,73.2,80.7,65,73.2,3,0,6,4,3,8,10,36,42,6,19,23,67,16,82,4,0,3,3,0,3,69,17,92,202,166,368,42,45,85,117,104,225,104,86,192
UCL522039,215,182,398,78,56,135,18,19,40,14,10,26,7,3,14,117,93,213,56,76,130,6,5.4,5.7,54.9,50.3,52.8,51.6,47.6,49.7,0,0,8,0,7,7,14,22,35,17,6,22,41,17,59,4,6,3,0,3,9,42,23,70,163,136,297,43,50,95,115,84,196,81,101,179
UCL522040,107,94,194,23,14,37,9,14,27,7,3,15,8,0,8,50,36,85,48,52,98,10.4,0,6.1,46.2,37,41.8,41.3,37,39.3,5,0,6,0,0,0,4,8,13,9,3,9,40,4,49,0,0,0,4,0,6,43,10,54,84,88,172,15,4,16,68,73,141,35,20,53
UCL522041,154,120,276,48,17,64,12,23,33,9,3,14,5,3,9,66,53,120,63,54,116,8.7,7.8,8.3,44.8,42.5,43.8,40.9,39.2,40.1,4,0,4,0,4,4,0,3,9,5,11,17,47,18,65,0,3,5,9,0,12,50,25,78,136,107,245,17,18,39,102,73,175,53,48,97
UCL522042,268,170,435,180,68,247,22,32,52,15,8,25,0,5,5,222,108,328,19,33,50,0,3.6,1.2,82.3,65.7,75.9,82.3,63.3,74.9,3,4,4,0,3,6,23,18,38,17,15,34,101,24,128,3,0,3,0,3,3,107,26,138,205,124,333,76,61,135,108,51,159,156,118,270
UCL522043,135,140,273,17,15,25,5,3,11,0,4,5,3,0,6,23,28,51,98,103,200,8,4,6,18.4,17.9,18.1,16.9,17.1,17,0,0,0,0,0,0,0,0,0,0,0,0,12,6,19,0,6,13,0,0,0,10,12,29,184,179,362,6,6,12,154,154,302,11,17,30
