SAL_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
SAL50189,24,52,51,304,598,547,962,1208,1189,1116,1300,1300,205,200,200,1,0.7,0.7,3.1,2.1,2.2,11.1,1.2,2.2
SAL50190,29,39,36,447,1157,967,1166,2068,1802,2039,1842,1950,211,340,300,1.2,0.9,1,2.9,2.2,2.5,14.2,4.9,8.1
SAL50191,27,41,41,575,1037,1025,575,2312,2281,0,0,0,0,150,150,0.2,0.7,0.7,1,2.7,2.6,0,0,0
SAL50192,37,50,50,350,527,506,575,982,942,0,782,782,183,200,200,0.5,0.7,0.6,1.4,2.2,2.1,0,0,0
SAL50193,0,38,38,0,1095,1095,0,2125,2125,0,1625,1625,0,150,150,0,0.8,0.8,0,2.7,2.7,0,1.8,1.8
SAL50194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50195,41,50,50,362,725,680,1125,1406,1333,0,1522,1311,215,260,250,1.3,0.9,1,3,2.3,2.4,40,7,10.4
SAL50196,17,49,49,674,756,746,1292,1226,1236,450,748,737,163,160,160,0.9,0.7,0.7,3.1,2.3,2.4,14.3,1.2,1.9
SAL50197,19,44,44,391,620,612,1292,1338,1333,1300,1408,1398,200,250,250,1.1,0.8,0.8,3.5,2.5,2.5,13.6,1.9,2.5
SAL50198,0,49,49,0,900,900,0,2250,2250,0,0,0,0,100,100,0,0.9,0.9,0,2.5,2.5,0,0,0
SAL50199,12,53,51,75,1050,1025,0,1674,1674,0,1733,1733,0,230,230,0,0.7,0.7,0,2.1,2.1,0,0,0
SAL50200,27,33,33,1007,1447,1409,2172,2947,2812,1509,1820,1810,286,400,388,0.9,0.9,0.9,2.8,2.6,2.6,6.6,2.6,3
SAL50201,29,44,44,824,756,756,2291,1879,1880,2517,2167,2167,400,420,420,0.9,0.8,0.8,3,2.7,2.7,3.6,0.9,0.9
SAL50202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50203,0,43,43,0,979,979,0,2125,2125,0,1580,1580,0,0,0,0,0.9,0.9,0,2.9,2.9,0,0,0
SAL50204,50,48,48,350,863,841,1274,1812,1781,1600,2167,2167,200,260,255,1.7,0.9,1,2.8,2.3,2.3,0,6.3,5.9
SAL50205,0,52,52,0,599,599,0,724,724,0,0,0,0,0,0,0,0.7,0.7,0,1.8,1.8,0,0,0
SAL50206,0,60,60,0,724,724,0,1374,1374,0,0,0,0,0,0,0,0.7,0.7,0,2,2,0,0,0
SAL50207,23,38,38,769,870,869,1916,1912,1912,2000,1950,1950,500,350,350,0.9,0.7,0.7,3.4,2.8,2.8,3.6,1.2,1.2
SAL50208,0,72,72,0,2124,2124,0,3874,3874,0,0,0,0,0,0,0,0.6,0.6,0,2,2,0,0,0
SAL50209,0,48,48,0,1542,1542,0,3624,3624,0,542,542,0,50,50,0,1,1,0,3.1,3.1,0,7.1,7.1
SAL50210,25,50,49,530,931,923,1224,1623,1614,2221,1733,1733,300,330,330,0.9,0.7,0.7,2.4,2,2,0,0.7,0.7
SAL50211,8,32,30,725,900,866,1875,1875,1875,0,0,0,0,0,0,1,0.7,0.8,4,3.2,3.3,0,0,0
SAL50212,0,46,46,0,1312,1312,0,3374,3374,0,0,0,0,0,0,0,0.8,0.8,0,2.7,2.7,0,0,0
SAL50213,0,39,39,0,1312,1312,0,1812,1812,0,3000,3000,0,0,0,0,0.8,0.8,0,3.1,3.1,0,0,0
SAL50214,62,40,40,2500,1178,1196,2250,2374,2333,1083,0,1083,0,0,0,0.2,0.7,0.7,1,2.6,2.5,0,0,0
SAL50215,0,54,54,0,1083,1083,0,1874,1874,0,0,0,0,0,0,0,0.9,0.9,0,2.9,2.9,0,0,0
SAL50216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50217,22,38,38,850,921,918,1749,2100,2086,1452,1788,1742,0,298,298,0.9,0.8,0.8,3.3,2.8,2.8,0,1.1,1.1
SAL50218,0,71,71,0,1062,1062,0,1062,1062,0,2011,2011,0,288,288,0,0.5,0.5,0,1.5,1.5,0,0,0
SAL50219,0,35,35,0,556,556,0,725,725,0,867,867,0,275,275,0,0.6,0.6,0,2,2,0,0,0
SAL50220,0,36,36,0,2374,2374,0,3750,3750,0,0,0,0,0,0,0,0.3,0.3,0,2,2,0,0,0
SAL50221,22,40,40,1625,1152,1153,4583,3432,3439,3575,2869,2890,715,650,650,1,0.8,0.8,3.9,3.2,3.2,0,0.6,0.6
SAL50222,50,42,42,500,846,843,1875,2154,2134,2800,1868,1934,0,360,360,0.7,0.9,0.9,2.7,2.9,2.9,0,5.5,5.3
SAL50223,37,43,43,575,808,762,2624,1187,1208,1300,1174,1237,100,210,120,0.7,0.7,0.7,2.5,2.7,2.7,0,0,0
SAL50224,0,31,31,0,687,687,0,1187,1187,0,1400,1400,0,50,50,0,0.6,0.6,0,2.8,2.8,0,0,0
SAL50225,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
SAL50226,21,39,38,1166,1132,1132,2125,1974,1975,1789,2167,2167,450,430,430,0.8,0.9,0.9,2.3,2,2,0,2.6,2.6
SAL50227,29,32,32,2666,1411,1433,5833,2698,2742,2094,2200,2199,0,480,480,0.6,0.7,0.7,2.4,2.5,2.5,0,0,0
SAL50228,42,56,56,556,626,624,1312,943,949,1625,1635,1635,310,320,320,0.8,0.7,0.7,2.2,1.9,1.9,0,1.1,1
SAL50229,17,33,32,547,790,785,1346,1721,1710,1733,1733,1733,340,340,340,1,0.8,0.8,3.4,2.8,2.8,5.7,2,2.1
SAL50230,15,31,31,911,948,947,2143,2056,2059,1927,1896,1898,400,380,380,0.9,0.8,0.8,3.7,3,3,2.8,1.2,1.3
SAL50231,22,37,34,602,1265,1166,1540,2312,2181,2167,2167,2167,255,425,371,1.1,0.8,0.9,3.3,2.4,2.7,13.8,3.1,5.7
SAL50232,0,51,51,0,624,624,0,1437,1437,0,0,0,0,150,150,0,0.8,0.8,0,2.8,2.8,0,0,0
SAL50233,0,60,60,0,900,900,0,900,900,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
SAL50234,8,42,39,1125,900,909,1875,1375,1458,0,521,521,185,185,185,1.4,0.7,0.8,4,2.3,2.4,20,0,1.3
SAL50235,27,49,48,474,501,498,1399,930,953,1192,1300,1300,250,250,250,0.9,0.7,0.7,2.9,2.1,2.1,4.9,2.5,2.7
SAL50236,0,63,63,0,575,575,0,1374,1374,0,1083,1083,0,180,180,0,0.7,0.7,0,2,2,0,0,0
SAL50237,0,58,58,0,749,749,0,1375,1375,0,975,975,0,0,0,0,0.7,0.7,0,2.3,2.3,0,0,0
SAL50238,25,39,28,277,1531,317,833,1875,963,0,543,543,75,150,75,1.2,0.7,1.1,3.7,2,3.3,24.8,0,19.5
SAL50239,0,20,20,0,1224,1224,0,4749,4749,0,0,0,0,0,0,0,1.2,1.2,0,4,4,0,0,0
SAL50240,24,38,37,474,617,610,1333,1276,1279,1500,1300,1300,275,288,280,0.9,0.7,0.7,3.3,2.5,2.6,7.1,3.4,3.6
SAL50241,0,29,29,0,1062,1062,0,2583,2583,0,640,640,0,150,150,0,0.7,0.7,0,2.8,2.8,0,0,0
SAL50242,0,43,43,0,1062,1062,0,1999,1999,0,0,0,0,0,0,0,0.5,0.5,0,2,2,0,0,0
SAL50243,23,54,37,425,1031,769,4249,1687,1812,0,1000,1000,75,100,88,2.1,0.5,0.8,5.7,2.1,2.8,66.7,0,11.8
SAL50244,0,15,15,0,612,612,0,2499,2499,0,2383,2383,0,200,200,0,1.1,1.1,0,4.5,4.5,0,25,25
SAL50245,30,37,37,678,831,830,2100,2279,2277,1971,2000,2000,450,420,425,0.9,0.8,0.8,3.7,3.1,3.1,6.3,2,2
SAL50246,21,30,30,599,783,781,1187,1565,1558,1300,1517,1512,350,350,350,0.9,0.9,0.9,2.6,2.5,2.5,9.5,5.5,5.6
SAL50247,0,57,57,0,1500,1500,0,2250,2250,0,0,0,0,170,170,0,0.5,0.5,0,2,2,0,0,0
SAL50248,58,51,51,366,811,783,850,1410,1380,1300,1701,1630,200,280,280,0.9,0.8,0.8,1.9,2,2,0,0.9,0.8
SAL50249,0,53,53,0,949,949,0,1375,1375,0,0,0,0,122,122,0,0.6,0.6,0,1.3,1.3,0,0,0
SAL50250,31,27,28,1125,1087,1091,0,725,725,0,3900,3900,0,150,150,0,0.6,0.6,0,1.6,1.6,0,0,0
SAL50251,22,43,42,471,709,703,1458,1423,1425,1250,1500,1498,300,325,320,1,0.7,0.7,3.2,2.5,2.5,7.1,0.9,1.1
SAL50252,19,53,52,450,794,790,1375,1474,1458,0,2167,2167,625,350,375,1.3,0.8,0.8,4,2.4,2.5,0,2.2,2.2
SAL50253,29,31,31,2500,1446,1481,0,900,900,0,0,0,0,420,420,0,0.3,0.3,0,1,1,0,0,0
SAL50254,67,56,57,1875,687,725,2750,1437,2124,0,0,0,0,200,200,1,0.6,0.7,5,2,2.4,0,0,0
SAL50255,38,44,44,449,706,693,3874,2307,2307,0,2600,2600,503,300,300,1.2,0.8,0.8,5.5,3.1,3.1,50,1.6,2.3
SAL50256,0,52,52,0,1531,1531,0,1708,1708,0,0,0,0,150,150,0,0.7,0.7,0,2.3,2.3,0,0,0
SAL50257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50258,0,45,45,0,900,900,0,1625,1625,0,2383,2383,0,373,373,0,0.8,0.8,0,2.5,2.5,0,0,0
SAL50259,0,50,50,0,575,575,0,1187,1187,0,1544,1544,0,233,233,0,0.7,0.7,0,2.5,2.5,0,2.3,2.3
SAL50260,11,40,40,687,962,953,3250,2637,2645,3409,2368,2383,0,500,500,1.6,0.8,0.8,4.3,3.1,3.1,14.3,0.6,0.8
SAL50261,22,42,40,482,599,592,1220,998,1018,1226,1265,1261,280,270,270,0.9,0.7,0.7,2.9,2,2.1,5.8,2.4,2.6
SAL50262,15,44,43,1125,969,969,3125,2437,2442,2832,2340,2340,565,450,450,1.1,0.7,0.7,4.3,2.8,2.8,5.3,0.5,0.5
SAL50263,35,36,36,483,974,963,1125,1783,1766,1767,1900,1900,295,350,340,0.9,0.7,0.7,2.4,2.2,2.2,6.8,2.1,2.3
SAL50264,58,53,53,150,537,522,1250,1218,1218,0,1800,1800,0,300,300,1.2,0.8,0.8,1.5,2.6,2.5,0,0,0
SAL50265,15,46,46,508,853,850,2499,2345,2345,1328,2167,2162,375,343,345,1,0.8,0.8,3.3,3,3,0,1.4,1.3
SAL50266,26,43,43,574,828,823,1874,1321,1350,0,867,867,252,150,150,1.1,0.6,0.7,3.5,2,2,16.7,0,0.6
SAL50267,42,39,39,774,907,893,1749,1333,1350,1754,2034,2034,180,210,210,1.3,0.9,0.9,3.7,1.8,2,28.6,6.3,8.6
SAL50268,0,52,52,0,725,725,0,725,725,0,0,0,0,0,0,0,0.1,0.1,0,1,1,0,0,0
SAL50269,18,37,37,828,940,938,2471,2454,2455,2167,2015,2017,460,435,440,0.9,0.8,0.8,4,3.1,3.1,8.9,1.1,1.2
SAL50270,0,52,52,0,1149,1149,0,2125,2125,0,1679,1679,0,0,0,0,0.8,0.8,0,2.7,2.7,0,0,0
SAL50271,0,40,40,0,1196,1196,0,2187,2187,0,607,607,0,150,150,0,1,1,0,3.2,3.2,0,0,0
SAL50272,0,34,34,0,1325,1325,0,2333,2333,0,0,0,0,210,210,0,0.7,0.7,0,2.7,2.7,0,0,0
SAL50273,16,39,38,489,848,833,1333,1628,1612,1604,1733,1717,268,300,300,1.1,0.7,0.7,3.6,2.4,2.4,6.6,1,1.2
SAL50274,30,38,36,1125,806,808,1625,2293,2284,1300,2300,2300,500,415,428,0.8,0.8,0.8,3.7,3,3,0,2.5,2.4
SAL50275,47,34,34,725,1531,1458,4749,1499,1999,0,0,0,115,300,208,1,0.3,0.6,3,1.7,2.2,0,0,0
SAL50276,41,50,50,1875,610,614,2750,1593,1609,4333,1667,1733,0,300,300,0.6,0.8,0.8,2,2.5,2.5,0,0,0
SAL50277,20,34,33,790,983,980,2339,2263,2266,2117,2000,2000,300,390,390,1,0.8,0.8,3.6,3,3,8.5,2,2.2
SAL50278,48,54,53,383,606,598,899,824,823,0,1298,1295,170,290,290,0.9,0.7,0.7,2.2,1.7,1.7,8.3,1.4,1.7
SAL50279,19,56,55,649,628,628,1074,1044,1044,1275,1427,1427,0,300,300,0.8,0.6,0.6,2.5,2,2,0,1.1,1
SAL50280,28,49,48,612,734,725,2750,1375,1399,2383,1500,1533,0,222,222,0.9,0.9,0.9,3,2.4,2.4,0,5.8,5.5
SAL50281,34,41,41,1125,765,766,1875,1810,1812,2167,1950,1950,380,350,355,0.8,0.8,0.8,2.5,2.6,2.6,0,2.4,2.4
SAL50282,0,50,50,0,962,962,0,2250,2250,0,1300,1300,0,0,0,0,1,1,0,2.3,2.3,0,0,0
SAL50283,49,53,52,450,780,762,450,1300,1275,0,1600,1600,13,238,200,0.3,0.7,0.7,1,2.4,2.4,0,0,0
SAL50284,30,49,49,75,900,885,1125,1625,1583,0,1900,1900,0,310,310,0.5,0.8,0.8,3,2.3,2.3,0,2.3,2.3
SAL50285,0,49,49,0,890,890,0,1875,1875,0,1813,1813,0,225,225,0,0.7,0.7,0,2.5,2.5,0,0,0
SAL50286,0,49,49,0,706,706,0,1687,1687,0,1400,1400,0,230,230,0,0.7,0.7,0,2.3,2.3,0,4.2,4.2
SAL50287,0,43,43,0,1062,1062,0,1874,1874,0,0,0,0,150,150,0,0.7,0.7,0,2.8,2.8,0,0,0
SAL50288,0,53,53,0,537,537,0,866,866,0,1042,1042,0,0,0,0,1.1,1.1,0,2.3,2.3,0,6.7,6.7
SAL50289,38,34,35,3500,2833,2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50290,41,44,44,374,824,818,1499,1984,1971,1940,1950,1950,365,380,380,0.8,0.7,0.7,2.7,2.7,2.7,5.6,1.6,1.7
SAL50291,20,45,44,449,837,828,2250,1961,1972,2167,2000,2000,600,320,335,0.9,0.8,0.8,3.3,2.7,2.7,0,2.3,2.2
SAL50292,3,44,43,1125,949,1031,2250,1999,2125,3000,0,3000,0,150,150,2,0.9,1,4,3.3,3.4,0,11.1,10
SAL50293,24,41,41,1499,1014,1015,3374,2314,2314,0,2600,2600,375,365,365,1.3,0.8,0.8,2.8,2.6,2.6,25,2.4,2.5
SAL50294,20,47,47,450,1231,1228,1937,3712,3700,5200,4000,4000,700,750,750,0.8,0.7,0.7,3.3,2.8,2.8,0,0.3,0.3
SAL50295,38,50,50,466,636,627,1625,1307,1333,2600,1369,1500,250,210,220,1,0.7,0.8,2.7,2.2,2.3,16.7,3.1,3.7
SAL50296,20,45,44,374,1118,1115,1875,2069,2068,2050,2800,2800,320,460,460,1,0.8,0.8,2.4,2.2,2.2,8.3,1.2,1.2
SAL50297,19,34,34,402,838,828,1485,1770,1761,1400,1733,1733,350,350,350,1,0.7,0.7,3.6,2.6,2.6,10.7,1.8,2.1
SAL50298,50,25,32,1875,1125,1187,0,1375,1375,0,0,0,0,0,0,0.8,1,0.9,4,3,3.5,0,0,0
SAL50299,0,68,68,0,474,474,0,824,824,0,0,0,0,0,0,0,1,1,0,1.8,1.8,0,0,0
SAL50300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50301,22,35,34,575,819,812,1424,1523,1520,1863,1700,1700,300,340,340,0.9,0.8,0.8,2.8,2.4,2.4,6.5,3.5,3.6
SAL50302,0,43,43,0,695,695,0,1749,1749,0,5758,5758,0,0,0,0,0.7,0.7,0,2.6,2.6,0,0,0
SAL50303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50304,26,31,31,979,1022,1020,2083,1619,1626,1300,1519,1517,370,352,355,1.1,0.9,0.9,2.4,1.8,1.9,9.5,3.2,3.3
SAL50305,0,29,29,0,1062,1062,0,1125,1125,0,0,0,0,100,100,0,0.1,0.1,0,1,1,0,0,0
SAL50306,0,55,55,0,1224,1224,0,2624,2624,0,2700,2700,0,200,200,0,0.6,0.6,0,2.2,2.2,0,0,0
SAL50307,21,50,48,1374,703,725,2250,1649,1699,0,2167,2167,200,350,350,1,0.8,0.8,4,2.7,2.8,0,2.9,2.8
SAL50308,0,45,45,0,724,724,0,2499,2499,0,0,0,0,250,250,0,1.1,1.1,0,5,5,0,0,0
SAL50309,32,38,38,366,790,776,1625,1911,1899,1511,1561,1556,340,370,370,0.8,0.7,0.7,3.1,2.7,2.7,5,0.2,0.4
SAL50310,21,45,43,474,578,574,1350,1166,1177,1207,1272,1263,250,250,250,1,0.7,0.7,3.2,2.2,2.3,3.9,2,2.1
SAL50311,0,48,48,0,900,900,0,1792,1792,0,1690,1690,0,220,220,0,0.8,0.8,0,2.5,2.5,0,5,5
SAL50312,27,40,40,474,752,735,1062,1536,1509,1488,1476,1478,340,320,323,0.8,0.8,0.8,3.3,2.5,2.5,0,2,2
SAL50313,38,53,52,574,825,808,1125,1402,1388,0,1750,1750,300,323,320,0.8,0.6,0.7,3.3,2.2,2.3,0,2.6,2.5
SAL50314,69,47,48,575,700,675,0,725,725,0,921,921,0,0,0,0,0.8,0.8,0,2.5,2.5,0,0,0
SAL50315,0,53,53,0,850,850,0,1624,1624,0,0,0,0,0,0,0,0.7,0.7,0,2.3,2.3,0,0,0
SAL50316,28,38,38,626,1006,1001,1604,1784,1780,2039,2041,2041,328,355,350,0.8,0.7,0.7,2.3,2.1,2.1,3.4,1.3,1.3
SAL50317,54,40,41,699,875,870,1649,1328,1328,0,1083,1083,0,150,150,0.8,0.8,0.8,3,2.5,2.5,0,3.6,3.5
SAL50318,17,47,47,1062,947,948,2666,2298,2304,2100,2167,2167,650,410,415,0.8,0.7,0.7,3.4,2.7,2.7,0,0.3,0.3
SAL50319,0,51,51,0,1333,1333,0,1875,1875,0,0,0,0,150,150,0,0.8,0.8,0,2.1,2.1,0,0,0
SAL50320,19,50,48,446,489,487,926,837,845,1322,1300,1300,230,241,240,1,0.7,0.7,3.1,2.1,2.2,12.9,1.5,2.3
SAL50321,32,47,47,900,870,870,2874,2174,2182,2259,2500,2500,420,435,430,0.8,0.7,0.7,3.1,2.6,2.6,0,1.3,1.2
SAL50322,32,46,46,450,594,589,2624,1490,1518,1500,1950,1900,0,300,300,1,0.8,0.8,4,2.6,2.6,0,1.4,1.4
SAL50323,35,35,35,725,2428,2357,0,2250,2250,0,2200,2200,0,0,0,0,1,1,0,3.5,3.5,0,0,0
SAL50324,25,37,37,433,784,772,1075,1387,1378,1733,1600,1600,300,300,300,0.9,0.7,0.7,2.7,2.1,2.1,12.7,1.9,2.3
SAL50325,28,41,40,1312,1191,1192,3249,3229,3229,5000,2600,2600,513,350,350,0.8,0.8,0.8,3,2.8,2.8,0,1,1
SAL50326,0,45,45,0,725,725,0,1375,1375,0,0,0,0,0,0,0,0.6,0.6,0,3,3,0,0,0
SAL50327,38,50,49,458,838,760,924,1375,1260,953,924,927,207,250,250,0.9,0.7,0.7,2.6,2,2.1,6.3,2.1,2.8
SAL50328,0,60,60,0,1100,1100,0,2499,2499,0,0,0,0,0,0,0,0.6,0.6,0,2.2,2.2,0,0,0
SAL50329,21,44,42,493,599,596,1163,1209,1207,1408,1310,1313,300,300,300,0.9,0.7,0.7,3.5,2.3,2.4,6.3,1.5,1.7
SAL50330,13,39,38,225,771,767,3749,2113,2159,2460,1975,2000,375,270,270,1.1,0.8,0.8,6.7,3,3.1,0,6,5.9
SAL50331,27,34,34,3500,1178,1196,5500,2083,2166,0,0,0,0,0,0,1,0.8,0.8,5,2.8,2.8,0,2.8,2.7
SAL50332,0,51,51,0,971,971,0,1666,1666,0,100,100,0,250,250,0,0.6,0.6,0,2.2,2.2,0,0,0
SAL50333,28,53,52,1062,682,706,2249,1339,1410,5000,1733,1867,450,370,370,0.9,0.7,0.8,4.2,2.1,2.3,0,4.3,3.8
SAL50334,29,55,55,575,624,620,2125,1362,1399,1171,1400,1400,0,330,330,0.8,0.7,0.7,3,2.1,2.2,0,1.3,1.2
SAL50335,35,51,49,284,811,741,1562,1281,1300,2600,600,625,150,135,150,0.7,0.7,0.7,2.3,2.1,2.1,25,0,1.4
SAL50336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50337,54,46,46,350,700,675,900,1541,1437,1820,1800,1810,0,273,273,0.5,0.7,0.7,2,2.6,2.5,0,4.8,4.5
SAL50338,28,33,33,949,867,871,3749,1125,1166,0,3390,3390,0,160,160,0.8,1.4,1.4,2,2,2,0,9.7,9.4
SAL50339,0,54,54,0,450,450,0,1125,1125,0,0,0,0,120,120,0,1,1,0,2.3,2.3,0,0,0
SAL50340,41,51,50,437,790,771,687,1194,1157,1733,867,867,170,194,185,0.9,0.7,0.7,2.5,2,2,0,0.7,0.7
SAL50341,28,37,35,374,2320,1702,739,0,739,0,0,0,57,0,57,0.9,0,0.9,3.2,1,3,15,0,14.3
SAL50342,0,24,24,0,824,824,0,2124,2124,0,2104,2104,0,0,0,0,1.3,1.3,0,2,2,0,0,0
SAL50343,32,44,44,1562,1458,1458,3750,3348,3351,4333,3913,3925,750,550,550,0.9,0.8,0.8,2.9,2.5,2.5,0,1,1
SAL50344,0,34,34,0,812,812,0,1812,1812,0,1800,1800,0,270,270,0,0.8,0.8,0,2.8,2.8,0,0,0
SAL50345,0,34,34,0,1125,1125,0,1749,1749,0,1667,1667,0,0,0,0,0.6,0.6,0,1.7,1.7,0,0,0
SAL50346,43,52,52,450,849,780,1625,1562,1625,0,1797,1797,0,225,225,1,0.9,0.9,2,2.1,2.1,0,4.8,4.5
SAL50347,27,39,39,599,878,876,2166,1920,1925,1292,1950,1950,453,390,390,0.8,0.8,0.8,2.7,2.8,2.8,0,2,1.9
SAL50348,0,49,49,0,1333,1333,0,1625,1625,0,0,0,0,0,0,0,0.7,0.7,0,3,3,0,0,0
SAL50349,0,47,47,0,1024,1024,0,1437,1437,0,694,694,0,145,145,0,0.8,0.8,0,2.7,2.7,0,0,0
SAL50350,26,35,35,828,929,927,1875,1791,1792,1788,1733,1733,375,375,375,0.8,0.7,0.7,2.8,2.4,2.4,10.9,0.4,0.6
SAL50351,0,35,35,0,1069,1069,0,2124,2124,0,0,0,0,0,0,0,0.9,0.9,0,2.5,2.5,0,6.7,6.7
SAL50352,41,44,44,416,722,705,700,1216,1166,726,706,719,166,175,174,0.8,0.7,0.7,2.3,2.3,2.3,8.3,1.8,2.2
SAL50353,20,24,24,269,443,435,1375,1368,1368,0,1941,1941,375,350,350,1.8,1,1,2.9,2,2,11.1,8.6,8.6
SAL50354,70,48,48,225,900,893,450,2229,2208,0,2184,2184,0,280,280,1,0.8,0.8,2,2.7,2.6,0,0,0
SAL50355,17,51,50,524,877,855,2250,1718,1812,1625,1775,1733,370,280,302,1.3,0.8,0.8,4.5,2.5,2.6,0,0,0
SAL50356,22,56,56,1149,661,678,0,1474,1474,0,1200,1100,0,68,68,0.7,0.7,0.7,3,2.1,2.2,0,0,0
SAL50357,68,52,52,262,615,614,1124,1198,1187,300,1300,1300,129,280,280,1,0.7,0.7,2.3,2.3,2.3,0,1.1,1.1
SAL50358,0,39,39,0,1624,1624,0,1874,1874,0,1517,1517,0,0,0,0,1.2,1.2,0,2.6,2.6,0,12.5,12.5
SAL50359,56,63,63,900,496,517,1624,662,693,0,725,725,100,108,100,0.8,0.6,0.6,2.2,1.5,1.5,0,0,0
SAL50360,6,61,55,1625,743,762,3250,1375,1437,0,2004,2004,0,200,200,1,0.8,0.8,4,2,2.2,0,12.5,11.1
SAL50361,32,34,33,341,340,341,849,0,849,0,0,0,150,0,150,1.9,0,1.9,3,0,3,50,0,50
SAL50362,0,64,64,0,899,899,0,1375,1375,0,825,825,0,260,260,0,0.6,0.6,0,1.8,1.8,0,0,0
SAL50363,35,31,31,2500,2365,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50364,31,35,35,308,706,672,687,1639,1573,0,1246,1246,200,200,200,0.8,0.7,0.7,2.2,2.3,2.3,11.1,2.5,2.7
SAL50365,72,47,47,1875,825,837,3750,1833,1875,0,2000,2000,0,205,205,0.6,0.9,0.8,2,2.4,2.4,0,10.5,10
SAL50366,0,54,54,0,1031,1031,0,1937,1937,0,824,824,0,0,0,0,0.8,0.8,0,2.3,2.3,0,0,0
SAL50367,18,40,40,1312,881,883,2874,2210,2214,1800,2000,2000,425,400,400,0.9,0.7,0.7,3.3,2.8,2.8,0,0.6,0.6
SAL50368,42,48,48,574,758,741,1125,1812,1781,758,1679,1670,0,250,250,0.6,0.9,0.9,2,2.5,2.5,0,3.7,3.6
SAL50369,27,52,51,350,900,875,900,1125,1062,0,1733,1733,0,300,300,1,0.6,0.7,4,2.3,2.4,0,0,0
SAL50370,33,42,42,2500,2450,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50371,20,39,39,449,964,957,2249,2137,2134,5900,2708,2800,485,280,295,1.1,0.9,0.9,4.2,2.4,2.4,16.7,1.2,1.3
SAL50372,48,55,55,1375,617,622,0,1166,1166,0,1733,1733,0,215,215,0.8,0.8,0.8,4,2.3,2.3,0,1.5,1.4
SAL50373,0,60,60,0,537,537,0,725,725,0,944,944,0,550,550,0,0.6,0.6,0,2.2,2.2,0,0,0
SAL50374,23,45,45,2249,1403,1403,4750,4672,4672,6500,5000,5000,925,801,802,0.9,0.7,0.7,3.5,3,3,0,0.6,0.6
SAL50375,29,36,36,556,1031,992,1375,1944,1887,1235,1083,1083,250,231,231,0.9,0.8,0.8,3.1,2.6,2.6,5.6,1.3,1.6
SAL50376,19,34,34,627,894,885,1829,2077,2066,1733,1733,1733,320,350,350,0.9,0.8,0.8,3.4,2.8,2.9,7.5,1,1.3
SAL50377,68,43,43,450,1080,1071,450,2150,2100,0,1950,1950,0,175,175,0.5,0.8,0.8,1,2.5,2.5,0,0,0
SAL50378,16,36,35,1541,1710,1698,3749,3669,3664,2886,2383,2383,490,475,480,1.1,0.9,0.9,3.6,2.9,2.9,0,1.4,1.3
SAL50379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50380,26,38,30,368,1197,416,963,1825,1078,0,2970,2970,115,275,120,1.2,1.1,1.2,3.2,2.1,3,17,10,15.8
SAL50381,0,27,27,0,1375,1375,0,2624,2624,0,716,716,0,225,225,0,0.8,0.8,0,3.1,3.1,0,0,0
SAL50382,24,49,48,1062,978,980,2416,1805,1875,1550,1591,1591,150,210,205,0.8,0.7,0.7,3.7,2.2,2.4,0,2.9,2.6
SAL50383,0,52,52,0,725,725,0,1625,1625,0,1083,1083,0,0,0,0,0.5,0.5,0,1.6,1.6,0,0,0
