SAL_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
SAL50353,0,64,83,144,0,0,0,17,23,42,0,0,0,17,23,42,16,23,36,374,477,856,0,5,5,393,505,897,4,0,4,37,42,77,88,95,183,125,140,261,48,56,103,1813,1864,3680,91,103,186,1949,2027,3975
SAL50354,0,0,5,9,0,0,0,6,4,4,0,0,0,6,4,4,0,0,0,20,24,44,0,0,0,21,24,49,0,0,0,0,0,7,18,11,26,19,15,36,0,0,0,125,117,245,18,11,26,136,131,272
SAL50355,0,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,38,0,0,0,19,24,44,0,0,0,0,0,3,5,3,6,3,8,8,4,3,5,70,69,143,5,3,6,77,76,153
SAL50356,0,0,3,7,0,0,0,4,4,6,0,0,0,4,4,6,0,0,0,9,22,28,0,0,0,13,20,32,0,0,0,0,0,0,7,0,7,5,0,6,0,0,0,36,47,88,7,0,7,45,52,97
SAL50357,0,26,19,40,0,0,0,14,8,20,0,0,0,13,8,26,3,0,3,82,74,155,3,0,8,87,78,163,0,0,0,7,14,19,20,12,30,22,24,52,3,0,4,206,211,419,21,16,37,227,224,456
SAL50358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,6,17,22,0,0,0,11,17,27
SAL50359,0,11,7,15,0,0,0,0,4,4,0,0,0,3,4,5,3,0,3,24,23,46,0,0,0,25,26,51,0,0,0,0,3,4,13,13,31,18,18,33,4,5,12,51,51,103,17,13,29,77,70,140
SAL50360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,0,0,0,3,5,9,0,0,0,0,0,0,0,0,4,0,0,4,3,0,4,7,9,15,0,0,4,10,7,26
SAL50361,0,0,5,5,4,0,4,0,0,0,0,0,0,4,0,4,0,8,5,3,0,5,0,0,0,10,13,18,0,0,0,0,0,0,0,0,3,5,0,6,10,21,27,7,9,10,0,3,9,21,28,45
SAL50362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,12,0,0,0,13,3,12
SAL50363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,4,0,4,57,7,67,61,7,64,3,0,3,66,3,68,60,7,62,131,11,139
SAL50364,0,19,17,33,0,3,3,17,4,26,0,0,0,15,13,28,5,6,13,102,92,193,6,0,6,111,93,207,0,0,0,12,4,19,30,26,55,42,30,72,19,10,32,390,346,739,26,26,59,444,380,824
SAL50365,0,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,17,0,0,0,14,6,16,0,0,0,0,0,0,6,7,11,6,7,11,0,0,0,21,26,55,6,7,11,32,33,62
SAL50366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,8,17,0,0,0,13,9,20
SAL50367,0,145,176,319,0,0,4,47,73,114,0,0,0,48,73,116,13,9,25,763,942,1710,3,0,6,780,952,1735,0,0,4,115,128,240,113,71,191,227,201,429,25,23,46,3221,3356,6578,123,83,209,3369,3461,6834
SAL50368,0,6,9,12,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,19,23,39,0,0,0,19,22,39,0,0,0,3,4,9,6,8,13,11,11,24,0,3,3,71,71,142,6,6,18,75,81,157
SAL50369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,4,5,0,0,0,0,4,5,0,0,0,19,13,31,0,0,0,22,13,32
SAL50370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,6,0,0,0,0,0,0,8,0,8,8,0,8,0,0,0,17,4,23,8,0,8,30,5,32
SAL50371,0,32,38,74,0,0,0,15,10,26,0,0,0,15,10,26,0,3,3,173,197,375,0,0,0,174,202,381,0,0,0,16,17,38,25,20,44,42,36,80,7,10,14,739,750,1489,25,16,47,778,770,1551
SAL50372,0,8,3,15,0,0,0,3,4,6,0,0,0,3,4,6,0,0,0,34,24,63,0,0,0,34,30,64,0,0,0,0,0,3,20,16,29,16,22,38,0,0,0,82,73,157,16,17,33,99,90,190
SAL50373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,20,0,0,0,6,10,20,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,30,24,54,4,0,4,28,24,58
SAL50374,0,101,99,194,0,0,0,23,30,55,0,0,0,23,30,50,0,3,6,507,529,1035,0,0,3,511,532,1044,0,0,0,85,67,151,36,35,74,125,102,224,7,11,14,2136,2160,4294,50,41,86,2191,2211,4398
SAL50375,0,24,18,47,0,0,0,8,9,19,0,0,0,11,7,16,8,9,16,95,86,180,0,0,0,99,100,199,4,0,4,24,16,33,68,55,119,90,66,156,29,21,51,333,319,658,68,55,119,426,399,826
SAL50376,6,200,306,511,0,10,8,85,116,203,6,0,6,91,123,215,42,48,84,1089,1351,2439,0,8,8,1131,1397,2531,11,12,26,162,160,321,194,153,351,369,329,697,141,174,314,4388,4688,9080,208,165,372,4743,5027,9770
SAL50377,0,0,3,3,0,0,0,6,3,6,0,0,0,3,3,7,0,0,0,22,18,43,0,0,0,23,18,44,0,0,0,0,0,6,14,7,15,14,8,26,0,0,0,69,59,130,14,7,15,83,69,150
SAL50378,0,10,19,33,0,0,0,5,9,10,0,0,0,5,9,10,0,0,3,84,99,179,0,0,0,85,97,187,4,0,4,29,23,57,56,65,125,89,93,184,24,18,41,587,532,1115,56,69,121,662,616,1282
SAL50379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50380,0,3,18,20,4,12,17,0,3,3,0,0,0,4,12,19,56,70,128,9,21,35,0,0,0,71,97,163,33,42,77,0,4,3,27,29,54,64,72,132,410,424,835,76,76,153,29,34,55,521,527,1051
SAL50381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,26,0,0,0,12,9,26
SAL50382,0,10,13,23,0,0,0,3,0,8,0,0,0,3,0,8,3,5,7,36,31,75,0,0,0,45,38,78,0,0,5,3,4,8,11,4,19,18,12,32,12,9,17,130,123,257,20,5,23,159,139,292
SAL50383,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,5,0,6,0,0,0,0,0,0,6,8,20,6,9,18,0,0,0,8,6,14,6,8,20,18,14,31
SAL50384,4,122,146,268,0,0,0,42,58,96,0,0,0,42,59,100,7,8,12,694,790,1479,0,4,6,702,798,1502,4,0,4,119,141,257,86,44,138,208,183,398,33,28,61,3513,3621,7131,98,57,152,3645,3703,7347
SAL50385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,0,0,0,3,6,15
SAL50386,0,23,16,41,0,0,0,11,12,19,0,0,0,11,12,19,3,0,3,95,90,186,0,0,0,96,90,194,0,0,0,15,13,21,6,4,7,17,15,38,10,3,12,294,275,569,5,5,12,307,285,588
SAL50387,0,20,19,40,0,0,0,13,5,15,0,0,0,13,4,17,4,0,0,103,100,200,0,0,4,104,101,206,0,0,0,7,8,15,27,22,49,35,30,67,3,0,6,322,291,611,31,26,56,350,318,669
SAL50388,0,7,17,27,0,0,0,8,4,17,0,0,0,9,4,17,10,0,11,42,61,98,0,0,0,47,58,106,0,0,3,5,5,11,28,36,62,30,40,74,5,8,15,150,150,299,28,36,62,186,188,371
SAL50389,0,41,53,92,0,0,0,9,13,21,0,0,0,9,16,26,6,0,5,157,237,393,0,0,0,169,242,402,0,3,3,32,42,76,26,18,39,54,63,124,14,15,28,719,801,1520,23,18,42,751,838,1591
SAL50390,0,102,127,231,0,0,0,40,35,76,0,0,0,40,34,70,0,11,13,470,516,989,0,3,0,477,533,1003,0,3,3,65,49,122,56,51,111,128,103,235,19,27,41,1771,1793,3562,58,55,112,1844,1876,3725
SAL50391,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,15,0,0,0,6,7,15,0,0,0,0,0,0,3,0,8,3,0,4,0,0,0,18,10,33,3,0,8,24,16,41
SAL50392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,0,4,6,9
SAL50393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,4,3,8,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,13,17,30,0,0,3,13,13,33
SAL50394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,18,0,0,0,10,9,18
SAL50395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,7,0,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,5,0,7,3,0,3,10,0,8
SAL50396,0,219,242,463,6,3,6,136,91,222,0,0,0,139,90,234,14,14,28,1023,1102,2123,4,5,8,1040,1120,2161,6,4,11,135,136,270,186,117,304,327,258,589,71,67,138,3270,3402,6677,199,130,329,3543,3601,7143
SAL50397,0,44,70,117,0,3,4,10,15,25,0,0,0,6,21,32,15,16,31,369,441,813,0,0,0,384,463,849,6,0,7,67,78,150,107,47,153,180,133,308,60,49,114,2634,2601,5236,103,49,158,2804,2704,5507
SAL50398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,3,10,0,0,0,0,0,0,0,0,4,0,0,4,10,0,9,4,6,12,0,0,4,9,12,24
SAL50399,0,10,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,67,0,6,6,33,40,73,0,0,0,6,9,12,20,18,33,25,24,45,4,0,5,143,146,287,20,19,41,162,167,327
SAL50400,0,18,22,38,0,0,0,7,18,20,0,0,0,7,11,24,3,5,6,89,136,229,0,0,0,95,136,236,0,0,6,25,12,39,35,20,54,64,35,97,24,25,45,427,437,860,40,21,60,487,478,973
SAL50401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,12,0,0,0,3,12,13,0,0,0,0,0,0,3,0,9,3,6,6,0,0,3,28,25,54,3,0,9,32,30,56
SAL50402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,20,0,0,0,19,6,20,0,0,0,3,0,5,0,0,0,3,0,6,3,0,3,40,43,83,4,0,3,47,49,93
SAL50403,0,19,20,44,5,0,5,11,4,20,0,0,0,16,4,27,22,12,32,82,91,169,0,0,0,103,102,203,0,0,4,17,24,36,64,67,131,75,90,169,48,31,76,308,334,639,61,70,132,425,430,849
SAL50404,0,107,119,225,0,0,0,51,52,100,0,0,0,51,54,103,4,18,20,403,488,895,0,5,8,408,508,916,0,0,4,40,35,70,111,103,212,151,132,288,17,29,45,1129,1275,2407,117,113,231,1271,1420,2691
SAL50405,0,59,64,130,10,19,25,13,12,20,0,0,0,21,31,49,102,160,258,142,147,288,4,0,5,249,305,550,186,69,252,25,29,57,342,403,751,558,498,1061,710,626,1336,591,539,1130,352,409,760,1645,1582,3222
SAL50406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,16,0,0,0,9,6,16
SAL50407,0,0,4,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,15,17,28,0,0,0,15,17,28,0,0,0,4,0,7,6,5,11,7,6,11,0,0,0,36,31,67,6,8,12,46,37,82
SAL50408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0,0,0,5,6,6,0,0,0,0,3,5,0,0,0,4,3,4,0,0,0,17,19,27,0,0,0,17,16,28
SAL50409,5,590,810,1397,3,7,7,281,402,679,0,7,7,282,405,696,37,42,76,2899,3615,6514,11,18,27,2941,3670,6615,10,11,18,377,394,775,377,324,702,760,730,1495,109,98,205,11163,12023,23194,395,375,771,11675,12500,24169
SAL50410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,13,0,0,0,10,5,13
SAL50411,0,8,9,15,0,0,0,4,0,9,0,0,0,4,0,9,0,0,0,30,24,51,0,0,0,30,24,55,0,0,0,0,3,3,11,7,16,11,15,18,0,0,0,88,89,172,11,10,24,95,99,195
SAL50412,0,5,7,6,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,15,17,36,0,0,0,16,17,34,0,0,0,3,4,11,11,7,16,17,8,25,0,0,0,68,67,137,7,7,18,80,74,161
SAL50413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,3,0,9
SAL50414,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,14,0,0,0,14,8,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,42,18,58,0,0,8,45,18,68
SAL50415,0,26,54,80,4,6,5,11,13,20,0,0,0,16,13,28,47,57,105,161,222,386,0,0,6,214,277,491,18,14,33,46,46,99,214,233,452,284,299,578,242,246,483,1131,1206,2345,224,239,463,1603,1692,3291
SAL50416,4,47,62,111,0,0,0,26,25,50,0,0,0,26,31,48,3,16,19,209,231,434,3,4,5,212,247,462,0,3,4,29,17,51,51,37,85,75,59,137,31,39,69,588,639,1223,58,38,99,674,717,1393
SAL50417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,0,3,3,7,0,0,0,0,0,0,7,3,11,7,8,11,0,0,0,22,20,44,7,9,12,29,24,53
SAL50418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SAL50419,5,103,130,233,0,0,3,48,64,106,0,0,0,50,66,117,14,17,27,435,547,983,9,6,18,460,570,1024,7,0,8,62,57,120,84,59,146,152,122,275,51,56,105,1308,1452,2759,97,70,169,1456,1577,3035
SAL50420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,5,0,7,0,0,0,0,0,0,7,8,19,7,8,19,0,0,0,23,13,33,7,8,19,27,21,51
SAL50421,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,28,0,0,0,10,15,28,0,0,0,0,0,0,14,8,20,14,10,20,0,0,0,28,27,60,14,4,22,44,38,81
SAL50422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50423,0,167,269,442,3,3,8,69,95,159,0,0,0,71,99,172,18,28,46,921,1250,2170,3,3,3,943,1281,2222,3,0,12,118,149,271,181,145,326,303,303,609,79,66,143,4146,4565,8708,194,159,347,4418,4786,9205
SAL50424,4,21,26,43,0,0,0,6,8,22,0,0,0,6,8,22,0,6,6,76,78,153,4,0,4,76,83,162,0,0,0,3,5,11,20,9,28,23,12,40,14,17,26,193,185,376,23,11,31,229,207,436
SAL50425,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,17,0,0,0,12,11,17,0,0,0,0,0,0,4,4,4,4,4,4,0,0,0,22,24,45,4,4,4,23,27,52
SAL50426,0,33,34,61,0,0,0,11,13,21,0,0,0,12,13,25,12,18,27,168,164,334,0,0,0,176,186,360,9,8,14,36,36,66,48,30,80,93,68,158,51,48,97,694,730,1422,51,30,81,799,809,1605
SAL50427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,7
SAL50428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10,0,0,0,5,5,10,0,0,0,0,0,0,4,3,11,4,3,11,3,0,3,16,16,30,4,3,11,19,22,38
SAL50429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,32,0,0,0,21,12,34
SAL50430,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,0,0,0,6,7,14,0,4,4,0,0,0,3,0,3,3,0,5,0,4,4,29,25,49,3,0,3,30,31,59
SAL50431,13,299,392,688,0,9,8,166,192,359,0,4,6,169,200,370,27,32,56,1115,1371,2490,13,15,30,1153,1422,2577,11,15,17,165,156,324,154,129,283,331,295,628,81,101,188,3025,3414,6440,178,155,336,3285,3675,6957
SAL50432,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,3,16,0,0,0,5,3,16,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,19,12,33,0,0,0,19,12,33
SAL50433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,0,0,0,5,10,7,0,0,0,0,0,4,18,16,35,16,16,31,0,0,0,11,12,24,18,16,35,25,27,52
SAL50434,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12,0,0,0,7,3,12,0,0,0,0,0,0,0,4,3,0,4,8,0,0,0,10,6,21,0,4,3,12,12,27
SAL50435,0,11,10,17,0,0,0,5,9,12,0,0,0,5,9,12,0,0,0,36,42,77,0,0,0,36,42,77,0,0,0,7,5,5,16,25,44,20,27,52,5,0,6,102,115,218,21,25,44,124,140,266
SAL50436,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,44,0,0,0,24,19,44,0,0,0,6,4,14,0,0,4,13,4,17,0,0,0,107,81,188,3,0,6,113,84,193
SAL50437,0,9,18,22,0,0,0,9,12,20,0,0,0,9,12,20,0,5,11,33,41,84,0,0,0,39,55,90,0,0,0,6,6,11,29,27,55,34,33,64,5,12,22,106,120,229,31,27,54,145,157,299
SAL50438,0,356,475,833,0,0,0,164,217,382,0,0,0,164,221,385,10,14,17,1938,2271,4212,0,4,7,1947,2290,4243,6,3,9,248,291,543,164,126,288,419,418,833,46,45,92,7681,7882,15562,181,153,329,7904,8079,15982
SAL50439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,11,0,0,0,9,6,11
SAL50441,4,135,143,282,0,0,0,44,64,103,0,0,0,44,62,110,7,3,10,641,809,1444,9,3,11,653,814,1475,0,0,0,91,106,196,233,184,416,323,286,610,40,23,63,2840,3056,5892,256,203,460,3134,3284,6413
SAL50442,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,13,7,10,12,0,0,0,7,14,22,6,12,19,0,0,4,10,15,22,21,27,49,34,43,81,35,36,68,10,15,22,76,90,169
SAL50443,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,12,10,19,0,0,0,12,10,19,0,0,0,0,0,0,4,0,8,4,0,8,0,0,0,30,18,48,4,0,8,33,19,53
SAL50444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,3,5,6,0,0,0,3,5,6
SAL50445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,4,4,7,0,0,0,0,0,0,3,0,6,3,0,6,0,0,0,13,8,20,3,0,6,12,13,30
SAL50446,0,12,18,33,0,0,0,12,13,18,0,0,0,12,13,18,0,4,3,79,75,153,0,0,0,78,80,155,0,0,0,7,10,20,21,12,39,29,29,59,8,11,18,221,237,457,24,23,48,256,271,524
SAL50447,0,4,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,39,0,0,0,13,25,39,0,0,0,5,0,6,10,3,15,10,8,22,0,0,0,54,56,104,10,3,15,57,59,120
SAL50448,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,4,14,0,0,0,8,4,14,0,0,0,0,0,0,3,0,3,4,0,5,0,0,0,22,14,39,3,0,3,26,14,41
SAL50449,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,6,8,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,18,15,35,0,0,0,18,15,35
SAL50450,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,31,0,0,0,17,14,31,0,0,0,4,0,6,4,3,10,11,5,17,0,0,0,43,40,81,4,3,10,54,39,96
SAL50451,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,3,7,11,0,0,0,0,0,0,5,9,10,5,9,10,0,0,0,12,24,36,5,9,10,17,33,46
SAL50452,0,111,179,292,0,3,3,74,84,154,0,4,4,74,91,165,15,23,37,560,718,1276,0,3,8,576,747,1321,0,8,8,75,63,140,102,84,188,169,162,333,53,86,130,1785,1898,3681,101,97,203,1943,2074,4019
SAL50453,0,85,122,202,3,0,3,39,65,101,0,0,0,47,65,104,4,17,25,467,559,1032,0,0,0,477,576,1057,0,3,6,97,92,189,151,116,274,249,210,458,38,47,86,3108,3037,6145,151,131,286,3305,3217,6512
SAL50454,0,12,16,33,0,0,0,7,0,14,0,0,0,7,0,14,18,22,39,55,69,125,0,0,0,76,93,162,3,8,17,17,15,33,37,32,71,60,57,119,74,73,143,309,270,585,37,34,75,423,377,798
SAL50455,0,4,3,6,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,7,5,6,0,0,0,7,5,6,0,0,0,3,0,3,9,7,17,14,7,16,0,0,0,17,10,23,9,7,17,23,18,43
SAL50456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,7,8,9
SAL50457,6,183,205,384,0,0,6,69,57,125,0,0,0,68,65,130,10,11,19,943,1096,2032,7,3,9,955,1107,2062,4,0,4,144,175,316,153,149,297,302,317,617,35,37,69,3512,3901,7414,172,162,333,3721,4102,7819
SAL50458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,13,0,0,0,10,7,13
SAL50459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,10,0,0,0,11,3,14,0,0,0,0,0,0,4,6,9,4,6,9,0,0,0,17,10,28,4,6,9,23,16,39
SAL50460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,4,0,0,3,7,3,7
SAL50462,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,0,0,0,5,8,10,0,0,0,0,0,0,4,6,6,10,6,13,0,0,0,14,17,38,4,6,6,22,20,43
SAL50463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,17,0,0,0,11,5,17
SAL50464,0,214,232,443,5,4,6,89,80,171,0,0,0,92,83,179,18,21,40,1143,1073,2220,3,4,10,1161,1107,2267,7,0,7,149,142,289,547,363,916,711,504,1215,69,53,123,5507,5114,10619,561,379,935,6139,5540,11681
SAL50465,0,8,6,12,0,0,0,4,0,7,0,0,0,4,0,7,0,0,0,25,27,52,0,0,0,25,27,52,0,6,6,9,3,14,0,0,0,9,9,13,0,6,6,103,101,204,0,0,0,103,103,211
SAL50466,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,5,5,0,5,3,0,0,0,8,7,20,0,5,5,8,12,18
