SAL_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
SAL50448,0,0,0,0,0,0,0,0,0,0,0,0
SAL50449,0,0,0,0,0,0,0,0,0,0,0,0
SAL50450,0,0,0,0,0,0,0,0,0,0,0,0
SAL50451,0,0,0,0,0,0,0,0,0,0,0,0
SAL50452,0,0,0,0,0,0,0,0,0,0,0,0
SAL50453,0,0,0,0,0,0,0,0,0,0,0,0
SAL50454,0,0,0,5,4,7,4,0,4,5,4,6
SAL50455,0,0,0,0,0,0,0,0,0,0,0,0
SAL50456,0,0,0,0,0,0,0,0,0,0,0,0
SAL50457,0,0,0,59,89,149,31,36,68,93,125,214
SAL50458,0,0,0,0,0,0,0,0,0,0,0,0
SAL50459,0,0,0,0,0,0,0,0,0,0,0,0
SAL50460,0,0,0,0,0,0,0,0,0,0,0,0
SAL50461,0,0,0,0,0,0,0,0,0,0,0,0
SAL50462,0,0,0,0,0,0,0,0,0,0,0,0
SAL50463,0,0,0,0,0,0,0,0,0,0,0,0
SAL50464,7,3,14,161,80,241,69,31,97,238,112,354
SAL50465,0,0,0,0,0,0,0,0,0,0,0,0
SAL50466,0,0,0,0,0,0,0,0,0,0,0,0
SAL50467,0,0,0,0,0,0,0,0,0,0,0,0
SAL50468,8,0,8,61,16,72,17,0,17,83,16,97
SAL50469,0,0,0,0,0,0,0,0,0,0,0,0
SAL50470,0,0,0,0,0,0,0,0,0,0,0,0
SAL50471,0,0,0,0,0,0,0,0,0,0,0,0
SAL50472,0,0,0,19,36,55,28,49,82,48,88,142
SAL50473,0,0,0,4,0,7,0,0,0,4,0,7
SAL50474,0,0,0,11,36,43,0,3,0,10,32,41
SAL50475,0,0,0,0,0,0,0,0,0,0,0,0
SAL50476,0,0,0,0,0,0,0,0,0,0,0,0
SAL50477,0,0,0,29,22,54,0,0,0,29,22,55
SAL50478,0,0,0,0,0,0,0,0,0,0,0,0
SAL50479,0,0,0,0,0,0,0,0,0,0,0,0
SAL50480,0,0,0,0,0,0,0,0,0,0,0,0
SAL50481,0,0,0,0,0,0,0,0,0,0,0,0
SAL50482,0,0,0,39,146,190,3,7,12,47,157,199
SAL50483,0,0,0,0,0,0,0,0,0,0,0,0
SAL50484,0,0,0,41,78,117,7,10,17,49,83,134
SAL50485,0,0,0,4,0,3,0,0,0,4,0,3
SAL50486,0,0,0,22,36,55,0,0,0,24,34,58
SAL50487,0,0,0,0,0,0,0,0,0,0,0,3
SAL50488,0,0,0,0,0,0,0,0,0,0,0,0
SAL50489,0,0,0,0,0,0,0,0,0,0,0,0
SAL50490,0,0,0,0,0,0,0,0,0,0,0,0
SAL50491,0,0,0,3,6,3,0,0,0,9,6,8
SAL50492,0,0,0,46,58,98,8,0,8,50,58,107
SAL50493,0,0,0,0,0,0,0,0,0,0,0,0
SAL50494,0,0,0,0,0,0,0,0,0,0,0,0
SAL50495,0,0,0,0,0,0,0,0,0,0,0,0
SAL50496,0,0,0,0,0,0,0,0,0,0,0,0
SAL50497,0,0,0,20,22,42,0,0,0,23,16,38
SAL50498,0,0,0,0,0,0,0,0,0,0,0,0
SAL50499,0,0,0,0,0,0,0,0,0,0,0,0
SAL50500,0,0,0,0,0,0,0,0,0,0,0,0
SAL50501,0,0,0,0,0,0,0,0,0,0,0,0
SAL50502,0,0,0,40,77,117,0,7,3,39,82,123
SAL50503,0,0,0,5,5,8,0,0,0,5,5,8
SAL50504,0,0,0,0,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0,0,0,0,0
SAL50507,0,0,0,0,0,0,0,0,0,0,0,0
SAL50508,14,21,29,32,18,49,17,10,31,59,46,106
SAL50509,0,0,0,0,0,0,0,0,0,0,0,0
SAL50510,0,0,0,0,0,3,0,0,0,0,0,3
SAL50511,0,0,0,0,0,0,0,0,0,0,0,0
SAL50512,0,0,0,4,3,0,0,0,0,4,3,0
SAL50513,4,0,4,70,0,70,0,0,0,71,0,71
SAL50514,0,0,0,0,0,3,0,0,0,0,0,3
SAL50515,0,0,0,0,0,0,0,0,0,0,0,0
SAL50516,0,0,0,21,3,23,0,0,0,22,3,26
SAL50517,0,0,0,0,0,0,0,0,0,0,0,0
SAL50518,0,0,0,22,39,63,0,0,0,22,39,63
SAL50519,8,0,7,126,28,158,0,0,0,138,35,168
SAL50520,0,0,0,5,0,4,0,4,3,8,9,9
SAL50521,0,0,0,20,4,30,13,5,15,39,9,43
SAL50522,8,8,15,156,91,242,113,55,171,275,149,423
SAL50523,0,0,0,0,0,0,0,0,0,0,0,0
SAL50524,0,0,0,0,0,0,0,0,0,0,0,0
SAL50525,0,0,0,0,0,0,0,0,0,0,0,0
SAL50526,0,0,0,0,0,0,0,0,0,0,0,0
SAL50527,0,0,0,0,0,6,0,0,0,0,0,6
SAL50528,3,0,3,52,10,62,96,8,102,152,22,166
SAL50529,16,4,20,222,57,278,274,68,344,514,124,644
SAL50530,0,0,0,0,0,0,0,0,0,0,0,0
SAL50531,0,0,0,0,0,0,0,0,0,0,0,0
SAL50532,0,0,0,4,0,3,0,0,0,4,0,3
SAL50533,0,0,3,20,31,50,0,0,0,16,29,54
SAL50534,0,0,0,0,0,6,0,0,0,0,5,6
SAL50535,0,0,0,0,0,0,0,0,0,0,0,0
SAL50536,9,14,23,103,142,249,43,37,80,154,195,349
SAL50537,0,0,0,0,0,0,0,0,0,0,0,0
SAL50538,0,0,0,0,0,0,0,0,0,0,0,0
SAL50539,4,4,3,10,8,21,0,0,0,16,11,24
SAL50540,0,0,0,0,0,0,0,0,0,0,0,0
SAL50541,0,0,0,0,0,0,0,0,0,0,0,0
SAL50542,0,0,0,0,12,12,0,0,0,0,13,13
SAL50543,0,0,0,0,0,0,0,0,0,0,0,0
SAL50544,0,0,0,0,0,0,0,0,0,0,0,0
SAL50545,0,0,0,0,0,0,0,0,0,0,0,0
SAL50546,0,0,0,0,0,0,0,0,0,0,0,0
SAL50547,0,0,0,0,0,0,0,0,0,0,0,0
SAL50548,0,0,0,4,5,4,0,0,0,4,5,4
SAL50549,0,0,0,0,0,0,0,0,0,0,0,0
SAL50550,3,4,3,3,5,11,0,0,0,4,7,11
SAL50551,0,0,0,0,0,0,0,0,0,0,0,0
SAL50552,0,0,0,0,0,0,0,0,0,0,0,0
SAL50553,0,0,0,0,0,0,0,0,0,0,0,0
SAL50554,0,0,0,0,0,0,0,0,0,0,0,0
SAL50555,0,0,0,0,0,0,0,0,0,0,0,0
SAL50556,0,0,0,21,56,79,0,0,0,21,58,79
SAL50557,0,0,0,0,0,0,0,0,0,0,0,0
SAL50558,0,0,0,0,0,0,0,0,0,0,0,0
SAL50559,0,0,0,0,0,0,0,0,0,0,0,0
SAL50560,0,0,0,0,0,0,0,0,0,0,0,0
SAL50561,0,0,0,0,0,0,0,0,0,0,0,0
SAL50562,0,0,0,0,0,0,0,0,0,0,0,0
SAL50563,0,0,0,0,0,0,0,0,0,0,0,0
SAL50564,0,0,0,0,4,8,0,0,0,0,11,11
SAL50565,0,0,0,0,0,0,0,0,0,0,0,0
SAL50566,0,0,0,0,0,0,0,0,0,0,0,0
SAL50567,0,0,0,0,0,0,0,0,0,0,0,0
SAL50568,0,0,0,0,0,0,0,0,0,0,0,0
SAL50569,0,0,0,0,6,7,0,5,4,0,6,13
SAL50570,0,0,0,0,0,0,0,0,0,0,0,0
SAL50571,0,0,0,0,0,0,0,0,0,0,0,0
SAL50572,0,0,0,0,0,0,0,0,0,0,0,0
SAL50573,0,0,0,0,0,0,0,0,0,0,0,0
SAL50574,3,4,4,91,177,268,9,7,18,99,187,288
SAL50575,0,0,0,0,0,0,0,0,0,0,0,0
SAL50576,0,0,0,0,0,0,0,0,0,0,0,0
SAL50577,0,0,0,0,0,0,0,0,0,0,0,0
SAL50578,0,0,0,0,0,0,0,0,0,0,0,0
SAL50579,0,0,0,0,0,0,0,0,0,0,0,0
SAL50580,0,0,0,0,0,0,0,0,0,0,0,0
SAL50581,0,0,0,0,0,0,0,0,0,0,0,0
SAL50582,0,0,0,4,0,4,0,0,0,0,0,0
SAL50583,12,6,23,33,65,97,4,6,8,48,73,125
SAL50584,0,0,0,0,0,0,0,0,0,0,0,0
SAL50585,0,0,0,42,65,110,11,10,19,48,77,130
SAL50586,0,0,0,0,0,0,0,0,0,0,0,0
SAL50587,0,0,0,0,0,0,0,0,0,0,0,0
SAL50588,0,0,0,0,0,0,0,0,0,0,0,0
SAL50589,0,0,0,0,0,0,0,0,0,0,0,0
SAL50590,0,0,0,0,0,0,0,0,0,0,0,0
SAL50591,0,0,0,0,0,0,0,0,0,0,0,0
SAL50592,0,0,0,0,0,0,0,0,0,0,0,0
SAL50593,0,0,0,0,0,0,0,0,0,0,0,0
SAL50594,21,10,27,141,131,281,8,0,8,170,142,311
SAL50595,0,0,0,0,0,0,0,0,0,0,0,0
SAL50596,0,0,0,0,0,0,0,0,0,0,0,0
SAL50597,0,0,0,0,0,0,0,0,0,0,0,0
SAL50598,0,0,0,0,0,0,0,0,0,0,0,0
SAL50599,0,0,0,91,152,241,7,10,11,90,159,251
SAL50600,0,0,0,0,0,0,0,0,0,0,0,0
SAL50601,0,0,0,0,0,0,0,0,0,0,0,0
SAL50602,6,0,8,19,11,30,30,18,44,65,26,89
SAL50603,0,0,3,23,49,70,0,3,8,28,50,79
SAL50604,0,0,0,11,3,12,0,0,0,11,3,12
SAL50605,0,0,0,0,0,0,0,0,0,0,0,0
SAL50606,0,0,0,4,9,7,0,0,0,6,9,4
SAL50607,0,0,0,0,0,0,0,0,0,0,0,0
SAL50608,3,5,7,41,20,59,93,30,127,139,60,193
SAL50609,0,0,0,18,3,23,63,69,132,75,73,154
SAL50610,0,0,0,0,0,0,0,0,0,0,0,0
SAL50611,0,0,0,0,0,0,0,0,0,0,0,0
SAL50612,0,0,0,0,0,0,0,0,0,0,0,0
SAL50613,0,0,0,0,0,0,0,0,0,0,0,0
SAL50614,0,0,0,0,3,3,3,3,3,4,3,8
SAL50615,3,0,6,31,31,61,10,4,11,39,37,82
SAL50616,0,0,0,0,0,0,0,0,0,0,0,0
SAL50617,0,0,0,0,0,0,0,0,0,0,0,0
SAL50618,0,0,0,0,0,0,0,0,0,0,0,0
SAL50619,0,0,0,0,0,0,0,0,0,0,0,0
SAL50620,0,0,0,0,0,0,0,0,0,0,0,0
SAL50621,0,0,0,0,0,0,0,0,0,0,0,0
SAL50622,3,0,3,0,0,0,0,0,0,3,0,0
SAL50623,0,0,0,0,0,0,0,0,0,0,0,0
SAL50624,0,0,0,0,0,0,0,0,0,0,0,0
SAL50625,0,0,0,49,12,61,0,0,0,49,12,61
SAL50626,0,0,0,0,0,0,0,0,0,0,0,0
SAL50627,0,0,0,0,0,0,0,0,0,0,0,0
SAL50628,0,0,0,0,0,0,0,0,0,0,0,0
SAL50629,0,0,0,0,0,0,0,0,0,0,0,0
SAL50630,0,0,0,0,0,0,0,0,0,0,0,0
SAL50631,0,0,0,0,0,0,0,0,0,0,0,0
SAL50632,0,0,0,13,6,21,0,0,0,15,6,18
SAL50633,0,0,0,88,74,161,3,6,10,93,75,170
SAL50634,0,0,0,0,0,0,0,0,0,0,0,0
SAL50635,0,0,0,0,0,0,0,0,0,7,0,7
SAL50636,0,0,0,0,0,0,0,0,0,0,0,0
SAL50637,0,0,0,0,0,0,0,0,0,0,0,0
SAL50638,0,0,0,0,3,7,6,5,14,9,8,17
SAL50639,0,0,0,0,0,0,0,0,0,0,0,0
SAL50640,0,0,0,0,0,0,0,0,0,0,0,0
SAL50641,0,0,0,37,85,124,4,0,8,44,89,133
SAL50642,0,0,0,0,0,0,0,0,0,0,0,0
SAL50643,0,0,0,0,0,0,0,0,0,0,0,0
SAL50644,0,0,0,0,0,0,0,0,0,0,0,0
SAL50645,0,0,0,0,0,0,0,0,0,0,0,0
SAL50646,0,0,0,0,0,0,0,0,0,0,0,0
SAL50647,0,0,0,0,0,0,0,0,0,0,0,0
SAL50648,0,0,0,0,0,0,0,0,0,0,0,0
SAL50649,0,0,0,0,0,0,0,0,0,0,0,0
SAL50650,0,0,0,0,0,0,0,0,0,0,0,0
SAL50651,0,0,0,0,0,0,0,0,0,0,0,0
SAL50652,0,0,0,0,0,0,0,0,0,0,0,0
SAL50653,0,0,0,0,0,0,0,0,0,0,0,0
SAL50654,0,0,0,0,0,7,0,0,0,0,0,7
SAL50655,0,0,0,0,0,0,0,0,0,0,0,0
SAL50656,0,0,0,0,0,0,0,0,0,0,0,0
SAL50657,0,0,0,0,0,0,0,0,0,0,0,0
SAL50658,0,0,0,0,0,0,0,0,0,0,0,0
SAL50659,0,0,0,0,0,0,0,0,0,0,0,0
SAL50660,0,0,0,0,0,0,0,0,0,0,0,0
SAL50661,0,0,0,8,12,19,0,3,0,14,13,23
SAL50662,0,0,0,6,0,3,3,0,3,8,0,13
SAL50663,0,0,0,0,0,0,0,0,0,0,0,0
SAL50664,0,0,0,0,0,0,0,0,0,0,0,0
SAL50665,0,0,0,9,3,12,0,0,0,9,3,12
SAL50666,0,0,0,0,0,0,0,0,0,0,0,0
SAL50667,0,0,0,0,0,0,0,0,0,0,0,0
SAL50668,0,0,0,31,26,57,12,15,27,40,37,80
SAL50669,0,0,0,0,0,0,0,0,0,0,0,0
SAL50670,0,0,0,39,83,127,65,69,128,107,154,258
SAL50671,0,0,0,0,0,0,0,0,0,0,0,0
SAL50672,0,0,0,0,0,0,0,0,0,0,0,0
SAL50673,0,0,0,0,0,0,0,0,0,0,0,0
SAL50674,0,0,0,0,0,0,0,0,0,0,0,0
SAL50675,0,0,0,0,0,0,0,0,0,0,0,0
SAL50676,0,0,0,0,0,0,0,0,0,0,0,0
SAL50677,0,0,0,0,0,0,0,0,0,0,0,0
SAL50678,0,0,0,0,0,0,0,0,0,0,0,0
SAL50679,0,0,0,0,0,0,0,3,3,3,0,7
SAL50680,0,0,0,0,0,0,0,0,0,0,0,0
SAL50681,0,0,0,0,0,0,0,0,0,0,0,0
SAL50682,0,0,0,0,0,0,0,0,0,0,0,0
SAL50683,0,0,0,0,0,0,0,0,0,0,0,0
SAL50684,0,0,0,0,0,0,0,0,0,0,0,0
SAL50685,0,0,0,0,0,0,0,0,0,0,0,0
SAL50686,0,0,0,0,0,0,0,0,0,0,0,0
SAL50687,0,0,0,0,0,0,0,0,0,0,0,0
SAL50688,0,0,0,0,0,0,0,0,0,0,0,0
SAL50689,0,0,0,0,0,0,0,0,0,0,0,0
SAL50690,0,0,0,0,0,0,0,0,0,0,0,0
SAL50691,0,0,6,45,12,63,18,0,21,69,15,87
SAL50692,0,0,0,3,0,3,0,0,0,3,0,3
SAL50693,0,0,0,0,0,0,0,0,0,0,0,0
SAL50694,3,4,3,0,0,3,0,0,5,8,5,9
SAL50695,0,0,0,0,0,0,0,0,0,0,0,0
SAL50696,0,0,0,0,0,0,0,0,0,0,0,0
SAL50697,0,0,0,0,0,0,0,0,0,0,0,0
SAL50698,0,0,0,0,0,0,0,0,0,0,0,0
SAL50699,0,0,0,0,0,0,0,0,0,0,0,0
SAL50700,0,0,0,16,48,61,3,0,3,12,48,61
SAL50701,5,4,9,184,214,394,45,51,92,231,265,497
SAL50702,0,0,0,25,48,78,3,0,7,32,55,87
SAL50703,0,0,0,0,0,0,0,0,0,0,0,0
SAL50704,0,0,0,0,0,0,0,0,0,0,0,0
SAL50705,0,0,0,0,0,0,0,0,0,0,0,5
SAL50706,0,0,0,0,0,0,0,0,0,0,0,0
SAL50707,0,0,0,0,0,8,0,16,15,6,19,17
SAL50708,0,0,0,0,0,0,0,0,0,0,0,0
SAL50709,0,0,0,6,9,12,11,8,18,13,13,36
SAL50710,0,0,0,0,0,0,0,0,0,0,0,0
SAL50711,0,4,4,14,10,24,0,6,6,14,16,27
SAL50712,13,8,19,152,93,242,53,57,109,215,159,368
SAL50713,0,0,0,0,0,0,0,0,0,0,0,0
SAL50714,0,0,0,0,0,0,0,0,0,0,0,0
SAL50715,0,0,0,0,0,0,0,0,0,0,0,0
SAL50716,0,0,0,0,0,0,0,0,0,0,0,0
SAL50717,0,0,0,15,4,16,45,15,61,59,19,83
SAL50718,0,0,0,0,0,0,0,0,0,0,0,0
SAL50719,0,0,0,0,0,0,0,0,0,0,0,0
SAL50720,0,0,0,0,0,0,3,3,0,3,3,0
SAL50721,0,0,0,0,0,0,0,0,0,0,0,0
SAL50722,0,0,0,0,0,0,0,0,0,0,0,0
SAL50723,0,0,0,0,0,0,0,0,0,0,0,0
SAL50724,0,0,3,105,57,162,5,0,7,113,60,178
SAL50725,0,0,0,0,0,0,0,0,0,0,0,0
SAL50726,0,0,0,0,0,0,0,0,0,0,0,0
SAL50727,0,0,0,0,0,0,0,0,0,0,0,0
SAL50728,0,0,0,0,0,0,0,0,0,0,0,0
SAL50729,0,0,0,0,0,0,0,0,0,0,0,0
SAL50730,0,0,3,0,0,3,0,0,3,8,4,9
SAL50731,0,0,0,0,0,0,0,0,0,0,0,0
SAL50732,0,0,0,0,0,0,0,0,0,0,0,0
SAL50733,0,0,0,3,0,3,16,0,16,19,0,19
SAL50734,0,0,0,0,0,0,0,0,0,0,0,0
SAL50735,0,0,0,15,0,15,13,0,13,31,0,31
SAL50736,0,0,0,0,0,0,0,0,0,0,0,0
SAL50737,0,3,3,12,4,16,3,4,3,15,10,23
SAL50738,0,0,0,36,7,42,30,9,38,67,13,78
SAL50739,0,0,0,0,0,0,0,0,0,0,0,0
SAL50740,0,5,5,91,232,325,0,3,3,94,243,334
SAL50741,0,0,0,0,0,0,0,0,0,0,0,0
SAL50742,0,0,0,16,29,40,4,0,9,20,31,57
SAL50743,0,0,0,0,0,0,0,0,0,0,0,0
SAL50744,0,0,0,0,0,0,0,0,0,0,0,0
SAL50745,0,0,0,0,0,0,0,0,0,0,0,0
SAL50746,0,0,0,0,0,0,0,0,0,0,0,0
SAL50747,3,3,7,20,18,40,0,0,3,21,26,48
SAL50748,0,0,0,58,72,122,4,4,3,58,71,130
SAL50749,0,0,0,0,0,0,0,0,0,0,0,0
SAL50750,0,0,0,0,0,0,0,0,0,0,0,0
SAL50751,0,0,0,0,0,0,0,0,0,0,0,0
SAL50752,8,3,6,45,21,62,0,3,3,46,29,76
SAL50753,0,0,0,0,0,0,0,0,0,0,0,0
SAL50754,3,12,18,3,0,4,7,0,7,12,11,23
SAL50755,0,0,0,0,0,0,0,0,0,0,0,0
SAL50756,0,11,11,0,0,0,0,9,9,0,14,14
SAL50757,0,0,0,29,0,29,0,0,0,30,0,30
SAL50758,0,0,0,0,0,0,0,0,0,0,0,0
SAL50759,3,0,3,13,3,19,13,7,24,30,8,42
SAL50760,9,9,23,14,9,18,25,21,51,53,37,92
SAL50761,0,0,0,0,0,0,0,0,0,0,0,0
SAL50762,0,0,0,0,0,0,0,0,0,0,0,0
SAL50763,0,0,0,0,0,0,0,0,0,0,0,0
SAL50764,0,0,0,82,193,271,8,9,15,85,201,286
SAL50765,0,0,0,0,0,0,0,0,0,0,0,0
SAL50766,0,0,0,11,26,39,0,0,0,11,27,37
SAL50767,0,0,0,0,0,0,0,0,0,0,0,0
SAL50768,0,0,0,0,0,0,0,0,0,0,0,0
SAL50769,0,0,0,0,0,0,0,0,0,0,0,0
SAL50770,0,0,0,0,0,0,0,0,0,0,0,0
SAL50771,0,0,0,11,15,18,0,0,0,11,9,21
SAL50772,0,0,0,0,0,0,0,0,0,0,0,0
SAL50773,0,0,0,0,0,4,0,0,0,0,6,10
SAL50774,0,0,0,0,0,0,0,0,0,0,0,0
SAL50775,0,0,0,0,0,0,0,0,0,0,0,0
SAL50776,0,0,0,0,0,0,0,0,0,0,0,0
SAL50777,0,0,0,54,4,59,18,0,18,70,8,77
SAL50778,0,0,0,0,0,0,0,0,0,0,0,0
SAL50779,0,0,0,43,7,48,35,4,44,78,16,91
SAL50780,0,0,0,0,0,0,0,0,0,0,0,0
SAL50781,0,0,0,0,0,0,0,0,0,0,0,0
SAL50782,0,0,0,0,0,0,0,0,0,0,0,0
SAL50783,0,0,0,0,0,0,0,0,0,0,0,0
SAL50784,0,0,0,0,0,0,0,0,0,0,0,0
SAL50785,0,0,0,4,4,8,0,0,0,4,4,8
SAL50786,0,0,0,0,0,0,0,0,0,0,0,0
SAL50787,0,0,0,0,0,0,0,0,0,0,0,0
SAL50788,0,0,0,0,0,0,0,0,0,0,0,0
SAL50789,0,0,0,0,0,0,0,0,0,0,0,0
SAL50790,0,0,0,0,0,0,0,0,0,0,0,0
SAL50791,0,0,0,0,0,0,0,0,0,0,0,0
SAL50792,0,0,0,4,0,5,0,0,0,4,4,3
SAL50793,0,0,0,0,0,0,0,0,0,0,0,0
SAL50794,0,0,0,0,0,0,0,0,0,0,0,0
SAL50795,0,0,0,40,5,49,18,3,21,58,4,62
SAL50796,0,0,0,0,0,0,0,0,0,0,0,0
SAL50797,0,0,0,0,0,0,0,0,0,0,0,0
SAL50798,0,0,0,0,0,0,0,0,0,0,0,0
SAL50799,18,21,37,80,61,135,31,34,63,125,116,243
SAL50800,0,0,0,4,0,3,0,0,0,4,0,3
SAL50801,0,0,0,0,0,0,0,0,0,5,0,4
SAL50802,0,0,0,0,0,0,0,0,0,0,0,0
SAL50803,0,0,0,0,0,0,0,0,0,0,0,0
SAL50804,0,0,0,0,0,0,0,0,0,0,0,0
SAL50805,0,0,0,0,0,0,0,0,0,0,0,0
SAL50806,0,0,0,0,0,0,0,0,0,0,0,0
SAL50807,0,0,0,0,0,0,0,0,0,0,0,0
SAL50808,0,0,0,0,0,0,0,0,0,0,0,0
SAL50809,0,0,0,15,8,30,5,0,8,29,7,35
SAL50810,0,0,0,0,0,0,0,0,0,0,0,0
SAL50811,0,0,0,0,0,0,0,0,0,0,0,0
SAL50812,0,0,0,0,0,0,0,0,0,0,0,0
SAL50813,0,0,0,0,0,0,0,0,0,0,0,0
SAL50814,0,0,0,0,0,0,0,0,0,0,0,0
SAL50815,0,0,0,0,0,0,0,0,0,0,0,0
SAL50816,0,0,0,0,0,0,0,0,0,0,0,0
SAL50817,0,0,0,35,3,39,110,18,132,145,23,171
SAL50818,0,0,0,0,0,0,0,0,0,0,0,0
SAL50819,0,0,0,7,9,10,0,0,0,7,11,15
SAL50820,0,0,0,0,0,0,0,0,0,0,0,0
SAL50821,0,0,0,0,0,0,0,0,0,0,0,0
SAL50822,0,0,0,0,0,0,3,0,3,3,0,3
SAL50823,0,0,0,0,0,0,0,0,0,0,0,0
SAL50824,0,0,0,0,0,0,0,0,0,0,0,0
SAL50825,0,0,0,0,0,0,0,0,0,0,0,0
SAL50826,0,0,0,0,0,0,0,0,0,0,0,0
SAL50827,0,0,0,0,0,0,0,0,0,0,0,0
SAL50828,0,0,0,0,0,0,0,0,0,0,0,0
SAL50829,0,0,0,0,0,0,0,0,0,0,0,0
SAL50830,0,0,0,19,23,44,0,0,4,19,27,48
SAL50831,3,0,0,0,4,4,0,0,0,4,0,5
SAL50832,0,0,0,0,0,0,0,0,0,0,0,0
SAL50833,0,0,0,0,0,0,0,0,0,0,0,0
SAL50834,0,0,0,0,0,0,0,0,0,0,0,0
SAL50835,0,0,0,0,0,0,0,0,0,0,0,0
SAL50836,6,0,3,133,35,165,170,46,220,306,81,389
SAL50837,0,0,0,0,0,0,0,0,0,0,0,0
SAL50838,0,0,0,0,0,0,0,0,0,0,0,0
SAL50839,0,0,0,0,0,0,0,0,0,0,0,0
SAL50840,3,3,6,39,137,175,0,3,4,44,142,186
SAL50841,0,0,0,0,0,0,0,0,0,0,0,0
SAL50842,0,0,0,0,0,0,0,0,0,0,0,0
SAL50843,0,0,0,0,0,0,0,0,0,0,0,0
SAL50844,3,0,3,111,25,137,84,21,103,196,48,243
SAL50845,0,0,0,0,0,0,0,0,0,0,0,0
SAL50846,0,0,0,40,11,53,74,17,90,118,28,148
SAL50847,0,0,0,0,0,0,0,0,0,0,0,0
SAL50848,0,0,0,0,0,0,0,0,0,0,0,0
SAL50849,6,24,35,70,134,206,5,8,13,80,170,247
SAL50850,0,0,0,0,0,0,0,0,0,0,0,0
SAL50851,0,0,0,0,0,0,0,0,0,0,0,0
SAL50852,0,0,0,0,0,0,0,0,0,0,0,0
SAL50853,0,0,0,0,0,0,0,0,0,0,0,0
SAL50854,0,0,0,0,0,0,0,0,0,0,0,0
SAL50855,0,0,0,0,0,0,0,0,0,0,0,0
SAL50856,0,0,0,0,0,0,0,0,0,0,0,0
SAL50857,3,3,9,0,0,0,0,0,0,3,3,9
SAL50858,0,0,0,16,33,50,0,0,0,16,33,50
SAL50859,0,0,0,0,0,0,0,0,0,0,0,0
SAL50860,0,0,0,0,0,0,0,0,0,0,0,0
SAL50861,0,0,0,0,0,0,0,0,0,0,0,0
SAL50862,0,0,0,0,0,0,0,0,0,0,0,0
SAL50863,0,0,0,0,3,3,0,0,0,0,3,3
SAL50864,0,0,0,0,0,0,0,0,0,0,0,0
SAL50865,0,0,0,0,0,0,0,0,0,0,0,0
SAL50866,0,0,0,0,0,0,0,0,0,0,0,0
SAL50867,0,0,0,0,0,0,0,0,0,0,0,0
SAL50868,0,0,0,0,0,0,0,0,0,0,0,0
SAL50869,0,0,0,0,0,0,0,0,0,0,0,0
SAL50870,0,0,0,0,0,0,0,0,0,0,0,0
SAL50871,0,0,0,0,0,0,0,0,0,0,0,0
SAL50872,0,0,0,0,0,0,0,0,0,0,0,0
SAL50873,4,0,0,34,40,76,7,0,9,42,45,89
SAL50874,0,0,0,36,64,100,3,0,4,38,63,108
SAL50875,0,0,0,0,0,0,0,0,0,0,0,0
SAL50876,0,0,0,0,0,0,0,0,0,0,0,0
SAL50877,0,0,0,0,0,0,0,0,0,0,0,0
SAL50878,0,0,0,0,0,0,0,0,0,0,0,0
SAL50879,0,0,0,0,0,0,0,0,0,0,0,0
SAL50880,0,3,3,0,0,0,0,0,0,0,8,6
SAL50881,0,0,0,0,0,0,0,0,0,0,0,0
SAL50882,0,0,0,0,0,0,0,0,0,0,0,0
SAL50883,0,0,0,0,0,0,0,0,0,0,0,0
SAL50884,0,0,0,0,0,0,0,0,0,0,0,0
SAL50885,0,0,0,0,0,0,0,0,0,0,0,0
SAL50886,0,0,0,0,0,0,0,0,0,0,0,0
SAL50887,0,0,0,0,0,0,0,0,0,0,0,0
SAL50888,0,0,0,0,0,0,0,0,0,0,0,0
SAL50889,0,0,0,0,0,0,0,0,0,0,0,0
SAL50890,0,11,12,64,97,164,9,11,23,77,123,201
SAL50891,0,3,10,26,43,65,0,0,0,25,49,76
SAL50892,0,0,0,0,0,0,0,0,0,0,0,0
SAL50893,6,0,6,18,23,40,0,0,0,16,23,41
SAL50894,0,0,0,0,0,0,0,0,0,0,0,0
SAL50895,0,0,0,0,0,0,0,0,0,0,0,0
SAL50896,0,0,3,87,166,254,0,0,4,94,169,260
SAL50897,0,0,0,0,0,0,0,0,0,0,0,0
SAL50898,0,0,0,0,0,0,0,0,0,0,0,0
SAL50899,16,11,21,240,42,289,215,40,256,476,91,566
SAL50900,0,0,0,0,0,0,0,0,0,0,0,0
SAL50901,0,0,0,0,0,0,0,0,0,0,0,0
SAL50902,6,0,8,184,28,213,291,65,352,479,96,577
SAL50903,0,0,0,52,55,105,6,0,8,62,57,115
SAL50904,0,0,0,0,0,0,0,0,0,0,0,0
