SAL_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
SAL50271,0,0,0,0,0,0,0,0,0,0,0,0,31,23,52,5,0,4,38,26,57
SAL50272,0,0,0,0,0,0,0,0,0,0,0,0,51,43,93,3,4,9,57,49,103
SAL50273,79,87,170,0,0,5,0,0,0,83,85,172,1708,1717,3419,210,172,378,1997,1972,3968
SAL50274,470,7,479,0,0,0,28,0,28,500,7,505,1086,356,1440,28,13,39,1613,373,1987
SAL50275,4,0,0,0,0,0,0,0,0,4,0,0,18,14,33,47,19,63,69,30,103
SAL50276,0,0,0,0,0,0,0,0,0,0,0,0,82,78,160,9,0,4,87,81,171
SAL50277,119,113,230,5,0,0,0,0,6,119,116,237,3429,3488,6914,154,110,265,3703,3720,7419
SAL50278,4,8,18,0,4,4,0,0,0,4,16,22,262,354,621,30,27,47,298,395,689
SAL50279,7,3,12,0,0,0,0,0,0,7,3,12,226,201,426,22,14,36,255,227,480
SAL50280,3,0,6,0,0,0,0,0,0,3,0,6,68,66,134,16,14,26,87,81,164
SAL50281,0,0,4,0,0,0,0,0,0,0,0,4,628,646,1275,46,23,69,684,675,1355
SAL50282,0,0,0,0,0,0,0,0,0,0,0,0,11,7,14,0,0,0,15,7,18
SAL50283,0,0,0,0,0,0,0,0,0,0,0,0,31,27,57,0,0,3,34,23,60
SAL50284,0,0,0,0,0,0,0,0,0,0,0,0,59,48,108,7,8,14,65,61,122
SAL50285,0,0,0,0,0,0,0,0,0,0,0,0,48,53,101,8,0,15,54,54,109
SAL50286,0,0,0,0,0,0,0,0,0,0,0,0,37,28,63,5,6,5,35,27,68
SAL50287,0,0,0,0,0,0,0,0,0,0,0,0,32,33,67,0,0,8,43,32,72
SAL50288,0,0,0,0,0,0,0,0,0,0,0,0,15,14,37,3,3,4,20,17,37
SAL50289,0,0,0,0,0,0,0,0,0,0,0,0,36,4,36,6,3,3,40,5,41
SAL50290,17,12,30,0,0,0,0,0,0,22,12,31,864,836,1703,57,35,90,937,888,1821
SAL50291,15,8,17,0,0,0,0,0,0,15,8,17,492,454,947,37,38,72,543,498,1034
SAL50292,4,0,4,0,0,0,0,0,0,4,0,4,15,11,32,0,0,0,21,14,32
SAL50293,4,0,4,0,0,0,0,0,0,4,4,4,1696,1841,3533,52,44,96,1752,1886,3638
SAL50294,13,13,22,0,0,0,0,0,0,17,14,30,3240,3347,6593,98,96,188,3351,3453,6805
SAL50295,5,6,14,0,0,0,0,0,0,9,6,14,149,144,296,8,13,20,169,158,330
SAL50296,30,26,58,0,4,4,0,4,4,30,33,61,4079,4644,8727,224,235,462,4331,4914,9248
SAL50297,153,181,334,4,4,6,7,6,13,166,186,349,6321,6598,12916,350,287,631,6831,7070,13904
SAL50298,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,4,7,3
SAL50299,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,4,3,8
SAL50300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50301,117,132,250,3,6,12,3,5,4,128,140,272,3976,4025,8002,308,279,585,4419,4442,8864
SAL50302,0,0,0,0,0,0,0,0,0,0,0,0,26,24,47,0,0,0,25,23,49
SAL50303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50304,18,21,39,0,0,0,0,0,0,18,21,39,719,663,1385,60,38,100,795,723,1521
SAL50305,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,10,3,13,9,4,15
SAL50306,0,0,0,0,0,0,0,0,0,0,0,0,21,21,42,0,0,0,26,21,42
SAL50307,5,3,10,0,0,0,0,0,0,5,3,10,45,52,100,0,5,5,55,54,108
SAL50308,0,0,0,0,0,0,0,0,0,0,0,0,7,8,11,0,4,5,12,5,17
SAL50309,117,30,145,0,0,0,10,0,10,126,26,150,967,631,1593,42,26,69,1132,687,1821
SAL50310,189,171,354,4,0,4,5,3,6,194,171,362,3335,3342,6681,297,260,557,3830,3774,7599
SAL50311,0,0,0,0,0,0,0,0,0,0,0,0,32,25,49,0,0,8,30,29,55
SAL50312,12,6,18,0,0,0,0,0,0,12,6,18,317,328,644,20,12,33,350,345,694
SAL50313,3,4,14,0,0,0,0,0,0,3,4,14,84,94,182,8,7,17,99,102,205
SAL50314,0,0,0,0,0,0,0,0,0,0,0,0,27,17,43,0,5,4,25,23,49
SAL50315,0,0,0,0,0,0,0,0,0,0,0,0,8,5,15,0,0,0,8,5,15
SAL50316,58,76,143,0,5,10,0,0,8,69,90,157,6504,7487,13996,311,322,635,6888,7903,14786
SAL50317,8,0,7,0,0,0,0,0,0,8,3,11,128,107,231,19,18,41,152,128,280
SAL50318,18,16,39,0,0,0,4,3,8,21,19,44,1715,1799,3517,57,56,110,1805,1872,3675
SAL50319,0,0,0,0,0,0,0,0,0,0,0,0,9,10,16,0,0,0,9,10,16
SAL50320,109,143,254,4,3,7,0,7,6,116,148,270,1782,2005,3788,162,152,309,2055,2304,4366
SAL50321,21,18,39,0,0,0,0,0,0,23,18,35,2485,2558,5049,143,117,262,2643,2701,5345
SAL50322,8,5,14,0,0,0,0,0,0,8,5,14,280,277,559,16,19,35,301,299,604
SAL50323,0,0,0,0,0,0,0,0,0,0,0,0,9,8,18,8,8,15,22,12,34
SAL50324,77,88,168,0,0,0,5,0,6,81,91,174,2531,2673,5203,175,151,321,2784,2918,5698
SAL50325,0,3,9,0,0,0,0,0,0,0,3,12,836,878,1714,12,14,28,851,899,1751
SAL50326,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,6,11,9,5,11
SAL50327,41,66,107,0,0,0,0,0,0,44,65,111,286,210,502,80,81,159,414,360,773
SAL50328,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,0,0,4,4,4,13
SAL50329,148,146,296,0,0,0,3,3,11,156,151,305,2898,3053,5946,238,205,442,3291,3402,6696
SAL50330,3,3,8,0,0,0,0,0,0,3,3,8,200,186,387,12,9,24,215,201,420
SAL50331,0,0,0,0,0,0,0,0,0,0,0,0,60,52,116,11,6,24,73,63,136
SAL50332,0,0,0,0,0,0,0,0,0,0,0,0,28,20,47,4,3,8,30,24,56
SAL50333,5,0,5,0,0,0,0,0,0,5,0,5,67,47,120,3,0,3,77,47,126
SAL50334,6,5,14,0,0,0,0,0,0,6,5,14,281,256,538,57,58,115,351,316,664
SAL50335,3,8,10,0,0,0,0,0,0,3,8,10,81,70,151,7,5,17,94,79,179
SAL50336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50337,0,0,0,0,0,0,0,0,0,0,0,0,35,25,53,7,3,11,42,29,70
SAL50338,7,6,6,0,0,0,0,0,0,7,6,6,105,113,222,5,11,15,118,124,245
SAL50339,0,0,0,0,0,0,0,0,0,0,0,0,9,4,10,0,0,0,5,8,9
SAL50340,8,18,23,0,0,0,0,0,0,8,17,21,318,306,622,17,29,46,346,352,701
SAL50341,30,37,70,0,0,0,0,0,0,30,37,65,57,7,62,7,7,11,92,54,143
SAL50342,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,7,10,8,14
SAL50343,4,14,27,0,0,0,0,0,0,4,14,27,3666,3778,7443,152,126,279,3828,3918,7750
SAL50344,0,0,0,0,0,0,0,0,0,0,0,0,22,29,51,0,5,6,29,29,55
SAL50345,0,0,0,0,0,0,0,0,0,0,0,0,15,7,17,0,0,0,15,12,19
SAL50346,0,0,0,0,0,0,0,0,0,0,0,0,28,20,48,0,0,3,30,24,54
SAL50347,8,15,28,0,0,0,0,0,0,10,15,29,1079,1129,2205,130,117,252,1224,1260,2482
SAL50348,0,0,0,0,0,0,0,0,0,0,0,0,7,8,19,0,0,0,7,8,19
SAL50349,0,0,0,0,0,0,0,0,0,0,0,0,15,14,35,0,0,3,21,16,31
SAL50350,45,45,92,0,0,0,0,0,0,45,46,91,3088,3073,6163,111,90,203,3246,3209,6456
SAL50351,0,0,0,0,0,0,0,0,0,0,0,0,22,14,43,0,0,0,22,14,43
SAL50352,9,11,21,0,0,0,0,0,0,9,11,21,219,207,426,24,27,55,248,253,505
SAL50353,45,53,99,4,0,4,0,0,4,48,56,103,1813,1864,3680,91,103,186,1949,2027,3975
SAL50354,0,0,0,0,0,0,0,0,0,0,0,0,125,117,245,18,11,26,136,131,272
SAL50355,0,3,7,0,0,0,0,0,0,4,3,5,70,69,143,5,3,6,77,76,153
SAL50356,0,0,0,0,0,0,0,0,0,0,0,0,36,47,88,7,0,7,45,52,97
SAL50357,3,0,4,0,0,0,0,0,0,3,0,4,206,211,419,21,16,37,227,224,456
SAL50358,0,0,0,0,0,0,0,0,0,0,0,0,6,17,22,0,0,0,11,17,27
SAL50359,4,5,12,0,0,0,0,0,0,4,5,12,51,51,103,17,13,29,77,70,140
SAL50360,3,0,4,0,0,0,0,0,0,3,0,4,7,9,15,0,0,4,10,7,26
SAL50361,7,21,24,0,0,0,0,0,0,10,21,27,7,9,10,0,3,9,21,28,45
SAL50362,0,0,0,0,0,0,0,0,0,0,0,0,13,3,12,0,0,0,13,3,12
SAL50363,3,0,3,0,0,0,0,0,0,3,0,3,66,3,68,60,7,62,131,11,139
SAL50364,19,7,29,0,0,6,0,0,0,19,10,32,390,346,739,26,26,59,444,380,824
SAL50365,0,0,0,0,0,0,0,0,0,0,0,0,21,26,55,6,7,11,32,33,62
SAL50366,0,0,0,0,0,0,0,0,0,0,0,0,13,8,17,0,0,0,13,9,20
SAL50367,17,23,38,4,0,10,0,0,0,25,23,46,3221,3356,6578,123,83,209,3369,3461,6834
SAL50368,0,3,3,0,0,0,0,0,0,0,3,3,71,71,142,6,6,18,75,81,157
SAL50369,0,0,0,0,0,0,0,0,0,0,0,0,19,13,31,0,0,0,22,13,32
SAL50370,0,0,0,0,0,0,0,0,0,0,0,0,17,4,23,8,0,8,30,5,32
SAL50371,10,10,10,0,0,0,0,0,0,7,10,14,739,750,1489,25,16,47,778,770,1551
SAL50372,0,0,0,0,0,0,0,0,0,0,0,0,82,73,157,16,17,33,99,90,190
SAL50373,0,0,0,0,0,0,0,0,0,0,0,0,30,24,54,4,0,4,28,24,58
SAL50374,7,8,16,0,0,0,0,0,0,7,11,14,2136,2160,4294,50,41,86,2191,2211,4398
SAL50375,23,21,52,0,0,0,0,0,0,29,21,51,333,319,658,68,55,119,426,399,826
SAL50376,140,170,308,0,0,0,0,9,8,141,174,314,4388,4688,9080,208,165,372,4743,5027,9770
SAL50377,0,0,0,0,0,0,0,0,0,0,0,0,69,59,130,14,7,15,83,69,150
SAL50378,21,19,39,0,0,0,0,0,0,24,18,41,587,532,1115,56,69,121,662,616,1282
SAL50379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50380,404,417,818,0,0,0,8,7,21,410,424,835,76,76,153,29,34,55,521,527,1051
SAL50381,0,0,0,0,0,0,0,0,0,0,0,0,12,9,26,0,0,0,12,9,26
SAL50382,12,9,17,0,0,0,0,0,0,12,9,17,130,123,257,20,5,23,159,139,292
SAL50383,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,6,8,20,18,14,31
SAL50384,27,28,54,0,0,6,5,3,6,33,28,61,3513,3621,7131,98,57,152,3645,3703,7347
SAL50385,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,0,0,0,3,6,15
SAL50386,10,3,12,0,0,0,0,0,0,10,3,12,294,275,569,5,5,12,307,285,588
SAL50387,3,0,6,0,0,0,0,0,0,3,0,6,322,291,611,31,26,56,350,318,669
SAL50388,5,8,15,0,0,0,0,0,0,5,8,15,150,150,299,28,36,62,186,188,371
SAL50389,12,15,29,0,0,0,0,0,0,14,15,28,719,801,1520,23,18,42,751,838,1591
SAL50390,19,27,41,0,0,0,0,0,0,19,27,41,1771,1793,3562,58,55,112,1844,1876,3725
SAL50391,0,0,0,0,0,0,0,0,0,0,0,0,18,10,33,3,0,8,24,16,41
SAL50392,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,0,4,6,9
SAL50393,0,0,0,0,0,0,0,0,0,0,0,0,13,17,30,0,0,3,13,13,33
SAL50394,0,0,0,0,0,0,0,0,0,0,0,0,10,9,18,0,0,0,10,9,18
SAL50395,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,3,0,3,10,0,8
SAL50396,66,64,131,0,4,5,0,0,0,71,67,138,3270,3402,6677,199,130,329,3543,3601,7143
SAL50397,59,50,108,0,0,0,4,6,10,60,49,114,2634,2601,5236,103,49,158,2804,2704,5507
SAL50398,10,0,9,0,0,0,0,0,0,10,0,9,4,6,12,0,0,4,9,12,24
SAL50399,4,0,5,0,0,0,0,0,0,4,0,5,143,146,287,20,19,41,162,167,327
SAL50400,24,21,42,0,0,0,0,0,0,24,25,45,427,437,860,40,21,60,487,478,973
SAL50401,0,0,3,0,0,0,0,0,0,0,0,3,28,25,54,3,0,9,32,30,56
SAL50402,3,0,3,0,0,0,0,0,0,3,0,3,40,43,83,4,0,3,47,49,93
SAL50403,48,31,76,0,0,0,0,0,0,48,31,76,308,334,639,61,70,132,425,430,849
SAL50404,17,27,41,0,4,4,0,0,0,17,29,45,1129,1275,2407,117,113,231,1271,1420,2691
SAL50405,683,598,1282,5,5,9,16,27,43,710,626,1336,591,539,1130,352,409,760,1645,1582,3222
SAL50406,0,0,0,0,0,0,0,0,0,0,0,0,9,6,16,0,0,0,9,6,16
SAL50407,0,0,0,0,0,0,0,0,0,0,0,0,36,31,67,6,8,12,46,37,82
SAL50408,0,0,0,0,0,0,0,0,0,0,0,0,17,19,27,0,0,0,17,16,28
SAL50409,109,89,197,0,7,10,0,3,3,109,98,205,11163,12023,23194,395,375,771,11675,12500,24169
SAL50410,0,0,0,0,0,0,0,0,0,0,0,0,10,5,13,0,0,0,10,5,13
SAL50411,0,0,0,0,0,0,0,0,0,0,0,0,88,89,172,11,10,24,95,99,195
SAL50412,0,0,0,0,0,0,0,0,0,0,0,0,68,67,137,7,7,18,80,74,161
SAL50413,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,3,0,9
SAL50414,5,0,3,0,0,0,0,0,0,5,0,3,42,18,58,0,0,8,45,18,68
SAL50415,230,220,453,8,8,9,6,10,21,242,246,483,1131,1206,2345,224,239,463,1603,1692,3291
SAL50416,31,37,68,0,0,0,0,0,0,31,39,69,588,639,1223,58,38,99,674,717,1393
SAL50417,0,0,0,0,0,0,0,0,0,0,0,0,22,20,44,7,9,12,29,24,53
SAL50418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SAL50419,47,48,93,3,0,8,0,3,4,51,56,105,1308,1452,2759,97,70,169,1456,1577,3035
SAL50420,0,0,0,0,0,0,0,0,0,0,0,0,23,13,33,7,8,19,27,21,51
SAL50421,0,0,0,0,0,0,0,0,0,0,0,0,28,27,60,14,4,22,44,38,81
SAL50422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50423,76,66,141,0,0,0,0,0,3,79,66,143,4146,4565,8708,194,159,347,4418,4786,9205
SAL50424,14,17,26,0,0,0,0,0,0,14,17,26,193,185,376,23,11,31,229,207,436
SAL50425,0,0,0,0,0,0,0,0,0,0,0,0,22,24,45,4,4,4,23,27,52
SAL50426,48,44,90,0,0,0,5,3,8,51,48,97,694,730,1422,51,30,81,799,809,1605
SAL50427,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,7
SAL50428,3,0,3,0,0,0,0,0,0,3,0,3,16,16,30,4,3,11,19,22,38
SAL50429,0,0,0,0,0,0,0,0,0,0,0,0,24,12,32,0,0,0,21,12,34
SAL50430,0,4,4,0,0,0,0,0,0,0,4,4,29,25,49,3,0,3,30,31,59
SAL50431,79,93,173,5,3,5,4,3,7,81,101,188,3025,3414,6440,178,155,336,3285,3675,6957
SAL50432,0,0,0,0,0,0,0,0,0,0,0,0,19,12,33,0,0,0,19,12,33
SAL50433,0,0,0,0,0,0,0,0,0,0,0,0,11,12,24,18,16,35,25,27,52
SAL50434,0,0,0,0,0,0,0,0,0,0,0,0,10,6,21,0,4,3,12,12,27
SAL50435,5,0,6,0,0,0,0,0,0,5,0,6,102,115,218,21,25,44,124,140,266
SAL50436,0,0,0,0,0,0,0,0,0,0,0,0,107,81,188,3,0,6,113,84,193
SAL50437,5,12,22,0,0,0,0,0,0,5,12,22,106,120,229,31,27,54,145,157,299
SAL50438,40,43,82,3,0,4,0,0,0,46,45,92,7681,7882,15562,181,153,329,7904,8079,15982
SAL50439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50440,0,0,0,0,0,0,0,0,0,0,0,0,9,6,11,0,0,0,9,6,11
SAL50441,34,25,60,0,0,3,0,0,0,40,23,63,2840,3056,5892,256,203,460,3134,3284,6413
SAL50442,34,43,81,0,0,0,0,0,0,34,43,81,35,36,68,10,15,22,76,90,169
SAL50443,0,0,0,0,0,0,0,0,0,0,0,0,30,18,48,4,0,8,33,19,53
SAL50444,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,3,5,6
SAL50445,0,0,0,0,0,0,0,0,0,0,0,0,13,8,20,3,0,6,12,13,30
SAL50446,8,5,16,0,0,0,0,0,0,8,11,18,221,237,457,24,23,48,256,271,524
SAL50447,0,0,0,0,0,0,0,0,0,0,0,0,54,56,104,10,3,15,57,59,120
SAL50448,0,0,0,0,0,0,0,0,0,0,0,0,22,14,39,3,0,3,26,14,41
SAL50449,0,0,0,0,0,0,0,0,0,0,0,0,18,15,35,0,0,0,18,15,35
SAL50450,0,0,0,0,0,0,0,0,0,0,0,0,43,40,81,4,3,10,54,39,96
SAL50451,0,0,0,0,0,0,0,0,0,0,0,0,12,24,36,5,9,10,17,33,46
SAL50452,53,83,131,0,0,0,0,0,0,53,86,130,1785,1898,3681,101,97,203,1943,2074,4019
SAL50453,36,47,77,0,4,5,4,3,4,38,47,86,3108,3037,6145,151,131,286,3305,3217,6512
SAL50454,74,73,143,0,0,0,0,0,0,74,73,143,309,270,585,37,34,75,423,377,798
SAL50455,0,0,0,0,0,0,0,0,0,0,0,0,17,10,23,9,7,17,23,18,43
SAL50456,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,7,8,9
SAL50457,35,35,65,0,0,0,0,0,0,35,37,69,3512,3901,7414,172,162,333,3721,4102,7819
SAL50458,0,0,0,0,0,0,0,0,0,0,0,0,10,7,13,0,0,0,10,7,13
SAL50459,0,0,0,0,0,0,0,0,0,0,0,0,17,10,28,4,6,9,23,16,39
SAL50460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50461,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,3,7,3,7
SAL50462,0,0,0,0,0,0,0,0,0,0,0,0,14,17,38,4,6,6,22,20,43
SAL50463,0,0,0,0,0,0,0,0,0,0,0,0,11,5,17,0,0,0,11,5,17
SAL50464,65,51,120,0,0,5,0,0,0,69,53,123,5507,5114,10619,561,379,935,6139,5540,11681
SAL50465,0,6,6,0,0,0,0,0,0,0,6,6,103,101,204,0,0,0,103,103,211
SAL50466,0,0,0,0,0,0,0,0,0,0,0,0,8,7,20,0,5,5,8,12,18
SAL50467,7,9,8,0,0,0,0,0,0,7,9,8,125,113,241,38,26,62,167,141,311
SAL50468,100,104,207,0,0,3,0,0,0,104,102,206,4837,4884,9719,349,295,644,5290,5278,10569
SAL50469,0,0,0,0,0,0,0,0,0,0,0,0,8,5,18,7,0,9,12,12,19
SAL50470,0,0,7,0,0,0,0,0,0,0,0,7,13,14,26,5,3,11,22,22,38
SAL50471,0,0,0,0,0,0,0,0,0,0,0,0,60,59,111,13,12,24,68,70,140
SAL50472,150,185,336,3,3,5,4,5,12,153,193,350,3800,4002,7803,281,235,517,4239,4429,8669
SAL50473,50,50,100,0,3,4,0,4,3,50,54,109,1639,1770,3416,97,88,183,1790,1916,3703
SAL50474,25,15,43,0,0,4,0,3,7,26,19,53,2165,2318,4478,82,47,128,2268,2386,4657
SAL50475,0,0,0,0,0,0,0,0,0,0,0,0,26,16,42,11,13,25,41,28,70
SAL50476,37,28,61,0,0,0,0,0,0,32,28,58,1645,1813,3457,114,73,186,1798,1912,3705
SAL50477,0,0,0,0,0,0,0,0,0,0,0,0,71,44,117,0,5,5,71,49,120
SAL50478,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13,5,3,6,12,13,22
SAL50479,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,3,3,9
SAL50480,0,0,0,0,0,0,0,0,0,0,0,0,56,60,122,12,7,14,67,67,133
SAL50481,10,7,8,0,0,0,0,0,0,10,7,8,169,152,326,10,11,18,190,166,356
SAL50482,465,426,898,15,8,24,3,6,16,487,450,934,10906,11635,22544,644,545,1190,12043,12628,24668
SAL50483,0,0,0,0,0,0,0,0,0,0,0,0,8,7,21,7,3,6,17,11,25
SAL50484,43,42,89,0,0,3,0,0,0,45,45,91,1655,1675,3332,104,79,185,1808,1797,3600
SAL50485,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,0,0,0,3,3,8
SAL50486,0,0,0,0,0,0,0,0,0,0,0,0,113,158,266,3,5,14,116,166,285
SAL50487,4,4,11,0,0,0,0,0,0,4,4,11,59,60,118,8,7,12,73,72,142
SAL50488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50489,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,4,3,3
SAL50490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SAL50491,52,55,107,5,0,5,3,8,3,54,63,119,2328,2792,5116,102,92,195,2487,2944,5429
SAL50492,22,25,51,7,0,7,0,0,0,29,29,55,853,962,1818,96,103,210,978,1095,2080
SAL50493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50494,0,0,0,0,0,0,0,0,0,0,0,0,15,11,31,0,0,3,16,14,37
SAL50495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50496,0,0,0,0,0,0,0,0,0,0,0,0,11,7,23,0,0,0,11,9,21
SAL50497,48,31,77,4,0,4,0,8,5,47,37,86,1272,1213,2484,138,95,228,1458,1346,2806
SAL50498,0,0,0,0,0,0,0,0,0,0,0,0,25,21,44,3,4,4,22,20,49
SAL50499,0,0,3,0,0,0,0,0,0,0,0,3,22,18,44,8,5,13,29,31,55
SAL50500,65,49,119,0,3,5,0,0,0,74,57,123,2510,2637,5150,143,105,256,2730,2797,5531
SAL50501,0,0,0,0,0,0,0,0,0,0,0,0,110,103,213,8,10,21,113,117,233
SAL50502,45,40,87,0,0,0,3,0,3,48,38,95,2024,2169,4190,98,77,175,2170,2289,4457
SAL50503,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,7,6,8
SAL50504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50507,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,5,0,4
SAL50508,350,371,720,0,0,0,0,6,10,351,374,730,169,169,338,44,63,110,571,607,1181
SAL50509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
SAL50510,15,9,21,0,0,3,0,0,0,16,10,23,4142,4298,8436,81,77,156,4238,4386,8621
SAL50511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50512,0,0,0,0,0,0,0,0,0,0,0,0,115,120,236,7,8,18,123,130,253
SAL50513,4,0,4,0,0,0,0,0,0,4,0,4,109,35,145,0,0,0,116,35,143
SAL50514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAL50515,0,0,0,0,0,0,0,0,0,0,0,0,20,18,34,0,0,0,20,18,34
SAL50516,0,0,0,0,0,0,0,0,0,0,0,0,24,3,28,0,0,0,20,3,28
SAL50517,4,5,4,0,0,0,0,0,6,4,8,12,482,473,954,29,28,63,524,500,1027
SAL50518,227,225,458,0,6,4,9,0,6,233,230,467,6024,6110,12134,334,251,586,6585,6596,13181
SAL50519,14,4,19,0,0,0,0,0,0,14,4,19,138,37,173,3,0,3,154,39,190
SAL50520,0,0,0,0,0,0,0,0,0,0,0,0,182,136,324,17,12,28,199,157,353
SAL50521,0,0,0,0,0,0,0,0,0,0,0,0,27,8,34,13,5,15,38,10,50
SAL50522,77,69,150,0,0,3,0,0,0,82,79,156,4081,4307,8384,410,297,703,4571,4674,9251
SAL50523,12,8,18,0,0,0,0,0,0,12,6,21,486,447,939,63,46,107,558,508,1061
SAL50524,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,0,0,6,6,8
SAL50525,14,10,21,0,0,0,0,0,0,14,10,21,353,344,701,29,11,45,396,366,764
SAL50526,0,0,0,0,0,0,0,0,0,0,0,0,22,18,40,0,0,0,21,18,44
SAL50527,4,0,6,0,0,0,0,0,0,4,0,6,53,40,96,8,3,7,60,44,105
SAL50528,3,0,3,0,0,0,0,0,0,3,0,3,54,16,65,95,8,107,152,27,175
SAL50529,16,0,18,8,3,6,0,0,0,20,5,22,267,78,342,318,83,409,604,165,772
SAL50530,17,3,25,0,0,0,0,0,0,17,3,25,17,14,30,5,5,5,40,24,65
SAL50531,31,36,64,0,0,0,0,0,0,35,32,70,8,5,13,5,0,4,47,40,87
SAL50532,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,0,0,0,7,6,9
SAL50533,20,16,38,0,0,0,0,0,0,20,16,38,1069,1078,2144,44,26,69,1132,1117,2255
SAL50534,72,74,140,0,0,0,0,0,0,69,73,144,1580,1671,3252,114,109,224,1766,1853,3622
SAL50535,0,0,0,0,0,0,0,0,0,0,0,0,31,38,69,6,5,10,38,41,80
SAL50536,124,147,266,4,0,4,4,9,8,130,152,280,1244,1401,2640,160,167,330,1531,1716,3246
SAL50537,0,0,0,0,0,0,0,0,0,0,0,0,12,9,17,0,0,0,12,9,17
SAL50538,24,23,42,0,0,0,0,0,0,25,23,42,8,6,10,12,14,26,41,36,80
SAL50539,14,6,19,0,0,0,0,0,0,14,6,19,175,164,335,27,25,52,213,194,406
SAL50540,111,131,247,0,0,0,0,0,0,111,131,247,8,5,16,0,0,3,126,137,262
SAL50541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
SAL50542,15,26,42,3,0,3,0,0,0,18,28,47,1282,1331,2618,94,67,155,1393,1420,2818
SAL50543,0,0,0,0,0,0,0,0,0,0,0,0,41,37,80,6,3,9,44,40,85
SAL50544,0,0,0,0,0,0,0,0,0,0,0,0,9,9,21,0,0,0,9,9,21
SAL50545,0,0,0,0,0,0,0,0,0,0,0,0,26,19,44,0,6,9,26,27,49
SAL50546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
