LGA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
LGA54970,27,7,0,11,11,49,13,0,0,0,0,13,3,0,0,0,0,3,27,4,0,0,0,28,50,3,0,0,0,50,13,3,0,0,5,16,9,9,0,0,9,36,0,0,0,0,0,0,99,16,0,0,14,132,27,0,0,0,13,42,29,9,3,7,8,49,193,24,4,20,37,287
LGA55040,36,0,0,34,17,84,22,0,3,5,0,26,0,0,0,0,0,5,20,3,5,0,0,23,8,0,0,0,0,8,28,0,6,4,0,30,93,14,4,14,4,131,0,0,0,0,0,0,142,18,8,18,7,191,66,8,3,4,5,88,64,25,23,29,4,155,334,52,39,88,36,547
LGA55110,10404,1182,295,147,13,12039,12100,537,169,8,0,12812,3930,929,326,11,3,5198,301,376,31,0,5,715,171,149,71,0,4,395,2014,345,70,11,0,2442,154,106,10,26,5,296,36,23,6,6,0,74,6612,1927,513,48,14,9121,334,845,21,10,0,1210,1136,319,84,98,9,1649,30586,4807,1087,305,42,36833
LGA55180,1416,18,0,10,8,1454,1049,8,0,3,6,1068,286,73,5,0,0,367,92,47,7,0,4,153,4,26,5,0,0,42,245,13,6,5,0,268,69,5,0,3,14,89,3,0,0,0,0,10,709,165,20,4,20,921,113,7,0,4,3,128,247,17,7,16,19,300,3533,213,29,44,52,3877
LGA55250,55,4,0,50,11,120,17,0,0,3,4,21,0,0,0,0,0,0,59,9,5,0,0,75,6,0,0,0,0,6,21,0,0,7,3,31,31,7,4,7,4,50,0,0,0,0,0,0,116,15,14,14,7,164,35,0,0,11,0,45,55,5,3,16,14,96,279,21,18,89,44,444
LGA55320,13017,2251,433,0,22,15729,11114,1927,430,0,7,13480,2882,1492,613,4,3,4994,328,417,20,0,0,769,43,51,21,0,0,119,1288,627,172,0,9,2090,88,40,26,0,0,154,19,17,6,0,0,40,4641,2648,858,4,11,8168,446,310,335,0,0,1091,650,294,156,16,10,1121,29867,7432,2219,20,50,39588
LGA55390,17,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,4,22,0,0,0,4,0,4,8,0,0,0,6,17,0,0,0,0,0,0,21,0,5,6,9,40,13,0,0,0,13,23,4,0,6,20,3,33,53,0,12,41,26,138
LGA55460,405,5,0,4,0,414,344,0,0,0,0,347,81,3,0,0,0,89,64,15,0,0,0,82,20,0,0,0,0,21,100,3,0,0,0,102,59,10,0,0,0,74,3,0,0,0,0,5,326,37,0,0,6,370,43,0,0,0,0,43,124,19,3,26,0,172,1239,65,6,32,7,1351
LGA55530,75,0,0,19,4,99,25,0,0,3,0,30,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,8,0,0,3,0,10,3,0,0,6,0,7,0,0,0,0,0,0,17,0,0,6,0,28,24,0,0,0,0,29,29,0,0,28,0,59,171,3,0,62,5,239
LGA55600,320,17,0,12,0,359,215,0,0,0,0,217,23,0,0,0,0,27,38,23,0,0,0,62,4,0,0,0,0,4,80,0,0,0,0,82,25,6,0,0,3,27,5,0,0,0,0,5,170,25,0,0,3,202,53,0,0,4,0,53,98,18,0,19,0,131,857,64,0,36,10,963
LGA55670,103,0,0,9,5,116,37,0,0,0,0,40,4,0,0,0,0,4,9,3,0,0,0,10,0,0,0,0,0,0,21,0,0,0,0,20,12,0,0,0,0,15,0,0,0,0,0,0,52,0,0,0,0,56,20,4,0,0,0,23,24,0,0,21,0,49,230,6,0,32,13,278
LGA55740,1011,124,93,0,0,1228,837,107,90,0,0,1035,187,111,450,0,0,750,11,85,78,0,0,166,9,8,0,0,0,16,85,41,124,0,0,247,9,3,14,0,0,26,4,0,0,0,0,7,300,244,665,0,0,1213,16,38,10,0,0,62,62,24,79,3,0,168,2231,538,925,3,4,3702
LGA55810,60,0,0,18,0,82,17,0,0,3,0,16,0,0,0,0,0,0,17,0,0,0,0,16,7,0,0,0,0,7,11,0,0,3,0,11,15,0,0,3,0,21,0,0,0,0,0,0,43,6,0,6,0,55,22,0,0,0,0,24,107,0,0,19,4,142,253,6,0,50,10,316
LGA55880,83,0,0,4,4,88,23,0,0,0,0,23,0,0,0,0,0,0,8,0,0,0,0,10,3,0,0,0,0,5,10,0,0,0,0,10,13,4,0,0,0,12,0,0,0,0,0,0,35,6,0,0,0,40,22,0,0,0,0,22,22,0,0,0,0,19,190,6,0,3,4,205
LGA55950,105,0,0,5,0,110,36,0,0,0,0,36,3,0,0,0,0,3,11,0,0,0,0,11,7,0,0,0,0,7,11,0,0,0,0,11,14,0,0,3,0,15,5,0,0,0,0,5,47,0,0,3,0,51,29,0,0,0,0,29,29,0,0,3,0,33,242,0,0,9,0,256
LGA56090,5105,156,7,7,5,5280,6452,62,6,0,0,6519,629,84,0,0,0,711,35,94,0,0,0,129,13,21,0,0,0,29,515,50,0,4,8,572,53,0,0,0,0,58,3,0,0,0,0,8,1231,254,4,6,9,1510,145,22,0,0,3,182,424,47,0,7,0,479,13365,539,22,30,18,13971
LGA56160,0,0,0,8,0,14,3,0,0,3,0,4,0,0,0,0,0,0,9,0,0,0,0,9,4,0,0,0,0,9,0,0,0,3,0,4,0,0,0,12,0,14,0,0,0,0,0,0,5,4,0,19,9,34,9,0,0,7,4,14,3,0,0,0,4,10,21,4,0,32,12,72
LGA56230,2196,73,3,144,4,2424,2625,21,0,13,6,2661,579,36,5,5,0,624,27,35,3,0,0,64,8,13,4,0,0,24,412,26,6,8,3,442,62,3,0,38,3,112,12,0,0,0,0,8,1091,113,10,49,6,1277,224,51,0,7,0,285,354,29,3,45,3,434,6488,286,19,251,18,7075
LGA56300,303,5,6,14,0,321,163,0,0,0,0,165,47,0,0,0,0,49,11,3,0,0,0,8,0,0,10,0,0,8,30,0,0,0,0,29,17,0,0,0,0,19,0,0,0,0,0,0,100,3,13,3,0,125,20,0,0,0,3,22,79,0,4,12,0,96,661,10,24,24,3,722
LGA56370,148,0,0,0,0,154,50,0,0,0,0,52,3,0,0,0,0,3,4,6,0,0,0,11,0,5,0,0,0,5,19,0,0,0,0,21,12,0,0,0,0,18,0,0,0,0,0,0,35,19,0,0,0,62,22,0,0,0,0,23,36,0,0,0,0,38,298,22,0,3,0,325
LGA56460,653,19,0,3,0,682,517,0,0,0,0,521,142,18,5,0,0,174,94,36,0,0,0,132,11,15,0,0,0,32,160,8,0,0,0,171,35,4,0,0,0,42,3,5,0,0,0,12,454,93,5,0,0,552,57,16,0,0,0,75,153,28,0,19,0,197,1834,159,5,26,0,2026
LGA56580,3038,311,99,0,0,3452,2050,169,68,0,0,2284,643,176,150,0,0,980,40,84,10,0,0,131,0,30,24,0,0,60,209,71,51,0,0,327,138,18,6,0,0,165,0,3,0,0,0,6,1034,384,245,0,0,1663,85,43,62,0,0,196,107,33,36,0,7,180,6309,940,509,4,11,7771
LGA56620,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,211,3,0,0,5,221,29,0,0,0,0,28,0,0,0,0,4,4,18,9,0,4,8,31,7,0,0,0,0,7,267,6,0,3,13,294,39,11,0,6,20,74,49,9,0,0,3,62,360,27,0,11,37,436
LGA56730,1440,8,0,31,0,1488,1495,6,0,0,7,1508,309,41,5,0,0,356,146,69,0,0,0,218,10,10,0,0,0,18,290,9,5,0,0,306,64,8,0,8,0,80,6,0,0,0,0,6,823,138,10,8,3,981,68,0,0,4,0,71,367,35,0,8,10,415,4188,186,17,46,18,4456
LGA56790,565,38,0,245,31,880,254,3,0,22,4,281,50,26,0,0,0,74,19,3,0,0,0,20,15,0,0,3,0,12,118,19,0,15,3,152,24,6,0,78,16,130,5,0,0,0,0,4,227,50,0,99,22,395,47,8,0,11,14,83,150,37,15,27,23,248,1244,134,16,404,83,1880
LGA56860,45,0,0,4,0,48,12,0,0,0,0,12,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,18,0,0,0,0,18,9,0,0,0,0,9,25,0,0,0,0,26,106,0,0,0,0,115
LGA56930,236,21,9,0,0,264,127,10,9,0,0,146,22,14,39,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,10,3,8,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,41,19,48,0,0,107,4,3,0,0,0,6,17,7,0,0,0,14,415,62,67,0,0,540
LGA57000,56,0,0,7,4,71,31,0,0,0,3,31,0,0,0,0,0,0,9,0,0,0,0,9,7,0,0,0,0,7,12,0,0,0,0,12,8,0,0,4,0,7,0,0,0,0,0,0,29,0,0,4,0,34,10,0,0,0,0,14,31,0,0,23,3,62,164,0,0,35,9,209
LGA57080,150,218,1569,0,0,1939,81,169,1955,0,0,2208,70,285,5756,0,10,6125,5,16,400,0,0,412,6,10,130,0,0,143,38,93,1147,0,12,1288,18,16,186,0,7,224,0,3,33,0,0,40,130,423,7649,5,33,8234,13,16,141,0,3,179,18,35,911,360,15,1344,389,861,12228,366,54,13900
LGA57140,206,0,0,0,0,204,102,0,0,0,0,102,16,0,0,0,0,16,15,5,0,0,0,19,21,0,0,0,0,18,33,0,0,0,0,33,14,0,0,0,0,10,0,0,0,0,0,0,96,8,0,0,0,104,15,0,0,0,0,15,35,0,0,0,0,35,459,8,0,0,0,468
LGA57210,887,0,0,20,0,912,582,4,0,5,3,593,151,0,0,0,0,151,31,8,0,0,0,37,13,10,4,0,0,22,127,0,0,0,0,132,43,0,0,5,0,51,5,0,0,0,0,5,361,24,4,4,0,395,89,0,0,0,0,95,190,0,3,8,0,197,2114,29,11,34,9,2187
LGA57280,262,57,25,144,32,521,744,81,12,17,5,860,580,273,222,8,3,1087,432,114,28,0,5,584,79,16,7,0,4,103,113,33,23,13,6,179,994,290,193,93,23,1585,12,8,0,0,0,15,2220,732,467,107,36,3561,254,61,38,27,19,412,455,193,153,222,29,1062,3944,1129,705,514,127,6418
LGA57350,171,3,0,0,5,178,57,0,0,0,0,57,3,0,0,0,0,3,5,3,0,0,0,9,5,0,0,0,0,6,23,0,0,0,0,23,9,3,0,0,4,13,0,0,0,0,0,0,47,4,0,0,4,54,22,0,0,0,0,22,111,0,0,0,0,115,406,9,0,6,9,426
LGA57420,275,0,0,19,3,295,127,0,0,0,0,132,65,0,3,0,0,66,12,3,3,0,0,21,3,0,0,0,0,3,68,0,0,4,0,67,56,0,5,5,0,73,0,0,0,0,0,3,212,7,8,13,3,239,152,0,0,4,0,165,65,0,0,6,0,81,840,11,12,44,8,910
LGA57490,10992,692,298,203,9,12192,22451,432,215,14,22,23137,6116,691,678,0,5,7494,410,244,151,0,0,806,51,69,39,0,0,155,2676,250,158,9,0,3100,471,43,27,58,7,598,32,9,5,0,0,49,9762,1306,1054,70,9,12203,319,258,20,4,0,606,1794,197,133,93,19,2241,45323,2882,1720,392,64,50382
LGA57630,21,0,0,20,0,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,10,6,0,0,6,3,15,6,0,0,0,0,12,44,0,0,25,3,75
LGA57700,2081,7,24,89,11,2209,6452,30,5,5,6,6501,708,18,0,0,0,723,9,0,0,0,0,4,5,10,0,0,0,15,471,8,3,4,0,491,44,5,6,9,0,53,10,0,0,0,0,12,1242,41,9,12,0,1303,123,0,0,10,4,134,386,3,0,14,0,411,10290,82,35,127,27,10555
LGA57770,101,0,3,352,0,466,43,4,0,19,0,69,36,0,3,0,0,46,21,0,0,0,0,23,6,4,0,23,0,31,25,5,0,22,0,49,32,0,0,108,13,153,0,3,0,0,0,4,120,13,4,151,12,308,42,0,0,22,4,61,48,7,0,143,23,224,355,34,8,695,42,1133
LGA57840,3503,1629,524,0,3,5663,3140,1411,484,0,7,5043,1050,1947,1118,0,3,4115,326,205,128,0,0,659,11,56,36,0,0,100,491,674,340,0,0,1512,40,33,32,0,3,110,9,13,5,0,0,32,1939,2924,1653,0,14,6522,129,235,168,0,0,527,250,261,173,0,8,693,8956,6466,2996,6,30,18454
LGA57910,19833,5736,1107,70,10,26760,20683,8999,1585,4,8,31280,6291,7632,3800,7,16,17745,772,1964,494,0,5,3233,98,316,206,0,0,623,3268,2954,1044,0,9,7272,451,341,169,31,4,1001,77,85,32,0,0,194,10958,13300,5740,37,36,30072,624,644,447,9,3,1715,1842,1601,668,46,28,4184,53935,30285,9550,166,82,94013
LGA57980,1568,347,441,0,0,2353,1177,316,378,3,0,1865,455,468,1142,4,0,2063,5,38,245,0,0,293,0,0,33,0,0,39,189,160,289,0,5,639,10,15,31,0,0,55,0,0,9,0,0,11,654,688,1740,8,4,3097,46,23,200,0,0,265,72,33,178,14,0,291,3513,1406,2922,22,4,7872
LGA58050,10482,813,70,183,11,11557,27164,1148,116,10,21,28466,4763,1241,539,3,11,6555,665,634,97,0,4,1398,120,118,22,4,0,261,2556,416,64,7,13,3046,326,63,6,55,4,454,52,21,3,5,0,81,8480,2492,725,70,30,11798,397,81,22,7,0,514,1755,394,92,450,48,2738,48282,4931,1025,715,117,55068
LGA58190,68,0,0,0,0,71,21,0,0,0,0,21,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,6,11,0,0,0,0,11,0,0,0,0,0,0,32,0,0,0,0,32,14,0,0,0,0,14,25,0,0,0,0,29,168,0,0,0,0,165
LGA58260,83,0,0,9,3,96,34,0,0,0,0,34,4,0,0,0,0,4,4,4,0,0,0,9,0,0,0,0,0,0,13,3,0,0,0,20,16,0,0,0,0,20,0,0,0,0,0,0,51,7,0,0,0,60,29,0,0,0,0,33,30,0,0,4,0,35,218,14,0,10,7,253
LGA58330,750,0,0,13,3,770,693,3,0,0,4,697,76,0,0,0,0,76,8,0,0,0,0,12,0,0,0,0,0,0,95,0,0,0,0,101,10,0,0,4,0,17,3,0,0,0,0,3,200,4,0,4,0,211,33,0,0,0,0,38,226,5,0,21,0,260,1897,12,0,45,13,1970
LGA58400,77,0,0,0,0,81,20,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,8,0,3,0,0,0,3,16,0,0,0,0,16,4,0,0,0,0,4,0,0,0,0,0,0,20,3,0,0,0,28,12,0,0,0,0,12,15,0,0,0,0,15,141,3,0,0,9,150
LGA58470,5,0,0,43,3,52,4,0,0,3,4,6,0,0,0,0,0,0,14,4,0,0,0,16,7,0,0,0,0,7,0,0,0,4,0,4,4,0,0,10,0,15,0,0,0,0,0,0,20,4,0,12,0,37,10,0,0,7,9,24,3,0,0,14,6,14,39,3,0,73,16,136
LGA58510,2320,599,412,0,3,3334,3146,874,556,4,3,4577,1593,1224,1519,3,4,4344,217,274,103,0,0,595,34,126,87,0,0,245,775,433,324,0,0,1531,57,51,46,0,4,155,26,20,23,0,0,64,2698,2133,2098,4,12,6936,179,110,194,0,0,493,337,225,287,16,8,872,8677,3938,3545,21,27,16209
LGA58540,126,0,0,6,0,136,58,0,0,0,0,51,6,0,0,0,0,6,4,0,0,0,0,3,4,0,0,0,0,4,26,0,0,0,0,29,27,0,0,0,4,38,0,0,0,0,0,0,73,4,0,0,7,79,33,0,0,0,0,33,35,0,0,11,0,46,321,4,0,15,7,349
LGA58570,2667,653,356,10,0,3691,2883,994,1020,11,5,4911,1003,977,2364,15,3,4369,36,198,129,0,0,362,6,48,53,0,6,116,644,378,568,15,0,1602,39,45,49,0,0,131,11,12,7,0,0,22,1740,1661,3168,30,14,6609,120,89,39,0,0,246,211,140,363,53,3,771,7610,3536,4935,108,28,16224
LGA58610,307,4,0,3,4,317,186,0,0,0,0,187,34,5,0,0,0,40,17,8,0,0,0,24,3,17,0,0,0,23,48,0,0,0,0,52,12,0,0,0,0,17,0,0,0,0,0,0,120,32,0,0,0,151,24,0,0,0,0,24,65,6,4,0,0,77,707,38,4,5,4,760
LGA58680,91,0,0,0,0,91,53,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,8,0,0,0,0,12,0,0,0,0,0,0,19,0,0,0,0,23,17,0,0,0,0,17,42,0,0,0,0,44,222,0,0,4,0,228
LGA58760,13873,1021,53,112,5,15065,37225,1238,77,8,17,38561,8288,940,125,0,0,9356,705,651,8,0,0,1357,133,150,0,0,0,285,3714,349,26,16,0,4107,445,65,3,38,7,555,59,15,0,0,0,77,13342,2177,170,55,9,15747,795,551,11,10,0,1364,2311,327,22,51,15,2731,67535,5310,323,244,53,73463
LGA58820,631,21,0,13,4,662,580,7,0,0,3,588,78,14,0,0,0,90,15,8,0,0,0,24,0,11,0,0,0,10,94,16,0,5,0,110,24,9,0,9,5,48,3,0,0,0,0,7,217,49,0,18,0,284,34,16,0,0,0,49,74,17,0,7,5,101,1536,105,0,35,15,1692
LGA58890,157,0,0,0,0,161,54,0,0,0,0,54,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,9,24,0,0,0,0,33,12,0,0,0,0,12,0,0,0,0,0,0,45,7,0,0,0,52,33,0,0,0,0,28,41,0,0,0,0,41,323,11,0,5,5,336
LGA59030,52,0,0,0,0,53,8,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,23,0,0,0,0,23,17,0,0,0,0,17,10,0,0,0,0,10,113,0,0,0,0,115
LGA59100,123,0,0,0,0,120,47,0,0,0,0,47,0,0,0,0,0,0,5,5,0,0,0,9,0,0,0,0,0,0,19,0,0,0,0,19,13,0,0,0,0,13,0,0,0,0,0,0,40,5,0,0,0,42,15,0,0,0,0,14,46,0,0,0,0,46,269,5,0,0,0,279
LGA59170,163,0,0,0,3,164,82,0,0,0,0,80,7,0,0,0,0,11,0,4,0,0,0,6,4,0,0,0,0,3,40,0,0,0,0,38,16,0,0,0,0,22,3,0,0,0,0,4,71,9,0,0,4,81,40,0,0,0,0,42,40,4,0,0,0,51,388,14,4,3,5,412
LGA59250,13,0,0,5,5,25,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,8,0,0,0,0,14,5,0,0,0,3,8,11,0,0,3,0,18,0,0,0,0,0,0,42,4,0,8,4,56,28,3,0,0,6,36,26,4,0,0,7,36,112,13,0,10,18,156
LGA59310,218,5,0,10,3,238,107,0,0,3,0,109,5,0,0,0,0,11,17,7,0,0,0,30,7,5,0,0,0,17,61,6,0,0,0,67,35,3,0,0,0,33,0,0,0,0,0,0,127,23,0,4,0,152,32,0,0,0,0,29,41,6,0,0,0,47,527,25,0,15,3,577
LGA59320,83,0,0,0,0,83,35,0,0,0,0,35,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,26,0,0,0,0,26,19,0,0,0,0,19,14,0,0,0,0,15,180,0,0,0,0,174
LGA59330,111,0,0,0,0,111,38,0,0,0,0,36,0,0,0,0,0,4,3,6,0,0,0,5,9,0,0,0,0,6,21,0,0,0,0,21,10,0,0,0,0,10,0,0,0,0,0,0,41,6,0,0,0,50,16,0,0,0,0,16,23,0,0,0,0,23,232,6,0,0,0,240
LGA59340,222,10,9,518,29,781,255,25,7,39,15,335,115,49,42,4,5,206,263,65,33,0,0,361,197,19,11,4,0,228,163,27,7,42,15,256,185,37,20,255,31,526,13,0,0,0,0,15,921,191,102,317,51,1586,98,18,5,69,21,207,306,70,36,416,65,891,1798,311,153,1354,190,3806
LGA59350,10,0,0,11,4,27,0,0,0,0,3,5,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,5,3,0,0,5,4,5,16,0,0,0,3,22,0,0,0,0,0,0,23,0,0,6,10,39,4,0,0,0,6,12,21,0,0,0,8,30,61,0,0,23,28,116
LGA59360,156,5,0,8,0,181,67,0,0,0,0,70,10,0,0,0,0,12,10,7,0,0,0,22,4,4,0,0,0,9,53,0,0,0,0,55,34,4,0,3,7,44,0,0,0,0,0,0,111,19,0,3,7,140,44,0,0,3,4,51,42,6,0,0,0,49,422,32,3,22,14,485
LGA59370,671,16,3,5,3,706,423,4,0,0,4,433,73,4,4,0,0,89,25,18,0,0,0,45,0,0,0,0,0,6,87,0,0,0,0,89,15,0,0,0,0,18,4,0,0,0,0,6,207,27,3,0,4,243,48,0,0,6,6,60,131,3,0,3,0,144,1485,46,9,23,27,1587
LGA59799,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
