LGA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA53570,8,10,24,18,0,0,79,4,10,9,14,13,11,3,0,55,10,81,73,65,55,41,25,4,353,7,47,47,63,79,72,32,0,347,49,125,120,169,177,177,78,12,906,16,11,10,3,11,8,0,0,63,6,3,9,13,24,26,5,0,83,74,141,137,186,206,211,88,14,1055,0,11,4,3,5,11,4,0,38,45,56,37,77,86,118,86,15,522,134,360,324,416,463,483,241,34,2448
LGA53640,3,0,3,0,0,0,9,0,4,4,0,0,0,0,0,13,7,35,19,17,14,4,0,0,104,0,6,6,14,15,13,0,0,61,7,53,28,31,35,17,0,0,161,4,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,10,8,57,32,33,37,26,5,0,187,0,0,0,0,0,0,0,0,0,16,16,16,12,21,24,0,3,105,36,117,84,80,84,64,8,6,481
LGA53710,5,0,0,0,0,0,9,0,0,0,0,5,0,0,0,7,4,10,13,13,7,3,0,0,57,0,0,5,8,5,10,0,0,35,9,25,32,24,26,25,0,0,142,4,0,0,0,0,3,0,0,15,0,0,3,4,0,0,0,0,6,15,23,36,24,32,26,0,0,164,0,0,0,0,0,0,0,0,9,19,4,10,22,26,28,11,5,130,39,44,73,63,81,70,18,8,398
LGA53780,1889,845,416,198,64,7,4732,41,280,445,322,218,120,38,3,1468,975,3751,4474,2397,1321,753,270,58,13985,644,1809,2136,1820,1248,761,303,77,8804,2083,3177,3434,3011,2466,1711,747,155,16774,733,293,239,189,120,77,23,4,1668,149,208,291,353,280,220,127,31,1658,2971,3677,3962,3544,2863,2004,892,192,20102,48,140,175,150,114,118,50,17,820,927,1140,1130,892,677,670,571,405,6408,5677,12042,14209,9968,6858,4628,2187,760,56325
LGA53800,164,128,99,60,6,7,583,9,99,124,132,97,55,14,4,539,146,626,693,625,384,265,92,16,2845,115,362,487,508,514,348,115,28,2466,649,1367,1240,1306,1123,719,265,62,6721,286,171,112,86,76,42,16,4,787,33,47,79,112,109,90,33,13,524,966,1584,1429,1504,1314,846,313,77,8030,12,24,19,37,35,31,25,18,196,461,493,571,490,471,447,360,230,3536,1725,3288,3488,3424,2919,2051,928,370,18194
LGA53920,15,14,33,16,0,0,118,0,8,7,12,23,15,0,0,76,16,82,56,61,64,54,7,0,343,4,13,20,23,58,41,9,0,174,43,105,105,81,78,68,13,0,491,16,16,17,8,5,7,0,0,65,0,8,15,10,9,5,0,0,59,56,131,135,94,96,78,14,0,612,0,0,0,0,0,0,0,0,0,101,121,129,105,108,91,38,9,699,182,395,367,321,386,297,71,8,2025
LGA53990,86,70,70,57,13,0,346,7,48,89,73,71,43,16,4,349,61,433,537,443,331,230,88,20,2138,53,226,357,381,387,238,81,18,1738,568,1053,1198,1068,883,516,185,34,5506,212,97,74,42,52,30,4,5,510,22,38,67,99,96,67,20,7,420,803,1190,1339,1208,1031,609,208,42,6437,10,20,26,22,24,34,16,3,161,174,167,185,187,210,210,173,72,1375,1113,2129,2621,2388,2118,1437,584,154,12544
LGA54060,3,5,12,11,5,0,43,0,6,13,4,8,8,3,0,47,10,30,57,57,41,32,15,5,252,9,13,23,55,50,67,23,8,238,44,57,104,119,137,127,45,0,636,10,6,12,10,6,13,5,0,61,4,0,4,9,9,8,4,0,39,60,67,116,142,157,142,56,11,743,0,6,3,4,3,5,3,0,29,41,53,63,56,91,107,73,13,490,116,183,277,314,364,374,178,33,1826
LGA54130,0,0,3,0,0,0,11,0,0,10,0,0,0,0,0,11,9,33,18,12,15,12,0,0,104,0,4,18,14,17,7,3,0,65,10,41,46,26,30,15,5,0,175,5,4,3,4,0,0,0,0,16,0,5,6,4,0,0,0,0,12,11,51,49,33,31,20,6,0,201,0,0,3,0,3,0,0,0,5,13,12,18,23,22,17,0,0,99,34,105,110,81,95,57,15,8,506
LGA54170,1750,1653,1137,626,160,31,6453,58,525,933,987,785,439,96,13,3842,1589,4570,6089,5222,3495,2271,707,121,24064,659,1562,2588,3172,3051,2215,754,171,14174,2201,3733,4331,4277,4313,3016,1114,250,23239,668,187,208,161,197,167,52,6,1646,147,182,355,588,590,520,230,54,2662,3012,4103,4893,5025,5098,3708,1399,306,27546,55,101,158,203,188,239,137,38,1113,554,656,819,824,757,840,718,557,5729,6021,12532,17234,17078,14518,10330,3973,1234,82920
LGA54200,498,382,221,182,92,12,1669,19,132,244,228,192,124,47,6,986,331,1204,1675,1286,839,720,312,104,6473,226,566,946,959,837,656,357,87,4637,921,1794,1834,1721,1510,1048,511,131,9478,358,123,105,88,66,41,19,3,802,55,71,127,193,191,165,74,31,909,1343,1989,2062,1999,1767,1252,605,169,11187,13,39,34,54,54,70,61,17,351,291,316,412,318,336,369,341,220,2605,2229,4521,5876,5230,4252,3381,1816,615,27910
LGA54280,219,120,73,20,8,0,694,7,77,89,68,55,21,3,0,326,171,747,642,379,252,106,36,5,2332,48,288,385,329,277,106,22,3,1455,540,1399,1226,1049,779,313,91,13,5404,228,109,64,50,20,6,7,0,474,37,63,66,82,66,37,10,0,355,795,1564,1352,1181,864,363,101,13,6238,12,33,20,23,15,14,7,0,125,424,713,658,552,585,402,138,72,3546,1491,3663,3359,2653,2123,1034,306,92,14721
LGA54310,189,103,45,22,7,0,550,7,84,105,86,50,21,0,0,362,99,703,680,402,195,83,24,0,2183,39,292,474,404,279,106,19,0,1612,366,1336,1390,1039,668,257,51,3,5114,147,94,65,44,33,7,0,0,397,17,44,59,69,58,26,4,0,278,529,1474,1515,1152,759,295,59,3,5785,7,24,31,22,16,10,4,0,114,522,1234,1285,1071,839,334,92,5,5390,1215,3997,4285,3236,2176,873,201,12,15992
LGA54340,10,7,6,0,0,0,45,0,8,11,10,10,3,0,0,42,15,46,50,36,44,24,8,0,220,6,20,22,34,35,22,8,0,158,87,129,96,74,81,43,22,3,532,27,16,5,13,8,3,3,0,78,6,11,8,8,10,9,0,0,57,122,156,112,93,102,52,26,4,667,0,5,0,0,0,5,6,0,19,73,72,73,49,62,56,38,26,447,218,319,284,238,248,164,89,37,1594
LGA54410,5,0,6,0,0,0,14,0,3,0,0,0,0,0,0,6,5,15,18,11,9,4,5,0,66,0,8,9,9,16,12,4,0,41,20,22,23,29,37,21,8,0,161,0,0,0,0,0,0,0,0,12,0,0,5,3,3,5,0,0,10,17,25,27,29,44,29,11,0,183,0,0,4,0,0,0,5,0,10,19,19,4,28,29,17,29,13,143,43,66,61,75,102,62,43,12,463
LGA54480,0,3,0,0,0,0,5,0,0,4,0,0,0,0,0,4,0,14,13,13,5,0,0,0,44,3,4,10,4,6,3,0,0,27,3,18,10,14,7,7,4,0,62,0,0,0,0,0,0,0,0,4,0,0,0,6,4,0,0,0,12,4,18,11,19,9,10,5,0,72,0,0,0,0,0,0,0,0,0,3,6,16,7,4,11,5,0,49,12,45,51,48,21,25,10,0,211
LGA54550,0,3,5,0,4,0,16,0,0,9,0,3,4,0,0,17,9,38,60,36,34,19,5,3,203,3,8,27,21,19,19,13,0,111,27,41,46,38,39,15,13,0,225,6,5,5,5,0,3,0,0,27,0,0,3,3,7,10,0,0,20,35,46,57,48,44,25,13,0,266,0,0,0,3,6,0,5,7,15,11,21,23,28,44,18,40,21,192,60,118,168,132,154,90,68,28,819
LGA54620,3,4,0,0,0,0,14,0,0,0,0,6,0,0,0,7,10,29,21,15,24,11,3,0,98,8,21,18,16,12,6,0,0,73,21,50,49,32,40,12,7,0,211,7,0,3,0,0,0,0,0,14,0,0,3,4,3,0,0,0,11,25,51,57,34,44,12,7,0,235,0,0,0,0,0,0,0,0,3,15,14,19,10,24,13,12,4,110,52,113,118,80,111,46,18,3,545
LGA54690,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,5,8,0,4,0,0,19,0,0,0,4,0,5,0,0,12,0,12,10,7,10,9,5,0,51,0,3,0,4,0,0,0,0,10,0,0,0,0,0,3,0,0,10,0,13,10,16,12,8,5,0,68,0,0,0,0,0,0,0,0,3,4,0,0,4,5,10,8,0,21,8,25,21,32,18,25,10,0,133
LGA54760,3,0,0,0,0,0,3,0,0,3,4,0,0,0,0,9,3,17,18,17,10,3,0,0,68,0,6,9,10,10,4,0,0,38,3,18,19,21,14,11,0,0,87,5,3,0,5,0,0,0,0,10,0,0,3,0,5,0,0,0,14,8,19,18,24,20,12,0,0,108,0,0,0,0,0,0,0,0,4,5,13,13,18,8,7,6,6,70,16,57,69,69,50,30,9,3,306
LGA54830,510,169,76,36,14,0,1111,22,136,165,110,66,25,9,0,532,238,1279,1509,710,305,183,54,9,4287,188,719,831,608,346,184,61,15,2960,881,1896,1626,1212,888,453,175,51,7180,324,212,109,78,59,29,4,0,805,51,92,122,163,90,64,31,4,614,1245,2195,1856,1446,1034,542,204,59,8598,19,47,73,46,31,32,15,6,265,334,408,443,345,263,223,122,47,2191,2062,5082,5391,3433,2127,1226,479,135,19937
LGA54900,0,4,0,0,0,0,10,0,3,0,0,4,0,0,0,11,4,33,43,21,13,4,0,0,115,6,11,16,16,15,9,5,0,78,23,42,43,36,19,13,5,5,184,0,4,0,0,0,0,0,0,11,0,0,3,3,4,0,0,0,15,22,44,44,35,30,12,10,5,208,0,0,0,0,0,0,0,0,0,10,7,16,20,30,13,8,4,112,46,104,123,99,92,50,15,6,533
LGA54970,13,11,6,4,0,0,51,0,10,8,8,8,0,0,0,31,15,87,51,53,39,7,0,0,254,7,25,41,45,32,9,0,0,162,37,184,164,149,117,25,0,0,677,13,14,5,4,6,0,0,0,38,0,8,0,3,6,5,0,0,21,50,200,175,160,126,24,0,0,735,0,0,0,3,0,0,0,0,3,131,449,402,426,309,53,4,0,1772,208,784,683,705,515,99,10,0,3007
LGA55040,24,15,5,6,0,0,77,0,11,4,9,3,0,0,0,27,16,83,56,32,22,13,0,0,219,3,34,38,41,35,16,6,0,174,48,156,143,109,87,28,4,0,569,18,9,0,5,0,6,0,0,34,0,10,3,4,3,3,0,0,31,63,168,150,121,89,37,3,0,631,0,0,0,4,0,0,0,0,9,192,453,385,308,215,63,13,0,1628,277,787,660,516,372,132,17,0,2766
LGA55110,303,293,265,176,73,10,1311,18,130,199,251,227,189,64,19,1091,297,1170,1391,1242,1000,861,377,86,6426,270,794,1098,1230,1339,1079,531,128,6470,1454,2700,2594,2725,2650,2099,1095,247,15569,516,235,169,128,134,113,42,10,1355,99,134,193,237,286,277,179,52,1455,2074,3074,2955,3094,3073,2484,1322,307,18377,32,53,70,72,107,125,102,30,601,530,541,580,606,610,857,908,642,5285,3234,5929,6604,6790,6634,5773,3368,1215,39553
LGA55180,30,49,29,24,4,0,154,0,13,15,19,23,16,0,0,100,24,142,146,114,146,95,43,9,722,8,62,79,90,130,82,30,9,493,138,244,238,275,287,197,62,12,1464,75,38,11,15,16,9,4,0,179,7,11,18,31,47,20,9,3,147,217,300,271,324,350,231,80,17,1790,0,5,3,11,11,11,4,0,48,83,80,101,136,143,128,100,41,814,345,620,646,749,835,584,258,73,4112
LGA55250,7,3,3,5,4,0,40,0,4,0,3,0,0,0,0,14,7,70,35,28,31,18,0,0,192,7,27,25,24,34,15,6,0,129,30,101,96,73,74,26,6,0,403,9,5,5,0,0,3,0,0,25,3,4,6,7,3,4,0,0,23,41,111,109,80,80,29,4,0,454,0,0,0,0,0,0,0,0,0,84,168,142,150,105,47,11,0,712,144,395,311,298,250,111,29,0,1541
LGA55320,1977,1701,1188,812,286,63,7400,20,475,688,742,660,450,139,31,3210,1461,4377,5155,4187,2901,2211,969,283,21549,380,824,1326,1705,1675,1490,772,291,8471,1065,1409,1484,1689,1723,1266,689,253,9590,399,101,113,101,108,93,38,17,967,81,81,160,291,358,317,178,83,1541,1550,1584,1755,2082,2183,1685,905,350,12096,45,63,101,122,131,151,151,54,818,431,521,533,554,577,714,708,647,4682,4003,9112,11535,11086,9318,7512,3934,1712,58224
LGA55390,9,5,4,0,0,0,34,0,0,0,0,0,0,0,0,3,15,38,22,12,11,5,0,0,103,5,15,8,19,12,0,0,0,61,21,74,71,76,37,9,3,0,294,11,3,4,6,0,0,0,0,24,0,4,3,0,8,0,0,0,15,32,77,76,80,44,14,3,0,329,0,0,0,0,0,0,0,0,0,56,126,126,109,82,31,5,0,537,110,274,250,221,159,52,8,0,1072
LGA55460,8,16,8,7,0,0,53,0,8,4,9,3,4,0,0,27,15,52,49,35,34,10,0,0,206,7,20,24,23,30,15,9,5,122,55,93,90,84,89,50,11,6,469,19,22,10,9,9,4,0,0,75,0,5,7,10,11,11,0,0,42,77,115,105,99,102,58,12,0,579,0,0,0,0,6,6,0,0,19,56,59,64,57,56,58,35,13,408,149,274,260,243,236,167,59,24,1415
LGA55530,0,0,0,3,0,0,7,0,0,0,0,4,0,0,0,4,0,8,17,12,10,8,0,0,57,0,0,0,0,5,4,0,0,22,4,11,14,8,9,12,0,0,71,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,14,8,11,20,12,14,13,0,0,80,0,0,0,0,0,0,0,0,0,0,3,6,14,32,32,19,5,115,12,27,50,42,61,57,23,5,284
LGA55600,13,4,6,0,0,0,22,0,5,0,0,4,3,0,0,22,9,29,40,34,25,19,9,3,164,0,5,11,19,22,14,10,0,88,30,63,54,65,65,48,5,0,335,8,5,7,3,4,4,0,0,32,0,8,0,10,3,9,4,0,29,48,70,58,75,69,55,6,0,388,0,0,0,0,0,5,0,0,9,44,38,32,50,54,46,25,13,316,97,164,163,188,183,143,54,18,1004
LGA55670,0,0,0,0,0,0,5,0,3,3,3,0,0,0,0,12,6,10,10,9,4,5,0,0,40,0,5,0,6,11,6,9,0,32,3,16,17,18,20,17,3,0,90,3,0,3,6,0,0,0,0,8,0,0,0,0,0,7,0,0,9,5,20,18,17,22,24,3,0,108,0,0,0,0,0,0,0,0,3,32,13,16,11,23,46,26,4,175,42,49,43,53,66,86,32,10,374
LGA55740,243,248,171,107,32,9,975,3,38,78,67,66,36,16,5,310,139,419,456,473,341,251,130,28,2238,34,74,84,134,117,113,73,18,649,64,82,78,86,80,70,38,14,521,15,4,8,3,6,5,3,0,40,5,3,9,19,12,23,21,3,100,85,91,90,116,95,103,62,22,662,5,8,3,11,12,16,7,5,74,50,56,60,56,59,53,50,45,442,333,839,1007,1104,866,682,382,131,5346
LGA55810,5,3,0,0,0,0,24,0,4,3,3,3,3,0,0,17,7,11,22,17,13,16,0,0,78,0,10,9,5,12,13,0,0,48,14,44,44,42,41,18,3,0,204,0,4,5,0,3,3,0,0,21,0,0,0,0,3,0,0,0,7,15,48,46,45,46,21,5,0,231,0,0,0,0,0,0,0,0,3,53,123,135,126,103,43,14,4,599,77,197,217,204,181,93,18,4,991
LGA55880,0,6,0,0,0,0,4,0,0,0,0,3,0,0,0,7,0,6,13,0,7,0,0,0,29,0,3,0,3,4,6,0,0,27,3,12,13,15,5,9,0,0,63,0,3,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,6,4,14,16,20,6,5,0,0,72,0,0,0,4,0,0,0,0,4,4,3,8,12,5,0,3,4,36,13,27,39,48,29,16,3,3,177
LGA55950,4,0,0,0,0,0,3,0,4,0,5,0,3,0,0,10,0,8,12,7,6,3,4,0,40,0,0,0,6,11,3,0,0,23,8,21,17,14,12,8,0,5,86,0,0,0,3,0,0,0,0,5,0,0,0,5,3,0,0,0,7,10,21,17,22,21,8,0,5,103,0,0,0,0,0,0,0,0,0,10,11,10,10,4,7,11,4,68,20,40,44,42,48,28,14,7,243
LGA56090,245,263,237,166,69,3,1112,6,99,158,205,181,91,40,3,789,172,632,909,962,665,558,238,37,4179,114,308,500,643,643,528,238,55,3029,560,1147,1097,1193,1188,809,342,72,6401,176,84,58,68,37,38,15,3,476,35,38,91,117,156,130,62,10,638,777,1274,1239,1380,1379,971,416,88,7515,14,25,28,30,52,47,31,7,236,170,184,211,219,254,234,241,159,1676,1263,2649,3293,3693,3416,2589,1281,354,18530
LGA56160,0,0,0,3,0,0,4,0,0,3,0,5,8,0,0,8,0,5,0,0,0,7,0,0,20,0,4,0,0,5,11,0,0,14,0,5,5,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,5,10,3,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,9,0,16,19,18,18,27,0,0,90
LGA56230,32,29,26,40,13,0,151,4,17,34,32,39,22,8,0,159,45,155,159,180,120,134,57,11,874,41,123,171,217,212,180,76,22,1031,302,564,613,588,591,391,176,60,3292,119,42,41,29,33,22,9,0,288,14,25,47,62,56,39,32,6,287,437,634,703,675,676,455,212,68,3865,5,7,15,5,16,20,21,3,97,139,134,144,166,160,220,211,92,1267,676,1092,1260,1305,1241,1069,597,199,7440
LGA56300,13,5,9,4,3,0,29,0,3,3,6,8,16,0,0,38,4,15,27,20,33,34,7,0,138,0,10,18,16,29,42,15,0,127,4,24,42,25,58,59,18,3,238,0,3,4,4,0,3,0,0,14,0,0,0,0,5,3,5,0,18,7,31,53,31,66,65,24,4,276,0,0,0,0,0,3,0,0,7,13,19,35,21,48,42,34,7,214,29,78,146,103,180,205,80,12,832
LGA56370,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,10,0,12,19,14,6,0,0,0,59,0,8,0,0,5,4,0,3,29,8,22,17,11,7,7,0,0,81,0,0,0,0,3,0,0,0,5,0,0,0,4,0,0,0,0,4,10,21,17,18,8,8,3,0,88,0,0,0,0,0,0,0,0,0,12,12,9,17,18,15,19,12,115,24,65,58,53,50,26,30,13,316
LGA56460,12,18,8,3,0,0,53,0,9,10,18,19,11,0,0,69,27,98,82,61,75,36,26,8,409,11,39,44,58,60,38,24,6,280,73,148,127,125,125,86,32,3,717,31,15,5,4,3,4,0,0,65,0,3,7,10,10,8,0,0,51,111,165,144,143,143,98,33,9,835,0,4,10,4,0,0,0,0,21,90,64,67,75,61,80,59,61,560,240,387,367,368,366,266,145,78,2219
LGA56580,605,762,577,408,203,57,2976,4,79,133,220,187,120,56,14,829,514,846,1094,1317,974,833,371,134,6090,47,88,151,256,311,282,195,73,1409,110,145,137,131,135,103,78,29,864,35,14,8,4,10,9,7,0,87,10,8,20,37,41,52,34,14,215,157,170,162,176,180,166,120,39,1168,6,18,23,19,20,28,29,13,160,63,72,103,91,81,137,138,133,821,840,1608,2271,2839,2328,1974,1115,474,13449
LGA56620,0,5,4,4,0,0,11,0,0,0,10,4,3,0,0,13,0,20,11,10,14,0,0,0,55,0,0,3,0,11,0,0,0,22,5,7,21,9,8,7,0,0,59,0,0,6,4,0,0,0,0,8,0,0,5,3,5,0,0,0,12,3,7,31,15,16,6,0,0,76,0,0,0,0,0,0,0,0,0,32,35,21,35,29,5,3,0,163,40,65,67,70,77,16,3,0,345
LGA56730,40,24,34,19,5,0,147,5,14,17,27,27,28,3,0,124,21,106,131,127,103,89,37,3,614,18,66,97,115,140,94,40,0,567,148,287,270,327,307,233,71,14,1664,73,35,24,27,23,17,0,0,203,6,20,16,32,35,34,12,3,155,228,337,320,383,371,282,87,21,2026,3,8,8,6,17,15,12,0,53,172,238,245,212,171,190,128,58,1420,449,791,856,892,857,708,307,86,4954
LGA56790,14,15,17,21,4,0,79,0,4,8,10,17,11,0,0,50,11,47,60,57,69,76,28,3,345,0,19,33,40,65,71,15,4,255,37,84,87,102,166,179,49,8,719,9,0,10,7,8,11,3,0,42,0,0,7,11,16,24,7,3,64,48,90,102,116,186,209,63,11,826,0,0,0,0,3,6,4,0,20,49,44,67,79,136,152,64,11,596,107,214,276,331,494,548,171,34,2174
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,13,0,0,0,4,4,0,0,0,13,12,9,3,4,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,8,4,5,9,0,0,42,0,0,0,0,0,0,0,0,0,6,0,6,13,13,12,3,0,57,15,11,15,26,24,23,3,0,128
LGA56930,22,43,30,23,5,6,156,0,0,5,6,8,0,4,3,29,32,49,59,104,90,67,29,10,439,4,11,13,12,28,16,14,4,103,6,6,7,3,7,10,4,4,47,3,0,0,0,0,3,0,0,8,0,0,0,0,10,3,0,0,11,10,6,7,8,14,13,3,4,65,0,0,0,6,4,7,7,0,15,10,0,5,8,7,11,0,5,46,57,96,100,181,187,140,63,28,846
LGA57000,4,4,0,0,0,0,21,0,0,0,0,3,6,0,0,6,0,18,21,9,11,7,3,0,66,0,11,7,17,16,0,0,0,51,16,49,43,39,39,6,0,0,191,3,4,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,6,22,51,46,38,37,4,0,0,207,0,0,0,0,0,0,0,0,0,23,73,95,72,71,27,7,4,382,50,159,175,141,134,53,14,5,735
LGA57080,1071,451,325,218,76,12,3940,41,235,168,114,105,67,20,4,745,1031,3294,1753,758,625,411,177,45,8090,356,683,476,349,352,239,106,33,2595,431,691,427,394,334,182,72,18,2549,164,69,29,23,22,10,4,3,312,29,55,51,50,49,35,14,10,293,622,814,500,464,407,229,89,28,3153,46,77,51,37,26,37,28,13,299,638,1172,876,664,559,437,249,109,4702,2831,7961,4885,2829,2398,1630,743,241,23517
LGA57140,0,0,4,0,0,0,6,0,5,0,0,6,0,0,0,10,11,8,16,8,7,13,0,0,60,0,9,10,10,14,10,4,0,60,19,14,19,27,35,25,8,0,144,3,3,0,3,3,0,0,0,19,0,6,3,0,6,4,0,0,16,22,29,24,26,41,29,9,0,180,0,0,0,0,0,0,3,0,3,4,8,5,18,11,12,12,8,80,38,52,59,60,90,65,34,5,403
LGA57210,13,8,21,17,4,0,69,0,4,11,12,17,16,0,0,53,16,56,70,89,68,79,19,8,404,8,26,38,75,87,74,31,4,343,88,125,128,166,146,106,39,12,803,29,15,14,12,18,4,3,0,101,8,9,8,11,25,20,6,0,85,129,141,152,192,187,133,42,9,986,0,0,4,5,3,9,0,0,23,57,44,73,77,94,97,59,35,539,205,278,363,463,478,415,160,57,2423
LGA57280,85,57,46,16,4,0,316,3,56,57,35,30,19,0,0,197,68,482,418,200,128,59,17,0,1371,28,242,326,245,180,66,7,0,1096,211,986,956,608,459,141,24,7,3395,83,74,58,32,16,6,0,0,270,14,39,47,42,32,21,3,0,193,309,1100,1061,685,505,169,29,3,3854,8,16,16,17,16,6,0,0,69,372,851,790,719,561,212,58,10,3572,791,2823,2759,1958,1470,541,121,20,10474
LGA57350,3,3,0,0,0,0,4,0,0,4,0,0,0,0,0,9,0,7,15,4,11,8,3,0,54,0,7,0,14,10,9,0,0,41,7,23,10,18,22,24,10,7,115,0,0,0,5,6,0,0,0,8,0,0,0,0,4,3,3,0,17,7,22,10,24,35,25,10,7,140,0,0,0,0,0,0,0,0,0,15,27,20,44,38,59,21,11,232,22,68,52,88,91,99,36,16,482
LGA57420,14,6,7,5,0,0,45,0,3,3,8,3,5,0,0,24,7,68,49,34,29,14,14,0,217,9,31,24,45,35,21,8,0,170,41,146,87,103,90,37,10,0,514,4,10,0,5,0,0,0,0,30,0,0,6,5,13,4,0,0,29,55,164,93,112,105,37,14,0,577,0,3,6,5,5,3,0,0,18,28,62,55,75,68,31,24,0,352,92,343,241,281,251,115,59,7,1396
LGA57490,574,476,316,147,64,3,1946,40,302,416,384,276,137,33,11,1591,553,2144,2559,1985,1143,691,266,60,9403,527,1697,2304,2336,1767,891,343,91,9954,2662,5762,5046,4662,3749,1976,967,214,25047,943,478,263,217,170,89,34,6,2195,179,232,363,410,373,271,153,22,2009,3789,6478,5678,5293,4290,2329,1155,242,29256,64,90,113,121,137,116,75,34,747,1048,1236,1099,938,803,764,803,465,7155,6034,12288,12744,11536,8727,5071,2736,902,60042
LGA57630,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,0,3,3,3,4,3,0,0,22,0,0,0,0,4,0,0,0,11,0,3,0,9,9,9,6,0,35,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,5,5,3,0,9,14,14,6,0,44,0,0,0,0,0,0,0,0,5,13,39,23,28,31,9,7,0,146,18,46,30,41,51,24,15,0,224
LGA57700,178,94,69,37,10,0,480,3,97,102,86,61,27,6,4,376,115,622,666,410,258,148,51,9,2274,111,497,580,475,356,174,75,9,2274,670,1623,1304,977,756,428,127,23,5910,185,86,68,43,36,15,3,0,433,44,61,78,115,86,54,19,9,469,900,1775,1451,1138,885,493,149,31,6816,17,26,39,31,33,25,9,7,173,162,210,214,200,157,127,89,36,1198,1317,3295,3225,2426,1819,1027,393,90,13591
