LGA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
LGA56620,0,0,0,0,0,0,5,9,9,0,11,11,18,7,23,10,8,20,18,4,27,21,3,29,31,8,33,18,6,29,19,24,39,9,9,27,15,34,44,4,9,9,4,7,14,3,0,10,7,3,14,35,0,35,20,19,39,253,163,413
LGA56730,20,34,57,16,9,27,14,55,74,21,98,121,66,276,342,74,153,230,247,75,319,189,91,278,199,111,308,215,86,298,156,82,243,131,60,191,320,93,417,232,6,240,173,20,198,92,5,103,226,17,244,333,18,346,52,63,113,2777,1378,4155
LGA56790,15,35,45,5,4,8,3,26,25,5,44,44,32,109,143,24,54,75,90,85,175,56,80,139,59,77,134,60,75,140,44,44,88,38,27,64,85,67,157,68,27,95,36,39,78,19,17,45,55,51,105,96,9,99,16,62,76,806,933,1735
LGA56860,0,0,3,0,0,0,0,0,0,0,0,4,4,5,5,0,5,5,8,0,9,7,3,13,8,5,8,8,0,6,0,6,3,0,3,0,3,0,3,5,0,5,4,0,4,0,0,0,3,0,6,11,0,11,0,0,3,61,35,88
LGA56930,3,11,10,0,0,0,0,3,6,0,4,3,0,5,9,9,11,18,3,5,9,0,7,7,3,14,13,17,5,20,4,6,16,8,6,14,23,21,39,14,3,15,17,9,25,13,0,13,237,20,258,44,0,44,5,4,5,404,127,525
LGA57000,0,0,0,0,0,0,4,0,3,0,0,0,0,13,12,4,0,3,0,4,10,6,3,4,11,9,17,5,7,17,5,3,14,10,0,13,14,8,23,6,0,6,3,5,8,5,0,5,11,0,11,5,0,5,0,17,13,93,77,169
LGA57080,99,312,410,27,74,104,35,212,251,21,372,395,62,383,441,67,369,437,152,263,417,195,367,560,258,567,827,324,518,847,272,545,813,319,495,809,779,1014,1796,541,119,658,501,364,861,332,54,386,1361,669,2032,465,188,650,22,368,391,5846,7245,13088
LGA57140,5,10,17,0,0,5,3,5,6,0,18,18,10,37,47,10,18,29,33,11,48,24,12,35,26,15,37,28,5,33,11,8,17,7,3,18,26,4,33,15,0,15,19,0,24,3,0,3,18,0,21,30,0,30,8,7,15,279,161,440
LGA57210,18,13,31,5,8,12,11,20,31,4,51,55,49,147,197,43,83,127,139,46,180,101,60,163,105,50,151,109,29,141,74,21,92,80,18,95,145,33,179,119,0,121,68,4,72,34,0,36,109,12,118,173,0,170,25,36,56,1403,636,2037
LGA57280,24,46,73,7,10,19,12,56,63,17,68,85,37,43,77,29,49,79,55,70,125,52,60,116,67,117,184,79,136,214,77,173,245,119,172,285,324,449,769,314,35,347,409,168,584,309,29,342,1056,274,1330,390,41,432,69,284,356,3443,2278,5717
LGA57350,4,5,9,0,0,0,0,8,5,4,13,11,0,22,25,8,9,20,22,3,28,18,12,28,20,9,26,14,7,20,14,6,19,16,0,16,17,6,22,9,0,9,10,3,13,6,0,6,15,4,16,27,0,26,4,4,14,211,116,323
LGA57420,3,12,16,0,3,9,4,9,13,4,19,24,12,44,62,13,20,32,34,16,51,35,15,51,24,24,44,31,20,50,19,25,45,30,25,56,66,55,119,39,3,47,39,16,59,16,0,16,59,17,79,63,7,69,12,20,33,507,355,859
LGA57490,319,384,703,113,137,247,156,380,534,185,832,1013,539,1989,2522,781,1387,2166,2014,814,2827,1840,979,2812,1985,1136,3121,2191,952,3146,1957,850,2810,2009,628,2635,4501,1077,5575,3449,115,3567,2983,252,3235,1859,41,1897,4065,242,4306,4625,276,4893,388,436,820,35958,12885,48840
LGA57630,0,5,6,0,0,0,0,4,4,0,3,5,0,6,6,0,0,0,0,7,4,0,4,4,0,6,6,0,0,0,0,5,7,4,0,3,4,4,9,0,5,5,3,3,0,0,0,0,0,3,5,0,0,0,0,0,0,16,58,71
LGA57700,62,58,119,28,17,45,29,54,77,40,74,117,105,172,273,114,140,252,337,102,442,302,125,424,382,185,570,493,168,655,441,155,597,530,135,669,1217,191,1406,963,22,982,758,52,803,421,12,431,1091,49,1138,1080,49,1129,86,50,139,8477,1790,10266
LGA57770,6,21,26,0,12,11,0,12,11,4,21,21,3,54,61,5,22,27,17,91,107,10,60,71,15,71,81,14,63,78,5,40,39,23,33,56,24,66,88,21,32,58,14,34,46,9,18,21,12,63,75,29,21,49,3,148,151,213,869,1077
LGA57840,123,271,389,42,99,141,68,191,259,48,339,387,143,685,835,177,602,782,355,382,730,363,471,839,477,568,1043,610,488,1100,459,491,952,502,383,884,1115,738,1853,895,91,990,888,217,1106,617,42,657,3300,420,3718,825,206,1028,81,165,246,11092,6841,17925
LGA57910,566,1008,1574,214,379,595,300,1046,1348,283,1905,2188,907,4392,5300,1013,2793,3808,2600,1946,4545,2583,2341,4928,3200,2793,5993,3692,2513,6200,2876,2195,5079,3007,1687,4694,6730,3058,9782,5149,388,5535,4809,833,5647,3367,195,3553,12307,1205,13509,4551,838,5389,528,809,1336,58676,32320,90995
LGA57980,42,88,127,13,38,51,8,91,101,15,199,209,34,338,371,54,277,330,111,183,288,115,201,320,169,243,411,183,230,415,128,241,367,213,164,373,410,383,795,331,38,370,315,108,426,269,27,295,1631,309,1933,308,42,350,19,81,104,4381,3266,7647
LGA58050,320,472,792,132,176,305,146,425,563,188,792,975,498,1730,2231,707,1036,1741,1865,732,2599,1733,1048,2783,2312,1374,3682,2744,1169,3912,2328,920,3244,2430,730,3161,5791,1082,6874,4411,136,4547,3258,253,3511,2059,56,2118,4458,280,4734,4267,298,4565,420,695,1110,40062,13393,53455
LGA58190,0,0,0,0,4,4,0,4,4,0,4,4,5,10,19,0,6,10,6,0,10,5,9,7,5,3,10,12,0,11,3,3,5,7,0,7,10,8,11,13,0,13,3,4,3,5,0,5,4,0,5,15,0,15,0,5,3,91,58,147
LGA58260,7,4,6,0,0,3,0,0,0,3,8,8,4,14,20,3,5,13,6,3,7,10,9,18,9,11,16,4,9,16,6,10,18,6,0,6,16,9,29,8,0,8,9,0,9,10,0,10,15,0,18,23,0,23,0,3,3,136,84,223
LGA58330,17,20,38,7,5,13,4,20,26,10,35,42,30,117,155,31,51,81,103,37,139,100,45,143,82,47,133,103,26,128,50,25,79,63,23,87,135,34,168,93,4,95,80,5,92,45,0,49,87,19,103,177,7,182,25,26,51,1229,564,1796
LGA58400,0,0,0,0,3,5,0,3,3,0,3,10,4,21,22,0,0,4,9,4,9,4,9,18,10,10,15,7,3,8,7,3,7,7,0,5,3,5,7,3,0,3,0,0,0,0,0,0,3,0,5,14,0,14,0,7,11,70,68,136
LGA58470,0,5,4,0,0,0,0,3,3,0,0,0,6,3,9,0,3,3,0,3,6,3,6,6,4,3,8,4,6,10,4,9,11,0,6,7,5,13,15,0,6,4,5,12,13,4,0,0,3,7,8,3,0,5,0,12,12,38,100,134
LGA58510,85,219,305,18,80,97,36,192,220,37,381,421,94,719,818,130,620,753,319,376,693,329,473,800,391,544,938,538,477,1011,435,440,876,452,327,770,1071,744,1815,887,114,997,808,217,1028,604,59,660,1916,292,2210,694,225,924,61,162,226,8898,6655,15550
LGA58540,0,0,6,0,0,0,0,6,3,0,9,11,0,10,14,3,4,4,13,12,21,10,8,18,8,14,25,10,14,23,20,5,23,10,8,14,22,7,23,20,0,20,18,0,18,4,0,4,31,11,40,32,0,34,6,19,24,203,118,319
LGA58570,75,169,241,24,58,80,29,144,174,30,327,353,86,542,623,93,420,504,250,340,589,240,389,630,339,522,863,384,511,897,327,494,816,352,452,805,867,915,1780,852,140,988,818,298,1118,637,78,720,2892,503,3387,628,255,890,47,136,190,8952,6679,15633
LGA58610,0,8,7,6,8,12,0,14,16,0,19,18,10,50,68,8,35,41,45,12,64,26,22,45,30,25,56,25,7,35,24,14,36,31,7,38,48,11,59,43,0,43,19,6,20,15,0,16,33,5,36,48,5,49,5,16,27,430,269,696
LGA58680,0,0,0,0,0,0,0,0,3,0,4,4,0,3,5,5,4,3,9,3,11,15,0,16,3,7,7,7,4,10,3,4,8,11,3,10,14,3,23,7,0,7,8,0,14,6,0,6,20,0,20,24,3,28,3,6,14,134,49,182
LGA58760,501,529,1030,159,163,318,220,455,674,298,922,1219,765,2231,2999,1017,1467,2478,2621,956,3578,2547,1286,3829,2988,1486,4478,3686,1247,4933,3108,1061,4167,3288,821,4107,7531,1264,8795,6068,141,6214,4851,283,5132,2975,55,3032,6723,347,7066,6197,278,6475,557,548,1102,56085,15538,71627
LGA58820,17,18,39,11,7,20,9,21,29,11,46,50,17,101,118,27,52,79,99,24,122,74,38,107,73,41,105,74,16,95,43,23,66,52,22,79,105,46,154,88,0,90,74,11,79,40,0,40,110,23,135,155,5,162,23,37,55,1101,525,1629
LGA58890,3,3,3,0,0,0,0,7,8,0,0,0,5,14,19,3,6,11,16,5,22,11,11,19,22,18,35,13,11,23,5,10,16,14,0,15,18,7,28,6,0,6,17,4,19,3,0,3,24,7,30,30,0,28,4,9,11,202,106,302
LGA59030,0,0,0,0,0,0,0,4,4,0,0,0,4,10,13,4,0,5,6,3,9,6,0,4,3,5,7,7,0,9,0,5,4,3,0,3,4,9,8,8,0,8,0,0,0,0,0,0,8,7,13,3,0,3,4,5,7,63,41,110
LGA59100,0,0,5,4,0,4,0,0,0,0,3,3,5,22,25,4,0,5,10,7,14,17,7,24,10,10,20,15,8,19,10,6,17,10,0,12,13,0,18,19,0,19,6,0,6,3,0,3,14,0,16,17,0,17,3,0,9,166,70,234
LGA59170,0,0,5,0,0,0,0,0,0,0,4,4,4,22,25,3,13,11,19,13,30,6,13,22,15,10,21,19,10,35,17,6,25,18,0,23,36,4,42,27,0,27,16,3,18,17,0,17,41,0,41,23,0,21,3,12,15,260,113,373
LGA59250,0,0,4,0,0,0,6,0,7,0,3,3,9,3,7,5,0,0,6,0,6,5,9,9,4,8,10,4,3,10,3,3,7,4,3,6,5,18,20,3,0,3,0,6,6,0,0,3,3,3,6,5,0,5,0,9,10,56,78,134
LGA59310,0,3,8,5,5,3,0,6,15,5,4,11,4,43,49,16,15,29,28,16,40,25,16,38,28,23,49,21,14,32,18,14,31,20,12,29,41,13,55,27,0,28,25,6,27,12,0,12,30,4,31,44,0,43,0,8,14,334,206,539
LGA59320,0,0,0,0,0,0,0,0,0,0,3,3,3,14,18,0,5,3,9,0,9,4,6,10,11,5,17,7,5,12,14,6,15,6,0,10,11,4,15,7,0,7,7,0,9,4,0,4,9,0,9,19,0,15,4,0,4,119,50,162
LGA59330,0,6,6,0,0,5,0,5,5,4,9,7,0,22,22,10,10,22,17,10,26,0,9,11,12,9,23,6,9,16,0,3,6,8,0,3,12,6,22,8,0,8,3,0,6,4,0,4,11,0,11,5,0,5,0,5,5,107,116,221
LGA59340,10,73,85,8,20,34,14,48,62,18,69,89,31,85,116,32,69,100,52,102,152,62,113,178,85,160,249,84,166,250,56,141,196,72,112,187,175,217,392,150,91,240,141,81,220,66,44,110,182,187,369,209,24,229,36,152,191,1488,1963,3449
LGA59350,0,0,0,0,0,0,0,3,3,0,0,5,0,5,5,0,3,3,0,4,4,0,4,0,0,3,3,5,3,8,0,5,7,6,0,7,0,9,16,0,0,0,0,7,9,3,0,0,3,0,5,3,0,3,0,12,12,29,74,98
LGA59360,0,8,8,0,3,3,0,12,12,0,5,5,0,31,32,7,18,22,12,8,24,11,19,30,20,13,32,14,21,35,3,9,17,7,19,22,25,40,68,27,3,29,18,11,23,10,0,10,21,9,29,35,4,37,4,17,20,210,243,456
LGA59370,14,16,31,5,7,16,4,18,25,11,43,50,21,136,153,33,58,94,93,32,121,68,47,117,72,31,107,74,23,100,43,24,67,61,22,75,100,48,143,83,0,82,44,9,51,23,0,28,72,9,76,92,3,96,18,25,42,923,557,1477
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
