LGA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
LGA53080,0,0,0,44,13,57,0,0,0,0,0,0,0,0,0,102,50,152,18,20,41,15,0,15,4,0,5,3,6,9,36,5,45,22,32,54,246,126,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,6,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,24,27,48,0,7,6,284,171,458
LGA53150,31,16,43,70,57,125,0,0,0,0,0,0,13,4,16,1175,1187,2358,48,69,112,5,0,5,10,6,16,35,4,45,9,4,12,34,57,91,1433,1398,2834,32,24,53,0,0,0,0,0,0,10,11,24,0,4,8,4,4,4,40,46,85,0,0,0,0,0,0,0,0,4,0,4,5,3,0,0,6,5,12,15,4,15,64,52,117,8,8,14,0,0,0,3,0,3,15,10,20,226,291,514,175,270,440,4,4,8,1907,2022,3932
LGA53220,10,0,8,2337,469,2807,0,0,0,0,0,0,32,3,35,2262,814,3079,833,265,1092,141,14,154,26,6,25,40,10,49,1243,358,1600,508,374,886,7422,2311,9738,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,4,3,0,0,0,0,0,0,28,21,46,10,0,18,135,25,153,175,43,217,271,58,324,450,105,550,0,3,7,97,20,119,28,7,30,125,33,156,47,61,106,319,223,535,75,34,109,8441,2753,11195
LGA53290,0,0,4,16,10,27,0,0,0,0,0,0,7,3,8,2402,1938,4344,145,148,292,70,0,72,24,7,36,39,28,70,45,23,66,131,121,252,2887,2284,5166,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,4,7,0,0,3,0,0,0,6,6,13,32,22,56,44,29,70,0,0,0,0,0,0,0,0,0,4,0,4,224,343,565,281,323,609,32,25,57,3467,3001,6470
LGA53360,0,0,5,11,3,16,0,0,0,0,0,0,0,0,0,623,568,1186,49,43,95,15,0,17,13,5,19,38,59,96,26,19,44,86,113,206,865,814,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,9,0,9,15,12,26,23,13,35,0,0,0,0,0,0,3,0,3,3,0,7,87,112,199,572,534,1102,20,13,32,1566,1488,3053
LGA53430,250,235,492,202,242,447,4,5,9,0,0,0,27,30,53,4446,4392,8844,274,356,632,44,0,47,56,9,68,243,124,372,97,43,138,297,315,606,5951,5752,11704,165,113,281,0,0,0,0,0,0,64,77,139,8,14,20,25,19,48,276,218,494,0,0,0,0,0,0,8,14,22,11,13,21,4,6,18,24,37,56,67,44,115,362,302,662,18,24,43,7,0,7,5,0,7,29,26,61,846,992,1835,827,1072,1898,33,31,69,8049,8177,16224
LGA53570,3,0,4,43,37,89,0,0,0,0,0,0,0,0,6,640,581,1218,65,98,161,36,0,35,10,0,10,5,5,13,43,5,50,73,68,139,912,801,1710,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,15,4,20,26,10,33,0,4,0,0,0,0,0,0,0,0,4,0,133,156,285,176,132,312,22,14,41,1270,1114,2387
LGA53640,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,246,116,361,8,14,24,11,0,11,0,0,0,0,4,3,6,3,10,26,30,56,296,168,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,47,53,93,15,22,37,0,6,3,363,249,609
LGA53710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,123,268,6,3,7,4,0,0,0,0,0,0,0,0,4,0,4,14,12,31,170,138,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,38,32,65,13,24,31,5,3,12,228,197,428
LGA53780,563,650,1213,363,389,750,10,9,16,3,0,3,160,87,244,22192,16936,39128,1241,1592,2833,353,12,359,115,11,130,126,16,140,517,119,636,158,176,333,25800,19986,45781,497,516,1021,0,0,0,0,0,0,274,224,499,49,59,112,20,4,25,840,814,1654,0,0,0,0,0,0,33,47,77,15,59,76,18,10,32,69,116,187,246,119,366,1154,1049,2203,150,210,365,15,11,24,9,5,14,172,229,401,1203,1711,2915,2611,3181,5794,152,94,241,31092,26250,57349
LGA53800,3,0,3,92,32,120,0,0,4,0,0,0,11,18,30,6136,6228,12361,459,531,988,147,8,155,80,11,90,113,47,162,128,34,156,207,171,379,7379,7076,14450,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,8,0,7,3,5,7,9,9,17,21,7,29,63,40,106,92,52,143,0,0,0,6,0,7,8,3,9,13,0,18,290,487,773,1037,1116,2147,35,29,64,8833,8765,17603
LGA53920,0,0,0,25,13,42,0,0,0,0,0,0,0,0,0,240,164,402,52,50,105,11,0,16,0,0,0,3,4,8,33,3,33,163,198,358,532,441,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,14,5,17,15,11,22,0,0,0,0,0,0,0,0,0,0,0,0,22,21,47,98,127,233,19,21,42,687,624,1311
LGA53990,9,0,9,143,34,180,0,0,0,0,0,0,11,10,16,4589,4349,8936,386,368,754,85,3,88,25,0,27,38,8,45,100,39,143,93,78,175,5481,4889,10373,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,75,6,84,5,8,8,9,0,9,87,12,98,52,26,79,143,38,186,6,0,0,3,0,3,3,0,3,10,4,10,274,405,684,839,873,1708,38,20,56,6783,6239,13015
LGA54060,0,0,5,6,9,9,0,0,0,0,0,0,0,0,6,462,450,909,36,34,72,14,0,17,0,0,6,5,0,10,19,8,29,36,32,63,578,540,1113,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,11,14,5,13,0,0,0,0,0,0,0,0,0,0,0,0,52,73,131,129,107,241,18,11,23,794,734,1529
LGA54130,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,184,119,299,6,10,13,11,0,11,0,0,0,0,0,0,4,4,8,33,28,59,232,166,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,68,60,123,24,35,59,0,0,0,334,258,594
LGA54170,1708,1556,3265,242,174,417,11,9,17,0,6,5,84,71,156,26405,24320,50723,1266,1633,2904,468,9,475,179,9,193,260,49,312,630,97,725,303,385,692,31565,28323,59891,750,540,1289,0,0,0,0,0,0,662,553,1216,101,105,202,77,12,90,1586,1207,2792,0,0,0,0,0,0,34,18,54,12,25,33,24,7,27,69,46,121,225,120,342,1881,1370,3259,240,232,474,5,3,10,17,0,19,262,234,500,3510,4408,7918,4157,5854,10015,116,106,223,41491,40303,81796
LGA54200,56,69,126,245,217,463,5,4,10,4,0,0,48,25,72,10323,9037,19362,499,541,1043,272,4,277,78,4,83,59,12,74,246,60,306,146,134,281,11981,10117,22093,16,31,51,0,0,0,0,0,0,81,75,162,4,10,11,0,0,0,104,121,228,0,0,0,0,0,0,30,30,66,14,26,43,15,8,23,70,61,130,97,49,149,269,231,501,22,17,43,8,4,10,3,0,3,27,22,52,857,1271,2123,1450,1903,3358,65,42,108,14650,13587,28235
LGA54280,4,4,6,344,93,437,8,5,12,0,0,0,44,54,94,6166,4839,11008,722,577,1299,126,12,136,58,6,62,65,15,81,122,46,169,246,245,491,7904,5906,13810,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,54,10,67,7,0,15,9,0,9,73,16,89,98,64,156,170,83,248,0,0,0,9,0,16,12,4,11,21,5,26,118,273,389,731,625,1360,39,24,66,8984,6923,15901
LGA54310,6,4,10,693,84,777,0,0,5,0,0,0,26,12,33,4779,3347,8127,753,356,1105,107,5,110,57,8,63,45,24,72,309,72,380,204,282,487,6985,4186,11178,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,19,12,27,9,6,16,22,3,25,51,13,61,114,35,148,171,46,214,3,0,10,28,0,33,13,3,17,45,4,53,65,226,294,744,611,1359,51,31,81,8064,5112,13172
LGA54340,0,0,0,44,11,59,0,0,0,0,0,0,0,0,0,684,546,1229,87,65,151,20,0,20,3,0,3,3,0,3,13,4,18,44,52,92,886,678,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,4,6,15,0,0,0,0,0,0,0,0,0,0,0,0,56,52,107,49,69,115,14,4,21,1010,808,1814
LGA54410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,126,272,10,6,18,13,0,13,3,0,3,0,0,0,3,0,5,22,21,48,201,159,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,28,20,43,17,39,56,4,8,10,245,224,467
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,53,134,5,3,5,4,0,4,0,0,0,0,0,0,9,0,10,17,13,31,117,72,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,55,0,7,7,9,0,6,154,111,262
LGA54550,0,0,0,9,4,9,0,0,0,0,0,0,0,0,0,300,232,528,24,18,34,8,0,8,0,0,0,0,0,0,16,0,16,48,35,83,396,283,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,97,83,180,29,48,77,5,4,11,533,422,950
LGA54620,0,0,0,48,0,57,0,0,0,0,0,0,0,0,0,201,89,298,38,10,48,13,0,13,0,0,0,7,0,11,36,5,42,32,30,62,387,144,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,5,8,0,8,13,0,14,0,0,0,6,0,6,3,0,3,8,0,8,41,36,78,19,26,48,4,3,11,475,218,691
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,40,110,0,3,3,5,0,5,0,0,0,0,0,0,0,0,0,6,10,9,80,48,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,38,3,6,11,0,8,5,113,77,184
LGA54760,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,91,75,170,3,0,3,9,0,9,0,0,0,0,0,0,12,4,11,40,18,53,152,100,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44,45,87,13,18,28,0,0,3,216,162,379
LGA54830,411,486,895,116,117,233,3,3,4,0,0,0,38,12,52,7296,5960,13254,436,516,953,113,4,116,38,0,42,22,8,22,216,53,273,68,69,131,8759,7226,15977,180,281,455,0,0,0,0,0,0,112,112,224,22,38,60,12,6,19,326,428,755,0,0,0,0,0,0,9,10,16,9,14,26,8,3,14,28,27,55,86,41,128,441,492,938,63,135,199,5,3,13,5,0,11,78,137,214,370,673,1040,1135,1330,2469,46,35,88,10827,9894,20726
LGA54900,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,252,143,397,12,15,25,11,0,17,0,0,0,5,0,8,6,0,9,48,42,83,343,203,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,6,7,11,0,0,0,0,0,0,0,0,0,0,0,0,86,68,149,12,35,48,3,5,8,452,309,764
LGA54970,0,0,0,336,54,392,0,0,0,0,0,0,6,0,6,330,65,395,180,47,226,10,4,18,0,0,0,9,0,4,307,67,374,57,72,125,1237,314,1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,26,7,31,32,8,36,69,15,86,102,24,123,0,0,0,23,0,26,0,0,6,23,5,26,0,12,7,21,14,34,11,5,10,1396,362,1753
LGA55040,0,0,0,288,37,323,0,0,0,0,0,0,4,0,4,309,130,445,149,40,188,22,0,24,0,0,0,3,0,4,200,47,249,78,66,136,1059,319,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,24,4,25,44,15,58,63,18,82,3,0,3,16,4,21,3,0,4,25,3,29,5,8,20,42,28,65,9,4,11,1203,382,1585
LGA55110,249,279,529,274,166,440,3,0,7,0,0,0,40,32,73,10510,10977,21487,774,868,1640,191,4,200,52,5,52,73,28,99,520,124,647,169,179,350,12847,12675,25522,95,82,182,0,0,0,0,0,0,137,114,250,22,23,37,10,3,13,262,225,480,0,0,0,0,0,0,30,6,37,11,32,39,18,9,27,57,49,104,188,77,264,502,340,847,71,70,138,12,9,18,13,3,14,90,81,167,828,1425,2249,2805,2702,5505,110,85,198,17176,17307,34482
LGA55180,0,0,0,27,9,34,0,0,0,0,0,0,0,0,5,1448,1312,2765,137,134,271,41,0,41,8,0,13,15,4,25,30,11,38,133,103,235,1837,1585,3422,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,15,4,24,20,4,24,0,0,0,0,0,0,0,0,0,5,0,5,213,218,434,221,266,491,31,15,50,2325,2098,4425
LGA55250,0,0,0,150,20,167,0,0,0,0,0,0,6,0,6,246,78,325,90,22,110,22,0,22,0,0,0,0,5,8,162,39,197,65,71,131,735,225,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,7,11,0,14,14,0,17,35,9,45,47,12,62,0,0,0,0,0,0,5,0,5,3,0,3,21,8,32,28,15,50,14,9,22,846,272,1120
LGA55320,540,407,949,861,634,1493,8,0,5,0,0,0,62,55,115,16214,15285,31502,773,1258,2030,115,7,121,111,14,130,348,84,429,262,73,338,225,267,497,19530,18084,37612,597,460,1064,0,0,0,0,0,0,172,133,304,37,49,83,33,4,39,832,652,1483,0,0,0,0,0,0,44,45,82,19,30,51,16,9,30,81,84,165,166,94,263,1078,832,1909,107,92,199,12,7,17,4,3,8,125,107,228,2414,2726,5142,2184,3503,5688,81,69,154,25409,25327,50737
LGA55390,0,0,0,115,26,144,0,0,0,0,0,0,3,0,3,121,23,137,105,15,116,10,0,7,0,0,0,0,0,0,125,39,164,30,26,58,513,126,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,12,18,3,19,15,0,22,36,7,39,0,0,0,0,0,4,3,0,3,4,0,9,8,0,6,6,5,15,11,0,11,575,141,721
LGA55460,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,538,417,955,34,28,68,24,0,24,9,0,9,6,4,9,0,3,5,50,39,88,673,502,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,7,7,7,11,0,0,0,0,0,0,0,0,0,3,0,4,46,56,104,50,79,127,3,4,10,782,646,1432
LGA55530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,40,113,6,0,5,0,0,0,0,0,0,0,0,0,0,3,0,14,13,23,96,55,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,20,32,17,21,34,0,0,3,128,99,226
LGA55600,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,384,321,703,25,20,46,12,0,12,0,0,4,6,0,8,7,5,12,47,34,88,483,386,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,58,64,115,34,42,75,0,0,5,584,496,1079
LGA55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,65,139,4,7,6,6,0,6,0,0,0,0,0,4,5,6,9,15,13,27,106,85,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,19,39,0,10,16,4,0,4,135,116,250
LGA55740,165,109,267,51,30,85,0,0,0,0,0,0,9,0,13,1247,1209,2452,60,89,145,6,0,4,20,0,20,50,8,59,21,6,26,34,68,107,1661,1521,3178,10,20,30,0,4,5,0,0,0,10,10,25,0,0,0,9,3,9,33,35,76,0,0,0,0,0,0,0,3,5,0,0,0,4,0,4,3,8,9,12,10,26,50,50,107,9,7,13,3,0,3,0,0,0,7,10,19,300,295,594,182,290,466,3,6,9,2203,2169,4372
LGA55810,0,0,0,65,9,78,0,0,0,0,0,0,0,0,0,129,44,173,32,12,47,16,0,16,0,0,0,0,0,0,41,5,49,20,30,52,302,103,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,3,4,3,8,10,8,15,16,10,23,0,0,0,0,0,3,0,0,0,0,0,5,5,5,11,15,9,25,4,4,10,346,131,479
LGA55880,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,59,42,106,5,3,10,0,0,0,0,0,0,0,0,0,3,4,4,24,10,29,101,64,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,52,4,7,8,5,0,5,129,100,234
LGA55950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,56,136,0,5,3,10,0,10,0,0,0,6,0,7,7,0,12,19,9,30,128,77,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,23,41,13,12,27,6,3,8,165,115,279
LGA56090,88,89,175,87,53,142,0,0,0,0,0,0,10,10,23,5950,5628,11573,298,328,622,184,6,196,53,4,62,43,8,51,151,37,188,64,89,150,6928,6253,13180,36,32,66,0,0,0,0,0,0,131,99,233,11,18,28,3,0,3,182,147,329,0,0,0,0,0,0,8,9,16,4,5,11,3,3,4,17,18,32,64,33,104,268,203,467,14,26,37,3,5,4,3,0,3,19,27,52,678,953,1631,1094,1289,2378,62,42,107,9049,8766,17812
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,15,3,0,3,0,0,0,0,0,0,0,0,0,3,8,11,11,11,20,24,17,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,18,3,0,3,0,0,0,34,30,69
LGA56230,22,24,44,41,18,62,0,0,0,0,0,0,0,0,5,2143,2178,4319,146,159,308,83,0,89,14,0,14,9,8,18,100,38,141,54,56,111,2610,2490,5104,3,0,9,0,0,0,0,0,0,22,22,43,0,0,0,0,0,0,28,28,50,0,0,0,0,0,0,8,4,7,5,3,4,4,0,8,10,8,21,37,11,54,71,43,121,14,9,23,0,0,0,0,0,0,14,9,23,225,306,531,652,544,1196,24,17,43,3597,3422,7016
LGA56300,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,155,158,310,11,13,15,0,0,0,5,0,6,13,0,13,8,0,8,31,21,49,218,195,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,55,46,104,41,46,89,5,0,4,325,289,610
LGA56370,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,127,88,209,7,6,16,8,0,8,0,0,0,0,5,5,8,0,9,15,18,36,161,112,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,63,7,9,21,0,0,0,206,154,359
LGA56460,0,0,0,21,6,25,0,0,0,0,0,0,0,0,0,756,723,1482,54,57,105,22,0,22,4,0,4,4,5,9,18,0,15,57,64,114,933,847,1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,3,10,14,13,7,18,0,0,0,6,0,6,0,0,0,3,0,3,63,61,127,80,108,185,12,14,18,1099,1035,2136
LGA56580,94,70,160,358,217,582,0,0,0,0,0,0,19,18,38,3247,2716,5968,218,298,510,8,0,8,26,8,35,210,71,276,37,13,49,170,140,306,4396,3548,7940,32,16,49,0,0,0,0,0,0,11,15,28,4,6,13,0,4,3,53,44,89,0,0,0,0,0,0,12,13,20,8,14,26,5,3,7,24,28,58,36,20,52,112,90,202,12,3,13,6,8,10,5,0,0,21,7,30,705,778,1486,419,639,1059,25,18,46,5674,5089,10762
LGA56620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,28,74,12,23,36,0,0,0,0,0,0,0,0,0,3,0,7,55,81,137,115,135,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,4,9,0,6,4,127,146,276
LGA56730,4,5,10,15,0,16,0,0,0,0,0,0,5,6,11,1483,1509,2989,130,146,273,44,0,44,11,0,7,6,0,11,35,8,50,97,76,174,1821,1760,3581,0,0,0,0,0,0,0,0,0,4,8,9,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,30,24,17,43,9,3,7,0,0,0,4,0,3,6,5,12,125,176,302,246,240,486,19,13,33,2245,2214,4463
LGA56790,0,0,0,25,0,29,0,0,0,0,0,0,0,0,0,383,349,735,38,30,69,11,0,11,4,0,8,10,8,20,19,12,31,48,40,90,543,442,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,5,9,16,8,9,16,0,0,0,0,0,0,4,0,4,4,0,4,94,99,193,237,196,430,21,10,28,903,755,1658
