LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA56930,544,745,1287,256,129,380,130,187,309,5,21,23,14,32,41,400,361,754,137,364,496,2.5,8.6,5.4,72.8,48.7,58.9,71,44.5,55.7,86,70,156,3,25,29,213,230,439,41,58,103,31,14,47,0,6,8,3,12,11,32,31,65,550,780,1330,77,110,182,356,464,826,240,405,643
LGA57000,731,271,1000,325,81,408,39,49,81,37,10,52,3,0,5,400,139,542,35,46,81,0.7,0.7,0.7,55,52.8,54.4,54.6,52.4,54,15,9,21,0,5,6,48,23,66,34,24,51,161,29,191,10,3,11,3,3,6,169,39,207,382,176,565,79,41,118,266,127,388,190,82,279
LGA57080,15970,14045,30011,6940,4370,11311,2199,3100,5298,567,555,1120,642,526,1170,10350,8561,18906,3029,3719,6746,6.2,6.2,6.2,64.8,60.9,63,60.8,57.2,59.1,2095,1844,3940,328,418,745,4119,3971,8090,1281,1311,2595,1684,862,2549,154,162,312,121,169,293,1959,1194,3153,9737,8779,18512,4560,4366,8924,3846,3351,7191,10038,9391,19433
LGA57140,416,410,831,154,66,218,33,102,134,15,6,26,22,15,34,220,191,404,170,195,367,9.5,6.4,8.1,52.8,45.4,49.1,47.7,42.5,45.1,7,4,6,0,7,10,17,43,60,20,37,60,97,48,144,4,12,19,6,11,16,104,73,180,418,394,812,55,65,117,315,278,594,135,148,287
LGA57210,2188,2130,4320,837,416,1250,266,520,786,101,91,196,42,43,85,1247,1077,2325,730,835,1569,3.5,4.2,3.8,57,50.5,53.8,55,48.4,51.8,34,35,69,14,39,53,154,253,404,124,224,343,486,317,803,37,66,101,37,47,85,564,424,986,2049,1977,4027,257,278,535,1422,1377,2801,777,791,1569
LGA57280,8731,6102,14833,4456,2223,6681,515,1001,1519,424,338,763,181,135,314,5580,3700,9289,887,1328,2215,3.2,3.7,3.4,63.9,60.7,62.6,61.9,58.5,60.5,155,158,316,71,125,197,520,851,1371,573,526,1096,2605,787,3395,98,169,270,91,106,193,2790,1062,3854,6150,4831,10986,1941,1772,3714,2835,1963,4796,4644,4111,8754
LGA57350,382,404,779,138,50,187,21,63,85,3,8,16,4,3,5,168,133,296,104,167,273,3,2.3,2.7,44.7,31.9,38.1,43.4,31.2,37.1,5,3,4,0,8,9,10,39,54,17,26,41,76,43,115,3,5,8,0,11,17,81,57,140,283,305,591,33,54,84,203,227,435,91,107,200
LGA57420,1393,814,2206,769,231,1001,108,174,283,85,48,129,25,9,30,982,462,1443,204,278,483,2.2,1.7,2.1,70.5,56.6,65.4,68.9,55.6,64,17,22,45,11,12,24,95,113,217,85,85,170,417,98,514,12,17,30,12,18,29,442,134,577,1066,690,1755,280,197,475,649,386,1029,618,434,1055
LGA57490,48510,53148,101657,23605,12998,36603,5441,14582,20015,2133,1975,4112,2225,2108,4337,33406,31659,65062,12509,19026,31528,6.7,6.7,6.7,68.9,59.6,64,64.3,55.6,59.7,892,1051,1946,459,1135,1591,3261,6144,9403,4095,5858,9954,15540,9506,25047,861,1335,2195,717,1294,2009,17119,12134,29256,51016,54181,105193,8683,9600,18273,33183,34828,68011,22401,25256,47658
LGA57630,197,75,274,31,12,45,10,7,16,4,3,6,6,6,0,50,18,69,38,33,71,4,9.5,5.6,25.3,26.6,25.6,24.2,24.1,24.2,3,3,4,0,0,3,17,9,22,3,0,11,26,13,35,0,0,3,0,4,5,28,18,44,72,50,122,18,7,30,54,34,88,37,21,55
LGA57700,11161,11949,23115,6151,3364,9518,1276,3623,4897,514,539,1054,300,362,661,8244,7895,16136,2545,3653,6193,3.7,4.6,4.1,73.9,66,69.8,71.2,63,66.9,215,264,480,97,282,376,799,1472,2274,836,1438,2274,3739,2169,5910,163,274,433,160,311,469,4063,2758,6816,12428,13095,25521,1761,1996,3761,8233,8382,16619,4792,5547,10348
LGA57770,1344,1258,2602,363,203,571,90,172,255,174,156,332,11,12,26,639,548,1186,461,504,965,2,2.8,2.4,47.8,43.3,45.6,46.9,42.1,44.6,33,58,90,10,36,44,129,174,304,124,135,259,370,139,505,8,24,40,13,21,34,396,183,580,1073,971,2047,179,199,379,733,661,1396,453,458,911
LGA57840,17440,18936,36376,8149,5448,13594,2923,5174,8098,474,572,1044,596,496,1093,12140,11690,23832,4550,6343,10898,4.9,4.2,4.6,69.6,61.7,65.5,66.2,59.1,62.5,2100,1889,3991,535,889,1422,4830,5380,10210,1552,1865,3423,2180,1286,3459,146,202,348,188,341,530,2509,1830,4340,16299,17080,33380,3506,3705,7212,9724,10485,20209,9152,9377,18526
LGA57910,86997,96174,183170,41883,27279,69163,14034,26876,40912,2526,3217,5742,2928,2715,5642,61379,60089,121464,21840,32172,54011,4.8,4.5,4.6,70.6,62.5,66.3,67.2,59.7,63.2,6908,7004,13914,2069,3779,5852,18961,23373,42339,8572,10249,18820,15261,8378,23638,824,1280,2101,1055,2095,3150,17139,11749,28890,85936,92698,178631,14991,16281,31270,53408,58111,111521,41764,45515,87282
LGA57980,6727,7609,14333,3188,2316,5500,1082,2070,3154,138,211,354,201,194,392,4613,4790,9398,1729,2437,4163,4.4,4,4.2,68.6,62.9,65.6,65.6,60.4,62.8,1286,1193,2474,260,445,706,2176,2562,4742,486,683,1168,509,338,845,51,56,110,69,135,206,629,537,1161,6173,6806,12982,1458,1704,3167,3555,4034,7589,3706,4137,7836
