LGA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
LGA53800,76,6,27,4,120,32,5,13,0,49,29,9,37,4,76,9,4,60,4,77,94,10,101,4,208,85,15,142,6,253,469,39,169,15,692,275,64,203,21,565,268,87,211,12,580,328,187,145,12,671,217,196,126,9,549,222,214,106,10,549,497,567,147,16,1230,363,511,80,6,961,318,415,42,9,780,152,288,20,3,468,342,584,28,0,962,388,679,156,15,1231,73,23,36,3,130,4238,3905,1851,159,10147
LGA53920,0,0,0,0,3,0,0,5,0,7,3,0,35,0,41,0,4,23,3,32,19,33,30,4,91,5,33,21,0,63,15,36,23,7,87,8,26,23,7,61,3,32,21,3,61,9,23,13,0,44,0,9,7,0,18,4,7,8,0,19,7,13,11,0,32,16,15,3,0,29,10,3,0,0,16,0,0,0,0,7,5,3,6,0,20,4,29,36,10,82,12,17,27,3,64,145,294,298,44,778
LGA53990,71,3,19,0,90,31,0,9,0,39,24,0,11,0,41,30,4,20,0,57,90,11,53,4,160,59,9,97,0,173,369,27,120,3,519,240,33,122,7,406,270,97,125,12,499,256,151,109,5,524,135,167,64,9,373,185,208,63,9,465,388,540,100,12,1029,298,424,41,4,769,234,374,32,4,646,123,251,8,0,388,235,538,16,0,791,243,588,108,6,940,46,30,17,0,94,3334,3449,1131,84,8001
LGA54060,12,0,4,0,13,0,0,0,0,0,6,0,5,0,11,7,0,4,0,10,24,4,6,0,27,20,0,17,0,37,65,3,20,0,86,48,3,12,0,61,45,8,7,0,56,44,16,11,0,72,21,21,10,3,52,18,13,3,0,43,46,44,8,0,100,34,30,0,0,61,20,30,6,0,47,17,20,0,0,41,30,43,5,0,74,57,83,5,0,153,16,8,4,0,25,529,316,125,10,984
LGA54130,3,0,0,0,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,6,0,0,0,7,10,0,4,0,15,5,7,3,0,14,13,7,0,0,17,18,9,4,0,29,4,14,0,0,13,4,8,0,0,21,18,7,0,0,33,10,5,0,0,22,16,11,0,0,27,4,0,0,0,6,12,16,0,0,27,9,26,5,0,38,0,0,0,0,0,141,123,20,0,287
LGA54170,318,44,67,10,434,155,12,39,5,215,116,19,48,10,194,85,21,115,8,223,412,46,186,10,655,301,40,304,13,668,1491,125,332,26,1980,1226,172,459,44,1900,1439,366,619,50,2474,1501,550,540,36,2631,896,690,462,35,2076,948,755,397,32,2133,1918,2315,753,58,5047,1595,2525,303,37,4452,1281,2745,261,18,4311,798,2067,97,11,2977,2072,6992,298,22,9377,1077,2711,510,14,4313,200,151,47,9,400,17825,22347,5840,456,46463
LGA54200,129,14,28,5,171,66,7,16,0,90,49,9,24,6,82,22,8,56,3,91,150,12,91,5,266,120,20,144,7,292,641,46,165,9,858,441,91,197,22,754,544,195,273,11,1024,572,308,233,24,1135,302,320,187,13,824,355,385,152,16,912,740,1021,281,27,2063,530,957,123,23,1638,449,857,79,9,1395,268,619,41,12,934,607,1558,80,12,2251,436,927,219,10,1587,98,52,24,0,178,6515,7406,2415,213,16548
LGA54280,28,7,16,6,53,13,4,10,0,27,10,0,15,0,40,6,0,25,0,33,28,3,38,0,73,28,8,79,0,114,111,13,72,3,206,67,33,80,3,186,87,43,82,10,223,127,60,84,9,274,68,90,74,7,239,102,124,61,5,293,324,398,130,7,856,319,376,56,19,770,303,445,42,16,805,203,289,18,3,519,486,963,52,13,1509,206,434,73,6,717,39,33,41,5,122,2551,3319,1054,114,7033
LGA54310,13,6,10,0,23,0,0,4,0,11,0,0,9,0,12,3,3,18,0,23,12,5,18,0,37,9,3,26,3,39,20,3,23,6,58,21,10,32,6,65,31,24,39,3,90,31,36,33,0,103,24,48,43,0,111,44,79,39,5,167,168,240,61,3,472,152,243,15,5,412,200,304,43,5,548,157,225,6,0,398,535,1113,41,0,1693,166,324,27,4,528,13,17,8,0,39,1595,2696,491,51,4826
LGA54340,3,3,6,0,10,3,0,0,0,6,5,0,0,0,5,0,0,9,0,8,16,0,12,0,31,6,0,20,0,29,67,13,14,0,94,35,22,20,0,78,30,23,14,3,67,38,30,16,0,80,31,22,4,3,63,30,35,10,5,80,64,53,9,0,122,39,47,5,0,92,23,19,0,0,50,10,14,0,0,27,27,32,0,0,60,25,57,15,4,104,6,5,4,0,17,460,373,159,17,1010
LGA54410,8,4,0,0,8,0,0,0,0,0,0,0,0,0,5,4,0,0,0,3,3,0,0,0,3,4,0,0,0,3,29,3,6,0,37,10,3,6,0,19,9,0,4,0,15,9,11,6,0,19,3,5,0,0,8,13,9,0,0,21,23,16,3,0,41,13,9,0,0,26,4,6,0,0,9,0,6,0,0,0,8,5,0,0,18,12,13,7,0,36,0,4,3,0,8,148,92,39,3,283
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,6,6,3,0,0,5,3,4,0,0,3,0,7,0,0,7,5,5,0,0,11,7,11,0,0,18,4,5,0,0,15,4,9,0,0,11,0,0,0,0,0,3,11,0,0,11,0,12,0,0,20,0,0,0,0,0,45,69,3,0,119
LGA54550,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,5,0,10,3,0,4,0,10,19,0,11,0,33,19,6,9,0,29,13,9,5,0,30,21,15,4,0,35,8,10,0,0,23,14,13,0,0,28,40,34,0,0,69,15,18,3,0,37,13,23,0,0,33,4,12,0,0,14,29,23,0,0,56,6,36,9,0,48,3,3,0,0,11,221,206,47,0,475
LGA54620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,14,0,8,0,20,3,4,0,0,6,5,0,0,0,12,12,6,3,0,14,7,3,0,0,7,6,0,0,0,10,13,5,0,0,21,3,8,0,0,16,8,7,0,0,13,4,9,0,0,10,5,8,0,0,13,12,23,9,0,34,0,0,4,0,3,103,71,29,3,199
LGA54690,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,12,0,5,0,12,8,0,0,0,4,0,0,0,0,0,5,3,0,0,10,0,3,0,0,3,0,0,0,0,0,5,0,0,0,9,10,4,0,0,7,0,0,0,0,4,0,0,0,0,0,4,9,0,0,5,3,4,3,0,8,0,0,0,0,5,53,35,3,0,95
LGA54760,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,7,0,0,0,10,6,0,0,0,7,4,5,3,0,12,0,9,0,0,9,5,0,0,0,5,5,4,0,0,15,22,10,0,0,30,5,5,0,0,13,7,9,0,0,20,6,4,0,0,9,14,7,0,0,24,9,23,3,0,33,7,0,0,0,4,102,84,9,0,196
LGA54830,72,15,32,3,125,16,3,12,0,37,14,8,34,0,56,24,9,71,0,102,73,10,109,8,199,75,26,215,3,327,352,79,213,9,659,230,105,248,36,618,209,222,262,17,714,260,328,226,21,840,203,398,166,16,779,216,436,130,10,786,504,938,178,33,1650,396,757,77,13,1246,277,602,45,11,928,139,359,24,0,526,205,626,36,9,866,327,816,169,9,1323,36,28,39,3,109,3640,5783,2287,196,11898
LGA54900,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,13,14,0,0,0,12,3,11,3,0,14,14,8,3,0,27,10,16,0,0,21,13,10,3,0,22,24,16,0,0,46,20,11,0,0,32,11,13,0,0,24,5,8,0,0,11,17,21,0,0,34,8,28,6,0,41,4,0,0,0,6,159,146,18,3,321
LGA54970,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,6,6,0,0,4,14,0,5,0,0,5,5,10,0,3,20,0,3,0,4,13,3,0,0,0,0,0,3,3,0,9,0,0,0,0,0,6,0,0,0,6,3,5,3,0,8,8,3,0,0,9,3,5,0,0,6,0,0,0,0,0,8,0,0,0,8,3,4,4,0,16,0,3,0,0,8,50,35,25,9,120
LGA55040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,11,3,0,0,0,10,4,3,3,0,10,4,4,0,0,15,3,4,5,0,8,3,0,0,0,5,12,10,4,0,26,4,7,0,0,17,12,12,0,0,23,7,4,3,0,13,13,14,3,0,32,8,17,3,0,34,3,0,0,0,6,89,85,31,6,210
LGA55110,247,30,72,5,351,103,5,31,3,139,74,3,57,8,147,64,14,118,3,199,348,22,214,7,587,259,61,461,16,802,1724,110,433,26,2292,1162,181,501,38,1876,1095,300,457,31,1882,1054,411,390,31,1878,475,417,248,17,1158,516,456,220,15,1202,1055,1130,325,36,2546,690,933,156,15,1798,561,913,87,12,1577,295,577,39,6,913,765,1501,94,12,2371,937,1744,341,13,3038,206,66,64,13,351,11632,8872,4306,301,25111
LGA55180,18,8,0,0,30,18,0,4,0,18,12,7,4,0,21,7,0,10,0,18,41,7,24,0,72,29,8,16,0,57,148,10,32,0,202,88,34,45,4,167,99,53,37,9,197,108,57,34,0,199,51,56,19,0,131,72,67,17,0,156,139,128,18,9,297,96,101,5,0,202,60,75,6,0,147,18,40,5,0,63,48,57,5,0,107,90,126,28,0,243,30,8,4,0,39,1177,829,305,33,2346
LGA55250,3,0,0,0,3,0,0,0,0,0,0,0,6,0,6,0,0,9,0,10,3,0,5,0,7,0,0,0,0,4,9,5,0,0,18,7,0,0,3,9,3,10,3,0,15,0,5,3,0,12,4,8,0,0,12,6,3,0,0,3,17,3,0,0,20,4,3,0,0,4,7,0,0,0,12,0,4,0,0,3,6,0,0,0,4,15,6,10,0,18,3,0,3,3,16,70,52,42,13,182
LGA55320,249,41,70,15,373,146,11,23,10,196,85,15,51,10,161,40,22,72,5,138,277,42,136,4,461,170,39,182,13,409,814,103,206,34,1154,693,136,279,39,1144,871,221,332,42,1465,928,348,315,40,1630,483,348,275,35,1142,606,436,208,28,1283,1139,1192,484,41,2866,867,1286,195,22,2373,749,1470,174,25,2417,514,1078,66,19,1677,1744,5373,263,27,7415,560,1311,276,16,2166,128,49,45,0,221,11072,13519,3670,426,28676
LGA55390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,3,0,0,3,3,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,11,4,0,37
LGA55460,0,0,0,0,8,4,0,0,0,4,4,0,0,0,3,4,0,9,0,7,9,0,4,0,12,0,3,15,0,16,43,5,10,0,60,15,12,13,0,40,32,16,13,0,61,28,13,12,0,57,17,17,10,0,42,17,23,5,0,45,47,47,8,0,107,32,34,0,0,67,18,31,0,0,53,17,16,0,0,30,26,27,0,0,59,28,45,9,0,79,9,0,6,0,17,349,293,111,7,763
LGA55530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,7,4,0,3,0,5,0,9,0,0,6,0,3,0,0,5,0,4,0,0,5,3,6,0,0,8,5,12,0,0,21,0,7,0,0,6,3,3,0,0,8,0,0,0,0,0,3,5,0,0,12,3,8,0,0,14,5,0,0,0,6,49,47,7,0,104
LGA55600,8,0,3,0,10,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,11,0,8,0,16,4,0,10,0,18,25,3,15,0,39,12,7,7,0,30,15,13,12,0,32,25,9,6,7,42,19,5,3,0,24,16,13,0,0,32,28,29,6,0,69,24,28,4,0,62,17,24,0,0,46,11,5,0,0,16,14,24,0,0,43,19,44,5,0,69,3,0,3,0,9,261,205,89,12,564
LGA55670,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,8,9,3,4,0,7,3,3,5,0,7,12,3,0,0,14,4,4,0,0,16,9,4,0,0,10,6,14,4,0,20,11,0,0,0,11,0,4,0,0,6,5,0,0,0,8,0,6,0,0,9,4,8,0,0,20,6,0,0,0,3,70,56,19,0,140
LGA55740,12,6,14,0,31,5,0,7,0,13,0,0,7,0,6,4,4,5,0,14,22,0,0,0,34,13,3,13,0,35,30,7,7,3,48,42,11,20,0,68,53,11,27,0,95,52,20,11,0,84,31,18,20,6,74,49,27,14,4,93,87,34,29,4,162,64,55,14,0,131,64,89,14,0,164,35,43,0,0,76,250,654,34,3,945,62,118,20,3,207,7,5,0,0,12,880,1104,262,31,2284
LGA55810,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,4,7,0,3,0,9,0,0,0,0,4,4,0,0,0,4,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,4,5,0,0,11,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,5,0,0,9,0,3,0,0,6,0,0,0,0,0,40,18,15,0,71
LGA55880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,5,6,0,3,0,9,3,0,3,0,6,3,0,0,0,6,3,3,0,0,8,0,5,0,0,5,5,7,0,0,12,3,4,0,0,12,3,5,0,0,8,0,0,0,0,10,0,0,0,0,0,9,6,0,0,11,4,15,0,0,21,0,0,0,0,0,55,48,14,0,118
LGA55950,0,0,0,0,3,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9,7,0,0,0,9,3,6,0,0,7,6,3,0,0,6,6,0,0,0,5,10,8,0,0,11,6,0,0,0,6,6,7,3,0,19,3,8,0,0,14,10,0,0,0,10,4,3,0,0,12,0,4,0,0,9,5,14,0,0,21,3,0,0,0,3,80,60,14,6,153
LGA56090,58,10,27,0,91,23,5,0,0,32,47,7,26,0,79,14,3,31,0,48,108,5,54,0,175,86,21,76,5,188,453,32,88,6,579,317,39,116,12,487,397,96,136,3,632,398,152,126,16,687,195,159,75,11,440,253,230,115,7,595,485,538,172,5,1210,363,537,75,13,994,318,544,58,5,919,197,356,26,0,581,465,1124,59,0,1646,343,779,144,4,1273,61,29,23,3,112,4594,4669,1421,101,10783
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,5,9,0,27
LGA56230,49,4,13,0,67,23,0,8,0,28,21,0,4,0,34,15,4,22,0,38,80,5,39,5,123,47,13,82,5,143,371,26,78,0,482,202,29,78,8,314,183,62,97,9,350,176,80,70,4,328,103,73,49,0,225,115,93,36,4,246,217,227,53,5,502,156,213,30,0,406,111,187,24,4,326,50,119,4,0,168,147,303,19,0,469,216,395,70,4,686,51,20,8,0,81,2332,1860,775,47,5016
LGA56300,6,0,0,0,6,5,0,0,0,5,3,0,0,0,7,0,0,4,0,4,8,0,0,0,12,7,0,4,0,14,42,0,7,0,54,28,8,3,0,30,23,9,0,0,35,27,16,0,0,44,8,6,6,0,23,19,8,0,0,27,26,20,0,0,45,9,13,0,0,23,3,11,0,0,14,4,4,0,0,10,10,5,5,0,24,21,18,3,0,43,4,0,0,0,3,251,112,37,3,406
LGA56370,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,14,0,0,0,12,3,0,4,0,5,3,3,3,0,15,12,4,0,0,19,5,5,0,0,9,3,4,5,0,15,18,11,0,0,25,8,4,0,0,12,9,3,0,0,8,4,8,0,0,9,5,5,0,0,11,8,14,0,0,27,0,0,0,0,0,98,73,17,0,191
LGA56460,5,0,3,0,15,3,0,0,0,3,0,0,3,0,3,4,0,13,0,12,11,0,14,0,27,8,0,19,0,26,47,4,21,0,72,37,9,23,0,70,55,19,22,3,102,48,28,21,0,96,25,27,12,0,64,26,25,9,0,59,68,68,16,7,159,27,51,7,0,91,36,34,4,0,73,21,22,0,0,44,38,45,4,0,84,42,64,15,0,123,16,6,7,0,23,523,404,210,21,1155
LGA56580,46,13,15,5,79,14,5,10,3,26,15,5,6,7,21,9,3,10,0,23,29,7,17,0,53,24,3,19,0,39,82,4,14,0,107,98,12,38,4,146,114,30,41,0,189,143,27,46,4,216,78,45,37,9,166,117,58,26,3,206,196,166,72,0,434,150,138,28,4,329,139,158,24,0,326,89,164,20,0,270,677,2015,113,5,2806,119,297,53,0,472,16,11,0,0,36,2151,3157,587,53,5950
LGA56620,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,7,0,7,17,16,10,0,39,8,8,12,0,28,8,12,14,3,34,3,14,14,4,31,7,15,10,0,36,7,10,8,0,28,0,5,7,0,10,0,4,3,0,6,5,5,0,0,6,0,0,0,0,4,0,0,3,0,3,3,0,0,0,3,9,0,0,0,9,10,14,14,0,32,12,7,10,0,21,88,121,107,13,323
LGA56730,16,3,11,0,26,12,0,0,0,17,8,3,4,0,18,11,4,8,0,23,31,11,40,0,80,35,10,46,0,86,192,22,46,3,262,112,19,75,3,206,100,50,63,8,215,97,67,51,3,219,56,69,36,4,160,64,53,18,0,132,136,131,36,6,315,97,113,20,4,234,62,89,16,4,167,33,63,3,0,98,76,124,6,4,209,109,175,34,4,327,23,8,16,0,52,1279,1004,526,38,2848
LGA56790,9,0,0,0,13,5,0,0,0,5,0,0,0,0,4,3,0,0,0,4,31,0,3,0,35,16,4,6,0,26,80,10,6,0,91,42,7,13,0,62,33,10,10,5,60,42,14,5,4,65,20,13,3,0,43,25,13,0,0,39,49,36,8,0,88,39,20,0,0,64,19,19,0,0,35,8,12,0,0,21,27,21,0,0,48,34,50,7,0,92,10,7,4,0,18,489,237,78,10,816
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,5,0,0,0,9,6,0,0,0,8,3,0,3,0,5,5,0,0,0,5,0,0,0,0,0,0,4,0,0,4,4,0,0,0,6,5,0,0,0,5,0,0,0,0,0,3,0,0,0,4,4,8,0,0,14,0,0,0,0,3,30,21,8,0,62
LGA56930,0,0,3,0,9,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,0,4,4,0,0,0,5,4,0,0,0,5,0,0,0,0,0,3,0,4,0,3,5,0,3,0,12,6,0,4,0,6,5,3,3,0,7,12,4,3,0,25,10,4,0,0,12,10,4,4,0,19,4,6,0,0,13,76,147,10,0,237,13,26,0,0,45,3,0,0,0,3,167,197,39,0,408
LGA57000,0,0,0,0,0,5,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,3,6,0,0,0,6,3,4,4,0,8,3,4,0,0,3,5,0,0,0,6,8,3,0,0,11,8,4,0,0,16,3,3,0,0,13,4,3,0,0,4,6,0,0,0,3,5,3,0,0,12,0,5,0,0,5,0,0,0,0,0,45,38,12,0,99
LGA57080,73,6,24,7,117,19,0,3,0,29,21,10,7,0,39,9,0,15,0,22,35,8,19,0,63,33,18,22,8,76,93,24,37,4,162,117,28,40,16,197,160,48,49,12,274,233,59,33,24,345,177,56,29,13,276,185,82,43,23,328,530,185,70,24,805,387,103,19,22,532,339,112,28,4,481,250,60,11,3,322,879,392,47,13,1332,300,114,40,7,457,13,6,8,0,24,3858,1313,527,170,5867
LGA57140,5,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6,0,7,0,0,5,0,5,22,0,3,0,37,16,0,7,3,29,18,3,3,0,21,21,8,0,0,30,9,4,0,0,11,5,4,4,0,12,13,6,0,0,24,7,8,0,0,12,6,16,0,0,24,0,0,0,0,3,10,12,0,0,13,7,17,4,0,32,0,4,0,0,4,150,83,40,5,286
LGA57210,17,0,0,0,18,3,0,0,0,4,9,0,4,0,10,3,0,3,0,9,33,5,16,0,51,15,14,22,0,48,109,20,19,0,146,73,12,19,4,109,66,29,16,0,111,58,37,14,5,112,36,38,12,0,84,34,38,5,0,84,75,67,6,0,144,62,54,4,0,118,24,33,3,0,59,15,14,0,0,34,45,47,0,0,97,64,86,13,0,171,13,9,5,0,24,751,500,174,14,1436
LGA57280,14,0,14,0,32,0,5,4,0,9,0,3,8,0,18,0,0,19,0,18,7,13,23,3,50,11,8,23,0,40,21,7,23,4,61,14,20,26,0,60,25,18,30,4,77,15,20,39,7,82,18,25,40,0,87,43,47,39,7,133,101,161,62,15,334,116,175,17,3,311,170,215,28,4,418,131,161,14,0,306,352,641,31,4,1026,138,210,36,3,390,23,27,22,3,74,1196,1747,501,69,3514
LGA57350,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,0,0,4,3,0,0,0,9,22,0,0,0,22,14,0,5,0,18,16,0,3,0,18,4,9,3,0,16,3,4,0,0,12,4,8,0,0,15,13,6,0,0,15,8,4,0,0,14,9,0,0,0,13,5,3,0,0,9,13,4,0,0,16,6,15,4,0,28,3,0,0,0,4,119,59,24,4,208
LGA57420,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,3,9,0,6,0,13,3,0,8,0,11,36,0,0,0,38,23,4,4,0,31,14,8,6,0,27,17,9,3,0,33,8,11,3,0,25,15,9,11,0,26,35,26,9,0,68,20,20,5,0,43,16,22,0,0,40,7,10,0,0,21,23,33,0,0,61,25,31,3,0,59,8,0,4,0,12,259,181,61,3,505
LGA57490,221,35,125,3,388,78,6,39,0,123,75,20,97,3,197,59,14,156,0,228,293,47,275,17,633,246,67,599,17,925,1388,144,608,25,2163,963,248,712,58,1977,945,409,726,40,2123,1016,661,585,50,2316,679,844,471,36,2033,692,959,385,33,2078,1582,2382,541,53,4557,1112,2032,269,32,3442,916,1848,157,13,2939,511,1220,65,15,1815,951,2742,138,16,3843,1235,2842,482,22,4582,180,124,113,13,430,13164,16640,6551,441,36800
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19
LGA57700,54,11,21,0,89,27,6,0,0,33,18,4,18,0,39,13,0,31,6,48,59,11,49,3,128,48,20,79,0,146,232,33,110,3,382,168,49,122,6,349,170,103,146,6,421,216,206,105,11,538,117,269,87,8,474,165,319,61,3,546,431,714,110,15,1269,326,595,58,9,989,243,465,33,3,742,124,291,15,0,427,272,702,26,4,1008,248,724,85,3,1067,42,34,20,5,105,2980,4562,1179,81,8804
LGA57770,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,4,0,6,0,0,4,0,9,14,0,0,0,18,9,0,3,0,15,11,0,3,0,15,9,0,0,0,12,0,0,0,0,6,14,5,0,0,21,14,13,0,0,29,10,7,0,0,23,10,9,0,0,15,3,0,0,0,5,4,3,0,0,9,12,18,0,0,25,5,0,0,0,4,124,71,15,6,213
LGA57840,80,12,41,9,141,33,0,5,3,46,31,11,23,12,77,15,5,31,4,56,78,17,36,13,150,84,22,76,16,197,251,29,80,13,380,210,43,88,37,384,261,83,118,33,497,378,105,113,42,643,224,120,100,19,464,273,119,93,40,528,562,379,155,44,1139,488,334,58,20,897,402,418,57,12,882,258,326,18,10,613,1070,2035,111,24,3240,286,415,111,7,818,39,27,18,3,80,5030,4491,1329,365,11213
LGA57910,432,109,140,18,700,157,25,47,12,238,136,58,118,16,326,82,47,202,7,332,502,112,366,30,1012,374,163,560,32,1133,1814,315,615,47,2793,1330,476,863,88,2755,1565,796,921,113,3390,1837,1099,835,127,3894,1115,1132,674,86,3015,1272,1204,578,80,3133,2885,2910,987,166,6948,2196,2412,416,97,5122,1815,2610,283,74,4774,1185,1945,108,40,3283,3363,8018,408,48,11851,1505,2315,641,39,4496,288,168,100,19,573,23852,25915,8871,1142,59778
LGA57980,29,0,17,0,48,7,0,4,0,16,7,0,3,0,14,6,0,8,0,15,28,3,11,0,42,26,3,19,5,59,76,6,24,4,111,74,14,29,9,126,107,24,39,9,178,112,33,33,7,182,69,30,33,3,136,118,44,49,8,216,192,139,72,10,421,196,105,25,9,334,151,129,27,4,316,133,132,10,0,277,539,982,78,12,1608,115,141,45,0,306,14,3,6,0,22,2007,1791,539,73,4416
LGA58050,293,55,136,6,491,90,7,49,4,158,67,29,97,4,198,49,33,166,3,245,254,78,256,19,605,217,110,529,16,871,1222,229,597,33,2085,768,368,761,54,1951,905,738,799,54,2495,1017,1130,748,70,2963,677,1182,526,66,2455,763,1284,432,67,2544,1897,3202,754,100,5957,1363,2634,355,46,4397,996,2021,191,31,3236,587,1284,77,17,1965,996,2928,145,33,4101,1071,2643,485,26,4228,196,163,95,12,462,13424,20120,7196,664,41397
