ILOC_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
ILOC50300301,30,48,83,627,911,1531,14,8,22,672,967,1639,51,86,136,814,938,1753,4,4,11,865,1034,1899,17,16,30,255,266,517,3,0,3,271,284,554,3,13,20,32,63,92,0,0,5,41,77,114,85,96,178,603,442,1048,3,4,7,693,540,1233,29,36,65,411,237,648,4,3,11,442,277,722,21,25,41,100,92,197,6,0,6,131,120,245,14,16,31,176,151,328,5,3,6,194,168,361,48,76,123,652,1103,1754,0,5,11,706,1184,1883,14,11,26,79,66,146,0,0,0,84,84,166,61,63,125,663,833,1491,7,5,9,726,901,1626,642,606,1246,8939,7789,16736,38,30,65,9626,8424,18042,293,159,450,594,493,1088,1378,1086,2469,2267,1740,4007,1196,1032,2228,12621,11633,24257,1446,1133,2581,15266,13802,29064,675,626,1303,9340,8210,17546,43,34,71,10051,8867,18919,169,150,317,2020,2026,4045,19,6,24,2203,2182,4381,30,67,98,432,626,1054,5,0
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300401,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,3,4,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,23,25,50,0,0,0,0,0,0,23,25,50,0,0,0,0,0,0,3,4,10,3,4,10,27,37,62,0,0,0,3,4,10,33,40,69,26,25,52,0,0,0,0,0,0,26,25,52,0,4,5,0,0,0,0,0,0,0,4,5,0,6,6,0,0,0,0,0
ILOC50300402,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,3,4,11,5,0,10,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,5,14,0,0,0,0,0,0,6,5,11,43,41,83,3,0,5,0,0,0,48,37,84,3,0,6,0,0,0,3,7,10,3,3,8,63,51,117,4,0,4,3,7,10,68,57,133,52,42,90,4,0,3,0,0,0,48,43,94,11,7,18,0,0,0,0,0,0,11,9,16,0,5,7,0,0,0,0,0
ILOC50300403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,17,0,0,0,0,0,0,4,13,19,0,6,3,0,0,0,0,0,0,0,6,3,3,5,3,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,52,35,82,0,0,3,0,0,0,53,39,89,0,9,9,0,0,0,0,4,5,0,7,9,55,52,112,5,4,7,0,4,5,57,62,124,52,35,83,0,0,3,0,0,0,50,39,91,0,8,10,0,0,0,0,0,0,8,5,10,4,7,9,0,0,0,0,0
ILOC50300405,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,0,0,0,0,0,0,6,6,9,6,0,4,0,0,0,0,0,0,6,0,4,4,5,3,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,28,56,0,0,0,0,0,0,30,28,56,0,0,0,0,0,0,6,3,13,6,8,14,43,32,79,0,0,0,6,3,13,50,44,94,30,28,56,0,0,0,0,0,0,30,28,56,9,7,14,0,0,0,0,0,0,9,8,17,3,0,0,0,0,0,0,0
ILOC50300406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,0,0,0,0,0,0,3,8,8,0,13,12,0,0,0,0,0,0,6,13,10,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,4,10,14,36,56,99,4,4,7,0,0,0,38,64,104,11,11,16,0,0,0,5,11,17,16,17,35,59,85,136,5,7,10,5,11,17,66,99,162,43,57,102,4,7,5,0,0,0,44,64,113,3,9,16,0,0,0,0,0,0,7,9,15,0,3,9,0,0,0,0,0
ILOC50300407,0,0,4,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,13,0,0,0,0,0,0,3,6,13,3,16,22,0,0,0,0,0,0,3,16,22,3,4,9,0,0,0,0,0,0,3,4,9,0,13,10,0,0,0,0,0,0,0,13,10,0,3,7,0,0,0,0,0,0,0,3,7,3,3,8,0,0,4,0,0,0,7,0,5,3,0,3,0,0,0,0,0,0,3,0,3,6,4,4,0,0,0,0,0,0,6,4,6,35,26,65,3,3,8,0,0,0,39,27,68,3,4,9,0,0,0,6,0,4,4,4,8,50,50,97,5,10,16,6,0,4,59,51,117,37,26,65,4,3,8,0,0,0,44,27,73,6,6,12,0,0,5,0,0,0,9,8,12,0,4,6,0,0,0,0,0
ILOC50300408,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,29,0,0,0,0,0,0,9,21,31,6,9,9,0,0,0,0,0,0,6,9,9,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,15,26,0,0,0,0,0,0,14,17,26,45,46,86,5,7,10,0,0,0,48,53,97,8,12,17,0,0,0,10,3,12,15,15,32,79,83,158,7,8,18,10,3,12,90,96,185,51,54,100,5,7,10,0,0,0,54,57,108,17,13,21,3,5,4,0,0,0,16,13,31,5,6,8,0,0,0,0,0
ILOC50300409,0,4,8,19,16,32,0,0,0,17,23,45,3,19,24,28,19,50,0,0,0,36,36,68,0,0,0,3,5,12,0,0,0,3,4,12,0,0,0,0,0,0,0,0,0,0,0,0,17,18,40,10,11,21,0,0,0,29,30,63,7,15,19,10,4,17,0,0,0,18,13,32,4,3,3,4,0,4,0,0,0,4,3,8,0,0,0,9,4,8,0,0,0,10,7,15,0,10,7,18,15,34,0,0,0,18,21,42,0,3,7,0,0,0,0,0,0,3,3,3,5,11,18,16,9,27,0,0,0,21,18,40,56,50,104,284,104,378,6,0,4,341,150,495,3,0,7,23,5,23,346,89,435,369,100,464,95,92,184,389,153,536,349,96,446,835,336,1169,60,54,113,292,107,395,6,0,4,358,158,517,26,10,38,61,28,92,0,0,3,86,42,129,8,14,16,7,8,15,0,0
ILOC50300410,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,4,5,8,3,3,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,8,13,33,36,72,6,5,15,0,0,0,41,44,85,0,6,5,0,0,0,15,7,21,15,8,21,43,57,95,6,6,16,15,7,21,66,63,134,32,46,79,6,5,15,0,0,0,42,53,91,7,0,7,0,4,4,0,0,0,7,7,9,0,0,9,0,0,0,0,0
ILOC50300501,5,5,9,12,12,25,0,0,0,22,14,36,5,8,8,16,20,32,0,0,0,21,27,47,0,0,0,9,5,15,0,0,0,9,5,15,0,0,0,0,0,3,0,0,0,4,0,3,5,10,18,6,9,15,0,0,0,14,15,35,0,0,0,6,7,12,0,0,0,13,6,14,0,5,5,6,0,6,0,0,0,6,5,12,0,0,0,5,3,14,0,0,0,9,3,11,5,0,8,16,14,29,0,0,0,20,15,36,0,0,0,5,0,8,0,0,0,11,0,10,0,0,0,7,9,16,0,0,0,10,9,18,30,51,80,116,92,212,5,0,8,149,147,296,0,3,0,18,8,27,69,33,104,91,42,133,46,65,111,194,150,342,80,34,111,310,255,567,30,51,80,123,100,219,5,0,8,151,156,306,7,0,8,38,29,67,0,0,3,48,33,82,8,9,14,3,4,15,0,0
ILOC50300502,3,0,4,23,12,35,0,0,0,27,15,42,7,3,12,38,23,63,0,0,0,49,21,73,0,0,0,0,6,7,0,0,0,0,6,7,0,0,3,0,0,0,0,0,0,0,0,3,3,3,5,17,5,24,0,0,0,25,9,32,4,0,3,9,0,9,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,8,0,0,0,6,4,5,0,0,3,27,29,57,0,0,0,29,28,60,0,0,0,3,0,3,0,0,0,3,0,3,7,4,12,19,21,45,0,0,0,31,24,51,38,35,73,419,202,625,0,0,0,461,234,693,0,5,4,25,17,39,408,115,526,430,139,569,61,45,110,570,280,851,408,115,526,1040,450,1480,45,33,79,437,218,652,0,0,0,485,247,729,14,4,22,84,33,122,0,0,0,100,36,136,0,3,5,19,17,35,0,0
ILOC50300503,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,3,21,14,35,3,5,5,0,0,0,26,20,42,0,0,0,0,0,0,0,0,0,0,0,0,22,26,47,4,11,11,0,0,0,25,35,64,22,15,41,3,5,5,0,0,0,26,23,48,0,9,9,0,3,8,0,0,0,0,8,17,0,0,0,0,0,0,0,0
ILOC50300601,0,0,0,0,0,0,0,0,0,0,4,4,8,10,15,4,0,9,0,0,0,13,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,28,0,0,0,0,0,0,3,20,25,5,18,22,0,0,0,0,0,0,7,18,26,3,0,5,0,0,0,0,0,0,3,0,5,0,4,3,0,0,0,0,0,0,0,4,3,3,0,3,3,3,9,0,0,0,10,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,0,0,5,0,0,0,9,10,19,158,165,327,20,13,41,0,0,0,185,188,367,20,22,39,0,0,3,9,5,18,31,26,58,206,225,431,37,30,61,9,8,16,247,264,511,163,173,338,22,20,43,0,0,0,190,194,382,16,18,29,8,8,16,0,0,0,25,26,49,3,16,24,0,0,0,0,0
ILOC50300701,3,0,8,0,3,9,0,0,0,10,11,17,7,3,10,11,3,17,0,0,0,21,9,21,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,27,49,6,0,5,0,0,0,25,31,56,12,19,29,3,0,4,0,0,0,13,20,31,6,22,25,0,0,0,0,0,0,8,22,28,3,0,5,4,3,0,0,0,0,4,6,8,8,5,11,9,10,12,0,0,0,12,15,25,0,0,0,0,0,0,0,0,0,0,0,0,11,3,18,11,7,15,0,0,0,18,10,30,34,42,74,121,55,177,0,0,0,157,95,251,5,0,8,11,3,7,117,39,161,130,45,177,63,73,141,162,75,236,117,39,161,345,189,535,38,44,78,131,55,179,0,0,0,162,96,260,7,7,8,22,11,35,0,0,0,30,17,51,9,5,14,4,0,7,0,0
ILOC50400101,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,3,11,13,0,0,0,8,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,4,0,0,0,7,4,12,5,0,5,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,5,8,13,0,0,0,4,11,16,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,3,3,6,49,38,89,64,46,111,0,0,0,109,84,196,19,12,32,7,4,4,14,13,25,31,30,65,75,59,138,83,60,145,13,13,27,171,139,306,47,38,86,66,46,110,0,0,0,115,84,197,11,12,15,9,11,21,0,0,0,17,19,36,0,0,0,4,4,9,0,0
ILOC50400102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,25,0,8,3,0,0,0,17,21,31,4,10,13,0,0,0,4,8,12,7,18,23,19,26,43,5,4,8,4,8,12,21,36,63,12,14,25,0,8,3,0,0,0,17,21,31,0,3,5,0,0,4,0,0,0,3,5,3,0,0,0,0,0,0,0,0
ILOC50400103,0,4,5,0,0,0,0,0,0,0,4,6,0,7,9,0,0,5,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,22,0,0,4,0,0,0,13,14,28,5,6,14,0,0,0,0,0,0,9,6,14,3,6,11,0,0,0,0,0,0,3,6,11,3,5,4,0,0,0,0,0,0,3,5,4,6,8,17,0,0,0,0,0,0,6,8,17,0,0,0,0,0,0,0,0,0,0,0,0,12,11,22,0,3,3,0,0,0,15,12,21,155,144,298,13,6,17,0,0,0,162,156,316,17,25,37,0,0,0,13,10,24,31,26,64,205,198,409,12,14,29,13,10,24,233,223,457,162,150,320,11,9,21,0,0,0,172,160,337,19,17,39,3,6,3,0,0,0,21,18,41,5,3,9,0,0,0,0,0
ILOC50400201,0,4,4,3,0,4,0,0,0,3,4,8,7,11,14,0,0,3,0,0,0,5,12,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,16,29,0,0,0,0,0,0,11,16,29,7,3,10,4,0,4,0,0,0,11,3,18,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,0,16,6,5,6,0,0,0,12,9,16,0,0,0,0,0,0,0,0,0,0,0,0,12,16,28,0,0,4,0,0,0,12,16,27,138,101,233,5,13,27,0,0,0,146,117,266,53,63,112,0,0,3,4,0,4,58,65,125,226,205,430,12,23,37,4,0,4,244,229,472,141,113,252,5,13,27,0,0,0,147,127,278,23,21,49,0,3,3,0,0,0,28,26,47,5,9,17,3,0,3,0,0
ILOC50400202,0,0,3,0,0,4,0,0,0,4,4,8,0,3,6,0,5,4,0,0,0,0,7,7,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,6,0,3,0,0,0,11,3,16,5,3,4,0,0,0,0,0,0,5,3,8,0,8,8,0,0,0,0,0,0,0,8,8,0,3,3,0,0,0,0,0,0,0,5,7,0,5,7,3,5,4,0,0,0,3,3,11,0,0,0,0,0,4,0,0,0,0,0,4,4,0,6,0,0,3,0,0,0,6,9,8,26,22,46,25,11,43,0,0,0,54,35,92,3,3,8,3,4,5,26,20,46,34,29,59,38,36,70,42,28,68,26,20,48,103,84,191,30,22,50,28,14,45,0,0,0,54,40,92,8,7,12,3,8,13,0,0,0,9,14,27,0,0,4,0,0,0,0,0
ILOC50400203,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,15,0,0,0,0,0,0,5,13,15,6,6,5,0,0,0,0,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,3,42,49,94,0,5,3,0,0,0,45,54,105,3,9,9,0,0,0,6,4,5,7,14,14,50,72,126,4,3,9,6,4,5,63,78,141,44,56,97,0,5,7,0,0,0,51,57,104,4,10,15,0,0,0,0,0,0,5,10,18,0,0,3,0,0,0,0,0
ILOC50400204,0,0,4,0,0,0,0,0,0,0,5,6,0,9,9,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,0,0,0,0,0,0,4,4,11,6,3,7,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,3,5,9,52,56,110,10,4,13,0,0,0,57,59,118,24,23,49,0,0,0,0,0,0,28,27,55,85,95,178,11,11,15,0,3,3,93,103,202,50,56,112,10,8,14,0,0,0,58,60,121,8,9,14,0,0,3,0,0,0,8,9,18,0,3,3,0,0,0,0,0
