ILOC_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
ILOC50700601,21,40,40,555,779,773,1756,1789,1788,1733,1733,1733,300,320,320,0.9,0.7,0.7,3.3,2.6,2.7,7.3,1.4,1.6
ILOC50700701,36,50,49,347,778,752,941,1431,1405,1150,1213,1213,188,200,200,1,0.7,0.7,2.9,2.3,2.3,6.3,0.9,1.2
ILOC50700702,25,44,44,531,916,897,857,1505,1480,708,743,743,175,155,160,0.9,0.7,0.7,2.8,2.3,2.4,5.7,0.6,0.9
ILOC50700703,32,53,52,420,609,585,739,1042,996,1083,867,867,218,200,200,0.9,0.7,0.7,2.8,2.1,2.2,2.3,1.5,1.6
ILOC50700801,33,40,39,483,956,931,1100,1512,1484,867,867,867,190,180,180,0.9,0.7,0.8,2.9,2.4,2.5,9.8,1.1,1.6
ILOC50700802,23,46,44,474,847,829,1125,1401,1385,797,1028,1000,190,175,179,0.9,0.7,0.7,3.2,2.3,2.4,10.3,1.2,1.8
ILOC50700901,20,46,46,510,635,632,1427,1276,1281,1733,1733,1733,320,300,300,0.9,0.7,0.7,3.3,2.3,2.4,6.6,1,1.2
ILOC50701001,25,50,49,459,632,628,1388,1149,1154,1250,1400,1389,240,250,250,1,0.7,0.8,3.2,2.3,2.3,7.6,1.7,1.9
ILOC50701002,20,48,47,559,681,675,1230,1209,1211,1300,1300,1300,255,230,230,1,0.7,0.7,3.1,2.2,2.3,9,1.3,1.6
ILOC50701101,20,48,48,504,738,733,1837,1527,1540,1907,1842,1850,310,287,290,0.9,0.7,0.7,3.2,2.5,2.5,4.9,1.8,1.9
ILOC50701102,24,46,44,435,871,803,1012,1531,1445,786,1066,1000,230,220,225,1,0.7,0.7,2.9,2.2,2.3,13.8,1,2.7
ILOC50701201,29,45,45,567,784,774,1312,1685,1644,1662,1733,1733,295,280,280,0.9,0.7,0.7,2.9,2.5,2.5,3.2,1.1,1.2
ILOC50701202,20,43,42,539,612,610,1452,1328,1337,1625,1733,1733,300,300,300,0.9,0.8,0.8,3.2,2.5,2.6,6.5,1.8,2
ILOC50701203,23,49,48,586,622,620,1974,1284,1312,1517,1625,1625,258,260,260,1,0.7,0.7,3.3,2.4,2.4,11.4,1.7,2.1
ILOC50701301,24,41,40,454,737,714,980,1388,1347,1200,1040,1076,191,200,200,1,0.8,0.8,3,2.4,2.5,9.7,2.9,3.5
ILOC50701302,24,46,46,457,765,752,1054,1347,1325,1050,1083,1083,220,220,220,0.9,0.7,0.7,2.8,2.2,2.2,3.6,1.5,1.6
ILOC50701401,20,44,42,455,684,653,1098,1263,1246,1300,1300,1300,230,255,250,1.1,0.7,0.7,3.3,2.3,2.3,12.8,2.1,2.9
ILOC50701501,26,42,42,599,787,785,1609,1528,1529,1609,1733,1733,350,350,350,0.9,0.8,0.8,2.9,2.5,2.5,5,2.3,2.4
ILOC50701502,40,51,51,587,628,628,1271,1200,1202,1213,1391,1378,250,260,260,0.8,0.7,0.7,2.6,2.3,2.3,2.1,1.4,1.4
ILOC50701503,19,39,39,590,810,804,1840,1851,1851,1621,1733,1733,340,350,350,0.9,0.7,0.7,3.4,2.7,2.7,5.9,1,1.1
ILOC50701504,21,45,44,484,595,591,1375,1225,1234,1213,1300,1300,250,250,250,0.9,0.7,0.7,3.1,2.3,2.3,3.7,1.9,2
ILOC50701505,24,49,49,507,663,658,1562,1324,1332,1500,1573,1562,300,285,290,1,0.7,0.7,3.4,2.4,2.4,8.2,1.9,2.1
ILOC50800101,29,39,36,497,1339,1044,1528,1971,1807,1733,1621,1674,200,200,200,1.1,0.7,0.8,3.2,1.9,2.4,14.8,1.5,6.2
ILOC50800102,44,59,44,345,725,350,899,0,899,0,0,0,90,0,90,1.3,0,1.3,3.5,0,3.5,31.8,0,31.8
ILOC50800103,26,34,26,314,575,316,743,0,743,0,0,0,90,77,90,1.2,2.5,1.2,3.9,5,3.9,25.5,100,26.9
ILOC50800301,23,24,23,249,900,253,703,2249,711,0,0,0,60,0,60,1.1,1.2,1.1,3.8,4.3,3.8,19.2,0,18.4
ILOC50800302,26,44,27,353,2374,359,599,2124,700,0,0,0,70,0,70,0.9,0.3,0.8,3,1,2.7,8.3,0,7.1
ILOC50800303,29,44,31,268,1228,296,675,1792,787,1000,2667,1000,70,100,75,1.1,0.9,1.1,3.3,1.4,3,19.5,10,17.6
ILOC50800304,20,0,20,389,0,389,1593,0,1593,0,0,0,90,0,90,2,0,2,5.6,0,5.6,71.4,0,71.4
ILOC50800305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800306,23,28,25,274,1437,283,774,2750,850,0,0,0,80,0,80,1.4,0.6,1.3,4.4,2,4.3,33.3,0,32.4
ILOC50800307,27,33,27,247,1937,254,658,2250,708,0,0,0,60,0,60,1.2,0.5,1.1,3.9,1.4,3.6,21.6,0,19
ILOC50800308,25,57,25,230,1875,239,450,1937,474,0,0,0,35,75,53,1.1,0.6,1.1,3.4,1.2,3.1,17.9,0,15.2
ILOC50800501,32,30,32,382,1124,395,778,2250,816,0,0,0,108,250,117,1.2,0.6,1.1,3.3,2,3.2,28.1,0,26.5
ILOC50800502,27,35,33,491,1440,1202,955,2257,2032,5063,433,1625,175,100,125,1.2,0.7,0.9,3.1,1.8,2.2,22.1,2.1,8.7
ILOC50800503,34,56,34,321,1062,360,725,2749,949,0,0,0,84,0,84,1.2,1.3,1.3,3.5,1.8,3,40,25,35.7
ILOC50800504,33,23,32,317,474,317,746,0,746,0,0,0,88,0,88,1,0,1,3,0,3,18.5,0,18.5
ILOC50800505,37,28,36,346,1083,349,900,1125,914,0,0,0,87,25,87,1.2,0.5,1.2,3.4,1,3.3,32.7,0,32.1
ILOC50800506,22,39,22,272,1406,281,855,1937,939,0,0,0,85,25,75,1.4,0.9,1.4,4.6,1.7,4.3,43.5,11.1,40.4
ILOC50800601,28,54,29,440,933,479,833,3250,866,0,0,0,35,40,35,0.9,0.6,0.8,2.5,2,2.5,7.7,0,7.1
ILOC50800602,15,33,28,417,833,675,450,2250,1292,0,0,0,113,0,113,1.8,1.4,1.7,4.3,2.3,3.5,40,14.3,29.4
ILOC50800603,25,29,26,271,2499,274,818,3999,836,0,0,0,83,0,83,1.2,0.9,1.2,3.7,2.3,3.7,26.5,0,25.7
ILOC50800604,32,38,34,311,1287,1042,1062,1512,1420,2503,1300,1517,55,257,70,1,0.8,0.9,3.2,1.7,2.1,11.1,3.4,5.2
ILOC50800605,25,43,25,266,0,266,725,0,725,0,0,0,90,0,90,0.9,0,0.9,3,0,3,12,0,12
ILOC59499494,40,40,40,298,481,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC59799797,37,40,40,1916,2141,2123,0,2250,2250,0,1733,1733,0,0,0,0,0.7,0.7,0,1.7,1.7,0,0,0
