ILOC_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
ILOC50600403,30,212,238,4,21,22,0,3,3,0,0,0,0,0,0,4,24,25,44,431,482,32,372,409,15,128,138,6,21,28,97,952,1057,142,1245,1390
ILOC50600404,197,508,706,52,53,108,18,13,27,4,0,4,5,0,5,79,66,144,261,812,1068,210,773,980,39,213,246,0,17,21,510,1815,2315,856,2522,3377
ILOC50600405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600501,7,24,31,0,7,4,3,0,3,0,0,0,0,0,0,3,7,7,8,16,20,5,41,40,4,14,17,0,4,4,17,75,81,25,96,121
ILOC50600502,6,66,73,0,7,10,0,5,5,0,0,0,0,0,0,0,12,15,8,118,127,6,133,142,0,32,32,0,4,4,14,287,305,20,393,410
ILOC50600503,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,0,0,4,0,0,0,0,0,0,4,6,17,21,7,31
ILOC50600504,31,13,38,11,0,16,5,0,5,0,0,0,0,0,0,16,0,21,34,16,50,15,14,29,0,9,14,0,6,6,49,45,99,113,53,168
ILOC50600505,23,38,64,4,6,9,0,0,0,0,0,0,0,0,0,4,6,9,37,199,238,25,128,152,7,16,20,0,6,6,69,349,416,102,407,509
ILOC50700101,93,904,995,17,76,95,0,8,12,3,4,8,0,0,0,20,88,115,101,2022,2122,66,2501,2564,14,858,871,0,102,100,181,5483,5657,321,6767,7089
ILOC50700102,54,813,862,10,95,106,4,21,20,0,3,3,0,0,0,14,119,129,79,1798,1878,69,2695,2760,40,1470,1514,0,173,173,188,6136,6325,274,7369,7642
ILOC50700201,66,661,729,15,85,102,3,12,18,0,3,4,0,0,0,18,100,124,81,1615,1704,65,2254,2320,30,1067,1094,8,213,225,184,5149,5343,299,6424,6723
ILOC50700202,5,45,48,0,8,8,0,0,0,0,0,0,0,0,0,0,8,8,9,103,108,8,158,167,0,35,37,0,4,4,17,300,316,18,363,387
ILOC50700203,6,47,57,0,5,3,0,6,3,0,0,0,0,0,0,0,11,6,19,99,118,6,140,142,0,61,61,0,17,17,25,317,338,37,394,436
ILOC50700204,0,17,17,8,0,3,0,0,0,0,0,0,0,0,0,8,0,3,6,33,36,3,88,91,0,34,34,0,0,0,9,155,161,14,184,200
ILOC50700205,14,88,100,0,12,13,4,3,3,0,0,0,0,0,0,4,15,16,11,277,287,12,376,394,4,146,151,0,11,17,27,810,849,43,959,1004
ILOC50700301,49,766,816,0,62,69,4,5,7,0,0,0,0,0,0,4,67,76,62,2110,2168,43,2659,2703,11,945,954,0,98,98,116,5812,5923,190,6940,7126
ILOC50700302,9,90,94,5,18,23,0,7,9,0,0,0,0,0,0,5,25,32,17,271,293,15,511,533,11,405,416,0,14,13,43,1201,1255,68,1395,1465
ILOC50700303,18,109,134,3,13,18,0,5,3,0,0,0,0,0,0,3,18,21,15,265,277,11,428,439,12,292,310,3,10,18,41,995,1044,71,1209,1281
ILOC50700304,31,288,321,6,39,45,0,9,10,0,0,0,0,0,0,6,48,55,47,633,681,24,815,838,13,165,172,0,20,23,84,1633,1714,141,2091,2231
ILOC50700305,33,177,205,5,16,24,4,3,5,0,0,0,0,0,0,9,19,29,29,310,337,17,463,483,3,112,111,0,4,4,49,889,935,104,1154,1257
ILOC50700401,74,1209,1286,19,133,145,6,23,29,4,4,6,0,7,7,29,167,187,107,3669,3771,91,5312,5404,34,3229,3263,7,260,265,239,12470,12703,361,14599,14957
ILOC50700501,18,174,189,10,11,18,0,0,4,0,0,0,0,0,0,10,11,22,37,432,467,25,633,660,9,235,244,0,47,52,71,1347,1423,110,1642,1747
ILOC50700502,6,100,103,3,8,8,0,0,0,0,0,0,0,0,0,3,8,8,11,255,262,16,381,395,6,175,179,0,36,36,33,847,872,49,1037,1092
ILOC50700601,52,740,792,19,95,120,4,27,29,0,4,6,0,4,6,23,130,161,104,2347,2455,96,3412,3508,52,2386,2439,0,195,199,252,8340,8601,368,9709,10077
ILOC50700701,13,85,104,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,6,205,208,14,321,332,6,159,163,0,19,19,26,704,722,48,862,910
ILOC50700702,15,124,142,5,8,11,0,0,0,0,0,0,0,0,0,5,8,11,18,323,349,14,526,545,6,252,257,0,56,56,38,1157,1207,69,1430,1503
ILOC50700703,13,47,57,0,8,5,0,4,4,0,0,0,0,0,0,0,12,9,11,100,110,17,154,167,0,58,55,0,12,12,28,324,344,46,389,432
ILOC50700801,10,85,97,4,10,14,0,0,0,0,0,0,0,0,0,4,10,14,12,223,230,18,344,359,0,171,177,0,38,44,30,776,810,52,980,1033
ILOC50700802,14,133,146,9,18,24,0,0,0,0,0,0,0,0,0,9,18,24,28,331,357,25,537,565,9,227,235,0,61,61,62,1156,1218,100,1423,1520
ILOC50700901,232,3091,3315,60,299,360,21,52,76,3,7,17,0,0,0,84,358,453,379,9665,10039,337,13384,13725,130,7889,8013,8,643,650,854,31581,32427,1263,36781,38048
ILOC50701001,26,513,532,9,57,62,0,12,12,0,5,5,0,0,6,9,74,85,41,1208,1243,27,1558,1581,9,588,597,0,96,97,77,3450,3518,116,4248,4366
ILOC50701002,36,379,420,13,37,53,0,8,8,0,3,3,0,0,0,13,48,64,56,907,960,26,1229,1252,4,567,572,0,93,99,86,2796,2883,145,3367,3514
ILOC50701101,25,454,484,8,76,84,0,8,7,0,9,9,0,0,0,8,93,100,48,1146,1199,47,1826,1868,22,1276,1293,4,195,200,121,4443,4560,181,5316,5500
ILOC50701102,17,54,77,9,8,18,0,0,5,0,0,0,0,0,0,9,8,23,31,189,220,24,263,287,3,112,115,0,25,25,58,589,647,106,712,824
ILOC50701201,7,93,97,0,7,10,0,4,4,0,0,0,0,0,0,0,11,14,12,195,201,11,296,307,0,147,147,0,14,18,23,652,673,35,810,837
ILOC50701202,27,333,366,10,50,54,3,11,16,0,0,0,0,0,0,13,61,70,46,1020,1071,36,1142,1179,21,692,709,0,67,67,103,2921,3026,156,3538,3691
ILOC50701203,14,153,165,7,20,28,0,0,3,0,0,0,0,0,0,7,20,31,11,383,402,22,492,518,10,302,310,0,47,47,43,1224,1277,69,1514,1584
ILOC50701301,35,194,229,11,31,40,3,9,15,0,3,3,0,0,0,14,43,58,45,405,449,31,494,528,5,199,208,3,44,45,84,1142,1230,154,1461,1614
ILOC50701302,38,335,376,5,46,47,3,3,4,0,0,0,0,0,0,8,49,51,52,894,943,50,1240,1294,14,518,534,0,105,108,116,2757,2879,165,3362,3527
ILOC50701401,46,223,263,19,39,59,9,7,17,0,0,0,0,0,0,28,46,76,56,639,692,30,912,945,9,328,339,7,33,39,102,1912,2015,195,2288,2484
ILOC50701501,23,703,724,8,108,115,0,16,21,0,4,4,0,3,3,8,131,143,33,1647,1679,35,1915,1949,14,854,869,0,116,115,82,4532,4612,118,5767,5884
ILOC50701502,15,366,377,0,38,40,0,5,5,0,0,0,0,0,0,0,43,45,36,869,903,38,1201,1231,5,509,520,4,78,81,83,2657,2735,100,3227,3321
ILOC50701503,74,856,931,15,83,99,7,20,30,0,5,4,0,0,0,22,108,133,115,2816,2927,114,3941,4051,41,2608,2656,3,213,218,273,9578,9852,405,11155,11557
ILOC50701504,39,308,350,3,45,55,0,8,10,0,3,3,0,0,0,3,56,68,46,891,937,48,1222,1263,6,528,536,0,52,52,100,2693,2788,165,3238,3404
ILOC50701505,22,212,237,5,29,38,0,8,10,0,0,0,0,0,0,5,37,48,23,549,572,20,778,799,4,475,481,0,56,57,47,1858,1909,82,2221,2305
ILOC50800101,58,83,140,28,4,35,8,0,9,5,0,5,0,0,0,41,4,49,71,133,204,48,137,190,12,77,92,6,9,11,137,356,497,264,480,746
ILOC50800102,4,0,4,4,0,4,4,0,4,0,0,0,0,0,0,8,0,8,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,22,0,22
ILOC50800103,13,0,13,6,0,6,0,0,0,4,0,4,0,0,0,10,0,10,12,0,12,9,0,9,0,0,0,0,0,0,21,0,21,53,0,54
ILOC50800301,24,0,24,10,0,10,0,0,0,4,0,4,0,0,0,14,0,14,21,0,24,8,0,8,0,0,0,0,0,0,29,0,32,71,3,72
ILOC50800302,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,6,0,0,0,0,0,0,10,0,13,9,0,14
ILOC50800303,11,4,12,9,0,12,0,0,0,0,0,0,0,0,0,9,0,12,3,3,8,13,0,12,0,0,0,0,0,0,16,3,20,42,10,50
ILOC50800304,0,0,0,3,0,3,9,0,9,0,0,0,0,0,0,12,0,12,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,15,0,15
ILOC50800305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800306,5,0,5,8,0,8,5,0,5,0,0,0,0,0,0,13,0,13,14,0,14,5,0,5,0,0,0,0,0,0,19,0,19,36,0,32
ILOC50800307,18,0,18,4,0,4,4,0,4,5,0,5,0,0,0,13,0,13,10,5,11,8,3,13,0,0,0,0,0,0,18,8,24,50,7,59
ILOC50800308,5,3,5,5,0,5,0,0,0,3,0,3,0,0,0,8,0,8,8,0,8,6,0,12,5,0,5,0,0,0,19,0,25,26,4,32
ILOC50800501,8,0,8,3,0,3,3,0,3,0,0,0,0,0,0,6,0,6,8,0,7,4,0,4,0,0,0,0,0,0,12,0,11,34,0,30
ILOC50800502,16,19,38,10,4,16,0,0,0,3,0,3,0,0,0,13,4,19,17,82,94,17,29,41,0,9,10,0,0,0,34,120,145,68,139,210
ILOC50800503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,4,0,6,13,3,15
ILOC50800504,18,0,18,10,0,10,0,0,0,0,0,0,0,0,0,10,0,10,17,0,17,12,0,12,6,0,6,0,0,0,35,0,35,67,0,67
ILOC50800505,12,0,12,9,0,9,9,0,9,0,0,0,3,0,3,21,0,21,4,0,4,14,0,14,5,0,5,0,0,0,23,0,23,52,0,54
ILOC50800506,16,4,19,19,0,23,11,0,11,3,0,3,3,0,3,36,0,40,21,4,20,12,3,17,0,0,0,0,0,0,33,7,37,86,10,96
ILOC50800601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,6,0,0,0,0,0,0,11,0,9,11,0,13
ILOC50800602,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,4,9,0,0,0,0,0,0,0,0,0,0,4,9,11,8,15
ILOC50800603,23,0,23,12,0,12,7,0,7,5,0,5,0,0,0,24,0,24,27,0,31,11,0,16,11,0,11,0,0,0,49,0,58,97,3,101
ILOC50800604,4,24,25,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,7,22,29,5,16,24,4,6,12,0,4,4,16,48,69,27,92,117
ILOC50800605,9,0,9,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,9,0,9,5,0,5,0,0,0,0,0,0,14,0,14,23,0,23
ILOC59499494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC59799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
