ILOC_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC50600106,14,27,43,3,0,6,6,6,12,4,6,8,3,9,9,4,10,11,0,9,14,0,13,20,14,11,29,9,18,24,21,15,34,16,15,29,65,24,90,9,5,10,166,168,338
ILOC50600107,6,3,13,0,0,0,25,20,42,3,3,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,35,36,72
ILOC50600108,3,0,6,0,0,0,25,23,49,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,35,36,76
ILOC50600109,6,0,3,0,0,0,31,23,54,6,4,8,0,7,7,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,40,35,74
ILOC50600110,4,4,5,0,0,0,19,22,38,0,5,5,4,9,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,33,66
ILOC50600111,4,0,4,5,0,5,10,15,20,0,4,4,0,0,0,0,0,0,4,0,4,3,5,6,5,0,7,8,8,13,10,0,14,14,4,16,75,10,86,5,0,10,137,52,183
ILOC50600112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600201,10,4,18,6,0,6,22,15,35,6,15,17,9,9,16,4,9,11,4,5,4,4,3,8,10,3,14,7,7,14,5,3,11,10,3,8,47,13,65,14,8,19,157,94,255
ILOC50600202,6,3,8,0,0,4,5,9,13,0,14,18,6,4,5,0,4,4,0,4,5,0,4,4,0,6,4,4,5,5,0,4,4,0,3,3,9,8,19,0,3,5,37,55,89
ILOC50600203,7,7,14,0,0,0,0,0,4,0,0,0,4,3,9,0,0,0,0,0,4,0,0,0,0,4,3,0,0,4,3,0,6,3,3,9,24,6,26,0,0,0,48,32,78
ILOC50600204,9,17,19,0,3,7,0,6,8,0,7,8,0,4,7,0,8,8,0,3,3,0,10,10,0,8,9,3,4,8,6,4,8,10,4,10,44,16,58,3,0,10,81,94,174
ILOC50600301,63,89,153,9,17,31,34,34,66,15,37,52,10,32,40,25,34,56,13,27,38,17,35,53,36,33,63,19,17,40,30,21,53,35,28,60,153,69,221,17,28,47,476,505,976
ILOC50600401,7,0,6,0,0,0,10,12,21,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,37
ILOC50600402,4,4,8,0,0,0,13,7,20,5,5,10,4,5,8,0,4,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,0,3,4,4,7,0,0,3,42,33,73
ILOC50600403,15,17,25,5,4,6,4,11,16,3,5,10,3,0,8,0,7,8,6,4,10,4,11,18,5,3,6,9,13,18,8,5,16,7,0,11,46,18,64,11,7,19,118,101,223
ILOC50600404,111,141,253,16,25,45,68,59,126,72,106,180,30,63,91,14,54,70,22,44,63,17,41,58,27,54,84,20,67,86,42,44,83,52,22,76,222,74,298,60,75,135,779,868,1651
ILOC50600405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600501,5,9,18,0,0,0,10,5,23,6,4,11,4,6,9,0,3,3,0,6,3,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,159,14,172,198,39,236
ILOC50600502,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,6,0,0,0,12,0,12,0,0,0,25,15,40
ILOC50600503,10,5,19,0,0,0,13,6,24,5,16,21,0,4,4,0,6,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,40,76
ILOC50600504,31,24,52,0,0,4,40,24,67,25,24,55,11,23,35,6,17,19,0,15,13,4,5,9,5,9,13,8,0,3,0,0,0,0,0,3,9,0,6,9,4,15,140,155,292
ILOC50600505,15,15,29,3,4,6,5,3,5,9,4,8,3,3,13,0,3,11,0,3,3,0,9,6,4,8,13,7,7,9,9,9,14,0,7,10,43,11,55,6,3,8,108,76,182
ILOC50700101,35,26,59,14,13,28,37,32,71,36,46,82,17,27,44,18,29,44,15,22,35,15,17,34,16,13,26,14,11,24,4,3,10,0,3,5,12,0,13,14,14,26,243,257,502
ILOC50700102,21,17,44,10,10,26,22,17,39,15,14,35,21,24,40,13,11,28,7,15,25,5,24,28,18,15,35,13,9,19,12,10,22,14,3,13,25,7,32,146,11,154,348,191,542
ILOC50700201,45,22,70,3,6,11,16,9,30,30,20,46,21,33,52,22,35,53,11,11,21,13,14,26,21,18,42,10,7,19,6,15,19,13,4,11,19,6,27,10,14,30,243,226,466
ILOC50700202,0,4,6,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,6,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,5,3,7,17,18,36
ILOC50700203,0,4,8,3,0,6,6,0,9,12,4,14,4,4,3,5,0,3,0,0,3,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,3,9,38,26,65
ILOC50700204,5,7,6,0,0,0,9,3,8,0,11,12,0,3,3,0,3,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,45
ILOC50700205,3,7,5,3,0,8,5,3,11,0,4,10,0,4,4,8,6,9,0,3,4,0,4,5,0,3,8,0,3,4,4,0,6,0,3,3,6,0,3,0,0,0,29,45,75
ILOC50700301,10,23,28,5,5,8,8,19,32,10,14,22,12,17,31,9,19,25,8,15,23,4,17,15,9,13,21,9,3,16,7,9,13,5,0,9,11,15,22,3,0,7,115,158,274
ILOC50700302,9,8,18,0,5,5,6,12,13,0,5,5,0,10,15,0,5,8,0,3,4,3,7,6,0,4,3,0,3,3,0,0,5,0,5,3,7,0,8,6,5,7,40,71,113
ILOC50700303,5,3,9,0,0,0,5,11,14,5,8,14,0,7,8,4,9,7,3,3,9,8,7,13,8,0,8,0,0,5,0,3,3,4,3,5,6,4,7,112,0,113,157,66,228
ILOC50700304,8,6,15,3,5,10,8,11,19,15,22,31,8,19,27,9,12,23,4,6,12,14,9,19,6,6,15,0,8,4,9,3,6,8,0,7,4,3,7,0,8,9,95,118,209
ILOC50700305,11,12,20,0,7,14,12,9,18,9,9,19,8,17,24,5,14,16,8,10,15,0,3,4,6,4,12,4,0,4,3,3,5,0,0,0,5,0,4,6,6,3,72,90,166
ILOC50700401,31,17,51,3,18,21,25,30,56,21,23,44,11,17,33,12,34,54,15,14,29,16,26,43,28,14,50,10,6,16,12,6,13,7,9,15,32,4,39,12,7,20,239,239,485
ILOC50700501,9,8,20,4,5,7,9,4,17,3,4,13,13,4,15,6,10,18,0,4,7,4,8,13,10,9,16,4,0,5,3,3,5,4,0,4,4,0,4,7,11,14,79,69,153
ILOC50700502,4,6,10,0,0,0,5,4,6,4,5,9,5,10,11,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,4,3,10,42,37,82
ILOC50700601,28,41,65,14,13,26,20,22,39,17,35,54,17,26,48,11,34,44,18,16,32,13,21,38,15,16,33,20,12,29,13,8,19,15,9,22,39,14,52,15,14,22,254,264,523
ILOC50700701,3,11,14,0,4,8,6,6,14,11,13,20,0,5,10,0,0,0,0,0,0,0,0,5,0,6,4,0,0,0,0,5,0,0,0,0,0,0,0,5,6,8,36,51,89
ILOC50700702,3,0,4,0,5,0,9,3,17,5,4,11,0,5,7,0,11,11,0,9,17,0,0,0,4,5,10,4,0,4,5,0,5,0,0,0,3,0,5,5,3,6,45,60,105
ILOC50700703,3,5,7,0,4,9,0,0,0,7,10,15,5,5,7,0,3,5,0,4,7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,3,34,36,68
ILOC50700801,0,10,12,0,0,0,3,8,12,10,3,10,10,3,10,3,0,6,5,5,8,0,3,8,10,0,13,6,0,6,3,0,3,0,0,0,4,0,4,0,3,4,50,45,94
ILOC50700802,6,3,12,3,6,8,6,4,7,6,14,18,7,16,23,6,6,6,4,6,10,5,3,11,6,8,17,3,4,4,0,0,0,0,0,0,3,0,3,21,19,37,72,93,171
ILOC50700901,124,141,261,27,42,68,73,87,160,82,97,182,46,92,136,52,112,164,36,62,104,41,48,93,61,60,116,38,33,71,37,22,60,34,22,60,123,51,173,34,29,63,815,893,1703
ILOC50701001,14,15,29,3,9,13,6,13,13,8,4,14,5,17,19,10,12,21,0,7,9,5,7,12,8,0,11,0,4,7,3,0,6,4,5,8,14,0,11,8,3,9,79,97,175
ILOC50701002,10,13,18,6,7,11,4,7,11,15,8,20,12,6,20,12,23,35,9,12,14,13,11,18,7,6,14,6,4,11,3,6,3,4,0,4,6,4,7,6,4,4,99,97,201
ILOC50701101,40,35,70,0,3,6,9,8,9,13,11,26,15,12,24,4,14,21,8,14,27,8,10,16,8,5,17,15,6,13,10,5,10,5,0,9,23,4,29,6,5,11,154,129,288
ILOC50701102,18,8,30,4,8,10,12,16,25,5,10,20,12,10,22,10,12,16,4,9,14,10,12,20,6,3,15,0,5,4,0,0,3,0,0,0,4,3,8,9,3,13,90,104,196
ILOC50701201,3,5,6,0,0,3,8,0,6,4,4,10,0,6,6,4,8,9,4,0,3,0,0,0,5,0,3,0,0,3,0,6,6,3,0,7,8,3,11,0,0,0,29,26,58
ILOC50701202,21,13,36,3,7,6,9,9,18,9,10,17,10,12,20,11,6,16,0,12,13,3,12,9,3,10,11,4,6,6,4,3,12,9,0,7,25,4,26,3,10,10,114,105,215
ILOC50701203,8,4,17,0,0,3,0,4,7,4,8,11,4,5,10,5,9,15,5,0,8,5,0,6,0,3,11,0,0,0,6,0,3,3,4,3,12,4,14,0,0,6,57,54,106
ILOC50701301,17,20,37,3,4,14,11,10,25,15,21,29,17,15,32,10,16,24,4,12,19,7,13,18,8,4,17,3,0,5,0,0,0,0,0,6,9,0,9,8,15,22,119,138,254
ILOC50701302,19,16,35,4,10,13,9,14,24,7,18,26,13,15,25,12,14,25,5,10,20,9,7,15,16,9,19,3,6,6,4,4,5,4,3,5,6,0,5,8,8,17,119,127,246
ILOC50701401,27,28,54,4,12,15,17,11,25,25,14,42,15,27,43,14,39,51,6,9,14,15,17,26,15,11,27,0,12,9,6,5,10,5,4,3,9,4,9,10,15,22,162,187,352
ILOC50701501,10,9,21,5,3,13,4,4,7,9,3,11,7,15,19,4,12,15,0,7,9,7,10,18,10,4,16,6,3,10,3,4,3,6,4,7,7,4,13,0,3,5,78,75,158
ILOC50701502,3,4,8,0,0,0,4,3,7,9,6,12,9,8,18,4,5,6,3,0,5,5,5,7,3,5,11,3,0,3,0,3,3,4,0,3,17,5,18,0,0,4,54,50,106
ILOC50701503,35,50,87,3,12,21,24,24,45,16,30,49,12,39,50,19,33,50,8,34,38,17,32,52,24,20,43,12,19,26,16,8,23,11,11,24,42,4,47,7,9,17,250,321,578
ILOC50701504,21,16,35,3,0,7,15,10,29,13,16,28,12,5,17,5,19,20,6,7,19,6,9,16,7,4,12,14,3,16,8,4,11,7,0,10,5,3,9,6,4,9,134,107,245
ILOC50701505,7,6,13,3,0,8,0,5,8,6,10,11,3,3,10,4,10,13,9,9,13,3,0,8,8,5,8,0,6,6,4,8,6,0,0,0,7,0,7,5,0,5,53,58,105
ILOC50800101,32,27,63,10,0,11,31,29,54,29,33,59,36,53,89,14,35,50,9,24,39,12,12,29,14,16,34,17,26,47,16,15,31,10,14,24,9,15,27,14,17,32,266,325,596
ILOC50800102,3,4,4,0,0,0,15,9,20,8,9,10,10,6,12,4,7,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,37,28,67
ILOC50800103,5,6,15,6,5,10,23,29,54,17,3,19,16,26,44,0,5,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,4,10,80,79,158
ILOC50800301,12,5,19,0,3,3,69,60,126,6,13,24,5,11,12,4,11,17,0,5,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,104,108,215
ILOC50800302,0,0,0,0,0,0,0,0,0,5,10,15,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,22
ILOC50800303,5,0,7,0,0,3,25,23,49,4,14,17,0,6,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,51,49,102
ILOC50800304,0,6,3,0,0,0,7,3,5,12,6,19,0,5,5,0,11,11,0,0,0,0,5,5,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,54
ILOC50800305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800306,4,4,8,0,0,0,20,24,46,10,5,14,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,15,19,35,48,64,114
ILOC50800307,0,3,3,0,6,6,47,47,95,13,12,26,0,4,4,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,69,81,150
ILOC50800308,3,4,8,0,0,0,27,23,52,4,9,10,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,34,72
ILOC50800501,6,0,0,0,0,0,13,6,17,6,11,21,10,14,26,0,3,3,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,43,45,87
ILOC50800502,3,9,9,0,0,6,7,10,19,7,12,18,3,11,18,3,10,10,0,3,4,8,9,11,4,8,13,5,8,11,4,0,10,3,0,3,7,0,8,5,4,8,49,96,144
ILOC50800503,0,0,0,0,0,0,8,7,13,4,10,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,35
ILOC50800504,10,5,9,5,9,11,22,23,49,23,23,37,12,5,16,5,3,5,0,3,3,3,0,8,5,0,10,0,0,0,0,0,0,0,0,0,7,0,7,4,6,12,91,69,163
ILOC50800505,0,0,4,0,0,0,22,15,40,29,36,66,14,15,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,74,78,153
ILOC50800506,9,5,11,8,8,12,68,54,126,37,45,82,0,13,17,0,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,23,142,135,279
ILOC50800601,0,6,4,0,0,0,0,5,4,0,0,0,4,0,3,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,21
ILOC50800602,0,0,0,0,0,0,0,3,3,0,0,4,0,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,14,17,28
ILOC50800603,6,6,7,0,7,9,56,51,103,9,13,24,3,7,12,5,12,13,4,8,12,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,81,136,140,272
ILOC50800604,7,10,24,5,0,5,16,7,17,9,10,15,0,0,0,5,5,7,5,0,5,0,0,4,0,0,3,4,3,3,4,4,6,4,0,4,0,0,0,156,21,182,205,62,263
ILOC50800605,5,0,4,3,4,8,9,7,20,0,0,0,0,0,4,0,0,4,0,4,4,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,26,27,54
ILOC59499494,27,19,46,23,24,45,215,161,373,121,100,215,50,52,102,19,30,50,15,19,35,3,10,15,6,0,10,0,7,6,9,3,14,0,0,3,12,0,19,238,176,416,749,597,1349
ILOC59799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,0,0,0,7,3,9
