ILOC_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
ILOC50501801,11,445,459,0,241,247,17,572,582,17,851,872,22,1936,1962,14,1775,1789,19,1717,1738,21,2152,2173,23,2636,2658,17,2484,2504,21,2448,2466,28,2580,2610,86,8775,8864,24,2179,2199,7,343,349,327,31134,31472
ILOC50501802,3,399,406,7,164,173,23,498,524,19,834,855,30,1855,1889,21,1598,1620,26,1339,1370,24,1628,1651,18,1899,1925,26,1678,1703,18,1475,1498,13,1276,1292,58,4035,4089,21,1094,1118,11,287,299,318,20059,20412
ILOC50501803,3,120,125,5,56,66,8,238,246,15,320,337,30,721,751,24,711,737,18,600,614,21,785,800,17,899,915,10,658,666,6,502,511,12,300,310,14,606,623,22,457,474,6,113,115,211,7086,7290
ILOC50501804,17,620,637,7,257,268,31,816,846,36,1432,1471,54,3112,3168,43,2718,2768,48,2436,2490,43,3253,3292,46,4053,4103,33,3388,3420,29,2860,2892,25,2508,2529,81,6407,6488,30,1845,1877,26,486,509,549,36191,36758
ILOC50501901,9,108,112,0,47,49,8,167,173,10,265,275,6,595,606,22,604,621,18,569,584,18,677,692,13,837,848,6,628,629,8,475,481,6,378,384,13,606,619,17,500,518,4,87,89,158,6543,6680
ILOC50501902,15,113,126,8,57,67,29,196,228,29,342,373,29,735,772,35,662,698,35,647,684,30,817,843,30,926,954,20,646,664,16,454,469,14,351,366,13,510,527,30,506,536,13,121,132,346,7083,7439
ILOC50501903,5,16,13,0,4,5,0,19,18,5,42,45,3,102,105,3,64,76,3,64,67,4,84,88,3,76,83,0,57,60,4,53,53,0,41,41,0,56,57,3,49,55,0,20,20,33,747,786
ILOC50501904,0,215,220,0,91,91,10,227,239,25,323,349,32,817,854,38,961,999,45,1119,1162,49,1687,1740,90,2279,2364,65,1959,2018,29,1615,1647,33,1314,1343,96,2536,2639,67,1734,1799,8,183,188,587,17060,17652
ILOC50501905,11,83,95,5,52,58,23,164,186,17,280,302,19,596,615,25,601,628,24,690,717,40,832,873,39,1165,1206,31,879,914,20,736,754,23,539,562,40,958,998,32,818,852,12,111,116,361,8504,8876
ILOC50501906,3,52,58,0,26,29,10,51,54,8,85,96,8,208,220,3,219,227,6,162,160,5,253,266,9,329,337,4,287,294,5,258,257,15,231,238,28,674,704,0,250,253,0,32,32,104,3117,3225
ILOC50501907,4,48,52,3,20,17,10,60,68,18,120,139,18,257,274,11,232,242,12,154,171,13,267,274,11,274,292,11,220,229,0,165,172,8,132,139,6,214,220,8,116,123,6,58,65,139,2337,2477
ILOC50501908,3,65,68,0,25,23,12,69,83,22,138,154,23,288,313,21,263,283,15,184,201,14,283,296,22,325,345,12,240,257,14,150,164,3,124,130,9,154,168,23,184,207,10,61,68,203,2553,2760
ILOC50501909,6,36,33,0,15,15,13,51,61,7,75,85,10,180,189,12,180,193,15,175,190,17,236,256,16,316,331,14,262,275,6,171,178,6,146,150,14,295,305,20,186,207,0,23,25,156,2347,2493
ILOC50502001,14,574,595,15,257,269,48,815,864,69,1355,1429,84,3089,3172,75,3188,3261,77,3037,3112,92,4096,4190,97,5100,5198,75,4137,4212,64,3404,3464,43,2686,2732,81,4768,4850,84,3313,3396,14,596,613,932,40415,41357
ILOC50502101,14,401,419,5,166,170,59,546,606,51,978,1028,67,2155,2213,78,2294,2368,66,2077,2141,72,2895,2958,81,3429,3511,66,2840,2910,41,2420,2471,38,1873,1912,61,3648,3708,98,2975,3074,9,396,403,806,29093,29892
ILOC50600102,0,0,0,0,0,0,15,0,15,19,0,19,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,43,9,52
ILOC50600103,0,0,0,0,0,0,4,0,4,9,0,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,5,4,0,4,0,0,0,20,8,28
ILOC50600104,0,0,0,0,0,0,3,0,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,15,0,15
ILOC50600105,0,0,5,0,0,0,4,3,6,4,0,6,3,0,5,0,0,0,0,5,11,0,5,5,0,4,5,0,0,0,0,4,4,0,0,0,0,6,6,0,0,0,0,3,6,11,30,59
ILOC50600106,0,8,8,0,0,0,0,9,10,0,5,8,8,6,17,7,12,16,11,18,28,13,51,64,18,83,100,21,118,138,22,89,113,25,139,164,46,461,509,23,97,125,4,12,10,198,1108,1310
ILOC50600107,0,0,0,0,0,0,5,0,4,0,0,0,4,5,8,0,0,0,0,3,4,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,3,3,9,21,34
ILOC50600108,0,0,0,0,0,0,4,0,4,5,0,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,19
ILOC50600109,0,0,0,0,0,0,11,0,11,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,3,3,0,0,0,0,0,0,20,7,28
ILOC50600110,0,0,0,0,0,0,4,0,4,7,0,7,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,19
ILOC50600111,0,0,0,0,0,0,0,0,6,3,0,6,0,4,3,0,7,7,0,4,4,0,0,0,0,4,4,0,5,5,0,5,5,0,0,0,0,5,5,0,0,3,0,10,10,3,44,58
ILOC50600112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600201,5,20,27,4,4,5,13,18,28,17,28,40,4,68,75,13,71,82,5,75,76,3,89,90,4,129,135,5,108,115,3,97,100,0,88,89,6,187,197,7,172,181,8,46,49,97,1200,1289
ILOC50600202,0,0,0,0,0,0,7,4,10,8,0,12,3,11,14,0,4,5,4,5,3,3,11,9,3,9,15,3,20,22,6,12,13,3,35,38,16,76,91,3,8,11,0,0,6,59,195,249
ILOC50600203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,23,21,8,13,22,5,29,34,3,30,35,16,150,166,7,30,42,0,0,0,42,281,329
ILOC50600204,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,10,7,5,8,12,3,27,33,15,61,74,7,72,86,15,65,77,9,90,98,32,277,316,13,69,77,4,3,4,107,685,790
ILOC50600301,12,20,28,8,5,12,16,23,41,22,20,41,22,49,64,33,62,95,26,89,113,29,182,213,44,329,377,37,416,448,54,420,469,52,486,543,150,1941,2089,65,407,469,20,41,57,590,4490,5059
ILOC50600401,0,0,0,0,0,0,7,0,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17
ILOC50600402,0,0,0,0,0,0,9,0,3,10,0,10,7,0,7,0,0,4,0,0,8,0,3,3,0,6,7,0,4,4,0,3,4,5,5,13,3,18,24,8,0,5,0,0,0,42,39,92
ILOC50600403,3,13,15,0,3,3,5,5,7,5,10,13,5,11,13,4,17,12,3,18,22,13,20,29,12,64,78,10,82,86,8,109,121,13,117,127,58,666,723,13,105,117,3,17,26,155,1257,1392
ILOC50600404,23,15,38,5,5,15,42,16,56,59,23,80,53,34,85,46,41,85,30,55,84,46,131,181,65,210,270,66,256,323,47,264,308,51,236,285,170,979,1153,102,206,311,47,42,93,852,2513,3367
ILOC50600405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600501,0,0,3,0,0,3,3,0,3,6,6,9,6,0,6,6,3,7,3,5,12,0,4,4,0,3,3,0,7,6,0,14,14,0,7,7,0,38,38,3,4,11,0,5,5,27,96,131
ILOC50600502,0,8,12,0,3,3,0,3,0,0,0,0,0,0,3,0,4,4,5,12,15,0,15,19,0,24,20,3,27,23,0,34,33,0,47,49,7,163,172,0,41,47,0,11,11,15,392,411
ILOC50600503,0,0,0,0,0,0,4,0,4,4,0,4,6,3,10,0,0,4,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,14,12,34
ILOC50600504,0,0,0,5,0,5,17,0,15,16,0,19,24,0,23,14,3,11,10,0,14,14,5,16,3,6,11,6,3,5,0,4,4,6,6,12,0,18,18,3,4,9,0,0,0,118,49,162
ILOC50600505,0,0,0,0,0,3,5,4,8,4,0,7,3,4,9,3,3,8,6,7,9,9,15,14,14,24,36,5,30,39,11,40,48,6,47,56,36,188,228,3,39,41,0,5,8,105,406,514
ILOC50700101,5,87,96,3,67,68,32,171,211,46,348,395,35,927,963,31,818,842,33,597,629,32,742,778,18,717,739,15,478,494,10,423,436,11,280,290,12,578,593,16,355,368,9,173,185,308,6761,7087
ILOC50700102,4,136,134,4,69,71,11,145,160,19,268,288,30,739,763,28,743,764,15,677,691,32,814,838,28,942,970,22,620,645,21,488,503,20,387,406,22,654,677,39,584,622,3,107,109,298,7373,7641
ILOC50700201,7,105,109,0,40,40,19,167,181,14,289,299,28,815,845,38,629,671,27,501,532,24,553,572,35,634,665,18,459,478,15,406,421,4,308,315,25,718,742,24,645,666,15,156,167,293,6425,6703
ILOC50700202,0,14,14,0,5,5,0,11,11,0,25,21,3,84,83,3,52,54,0,26,26,0,41,43,0,33,36,0,15,13,0,12,12,0,11,11,0,20,19,0,18,23,4,9,12,10,376,383
ILOC50700203,0,16,16,3,6,7,0,15,14,3,23,25,8,69,76,4,33,41,3,28,27,0,35,32,0,43,43,6,26,26,0,26,26,0,20,20,0,31,31,0,37,33,7,10,17,34,418,434
ILOC50700204,0,8,8,0,0,5,0,6,7,0,5,12,0,33,33,3,22,29,3,19,21,0,17,17,0,11,13,0,11,11,0,7,7,0,12,12,0,10,10,4,13,13,0,3,3,10,177,201
ILOC50700205,0,20,18,0,12,11,3,34,35,4,58,67,6,180,184,7,116,121,0,70,70,0,84,86,9,76,86,0,61,60,7,55,54,0,40,39,7,68,71,3,60,59,0,26,31,46,960,992
ILOC50700301,3,79,86,4,48,47,6,154,160,6,286,294,16,832,850,27,663,687,15,505,516,18,656,680,30,685,712,10,568,582,11,481,493,10,422,431,17,1000,1016,11,442,451,0,118,118,184,6939,7123
ILOC50700302,0,15,15,0,8,6,7,18,23,7,61,71,8,109,116,8,113,118,5,102,109,5,174,176,4,184,189,5,139,144,0,99,97,3,72,72,3,162,167,6,113,118,0,20,21,61,1389,1442
ILOC50700303,0,23,23,0,4,4,6,39,45,0,60,63,7,128,131,8,108,122,7,102,105,5,137,141,3,143,153,7,113,121,5,100,100,5,61,66,7,101,113,9,73,80,4,18,26,73,1210,1293
ILOC50700304,3,53,61,0,23,22,15,77,85,10,147,160,19,323,343,11,251,261,17,182,196,18,238,254,15,197,206,3,165,167,5,114,116,9,71,82,3,89,93,15,115,130,3,51,51,146,2096,2227
ILOC50700305,0,19,25,0,10,11,7,40,50,16,95,111,14,192,207,12,129,137,11,123,130,9,98,104,10,126,137,5,79,81,4,60,60,3,28,26,3,51,59,6,81,88,0,30,31,100,1161,1257
ILOC50700401,3,209,211,6,104,113,21,286,314,15,582,596,33,1486,1517,36,1393,1436,32,1289,1320,34,1468,1501,38,1607,1646,19,1263,1287,25,941,967,16,751,768,22,1543,1569,45,1396,1438,10,276,282,355,14594,14965
ILOC50700501,3,32,32,0,16,16,6,35,49,8,66,74,7,211,217,17,135,149,9,109,125,12,167,173,8,187,200,9,155,162,6,114,120,0,75,78,4,174,179,6,136,139,8,30,38,103,1642,1751
ILOC50700502,0,22,23,0,18,18,0,28,31,0,44,45,9,137,144,5,84,83,9,77,81,5,97,102,0,90,91,0,79,84,5,47,51,0,56,62,3,134,143,5,101,110,3,27,37,44,1041,1105
ILOC50700601,3,135,137,0,59,55,17,200,222,25,361,386,22,920,947,35,771,812,34,725,765,32,916,949,35,1112,1149,22,839,862,24,750,776,16,599,606,41,1234,1274,44,934,978,5,150,154,355,9705,10072
ILOC50700701,0,9,14,5,7,9,6,29,33,10,27,28,3,94,98,0,83,92,8,73,77,6,84,79,3,72,76,0,70,75,0,55,58,0,43,43,4,101,104,4,81,95,8,32,29,57,860,910
ILOC50700702,0,27,28,4,11,15,6,22,34,6,45,56,12,138,149,3,116,123,8,95,96,4,140,140,4,189,190,4,118,122,5,98,103,0,69,69,0,174,176,15,136,151,3,54,55,74,1432,1507
ILOC50700703,0,15,17,0,5,5,5,9,9,5,28,39,11,60,76,6,42,50,0,33,31,3,33,37,4,34,42,0,17,18,5,26,28,0,18,18,0,28,28,4,27,30,0,13,13,43,388,441
ILOC50700801,0,22,22,0,6,6,7,21,25,4,39,45,8,71,81,3,67,69,7,86,91,12,98,109,3,111,118,0,80,85,0,65,65,3,61,58,0,137,137,6,92,96,0,20,22,53,976,1029
ILOC50700802,0,21,25,3,18,18,6,46,57,9,49,56,12,143,154,8,131,145,3,106,106,5,139,147,11,171,180,5,114,118,4,82,85,0,62,65,4,175,178,3,112,121,16,45,60,89,1414,1515
ILOC50700901,26,728,756,16,293,307,69,901,970,99,1830,1926,131,4855,4986,143,4079,4225,110,2954,3056,108,3286,3392,103,3360,3463,76,2432,2506,60,2154,2212,50,1754,1805,99,4071,4165,150,3332,3483,28,755,789,1268,36784,38041
ILOC50701001,5,65,70,0,39,41,3,113,121,8,249,255,15,618,638,8,498,508,13,386,401,10,432,441,11,395,404,10,257,270,4,197,201,5,161,163,3,357,362,10,387,403,4,89,94,109,4243,4372
ILOC50701002,0,50,50,0,40,41,3,108,113,11,177,187,15,432,446,20,371,393,23,268,288,17,373,396,17,373,389,8,275,280,5,194,201,0,146,142,3,231,239,8,251,258,0,89,86,130,3378,3509
ILOC50701101,0,105,110,0,41,48,0,138,142,8,234,242,18,548,564,15,441,461,12,354,366,10,476,489,24,545,573,11,406,416,15,347,361,5,279,288,15,644,661,33,618,640,3,128,133,169,5304,5494
ILOC50701102,5,14,22,0,0,0,6,14,20,6,38,45,13,74,93,16,48,64,10,49,55,10,63,78,5,84,93,4,55,61,3,69,74,4,47,52,5,85,90,8,61,72,9,18,21,104,719,840
ILOC50701201,3,19,18,0,12,11,0,23,25,0,36,33,0,69,67,5,71,73,3,51,54,0,67,68,5,88,90,5,43,47,0,65,66,0,47,46,0,128,124,3,88,97,0,16,16,24,823,835
ILOC50701202,0,53,55,0,35,35,6,93,98,5,182,187,21,462,483,19,365,384,15,297,309,9,291,300,19,324,347,6,246,255,9,221,229,5,155,159,13,336,346,21,394,411,3,91,97,151,3545,3695
ILOC50701203,0,41,41,0,20,20,3,45,41,3,70,79,3,207,217,8,141,146,11,108,117,4,127,133,15,127,138,7,90,94,4,94,101,4,71,78,7,170,172,8,155,164,0,52,52,77,1518,1593
ILOC50701301,5,17,22,7,14,18,17,36,46,15,58,72,18,175,196,24,153,173,12,128,141,11,164,175,17,176,191,3,127,132,5,75,84,0,61,58,5,130,130,15,116,130,3,29,37,157,1459,1605
ILOC50701302,6,42,54,7,28,33,16,91,105,12,140,144,23,408,426,25,314,345,12,269,284,16,338,359,13,343,360,10,269,278,9,188,194,0,157,159,3,377,385,6,278,283,7,96,102,165,3338,3511
ILOC50701401,0,33,39,5,17,24,12,64,80,24,112,131,30,337,365,25,255,277,13,182,198,17,204,216,17,245,261,6,171,173,3,151,157,0,116,117,5,194,200,15,157,173,12,61,74,184,2299,2485
ILOC50701501,0,79,80,3,49,47,6,123,132,9,208,221,8,479,484,7,517,525,12,529,539,15,632,644,10,711,722,19,502,512,5,362,367,5,304,314,9,554,562,13,621,632,3,82,83,124,5752,5864
ILOC50701502,4,69,71,0,45,47,3,96,99,7,157,163,15,431,448,12,352,362,7,288,294,8,337,345,13,290,308,4,233,242,3,181,190,3,125,126,9,264,275,11,274,282,0,81,75,99,3223,3327
ILOC50701503,3,140,144,3,78,80,18,189,205,22,387,405,28,1002,1027,31,816,843,39,798,837,42,1032,1076,54,1313,1360,31,1078,1110,27,902,933,15,714,730,34,1444,1473,52,1114,1163,5,161,166,404,11168,11552
ILOC50701504,0,63,63,0,16,20,10,102,110,16,198,217,15,538,558,18,295,311,15,225,237,22,291,318,10,318,334,6,226,234,14,187,199,4,148,155,12,308,318,15,241,251,3,83,87,160,3239,3412
ILOC50701505,0,43,44,0,41,41,0,42,43,10,98,105,6,278,285,11,246,252,7,181,189,9,221,230,9,211,224,6,155,156,6,124,130,0,96,96,5,253,260,15,189,207,3,43,46,87,2221,2308
ILOC50800101,4,3,9,0,0,0,22,5,30,18,0,23,28,22,44,20,16,35,18,18,30,23,32,56,23,49,72,27,48,75,16,62,81,16,45,59,17,116,136,35,45,82,7,12,18,274,473,750
ILOC50800102,0,0,0,0,0,0,3,0,3,3,0,3,4,0,4,6,0,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,23,0,23
ILOC50800103,0,0,0,0,0,0,15,0,15,11,0,11,8,0,8,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,47,0,43
ILOC50800301,0,0,0,0,0,0,25,0,25,24,0,24,6,0,6,8,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,62
ILOC50800302,0,0,0,0,0,0,4,0,4,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
ILOC50800303,0,0,0,0,0,0,15,0,15,11,0,11,6,0,6,4,0,4,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,40,3,50
ILOC50800304,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
ILOC50800305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800306,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,7,0,7,26,0,26
ILOC50800307,0,0,0,4,0,4,14,0,14,19,0,19,5,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,49,0,54
ILOC50800308,0,0,0,0,0,0,14,0,14,12,0,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,29,3,32
ILOC50800501,0,0,0,0,0,0,3,0,3,6,0,6,6,0,6,10,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,29
ILOC50800502,0,0,0,0,0,0,6,0,6,11,0,11,7,0,7,14,0,14,3,0,7,0,8,11,5,14,23,4,14,19,0,22,22,3,19,24,3,49,48,6,11,16,0,0,0,62,137,208
ILOC50800503,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,5,0,0,0,8,3,11
ILOC50800504,0,0,0,5,0,5,10,0,10,8,0,8,12,0,12,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,5,0,5,56,0,56
ILOC50800505,0,0,0,0,0,0,3,0,3,13,0,13,13,0,13,9,0,9,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,47,0,47
ILOC50800506,0,0,0,0,0,0,23,0,23,15,0,15,13,0,13,8,0,8,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,12,0,12,0,0,0,71,4,78
ILOC50800601,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
ILOC50800602,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,15,0,15
ILOC50800603,0,0,0,0,0,0,17,0,17,21,0,21,10,0,10,9,0,9,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,21,0,21,96,0,101
ILOC50800604,0,0,0,0,5,3,5,0,5,4,6,6,3,5,6,3,0,8,0,11,11,0,5,3,0,11,16,4,10,15,0,8,11,0,6,12,0,16,16,6,4,5,0,5,3,25,92,120
ILOC50800605,0,0,0,3,0,3,4,0,4,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,21,0,21
ILOC59499494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC59799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
