ILOC_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC50500403,3,647,280,928,0,0,0,30,52,79,0,0,0,29,52,85,39,54,95,2935,2949,5880,12,9,19,2988,3010,5995,7,13,19,439,448,887,0,0,0,449,461,909,28,24,57,1711,1768,3473,3,11,15,1746,1799,3542,15,36,46,1463,1455,2920,0,7,10,1482,1493,2975
ILOC50500404,8,882,492,1376,3,3,11,70,56,132,0,0,0,74,65,137,91,100,193,3891,3651,7538,23,20,45,4010,3769,7775,25,36,62,1145,1123,2271,0,6,7,1171,1162,2333,49,40,98,1988,1893,3884,15,6,23,2056,1947,4001,58,82,134,2787,2669,5455,10,12,26,2853,2762,5613
ILOC50500501,14,3215,1582,4796,4,0,4,206,246,456,0,0,0,214,255,460,159,136,293,19526,20411,39929,49,57,109,19733,20604,40334,26,41,68,2843,2895,5730,4,6,12,2878,2938,5815,91,77,168,13093,13790,26883,40,44,81,13227,13904,27129,74,87,166,8300,8586,16890,17,19,38,8391,8701,17093
ILOC50500502,11,2369,1324,3689,3,23,26,211,206,420,0,0,0,218,227,444,245,300,546,13754,13259,27016,55,46,103,14055,13609,27662,100,109,209,3698,3200,6903,0,4,8,3802,3312,7116,95,124,218,6832,6964,13794,29,29,58,6958,7113,14068,209,249,456,9529,8525,18050,19,18,44,9761,8797,18557
ILOC50500503,4,768,397,1161,0,4,4,52,65,122,0,0,0,52,70,127,31,34,69,4205,4437,8644,16,13,28,4253,4489,8740,3,4,14,511,515,1029,0,0,0,514,522,1042,16,19,30,3156,3401,6569,12,6,22,3190,3430,6618,16,20,38,1349,1354,2695,8,5,7,1366,1372,2746
ILOC50500601,10,3212,1605,4815,4,8,8,182,230,408,0,3,6,181,238,422,220,224,448,11423,11753,23176,43,33,79,11688,12016,23700,52,51,109,1788,1850,3639,0,9,11,1847,1913,3753,120,126,247,7706,7831,15539,31,33,62,7856,7992,15849,111,118,226,4581,4947,9523,10,13,24,4699,5071,9775
ILOC50500602,15,2933,1306,4240,3,7,7,110,154,262,0,0,0,109,160,269,135,140,271,9301,9593,18893,36,30,71,9470,9764,19233,53,42,90,1610,1683,3290,6,4,10,1659,1730,3394,65,70,140,5924,6166,12087,30,19,47,6020,6255,12278,88,94,190,4429,4579,9004,10,11,20,4529,4682,9216
ILOC50500603,12,4147,2312,6455,11,12,17,239,346,590,0,0,3,252,359,612,313,304,620,17616,18047,35661,42,51,92,17965,18399,36365,60,62,131,3017,3275,6292,6,6,13,3086,3347,6433,175,163,335,11124,11366,22491,31,35,69,11337,11563,22900,161,179,338,8216,8692,16904,10,18,24,8391,8884,17273
ILOC50500604,4,534,304,840,0,0,0,28,52,79,0,0,0,28,51,79,70,66,136,2059,2159,4223,11,15,29,2141,2241,4386,9,13,20,397,453,850,0,6,6,407,471,879,38,39,76,1249,1340,2591,10,11,18,1299,1388,2685,27,41,71,1060,1165,2224,3,8,17,1092,1222,2312
ILOC50500605,3,1215,596,1805,0,7,8,67,68,139,0,0,0,67,75,143,143,133,277,4554,4875,9436,18,15,38,4722,5024,9747,21,28,53,863,1024,1888,5,0,3,892,1052,1945,68,71,138,2858,3034,5893,14,9,28,2939,3118,6055,87,74,158,2296,2623,4919,5,10,17,2385,2702,5089
ILOC50500701,12,2553,1229,3779,3,5,9,157,187,347,0,0,4,167,198,364,215,222,439,14625,15681,30309,69,69,134,14913,15976,30886,58,82,137,2784,3181,5967,13,8,22,2853,3269,6125,121,130,254,9224,9881,19103,47,45,92,9387,10052,19447,127,152,278,7309,8195,15498,25,30,48,7451,8373,15825
ILOC50500801,4,840,397,1237,0,5,3,54,55,103,0,0,0,56,58,116,85,89,177,3514,3346,6860,10,13,23,3611,3444,7059,15,21,39,684,618,1305,0,0,0,706,638,1338,56,45,105,1992,1915,3907,12,10,24,2062,1972,4029,44,49,93,1939,1805,3743,3,0,0,1985,1850,3837
ILOC50500802,6,2626,1423,4051,0,8,8,154,200,354,0,0,0,157,210,364,112,134,243,14804,15504,30306,40,40,87,14957,15677,30630,18,24,40,1986,2043,4030,4,0,8,2009,2064,4071,60,58,124,9957,10326,20285,31,17,46,10045,10406,20453,56,76,133,5826,6221,12040,12,16,34,5892,6313,12209
ILOC50500803,13,2005,1250,3257,3,12,18,145,190,330,0,5,5,146,208,351,303,325,632,8031,8157,16188,40,25,63,8371,8513,16886,58,82,145,1179,1226,2403,7,10,18,1246,1316,2564,166,177,348,5344,5389,10734,29,17,48,5538,5591,11130,144,172,317,3268,3383,6650,8,21,29,3426,3578,7001
ILOC50500804,3,933,548,1485,4,3,10,58,88,149,0,0,0,61,101,159,119,97,207,3697,3697,7394,19,18,34,3836,3808,7646,30,31,62,399,453,850,4,0,4,433,486,910,65,49,113,2687,2632,5322,17,6,22,2770,2685,5456,62,60,126,1116,1263,2382,3,3,12,1184,1333,2516
ILOC50500805,0,512,299,815,0,3,3,31,42,73,0,0,0,31,43,77,95,89,186,2339,2148,4487,7,4,17,2441,2240,4687,10,14,24,297,262,558,3,5,7,309,284,592,67,56,121,1653,1498,3149,7,3,12,1717,1559,3277,28,36,66,833,763,1598,3,5,9,869,803,1673
ILOC50500806,3,387,238,622,0,9,9,24,32,57,0,0,0,24,34,62,46,71,119,2204,2131,4337,16,22,33,2263,2218,4484,10,12,22,326,277,601,0,0,0,339,287,628,24,35,59,1482,1445,2930,4,9,14,1514,1490,3006,28,38,61,895,826,1725,7,13,15,931,874,1803
ILOC50500807,10,1416,769,2186,4,4,6,101,135,241,0,0,0,102,140,246,160,196,359,5857,5794,11652,32,24,54,6051,6019,12067,34,27,61,830,771,1600,0,4,4,863,807,1667,103,123,223,3867,3724,7591,22,16,44,3993,3859,7858,67,82,156,2418,2416,4835,6,13,21,2495,2512,5002
ILOC50500808,14,2352,1184,3534,8,4,14,116,192,303,0,0,0,120,198,316,224,235,458,9591,9775,19371,48,49,95,9866,10057,19920,32,55,85,1178,1235,2412,5,0,4,1216,1287,2503,123,142,260,6860,7031,13890,31,38,68,7015,7207,14223,106,119,232,3321,3443,6767,11,11,17,3445,3569,7016
ILOC50500901,25,6203,2858,9065,5,4,8,266,391,658,0,0,0,268,398,667,212,177,393,22641,22980,45625,78,91,172,22930,23250,46183,53,51,100,3614,3657,7265,9,9,25,3679,3713,7394,122,110,228,15818,16156,31976,61,68,124,15998,16332,32330,127,94,222,9236,9356,18592,28,32,61,9390,9484,18873
ILOC50500902,43,10445,4611,15053,8,10,22,396,577,971,0,0,0,408,590,993,338,350,687,43358,44942,88301,132,158,292,43828,45447,89278,72,79,150,5028,5399,10425,19,15,33,5121,5492,10612,202,205,408,31647,32558,64204,96,118,217,31951,32888,64832,160,180,342,14320,15425,29746,43,34,77,14529,15636,30170
ILOC50501001,12,1614,862,2478,7,10,20,90,123,206,0,0,3,93,137,232,167,155,317,5099,5164,10257,19,17,34,5284,5334,10615,53,53,103,689,708,1394,0,0,0,737,764,1502,87,78,166,3507,3543,7052,16,14,28,3610,3633,7247,110,112,220,1923,2012,3935,4,3,7,2040,2121,4167
ILOC50501002,3,1510,828,2335,3,4,7,68,108,176,0,0,0,72,111,185,149,140,290,4755,4861,9619,17,19,32,4924,5022,9946,42,57,101,661,760,1418,6,4,9,707,819,1528,97,89,179,3430,3551,6985,8,17,30,3537,3658,7193,77,97,174,1671,1816,3490,7,0,7,1753,1914,3674
ILOC50501003,12,3458,1571,5027,8,5,9,150,246,398,0,0,0,163,247,414,178,190,362,13896,14307,28209,48,50,99,14128,14547,28676,37,53,89,1545,1674,3221,9,4,14,1590,1733,3321,92,95,184,10437,10746,21186,43,38,77,10567,10878,21448,108,125,234,4284,4539,8826,14,8,24,4407,4672,9082
ILOC50501101,16,1962,1205,3172,17,14,26,155,212,367,0,0,0,167,231,400,372,384,750,7102,7103,14209,34,41,80,7512,7522,15036,79,77,156,995,998,1992,6,3,5,1084,1078,2155,211,184,398,4914,4787,9701,31,40,70,5155,5008,10164,194,230,428,2728,2908,5639,6,5,17,2931,3149,6079
ILOC50501102,9,2699,1580,4281,4,11,17,176,228,407,0,0,0,181,243,420,216,206,428,9970,10245,20217,32,29,61,10221,10479,20704,67,60,126,1747,1889,3635,5,0,10,1819,1950,3772,108,95,203,5695,5521,11223,16,15,39,5821,5637,11461,134,138,277,4979,5563,10545,12,7,19,5126,5713,10836
ILOC50501201,18,3680,1875,5560,0,6,10,204,298,500,0,0,0,207,301,515,190,168,358,22808,25233,48041,82,90,166,23076,25493,48567,46,54,99,3861,4371,8234,17,12,22,3922,4435,8357,99,100,201,14771,16389,31160,50,68,120,14924,16556,31479,117,101,218,10638,11987,22629,40,23,60,10795,12114,22909
ILOC50501202,19,3133,1481,4611,6,5,10,193,289,480,0,0,0,193,296,498,135,165,300,18780,19918,38702,71,73,140,18986,20154,39140,47,48,98,2595,2826,5425,3,7,13,2652,2883,5536,89,100,191,13166,14069,27235,55,57,113,13317,14231,27542,72,89,164,7242,7774,15009,13,20,34,7330,7879,15210
ILOC50501301,21,3850,1764,5614,7,8,15,152,231,380,0,0,0,154,237,394,245,233,480,12741,13102,25845,56,57,117,13047,13394,26437,41,35,80,1510,1609,3125,8,5,6,1560,1650,3216,143,151,291,9533,9761,19299,45,46,92,9724,9968,19687,102,93,200,4057,4339,8391,16,15,27,4170,4451,8621
ILOC50501302,7,936,498,1433,5,11,15,53,84,138,0,0,0,66,88,152,170,168,338,2982,3134,6111,25,19,37,3174,3313,6490,36,35,75,365,420,791,7,3,6,402,464,870,101,84,184,2227,2332,4561,19,11,35,2350,2427,4777,87,90,173,959,1082,2046,9,7,13,1055,1184,2235
ILOC50501401,9,3114,1611,4728,9,12,19,212,269,476,0,0,0,220,280,496,159,175,339,19791,19022,38816,51,41,89,20002,19246,39244,96,93,189,6724,6705,13430,6,12,19,6832,6802,13639,63,68,134,9491,9431,18921,28,24,46,9582,9522,19099,176,189,374,15957,15352,31301,31,19,49,16166,15562,31725
ILOC50501402,15,2625,1492,4117,8,5,12,186,266,456,0,0,0,193,272,466,198,194,387,34887,37136,72028,123,126,247,35206,37457,72663,87,115,201,7120,7807,14922,17,26,43,7224,7939,15163,97,81,175,21712,23515,45224,80,93,177,21892,23687,45580,166,199,367,18543,19749,38290,43,45,93,18755,19999,38752
ILOC50501501,32,5642,3269,8910,19,28,49,319,448,770,0,0,0,337,479,815,638,690,1327,17413,18108,35522,105,82,192,18152,18888,37040,114,117,229,2405,2531,4938,11,15,21,2530,2663,5194,347,360,707,12422,12734,25158,76,65,146,12852,13159,26006,308,339,647,6286,6899,13180,15,25,39,6610,7264,13871
ILOC50501502,20,3540,1784,5317,5,9,18,163,261,428,0,4,4,172,278,447,203,188,392,10264,10759,21026,59,63,123,10526,11012,21538,63,67,130,1897,2033,3931,12,12,26,1971,2116,4086,91,98,189,6855,7087,13943,45,47,89,6990,7230,14224,147,130,275,4751,5199,9950,21,25,51,4923,5360,10274
ILOC50501503,43,7266,4587,11854,8,13,27,372,588,955,4,0,3,387,599,985,543,550,1091,23379,24397,47775,89,79,165,24010,25026,49034,139,147,288,4159,4702,8866,15,14,28,4324,4861,9179,258,231,488,14318,14700,29020,59,46,109,14635,14979,29621,342,380,724,11010,12460,23471,33,32,64,11386,12871,24254
ILOC50501601,31,3987,2223,6209,11,13,22,161,263,421,0,0,0,172,277,446,331,328,661,12483,12887,25367,62,57,116,12875,13271,26148,65,98,161,1753,1912,3665,10,12,16,1821,2018,3843,177,185,370,8334,8268,16598,46,36,83,8556,8492,17047,150,195,346,4805,5429,10235,17,23,38,4979,5643,10620
ILOC50501701,6,2219,1271,3493,6,5,15,139,194,334,0,0,0,142,201,343,226,203,429,16072,16839,32914,38,58,95,16328,17102,33436,84,79,158,3431,3603,7029,13,12,24,3518,3689,7214,88,95,182,9574,10327,19900,24,39,56,9679,10460,20141,199,164,363,9034,9234,18272,21,24,41,9250,9426,18677
ILOC50501702,8,2576,1413,3986,12,7,18,181,229,414,0,0,0,190,240,432,257,223,483,13206,13459,26661,46,46,98,13505,13737,27241,77,76,150,3531,3380,6910,9,10,20,3606,3464,7077,130,111,241,7347,7554,14904,33,28,58,7512,7693,15206,170,168,337,8554,8403,16956,16,23,44,8734,8596,17334
ILOC50501801,26,5559,2610,8165,8,0,10,235,364,599,0,0,0,242,370,608,269,246,516,31186,33578,64766,102,117,222,31561,33945,65504,55,43,100,5564,6106,11667,16,11,26,5632,6158,11789,136,148,289,19647,21163,40804,70,83,157,19854,21389,41245,149,134,286,15090,16619,31705,34,29,61,15273,16784,32056
ILOC50501802,27,3384,1778,5161,10,11,14,171,331,507,0,0,0,177,343,520,249,246,493,20444,21740,42180,68,100,167,20759,22083,42841,58,61,117,3157,3382,6537,11,9,21,3223,3449,6677,156,143,297,14038,15029,29072,55,69,128,14253,15241,29491,128,147,276,8444,9074,17515,27,26,53,8598,9246,17844
ILOC50501803,7,1601,954,2558,0,4,10,104,130,234,0,0,0,107,131,242,177,161,334,7292,7344,14632,34,25,68,7504,7531,15038,31,49,74,1183,1112,2296,0,4,8,1208,1160,2375,99,98,196,4307,4400,8706,26,17,49,4437,4515,8952,76,88,161,3489,3508,6995,4,7,16,3566,3602,7170
ILOC50501804,34,5907,3489,9397,7,15,20,349,490,846,0,3,7,362,513,870,324,421,742,32841,35333,68169,123,132,256,33283,35891,69173,76,101,177,6176,6674,12849,16,11,28,6275,6784,13058,139,191,328,19069,20818,39894,75,91,169,19288,21110,40390,214,294,507,17762,19066,36830,50,42,89,18026,19395,37426
ILOC50501901,4,2028,1068,3103,9,7,12,117,141,258,0,0,0,126,150,274,182,185,368,8367,8490,16860,24,37,59,8576,8712,17287,20,24,42,805,803,1609,4,3,5,829,835,1661,100,106,208,6484,6472,12952,21,27,49,6604,6608,13211,79,86,171,2221,2346,4571,8,8,15,2307,2443,4750
ILOC50501902,10,2060,1160,3220,4,3,7,151,158,313,0,0,0,157,165,323,337,383,715,8802,8655,17456,42,30,72,9185,9059,18249,65,56,129,966,964,1930,5,3,9,1037,1027,2063,192,212,405,6542,6410,12953,37,19,49,6767,6642,13411,166,185,355,2703,2723,5426,14,6,16,2882,2910,5796
ILOC50501903,0,241,118,357,0,4,4,11,16,28,0,0,0,11,21,29,33,40,73,717,636,1355,4,8,10,757,687,1441,11,16,25,116,119,238,0,0,0,134,134,263,18,27,37,480,426,908,5,8,9,503,460,959,22,29,50,309,295,600,0,0,0,332,318,649
ILOC50501904,24,5687,3217,8906,9,14,20,287,393,684,0,0,0,296,412,705,517,527,1038,20591,20973,41561,67,67,134,21173,21559,42725,137,146,288,3502,3646,7149,18,12,24,3651,3804,7459,269,244,514,11556,11656,23210,47,41,93,11874,11944,23815,287,342,632,10440,11089,21535,27,25,54,10753,11460,22212
ILOC50501905,14,2815,1778,4591,17,11,21,176,245,419,0,0,0,185,256,443,382,334,715,10584,11159,21741,38,46,83,11007,11531,22538,71,89,164,1527,1701,3232,5,5,11,1601,1796,3397,215,173,384,7424,7722,15148,24,26,46,7659,7918,15579,202,217,417,3839,4390,8234,15,13,29,4056,4621,8675
ILOC50501906,5,859,450,1310,0,0,0,38,68,99,0,0,0,39,64,102,97,65,164,3309,3301,6610,11,7,19,3416,3377,6793,33,21,52,608,683,1292,6,0,10,644,711,1356,45,33,75,2004,2026,4028,7,8,11,2056,2058,4116,78,46,123,1695,1779,3472,5,3,8,1776,1828,3607
ILOC50501907,0,540,323,868,3,3,7,45,53,99,0,0,0,48,55,105,81,83,167,1749,1834,3589,10,15,30,1843,1933,3780,21,36,53,481,540,1017,0,4,8,504,579,1081,33,36,64,915,920,1834,7,14,22,950,965,1918,67,71,136,1222,1342,2567,4,9,9,1292,1419,2712
ILOC50501908,6,711,428,1137,3,6,12,47,55,103,0,5,5,53,66,120,170,192,362,2437,2414,4853,13,20,34,2624,2623,5241,51,48,97,447,452,896,0,5,5,500,503,1000,84,97,185,1381,1360,2741,8,9,18,1481,1464,2940,111,112,221,1347,1365,2708,4,10,16,1455,1481,2940
ILOC50501909,4,792,473,1269,3,9,8,49,56,109,0,0,0,51,62,112,171,164,337,2750,2791,5545,18,16,36,2945,2975,5919,38,37,72,331,350,686,0,0,0,372,388,754,85,91,182,2052,2014,4064,15,13,27,2154,2119,4270,89,86,172,868,989,1859,9,0,9,963,1078,2041
ILOC50502001,55,12369,6622,18993,18,27,46,653,1006,1658,5,0,5,675,1036,1713,758,837,1596,50063,51774,101839,162,173,337,50985,52781,103769,160,207,366,6210,6482,12696,21,26,42,6398,6721,13113,416,459,875,34733,35519,70255,118,124,242,35267,36098,71370,374,462,836,18102,19309,37413,44,49,95,18517,19821,38335
ILOC50502101,57,9573,5457,15026,22,32,53,506,773,1278,0,5,8,532,804,1334,724,772,1496,32398,34112,66513,130,134,266,33255,35018,68273,178,154,335,5666,6428,12093,25,32,57,5870,6611,12477,368,387,757,19935,20357,40288,95,100,199,20400,20844,41246,420,428,845,15601,17716,33319,49,54,102,16065,18196,34260
ILOC50600102,0,0,0,0,3,9,15,0,0,0,0,0,0,3,9,15,117,113,230,10,0,13,0,0,0,126,119,242,16,15,31,0,5,5,0,0,0,17,19,33,87,92,173,0,0,0,0,0,0,87,92,173,23,29,54,6,7,17,0,0,0,29,36,67
ILOC50600103,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,75,80,151,4,4,9,0,0,0,79,84,163,3,9,17,0,0,0,0,0,0,6,9,14,67,77,142,3,0,7,0,0,0,76,73,147,7,10,19,0,0,8,0,0,0,11,11,26
ILOC50600104,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,25,57,5,3,7,0,0,0,29,25,56,4,14,19,0,0,0,0,0,0,10,14,20,27,22,55,0,0,0,0,0,0,29,26,58,6,9,14,0,0,6,0,0,0,7,5,19
ILOC50600105,0,7,6,15,3,0,3,0,0,0,0,0,0,4,0,4,45,37,91,27,21,48,4,0,4,80,63,137,4,0,5,9,13,23,0,0,0,17,10,27,44,32,73,21,13,31,4,0,4,59,41,101,9,8,17,16,17,40,0,0,0,24,27,52
ILOC50600106,0,592,253,847,7,7,15,22,36,57,0,0,0,34,41,74,197,205,410,1197,1024,2219,18,15,32,1408,1246,2650,63,56,122,423,448,873,0,0,0,487,511,992,86,84,171,441,315,752,9,8,15,534,401,938,142,146,287,1016,1026,2039,8,3,12,1161,1173,2334
ILOC50600107,0,3,0,7,4,3,5,0,0,0,0,0,0,4,3,5,46,35,80,22,14,28,0,0,0,60,49,113,0,3,12,8,4,12,0,0,0,11,10,18,27,40,69,9,9,21,0,0,0,44,51,91,13,5,16,17,9,24,0,0,0,27,11,39
ILOC50600108,0,6,0,0,0,4,4,0,0,0,0,0,0,0,4,4,41,44,85,11,7,15,0,0,0,51,48,101,10,5,16,0,0,0,0,0,0,12,5,16,32,27,60,3,0,5,0,0,0,34,29,59,19,23,41,7,7,15,0,0,0,24,27,54
ILOC50600109,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,55,39,94,7,4,11,0,0,0,57,42,102,6,5,13,0,0,4,0,0,0,9,11,21,50,39,96,5,0,5,0,0,0,53,43,99,3,4,7,4,5,11,0,0,0,12,3,16
ILOC50600110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,50,84,3,3,3,0,0,0,37,53,85,0,0,3,0,0,0,0,0,0,0,4,5,33,36,74,0,0,0,0,0,0,33,41,73,0,0,3,3,4,7,0,0,0,3,6,5
ILOC50600111,3,822,95,927,0,0,10,40,14,58,0,0,0,42,18,63,116,37,154,1323,324,1645,11,0,11,1447,355,1807,25,15,37,510,192,704,4,0,4,542,204,743,84,22,104,749,160,907,5,0,5,838,182,1021,53,31,80,1039,337,1375,3,0,3,1096,361,1458
ILOC50600112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600201,10,915,275,1192,4,5,6,29,45,73,0,0,0,33,50,87,148,101,249,1774,1272,3048,13,12,31,1935,1387,3328,41,20,56,624,528,1153,7,6,18,665,558,1227,105,56,164,1039,701,1743,12,10,21,1152,771,1922,70,47,116,1249,978,2232,10,15,24,1325,1040,2368
ILOC50600202,0,96,38,136,0,0,0,7,7,10,0,0,0,7,6,11,40,50,92,187,183,371,0,0,0,228,233,466,8,14,22,76,64,138,0,0,0,83,75,159,26,43,68,64,55,119,0,0,0,91,96,193,13,21,37,173,159,333,0,0,0,193,182,366
ILOC50600203,4,182,74,253,0,0,0,3,8,11,0,0,0,3,8,13,38,23,60,377,277,656,0,4,5,418,303,720,24,17,40,115,129,242,0,5,3,138,152,291,18,15,31,156,87,240,0,0,0,171,95,267,42,32,70,301,282,586,0,8,6,344,319,665
ILOC50600204,0,420,178,596,7,9,12,17,8,23,0,0,0,19,18,39,102,112,221,857,763,1626,3,4,12,968,887,1857,38,34,69,262,244,502,0,5,7,296,278,578,29,41,77,311,256,569,0,8,4,345,305,649,85,98,178,703,650,1353,8,7,10,794,751,1540
ILOC50600301,14,2280,856,3135,18,18,35,94,152,238,5,0,5,107,166,278,539,545,1091,4999,4430,9429,29,21,49,5567,4997,10569,185,188,372,1649,1600,3251,7,8,17,1833,1800,3635,250,243,495,2153,1792,3949,9,7,16,2416,2042,4454,385,395,780,3949,3779,7729,24,17,39,4358,4189,8543
ILOC50600401,0,3,0,9,0,0,3,0,0,0,0,0,0,0,0,3,25,23,42,0,0,0,0,0,0,25,23,42,5,3,11,0,0,3,0,0,0,3,10,15,16,18,36,0,0,0,0,0,0,16,18,36,6,5,12,0,0,3,0,0,0,4,11,22
ILOC50600402,0,43,0,44,8,6,13,0,0,0,0,0,0,3,6,15,42,33,78,68,48,118,0,0,0,110,85,196,8,12,21,19,24,45,0,0,0,28,40,70,32,21,53,34,23,57,0,0,0,65,46,113,18,20,42,42,43,88,0,0,0,64,64,124
ILOC50600403,0,621,201,825,0,3,8,20,30,46,0,0,0,22,32,54,124,97,221,1225,1126,2351,6,3,12,1357,1225,2581,41,34,78,500,459,960,0,0,0,536,490,1032,62,39,101,427,360,788,0,6,7,494,401,900,88,74,165,1163,1081,2248,4,3,7,1251,1163,2415
ILOC50600404,5,1417,542,1958,20,44,66,33,82,116,0,0,0,50,131,185,888,922,1810,2671,2288,4959,17,25,45,3580,3237,6813,238,252,491,915,910,1826,9,4,7,1160,1164,2328,427,472,901,1022,773,1797,16,18,36,1471,1266,2731,552,586,1138,2254,2176,4433,15,10,25,2824,2770,5593
ILOC50600405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600501,0,55,13,68,0,3,3,3,0,3,0,0,0,3,6,9,42,27,63,93,83,177,0,0,0,134,106,241,8,9,10,21,19,38,0,0,0,27,25,50,32,22,58,65,43,104,0,0,0,96,65,161,9,13,20,42,56,104,0,0,0,55,69,125
ILOC50600502,0,297,82,376,0,0,0,15,14,22,0,0,0,15,11,27,27,19,50,634,443,1080,0,0,0,661,465,1130,4,4,9,156,119,283,0,0,0,162,125,285,8,5,18,385,250,634,0,0,0,396,261,654,18,11,34,369,277,646,0,0,0,383,288,672
ILOC50600503,0,5,3,11,0,4,4,0,0,0,0,0,0,0,4,4,41,39,78,10,12,20,0,0,0,45,47,95,16,13,28,0,9,11,0,0,0,19,22,38,24,17,35,6,8,13,0,0,0,29,22,54,23,31,50,7,14,17,0,0,0,28,40,65
ILOC50600504,0,30,29,55,5,4,11,0,3,7,0,0,0,4,10,12,143,145,286,55,46,100,0,6,4,200,195,391,36,36,72,15,19,32,0,0,0,52,53,107,68,82,151,18,19,40,0,0,0,92,105,188,98,91,186,45,45,90,4,6,6,144,141,283
ILOC50600505,6,309,125,426,3,6,6,3,15,21,0,0,0,6,19,29,131,93,219,562,429,987,8,4,14,697,526,1221,26,24,49,172,158,333,0,0,0,200,182,385,76,50,127,322,209,534,3,3,9,402,259,665,57,51,110,344,325,670,7,0,9,406,375,784
ILOC50700101,14,1630,1091,2723,5,13,19,137,181,325,0,0,0,142,193,342,267,297,563,5809,6706,12516,41,60,103,6125,7060,13182,64,43,104,1180,1393,2579,8,5,12,1254,1448,2693,149,170,325,3708,4283,7992,38,46,85,3898,4502,8395,143,128,274,2945,3501,6442,12,14,30,3096,3653,6741
ILOC50700102,15,2630,1363,3993,7,12,18,144,226,374,0,0,3,158,241,396,265,234,498,8361,8365,16732,52,46,99,8682,8646,17332,38,46,83,1299,1297,2595,9,15,20,1344,1351,2696,173,144,313,5752,5613,11365,40,40,75,5965,5792,11758,101,110,211,3442,3622,7060,17,19,38,3559,3752,7305
