ILOC_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC50800102,0,0,0,0,3,0,4,0,0,0,0,0,9,4,5,8,6,9,15,0,0,0,0,0,9,10,7,17
ILOC50800103,0,0,0,0,3,0,7,0,0,0,3,7,6,3,5,11,22,34,53,0,0,0,3,7,6,25,40,64
ILOC50800301,0,0,0,0,0,0,4,0,0,0,3,0,3,3,0,9,33,29,59,0,4,8,3,0,3,38,28,72
ILOC50800302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,14,0,0,0,0,0,0,4,6,14
ILOC50800303,0,0,0,0,0,0,0,0,0,0,7,0,5,8,6,13,22,17,43,0,3,4,7,0,5,29,19,48
ILOC50800304,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,3,10,16,25,0,0,0,0,0,0,10,16,25
ILOC50800305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800306,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,6,33,32,59,0,0,0,0,0,0,33,34,68
ILOC50800307,0,0,0,0,0,5,9,0,0,0,3,0,3,7,4,12,29,27,62,3,0,3,3,0,3,40,29,67
ILOC50800308,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,5,26,14,36,0,0,0,0,0,0,26,14,36
ILOC50800501,0,0,0,0,3,0,4,0,0,0,7,14,22,9,12,22,14,16,29,0,0,0,7,14,22,23,29,48
ILOC50800502,0,3,4,3,3,4,4,5,0,6,23,38,65,38,47,79,33,34,68,22,28,53,23,38,65,81,98,185
ILOC50800503,0,0,0,0,0,0,4,0,0,0,5,4,6,3,3,11,5,8,14,0,0,0,5,4,6,9,11,20
ILOC50800504,0,0,0,0,4,0,6,0,0,0,10,5,13,10,4,19,26,18,46,0,0,0,10,5,13,28,31,59
ILOC50800505,0,0,0,0,3,3,5,0,0,0,3,0,3,3,3,12,10,11,20,0,0,5,3,0,3,18,15,26
ILOC50800506,0,0,0,0,12,7,23,0,0,0,0,0,0,16,8,25,53,56,104,0,3,3,0,0,0,51,57,107
ILOC50800601,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,11,6,11,0,0,0,0,0,0,11,6,11
ILOC50800602,0,0,0,0,0,0,5,0,0,0,3,3,6,3,10,13,10,17,28,0,0,4,5,3,8,16,26,44
ILOC50800603,0,0,0,0,12,9,21,0,0,0,4,0,8,21,12,33,74,64,145,0,0,0,4,0,8,82,71,150
ILOC50800604,0,0,0,0,157,25,179,14,6,16,55,42,91,219,70,284,174,34,212,20,17,35,55,42,91,245,94,341
ILOC50800605,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,7,11,9,23,0,0,0,0,0,0,11,13,26
ILOC59499494,0,23,34,55,603,481,1082,892,362,1248,734,422,1159,2227,1260,3489,637,521,1157,1163,677,1838,736,422,1163,2535,1623,4160
ILOC59799797,0,0,0,3,0,0,0,0,0,6,191,19,214,193,20,219,0,0,0,16,9,28,191,19,214,209,28,237
