ILOC_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC50400201,16,9,0,27,35,0,0,40,47,0,0,47,19,0,0,19,21,0,0,21,3,0,0,3,8,0,4,11,154,12,4,175,29,14,0,43,28,5,0,39,49,0,0,49,12,0,0,12,16,0,0,16,4,0,0,4,10,0,0,10,153,23,0,178,45,28,0,72,73,7,0,74,99,0,0,99,27,0,0,27,42,0,0,42,10,0,0,10,14,3,4,19,304,37,4,346
ILOC50400202,5,15,0,23,3,0,0,0,5,15,0,24,3,0,0,4,12,0,0,7,0,0,0,0,0,0,19,21,25,39,20,78,4,20,0,25,11,0,0,10,8,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,23,25,25,16,72,3,37,0,45,7,4,0,14,17,21,0,33,3,0,0,4,15,0,0,9,0,0,0,0,0,0,38,37,49,65,33,148
ILOC50400203,3,0,0,5,3,0,0,3,9,0,0,9,5,0,0,5,4,0,0,4,0,0,0,0,0,0,6,7,32,0,6,38,4,5,0,7,10,0,0,10,17,0,0,17,5,0,0,5,13,0,0,13,0,0,0,0,0,0,4,0,52,3,4,58,9,5,0,15,8,0,0,8,30,0,0,30,6,0,0,6,20,0,0,20,0,0,0,0,0,0,5,7,86,10,5,97
ILOC50400204,12,0,0,12,5,0,0,8,15,0,0,19,9,0,0,9,0,0,0,0,0,0,0,0,10,0,0,14,56,6,0,63,16,4,0,19,7,0,0,11,15,0,0,15,5,0,0,4,7,0,0,7,0,0,0,0,9,0,0,12,61,7,3,71,22,11,0,40,17,0,0,19,32,0,0,33,12,0,0,6,9,0,0,9,5,0,0,5,25,0,0,28,118,16,3,135
ILOC50400205,8,0,0,8,8,0,0,10,9,0,0,9,3,0,0,3,6,0,0,6,0,0,0,0,4,0,0,7,44,0,0,42,3,0,0,6,8,0,0,8,12,0,0,17,3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,37,5,0,41,17,0,0,13,16,0,0,19,25,0,0,28,6,0,0,6,11,0,0,11,4,0,0,4,4,0,4,7,80,0,4,91
ILOC50400301,46,83,7,130,28,20,0,45,62,22,3,90,13,0,0,13,32,0,0,33,4,0,0,7,24,3,61,87,203,134,72,413,72,92,3,163,35,9,0,48,83,21,3,107,20,0,0,26,34,0,0,34,11,0,0,12,32,6,55,89,288,129,68,476,120,174,7,292,66,27,0,93,144,41,10,198,37,0,0,39,64,3,0,67,15,0,3,18,51,8,116,174,490,257,138,889
ILOC50400302,12,0,0,9,8,0,0,8,36,0,0,36,7,0,0,7,11,0,0,11,10,0,0,10,7,0,3,11,80,0,6,86,14,0,3,19,8,0,0,12,31,0,0,31,15,0,0,15,10,0,0,10,0,0,0,0,9,0,4,8,85,0,5,93,22,0,3,26,18,0,0,19,62,0,0,62,26,0,0,26,19,0,0,24,10,0,0,10,10,0,6,25,170,0,11,181
ILOC50400303,4,0,0,4,4,0,0,4,15,0,0,18,9,0,0,9,5,0,0,5,0,0,0,0,3,0,0,4,40,0,0,41,7,0,0,7,8,0,0,8,19,0,0,19,9,0,0,9,6,0,0,6,0,0,0,0,0,0,0,0,43,0,0,43,8,0,0,8,10,0,0,10,37,0,0,37,14,0,0,14,8,0,0,8,6,0,0,6,4,0,0,8,81,0,0,83
ILOC50400401,12,12,0,33,14,7,0,17,29,9,0,38,10,4,0,13,6,0,0,12,6,0,0,6,31,0,9,40,120,34,9,161,18,7,0,35,10,0,0,16,45,0,0,54,10,0,0,8,9,0,0,9,3,0,0,3,18,0,3,27,115,13,6,142,39,25,0,61,27,5,0,34,74,13,6,91,20,0,0,26,15,0,0,14,11,0,0,11,51,0,13,64,238,46,19,298
ILOC50400501,15,10,0,25,26,5,0,33,46,0,0,49,10,0,0,13,11,0,0,11,0,0,0,0,0,0,13,13,111,10,13,134,20,9,0,31,40,0,0,41,44,0,0,46,19,0,0,19,4,0,0,4,0,0,0,0,0,0,14,14,125,15,14,149,36,18,0,53,62,5,0,72,97,4,0,99,31,0,0,34,18,0,0,18,0,0,0,0,0,0,22,22,238,23,22,283
ILOC50400601,83,562,7,649,44,101,0,142,84,253,3,343,27,53,0,75,28,33,0,62,0,9,0,13,40,20,267,333,307,1027,285,1608,94,777,7,878,63,96,0,157,119,157,4,280,38,34,0,68,31,3,0,34,7,0,0,7,51,13,282,351,404,1085,296,1785,177,1338,9,1528,108,197,0,301,205,409,7,621,62,84,0,149,56,36,0,94,12,8,0,21,93,34,552,684,711,2110,579,3395
ILOC50400602,0,0,0,0,6,0,0,6,14,0,0,14,3,0,0,3,9,0,0,9,5,0,0,5,0,0,4,3,38,0,4,42,0,0,0,0,7,0,0,7,13,0,0,13,0,0,0,0,12,0,0,12,3,0,0,3,0,0,10,11,42,0,10,49,3,0,0,3,11,0,0,11,28,0,0,28,6,0,0,6,20,0,0,20,7,0,0,7,4,0,6,13,81,0,6,95
ILOC50400603,3,0,0,3,4,0,0,4,6,0,0,6,0,0,0,0,5,0,0,5,0,0,0,0,4,0,4,9,16,0,4,17,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,8,0,0,6,23,0,0,23,4,0,0,4,5,0,0,5,6,0,0,6,6,0,0,6,14,0,0,14,0,0,0,0,6,0,4,13,36,0,4,41
ILOC50400701,16,140,0,156,9,34,0,42,9,66,0,82,5,14,0,23,6,10,0,22,0,0,0,0,3,5,82,96,58,270,93,416,8,174,5,180,3,27,3,32,22,47,0,69,5,7,0,11,4,0,0,4,3,0,0,4,9,0,62,70,56,257,64,373,23,310,3,341,16,54,3,72,31,113,0,153,9,21,0,31,8,10,0,20,3,6,0,7,12,8,146,167,108,521,160,788
ILOC50400702,6,33,0,37,3,7,0,12,6,19,0,30,3,0,0,3,4,0,0,0,0,0,0,0,5,3,28,33,25,66,26,115,4,20,0,20,4,0,0,6,11,5,0,13,3,0,0,4,4,0,0,4,0,0,0,0,0,0,15,21,23,29,17,67,6,48,0,58,6,9,0,14,18,21,0,43,6,0,0,7,5,0,0,7,0,0,0,0,4,9,46,54,43,86,42,180
ILOC50400801,32,51,0,74,13,10,0,26,42,30,0,71,17,6,0,28,21,3,0,23,0,0,0,0,13,3,47,63,140,104,47,290,45,48,0,89,32,4,4,39,44,10,0,55,13,5,0,18,10,3,0,17,0,0,0,0,7,0,41,52,157,71,48,274,72,95,0,167,48,12,4,62,88,44,0,132,33,11,0,39,31,11,0,37,3,0,0,3,25,3,91,121,297,170,89,563
ILOC50500101,51,1769,14,1835,29,522,6,558,82,1392,15,1489,19,296,7,327,12,185,0,202,3,42,0,50,27,155,403,584,231,4368,442,5044,84,2105,11,2200,33,599,9,643,92,1430,17,1538,19,285,6,311,9,224,3,238,0,40,3,46,14,185,359,558,258,4859,414,5530,140,3870,23,4034,71,1115,13,1200,174,2821,30,3025,42,577,11,633,25,411,6,439,4,83,6,96,39,338,765,1141,491,9225,856,10575
ILOC50500102,90,11728,17,11836,38,1672,8,1719,57,3548,11,3622,17,516,3,543,9,261,0,273,0,74,0,79,3,185,769,962,223,17983,817,19020,117,13240,24,13376,36,1579,5,1617,57,3168,7,3237,9,456,7,473,4,291,0,297,0,87,0,87,0,199,512,715,227,19013,561,19810,205,24968,43,25220,70,3249,18,3337,118,6715,18,6850,33,973,11,1012,14,550,0,566,3,160,0,166,11,386,1285,1680,450,36992,1376,38828
ILOC50500103,44,1802,5,1849,9,441,3,449,41,1059,4,1104,7,183,0,195,7,124,0,130,0,29,0,28,8,108,275,391,120,3741,291,4146,44,2045,14,2102,26,410,3,437,38,987,8,1023,8,177,0,187,5,118,7,126,0,30,0,31,6,116,235,358,130,3871,264,4264,89,3843,19,3950,36,850,7,889,73,2042,11,2135,20,362,0,382,14,236,7,257,4,54,0,57,12,224,512,749,247,7614,555,8411
ILOC50500104,31,1861,9,1897,21,401,0,420,42,919,0,965,14,141,3,157,6,106,0,111,0,37,0,37,8,55,239,298,119,3522,251,3889,45,2124,6,2173,19,404,0,430,33,842,3,873,14,147,0,161,3,110,0,111,0,58,0,58,8,41,190,237,118,3722,201,4041,74,3986,7,4071,42,804,3,844,78,1754,6,1840,26,288,4,319,4,212,0,218,0,97,0,97,12,93,428,535,237,7244,451,7930
ILOC50500105,27,608,0,633,13,207,0,217,20,475,0,501,9,116,0,125,12,67,0,79,0,31,0,32,0,27,90,120,80,1538,94,1704,29,636,0,663,6,217,0,225,20,460,0,487,3,89,0,88,4,53,0,58,0,36,0,39,0,34,90,125,66,1524,95,1684,53,1243,0,1299,18,424,0,444,43,945,0,987,16,201,0,220,11,122,0,134,0,68,0,69,4,58,181,242,148,3060,187,3389
ILOC50500201,49,3447,9,3500,12,508,0,528,36,1153,9,1205,14,192,0,206,3,175,4,185,0,36,0,37,3,97,350,449,115,5621,373,6109,57,4017,7,4085,17,460,5,482,34,1151,7,1199,10,182,0,197,7,236,0,247,5,44,0,46,4,96,266,369,135,6186,300,6620,102,7461,16,7585,32,969,3,1003,77,2308,19,2402,24,378,0,403,9,421,4,431,3,81,0,87,9,191,617,817,254,11812,670,12733
ILOC50500301,76,7719,14,7804,17,1047,3,1068,38,2213,11,2252,9,464,4,478,11,526,5,543,4,169,0,170,0,220,519,739,153,12348,549,13051,70,7911,18,7992,30,910,0,948,44,2314,9,2372,11,452,0,467,16,742,0,753,0,225,0,230,3,239,388,625,179,12797,423,13397,141,15630,26,15799,50,1963,4,2013,79,4525,24,4630,20,915,4,946,24,1273,5,1297,9,391,0,398,7,457,900,1360,331,25148,962,26442
ILOC50500302,80,9395,17,9497,21,920,6,942,46,1715,8,1772,7,300,7,311,14,303,0,319,5,57,0,61,0,172,690,864,173,12856,731,13759,97,10037,21,10152,24,829,0,856,38,1754,8,1801,5,303,0,312,13,386,0,401,0,97,4,100,8,219,578,808,192,13625,608,14422,181,19427,35,19643,41,1744,9,1793,83,3471,13,3572,17,600,4,614,29,689,0,723,6,154,4,160,15,391,1274,1673,362,26483,1338,28181
ILOC50500401,63,3488,9,3561,23,507,0,530,47,1054,7,1105,7,208,3,217,7,160,0,170,0,57,0,64,9,171,464,646,165,5654,482,6296,74,3568,11,3650,22,437,3,458,49,954,3,1002,16,162,3,184,9,195,0,207,5,69,0,69,9,209,338,550,172,5586,355,6116,141,7052,20,7209,45,937,3,987,90,2006,9,2105,22,369,9,400,17,356,0,378,5,132,0,132,20,384,802,1200,336,11236,832,12407
ILOC50500402,34,1984,5,2025,17,278,3,296,14,575,4,596,9,125,0,131,6,108,0,117,0,42,0,39,0,77,254,337,82,3193,267,3538,40,2101,0,2139,19,225,0,244,18,554,3,576,5,112,3,119,4,129,0,135,0,42,0,45,5,75,217,296,87,3235,226,3559,75,4087,8,4169,31,502,4,542,32,1125,7,1170,5,240,5,253,12,238,0,249,0,86,0,88,3,151,469,627,172,6432,496,7092
ILOC50500403,12,1686,6,1704,4,208,4,221,5,492,0,498,0,86,0,85,5,99,0,100,0,36,0,36,0,42,154,200,30,2653,162,2845,18,1750,6,1771,5,222,0,234,8,454,0,469,0,100,3,104,0,138,0,138,0,33,0,33,0,53,123,176,43,2750,135,2922,32,3434,12,3473,10,431,5,452,17,946,0,971,4,185,3,189,0,235,0,237,0,70,0,70,0,96,279,373,69,5402,297,5768
ILOC50500404,34,3131,11,3171,14,367,3,383,26,592,8,629,12,93,6,103,5,91,0,93,4,42,0,42,0,70,284,353,86,4384,304,4773,38,3006,5,3054,22,301,0,323,28,533,5,568,9,102,8,113,3,117,0,119,0,39,0,35,0,65,205,272,104,4161,222,4489,70,6134,16,6222,36,671,0,705,56,1125,9,1197,13,197,8,221,7,210,0,221,8,75,0,78,4,127,491,630,195,8540,522,9261
ILOC50500501,49,12321,28,12401,11,1080,6,1090,38,2296,12,2348,4,399,4,412,8,395,6,409,0,117,0,115,5,228,489,717,117,16840,541,17495,34,13143,26,13207,13,1091,3,1103,42,2607,5,2656,5,423,4,436,8,479,7,492,6,162,0,170,0,286,372,665,108,18189,424,18727,86,25468,54,25608,17,2172,9,2191,76,4900,21,5004,16,820,10,842,15,878,8,898,3,281,0,287,7,515,862,1382,225,35032,958,36220
ILOC50500502,86,11019,25,11126,31,790,4,828,61,1555,10,1629,16,333,0,349,3,410,4,418,5,147,0,155,7,320,898,1226,221,14571,936,15725,111,10150,26,10281,36,708,3,746,75,1472,7,1558,26,355,4,385,7,499,5,507,3,228,0,235,6,297,707,1013,275,13703,748,14723,199,21170,44,21408,71,1494,3,1571,137,3027,19,3185,41,690,4,729,14,905,10,929,14,379,0,384,19,613,1604,2233,493,28271,1680,30447
ILOC50500503,7,2654,8,2673,0,276,0,281,9,544,3,555,3,73,0,80,0,66,0,66,0,21,0,21,0,47,105,150,19,3682,116,3827,14,2843,6,2858,3,286,0,293,5,561,3,570,0,94,0,94,0,83,0,84,0,30,0,30,0,51,52,99,27,3943,62,4032,23,5498,14,5534,7,563,0,575,10,1105,4,1125,3,173,0,175,0,148,0,151,0,52,0,52,0,91,159,250,44,7625,184,7856
ILOC50500601,61,6198,18,6276,27,1010,0,1035,36,2048,15,2098,11,340,0,355,5,237,0,241,6,48,0,44,3,123,444,568,145,9994,480,10623,91,7062,11,7168,17,892,0,913,51,1899,9,1955,4,319,3,323,0,292,0,296,0,61,0,63,0,139,332,466,168,10662,358,11192,156,13261,32,13450,48,1902,5,1953,85,3945,23,4054,15,657,7,674,10,527,3,536,0,105,0,106,3,260,772,1038,314,20658,837,21816
ILOC50500602,63,5030,11,5110,14,890,8,917,32,2058,10,2099,8,352,6,356,3,423,6,422,0,68,0,69,0,150,766,919,123,8970,804,9894,74,5519,10,5598,15,795,3,817,36,1986,7,2031,6,361,3,368,9,460,0,463,0,98,0,98,3,184,408,594,137,9399,437,9968,131,10553,26,10709,36,1686,7,1731,64,4040,15,4124,9,708,6,724,6,877,8,888,0,165,0,168,3,335,1180,1515,258,18366,1238,19864
ILOC50500603,72,10331,19,10424,32,1512,6,1548,61,2774,10,2844,19,416,4,437,13,255,0,268,6,69,0,70,4,243,628,876,214,15596,662,16472,104,11497,24,11621,42,1369,4,1418,67,2535,10,2613,18,397,5,415,5,296,0,305,0,101,0,100,9,281,429,723,242,16481,470,17194,179,21825,36,22047,72,2883,8,2968,129,5313,19,5456,32,811,6,849,13,558,0,577,6,165,0,177,14,529,1061,1600,457,32076,1136,33671
ILOC50500604,14,1224,0,1247,8,173,0,184,16,425,0,443,6,99,0,100,7,71,0,77,0,15,0,16,0,44,137,177,50,2051,144,2247,22,1459,6,1482,12,190,0,199,22,366,3,390,9,82,0,89,0,81,3,84,0,13,0,15,5,46,105,155,59,2229,124,2414,37,2689,8,2733,17,365,0,385,39,792,6,833,8,172,0,192,6,154,9,165,0,22,0,25,3,83,242,336,113,4283,266,4666
ILOC50500605,41,2750,9,2797,15,413,0,428,34,879,4,914,3,161,0,163,4,233,0,234,0,53,0,52,7,88,360,456,104,4571,374,5052,41,3288,0,3331,15,356,3,368,30,817,4,850,14,166,6,183,15,252,0,264,3,54,0,57,5,95,317,421,110,5027,329,5473,83,6034,14,6129,27,766,3,795,57,1694,6,1762,16,325,6,347,21,481,3,507,4,106,0,110,6,190,677,871,215,9601,708,10525
ILOC50500701,85,10410,35,10526,20,1004,6,1031,52,1951,10,2012,14,323,4,333,12,388,3,403,0,74,0,78,15,322,958,1294,194,14463,1014,15668,102,11887,37,12023,29,845,7,883,39,1897,8,1947,18,308,5,323,13,485,8,504,0,99,0,102,11,427,751,1184,213,15945,812,16968,191,22292,66,22545,51,1840,10,1906,92,3845,19,3956,26,628,5,661,21,873,7,903,5,174,0,179,21,755,1706,2478,409,30412,1821,32636
ILOC50500801,34,2203,0,2234,12,254,0,267,22,551,0,576,6,105,0,111,0,107,0,110,0,62,0,63,4,72,197,273,76,3350,210,3631,25,2160,10,2191,10,210,0,225,26,516,0,540,8,92,0,99,0,116,0,126,0,58,0,58,0,60,160,224,78,3213,169,3462,57,4366,10,4428,25,464,0,488,48,1065,3,1122,13,197,0,210,0,225,0,230,0,120,0,116,6,138,359,495,154,6568,377,7094
ILOC50500802,52,8942,17,9010,13,833,0,849,266,2235,3,2507,0,308,4,320,16,263,0,281,23,124,0,149,25,226,435,680,404,12933,461,13796,46,9506,10,9565,13,857,3,873,102,1857,8,1963,3,294,0,304,7,338,0,344,0,176,0,177,6,193,291,490,180,13224,317,13719,97,18449,26,18573,30,1687,4,1724,374,4086,13,4464,8,607,3,620,26,597,3,624,26,299,0,328,24,422,727,1177,579,26153,777,27509
ILOC50500803,58,3424,12,3492,34,788,0,821,71,1900,12,1989,24,401,5,427,20,342,0,367,4,175,0,178,14,218,448,687,221,7247,481,7953,78,3689,14,3782,42,769,0,817,92,1895,6,1996,15,405,0,425,13,354,0,369,4,186,0,189,15,268,409,696,261,7567,443,8270,136,7111,23,7270,75,1555,3,1637,168,3796,18,3983,37,809,7,854,29,695,0,733,11,358,0,366,23,492,861,1379,481,14812,923,16223
ILOC50500804,39,1591,6,1643,10,332,5,340,29,801,4,832,3,141,0,145,4,77,3,81,0,30,0,36,4,56,125,186,89,3031,146,3266,25,1851,4,1885,14,321,3,345,26,739,0,768,3,102,4,102,3,82,0,89,0,42,0,47,0,47,97,143,77,3188,111,3371,66,3445,15,3526,25,653,9,684,53,1544,4,1596,8,246,4,256,6,163,3,163,0,81,4,79,3,102,221,328,163,6218,257,6635
ILOC50500805,25,1097,3,1126,6,171,0,176,23,467,0,492,9,113,0,121,0,100,0,103,0,52,0,57,7,40,121,157,63,2047,123,2232,31,1108,0,1141,5,155,0,162,24,396,3,419,7,78,0,81,5,77,0,85,0,54,0,56,6,38,89,133,87,1908,92,2085,59,2210,4,2269,14,324,0,336,43,865,4,907,13,191,0,206,4,180,0,184,0,111,0,116,11,75,204,291,147,3954,217,4315
ILOC50500806,11,1205,3,1221,6,160,4,171,10,332,0,345,5,86,0,90,11,89,0,96,0,52,0,52,3,61,117,176,41,1983,126,2147,23,1183,8,1216,3,128,0,131,16,315,3,328,10,70,0,81,3,100,0,100,3,58,0,56,0,51,111,156,55,1898,123,2076,33,2390,12,2440,9,285,3,298,28,641,3,677,14,159,0,171,12,189,0,196,3,107,0,107,3,111,224,340,97,3880,243,4219
ILOC50500807,38,2730,17,2787,20,499,0,523,42,1219,0,1266,12,229,0,241,11,249,0,260,0,170,0,170,9,167,348,523,136,5259,376,5761,53,2840,7,2899,21,402,4,427,55,1118,3,1177,14,229,3,242,0,254,0,259,0,173,0,180,10,179,267,452,161,5196,283,5638,94,5568,18,5686,39,900,7,948,98,2335,7,2440,25,452,3,483,16,498,0,519,0,343,0,344,14,340,614,976,289,10452,659,11399
ILOC50500808,57,4870,9,4937,20,829,9,855,52,1923,7,1982,18,347,0,359,10,284,0,292,0,97,0,100,4,140,341,485,161,8476,378,9018,80,5098,10,5188,26,845,0,878,45,1881,9,1931,9,317,4,335,13,334,8,346,0,157,0,157,8,145,301,450,181,8773,324,9283,139,9970,23,10127,51,1676,12,1738,95,3804,16,3914,29,659,3,695,19,616,8,640,0,251,0,255,11,278,643,934,343,17250,706,18300
ILOC50500901,73,13660,40,13775,13,1988,3,2013,48,3960,15,4022,13,499,4,513,9,237,0,249,0,37,0,37,4,269,925,1196,159,20656,990,21808,68,14658,35,14764,18,1951,13,1981,33,3656,21,3710,0,448,3,452,0,296,0,301,0,59,0,60,0,384,599,980,130,21454,671,22253,141,28325,71,28537,35,3939,16,3989,81,7617,35,7726,14,949,6,973,13,537,0,550,0,98,3,103,4,654,1525,2183,285,42115,1661,44059
ILOC50500902,134,24624,65,24823,34,3451,12,3491,66,7209,18,7286,14,996,0,1018,12,504,5,518,0,101,3,104,6,414,1244,1661,262,37291,1350,38899,138,27053,67,27254,28,3269,4,3302,66,7301,36,7403,7,972,7,987,9,710,7,731,0,119,0,120,11,470,833,1310,267,39889,952,41109,269,51681,127,52077,62,6721,13,6795,130,14504,54,14687,29,1964,11,2003,14,1220,12,1249,8,219,3,228,12,879,2074,2971,525,77182,2300,80011
ILOC50501001,38,2312,9,2357,20,598,0,617,40,1217,6,1264,20,240,0,263,8,129,0,139,0,36,0,36,7,75,265,350,131,4604,281,5018,56,2592,7,2648,20,537,0,555,35,1149,3,1191,14,214,6,234,5,138,5,151,0,50,0,50,12,93,181,290,142,4774,202,5118,93,4901,16,5003,39,1133,3,1174,77,2370,8,2451,30,459,8,496,12,269,7,290,0,86,0,88,18,170,448,637,274,9385,487,10139
ILOC50501002,43,2011,4,2056,18,536,0,548,34,1265,7,1308,9,222,0,232,6,127,0,131,0,37,0,33,3,71,216,288,107,4267,232,4600,60,2420,4,2485,11,555,3,570,39,1188,3,1233,10,160,3,177,9,124,0,133,0,23,0,27,4,83,169,265,142,4557,187,4884,100,4425,13,4536,32,1090,3,1122,78,2450,10,2537,21,392,5,410,14,252,0,266,0,56,0,62,8,154,389,549,246,8821,418,9485
ILOC50501003,57,7287,19,7362,12,1138,3,1160,37,2605,9,2654,6,408,6,417,3,279,0,279,7,48,3,53,3,158,479,634,120,11925,515,12561,56,8286,20,8365,29,1054,0,1087,32,2394,4,2438,5,343,0,346,3,276,0,284,0,53,0,58,0,227,369,599,127,12646,405,13173,110,15574,36,15726,39,2200,6,2245,65,5000,19,5091,9,746,4,760,4,558,8,568,3,107,5,113,5,385,850,1241,248,24569,921,25740
ILOC50501101,83,2770,5,2858,33,809,12,850,77,1991,9,2080,26,389,0,417,20,259,4,290,8,36,0,36,12,164,465,649,265,6420,497,7179,119,3095,12,3224,47,726,3,770,93,1876,8,1982,31,369,3,401,13,275,6,292,0,64,0,64,9,161,374,544,308,6564,409,7280,200,5866,21,6081,82,1530,10,1621,171,3870,22,4059,58,754,3,819,36,533,11,582,7,101,0,108,27,328,843,1197,578,12982,907,14463
ILOC50501102,101,5508,10,5618,18,882,0,895,438,2081,8,2519,9,259,3,276,32,126,0,159,41,67,0,109,10,184,427,620,640,9107,451,10202,70,6243,7,6330,28,814,6,842,44,1455,4,1505,11,199,0,207,3,137,0,140,0,42,0,48,3,107,270,384,160,9001,292,9452,173,11753,22,11943,44,1694,4,1736,474,3541,11,4025,21,463,3,484,41,264,0,303,41,112,0,156,13,287,701,1004,797,18107,748,19651
ILOC50501201,86,15751,39,15879,23,1290,4,1314,41,2660,10,2707,7,400,0,419,11,317,3,326,0,61,0,62,9,263,773,1046,171,20744,833,21746,88,17668,31,17781,16,1414,11,1441,30,3366,22,3415,10,491,0,506,6,474,4,490,3,82,0,84,11,383,671,1063,157,23887,742,24784,171,33416,70,33655,41,2703,9,2758,65,6023,31,6118,17,899,9,919,13,789,10,815,8,144,0,150,17,646,1445,2110,329,44630,1573,46527
ILOC50501202,51,12588,26,12665,13,1078,6,1097,27,2347,15,2386,12,371,3,387,11,300,5,310,0,74,0,78,3,317,611,932,121,17067,669,17856,85,13373,30,13488,14,1140,6,1155,50,2780,19,2855,17,436,5,457,3,480,3,488,0,130,0,130,4,379,492,879,170,18716,553,19444,139,25960,57,26151,26,2215,11,2257,76,5129,37,5241,26,808,7,843,9,778,12,796,0,205,0,205,14,690,1104,1805,296,35786,1221,37302
ILOC50501301,121,6369,26,6514,35,1283,10,1327,515,3610,13,4141,7,434,0,441,26,243,0,272,36,96,0,135,15,409,604,1031,760,12444,656,13855,95,7376,26,7502,19,1162,4,1180,38,2577,14,2629,6,376,0,385,6,221,4,229,0,19,0,27,8,209,416,629,174,11941,470,12579,214,13751,55,14017,52,2442,13,2504,555,6184,23,6769,12,806,9,829,35,460,3,498,37,122,0,161,19,615,1023,1662,930,24381,1127,26439
ILOC50501302,50,1318,8,1368,13,291,4,307,43,818,9,866,15,159,3,173,7,134,0,144,0,10,0,10,0,52,173,225,126,2792,194,3107,61,1455,7,1523,18,351,3,368,31,850,4,879,4,146,4,152,4,130,0,132,0,22,0,22,3,68,135,208,120,3013,157,3289,109,2771,17,2893,33,642,3,681,68,1669,10,1749,18,308,7,328,15,266,0,278,0,33,0,30,3,120,314,438,246,5801,348,6394
ILOC50501401,134,19081,22,19238,24,1341,0,1371,39,2004,8,2053,13,315,7,330,10,295,3,300,0,121,0,127,11,359,2159,2534,226,23517,2205,25950,142,18692,23,18858,29,1062,3,1090,38,1846,10,1888,3,268,0,277,3,465,3,471,0,189,0,187,5,315,1461,1784,232,22830,1502,24564,278,37778,50,38100,57,2399,7,2465,78,3846,20,3943,17,581,9,606,10,762,6,774,3,310,0,313,19,672,3622,4313,461,46349,3702,50513
