POW_SA2_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
507031169,3,15,14,3,10,5,4,4,0,58,0,7,0,0,10,10,4,10,16,62,58,334,234,140,239,244,74,163,32,1520
507031170,0,11,5,9,16,5,5,6,0,59,0,3,0,0,8,10,0,6,14,44,62,250,224,142,239,194,50,134,28,1319
507031172,0,0,0,0,0,9,0,0,0,12,5,7,4,6,24,29,15,22,8,119,68,122,82,79,221,349,144,336,28,1432
507031173,5,12,7,10,28,41,19,46,0,165,16,30,24,19,97,142,68,135,61,597,344,304,339,251,1676,2371,1235,2297,134,8958
507031174,4,24,20,5,11,3,3,3,0,76,0,14,8,0,13,7,0,4,16,67,106,534,386,194,427,303,80,150,37,2219
507031261,3,13,6,4,6,9,0,6,0,48,9,4,11,4,19,10,6,14,18,91,125,204,178,168,365,578,156,281,42,2088
507041175,0,42,31,12,30,27,10,18,0,174,12,37,21,3,21,30,14,22,38,197,204,987,646,314,613,1095,357,972,76,5265
507041176,0,3,10,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,13,25,119,112,74,96,86,44,69,8,639
507041177,6,41,39,15,46,28,12,17,4,211,4,26,12,7,15,30,0,20,27,145,125,883,568,321,667,666,234,363,55,3877
507041178,9,73,67,45,80,64,21,34,4,397,6,57,29,16,38,53,8,30,61,304,260,1778,1215,617,1309,1141,301,618,111,7348
507041179,0,22,22,8,12,13,0,7,0,82,0,7,6,4,11,11,5,7,23,66,61,540,365,217,333,297,89,191,38,2129
507041180,3,13,21,4,10,10,0,6,0,67,0,9,10,3,7,7,0,14,10,58,59,406,249,166,258,228,74,160,13,1609
507041181,12,92,58,41,107,101,28,51,10,500,11,54,35,19,38,76,21,20,36,302,199,1521,942,561,1210,1227,383,712,88,6840
507041182,17,48,46,49,92,114,22,25,7,413,9,41,35,27,51,70,11,48,94,387,949,1894,2117,1790,3556,3202,754,1376,190,15827
507041183,0,7,14,6,7,7,0,5,5,50,0,3,3,6,3,3,0,0,0,22,35,210,156,109,139,117,41,75,12,895
507041184,0,6,7,0,0,6,0,0,0,22,0,9,0,0,3,0,0,4,4,29,18,229,131,57,85,102,26,48,4,709
507051186,0,10,3,0,3,0,0,0,0,22,4,10,0,0,8,10,0,7,10,50,171,328,375,355,440,399,74,153,35,2322
507051187,3,34,33,10,31,43,16,25,0,203,6,25,14,15,23,40,7,11,27,169,108,657,479,294,514,480,155,294,57,3039
507051188,13,92,104,51,135,155,35,102,3,680,19,66,66,33,118,134,34,90,109,684,666,2119,1675,1024,3199,3557,1019,2396,241,15901
507051189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,6,0,26
507051190,4,14,20,10,6,10,3,4,0,66,0,12,3,5,14,7,0,8,11,60,78,353,327,192,264,210,59,165,26,1673
507051191,6,34,24,20,16,16,5,7,0,119,7,16,3,0,9,17,0,12,22,90,110,680,418,211,347,366,119,219,45,2517
507051192,3,17,12,7,11,4,3,0,5,69,3,10,0,3,3,3,0,3,7,46,63,334,270,160,244,152,51,119,28,1420
507051193,8,28,21,3,4,14,3,6,0,82,3,8,5,6,3,9,0,8,11,55,88,594,401,236,301,228,58,145,33,2082
507051312,11,38,27,21,38,20,6,15,5,188,4,16,18,4,5,16,0,11,22,95,127,936,566,268,447,333,84,177,58,2994
507051313,5,44,21,16,16,7,4,3,0,116,6,8,11,11,8,15,0,10,14,83,85,416,369,251,389,409,155,302,40,2419
507051314,0,7,3,9,0,0,4,4,0,29,0,5,0,0,5,3,0,0,4,22,15,93,67,44,66,60,17,44,12,419
509011225,24,70,69,52,126,114,26,48,6,526,26,54,40,27,39,47,11,36,55,330,533,1976,1578,1140,2089,1767,589,962,153,10788
509011226,0,6,4,0,6,0,0,4,0,16,0,15,8,0,4,3,0,7,13,52,57,185,134,106,101,204,92,255,36,1186
509011227,0,4,0,0,3,3,3,0,0,19,0,3,6,0,0,0,0,0,5,18,23,128,82,49,112,76,28,66,12,568
509011228,0,11,6,9,12,14,3,6,0,63,0,14,14,3,9,6,0,10,14,82,111,444,341,184,238,293,98,277,51,2037
509011229,0,6,0,0,0,9,5,4,0,21,3,8,3,3,4,7,0,9,12,46,67,182,117,80,109,290,115,475,20,1459
509011230,3,9,4,8,14,23,0,14,0,89,6,12,3,10,9,19,0,4,18,89,101,283,223,161,380,416,122,307,46,2049
509011231,0,8,9,0,4,10,5,10,0,43,3,16,10,3,8,6,0,16,18,83,105,212,195,115,173,350,143,512,51,1848
509011232,0,3,0,0,0,11,0,5,0,17,3,10,3,0,3,3,0,4,9,37,65,131,90,46,111,190,54,104,11,816
509011233,0,17,10,12,14,36,15,25,3,135,4,11,7,7,11,32,5,18,26,129,138,350,296,223,490,628,242,463,59,2891
509011234,3,9,5,7,9,13,0,8,0,56,8,9,12,9,5,7,3,9,19,86,103,297,240,151,256,377,253,414,52,2143
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,3,17,6,0,0,3,8,6,0,46,3,7,15,3,7,3,10,9,15,84,73,228,190,99,225,248,133,321,39,1549
