POW_SA2_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
507051190,0,0,0,0,0,0,47,0,0,0,0,49,4,0,0,0,0,9,5,0,3,0,0,7,19,0,3,0,0,23,6,0,0,0,0,4,4,0,0,0,0,4,10,0,4,0,0,13,194,16,51,6,0,272,4,0,0,0,0,3,0,0,3,0,0,4,58,9,13,0,0,81,5,0,0,0,0,6,1265,116,250,35,15,1673
507051191,0,0,0,0,0,0,33,0,0,0,0,39,0,0,0,0,0,0,4,0,0,0,0,4,44,8,9,5,0,65,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,357,41,84,14,3,502,9,0,4,0,0,9,12,3,0,0,0,15,35,8,15,0,0,66,3,0,0,0,0,5,1891,190,363,55,17,2517
507051192,0,0,0,0,0,0,24,0,0,0,0,23,0,0,3,0,0,3,0,0,0,0,0,0,70,0,0,0,0,71,0,0,0,0,0,0,3,0,0,0,0,3,16,0,0,0,0,18,153,8,44,0,0,209,5,0,0,0,0,10,4,3,5,0,0,14,50,4,6,0,3,59,0,0,0,0,0,0,1139,71,188,16,8,1420
507051193,8,0,0,0,0,8,27,0,0,0,0,31,8,0,0,0,0,8,6,0,0,0,0,9,37,0,0,0,0,45,0,0,0,0,0,0,6,0,0,0,0,6,13,0,0,0,0,12,279,10,34,9,0,326,6,0,0,0,0,5,8,3,0,0,0,9,56,3,8,0,0,69,6,0,0,0,0,6,1837,55,156,24,7,2082
507051312,0,0,0,0,0,3,92,0,0,0,0,100,0,0,0,0,0,0,14,3,0,0,0,17,60,3,8,0,0,70,5,0,0,0,0,7,8,0,0,0,0,7,19,0,3,0,0,18,349,18,38,9,0,409,12,0,3,0,0,14,12,8,0,0,0,20,90,6,16,5,0,117,6,0,0,0,0,10,2604,127,212,38,19,2994
507051313,4,0,0,0,0,4,30,0,0,0,0,30,0,0,0,0,0,4,11,0,0,0,0,9,43,0,12,0,0,61,0,0,0,0,0,6,0,0,0,0,0,0,14,0,9,0,0,16,254,34,69,6,0,366,6,3,4,0,0,15,6,0,8,0,0,5,63,11,24,3,0,106,6,0,0,0,0,7,1824,165,377,43,10,2419
507051314,0,0,0,0,0,5,15,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,23,13,7,0,0,46,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,10,3,0,0,0,0,3,297,45,64,8,0,419
509011225,0,0,0,0,0,0,231,3,3,0,0,234,14,0,0,0,0,14,14,0,0,0,0,15,190,12,25,0,0,221,10,3,0,0,0,12,4,0,0,0,0,4,41,0,8,0,0,50,720,34,85,7,12,859,40,4,4,0,0,43,7,0,0,0,3,17,220,13,13,4,0,251,72,4,0,0,6,87,9329,492,767,116,83,10788
509011226,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,11,29,18,0,97,0,0,0,0,0,5,0,0,0,0,0,0,18,0,8,0,0,31,5,0,3,4,0,14,655,82,274,140,31,1186
509011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,16,0,3,54,4,0,0,0,0,4,0,0,0,0,0,0,4,0,5,0,0,12,3,0,0,0,0,9,404,37,105,17,3,568
