SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL51438,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11
SAL51439,0,12,12,10,5,17,0,0,3,3,0,3,3,0,3,0,0,0,25,16,37
SAL51440,0,18,18,6,5,6,10,0,10,3,0,3,0,0,0,19,0,19,44,21,66
SAL51441,0,5,5,6,0,9,0,0,0,0,0,0,3,0,3,0,0,0,17,6,22
SAL51442,0,15,22,38,5,42,6,0,6,11,0,11,6,0,6,0,0,7,66,27,92
SAL51443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
SAL51444,0,3,5,5,0,7,6,0,6,3,0,3,0,0,0,0,0,0,16,7,22
SAL51445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51446,54,220,274,590,31,621,326,7,336,383,7,392,170,0,172,94,0,98,1620,271,1896
SAL51447,0,5,8,5,6,13,5,0,5,3,0,3,4,0,4,0,0,0,24,9,31
SAL51448,147,1756,1905,2573,305,2878,1452,96,1549,1263,59,1322,587,24,618,378,16,396,6405,2267,8664
SAL51449,0,55,55,42,17,59,11,5,16,7,0,12,3,0,5,5,3,6,75,81,158
SAL51450,0,7,10,6,0,6,5,0,5,4,0,4,3,0,3,3,0,3,18,7,31
SAL51451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51452,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,11,10,14
SAL51453,0,14,8,9,0,8,0,0,0,5,0,5,0,0,0,0,0,0,17,12,29
SAL51454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51455,0,6,6,4,0,0,6,0,6,0,0,0,0,0,0,3,0,3,8,10,19
SAL51456,32,273,304,189,184,372,108,32,144,163,31,194,92,14,107,45,9,57,633,544,1179
SAL51457,0,8,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7
SAL51458,14,234,251,214,36,251,53,10,58,44,3,44,18,0,24,10,0,9,350,292,640
SAL51459,0,0,0,4,0,5,3,0,3,0,0,0,0,0,0,0,0,0,8,0,11
SAL51460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51461,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,6,0,11
SAL51462,3,49,50,43,0,45,19,0,22,12,0,11,4,0,7,4,0,4,84,54,140
SAL51463,0,10,13,6,0,12,5,0,5,3,0,3,0,0,0,0,0,0,20,15,31
SAL51464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,7
SAL51465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51466,3,27,27,15,3,23,5,0,5,0,0,0,0,0,0,0,0,0,27,31,61
SAL51467,26,224,253,493,56,543,338,11,348,259,8,266,75,3,77,21,0,21,1210,301,1517
SAL51468,3,12,12,13,5,24,6,0,6,11,0,4,5,0,5,0,0,0,35,18,58
SAL51469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51470,23,191,208,322,38,360,132,19,147,214,0,215,73,0,73,25,3,29,781,253,1034
SAL51471,3,4,4,8,0,7,4,0,4,0,0,0,0,0,0,0,0,0,10,3,16
SAL51472,82,1597,1678,999,220,1216,428,59,484,257,19,277,69,9,73,43,0,40,1869,1902,3773
SAL51473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SAL51474,0,0,0,13,0,13,7,0,7,3,0,3,0,0,0,0,0,0,23,0,25
SAL51475,56,348,403,409,60,468,198,15,216,189,9,190,87,6,94,51,10,64,992,440,1435
SAL51476,0,0,9,7,0,7,0,0,0,0,0,0,3,3,6,0,0,0,18,8,25
SAL51477,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,12,3,12
SAL51478,3,20,24,38,8,49,22,0,22,10,0,10,8,0,8,8,0,14,98,25,121
SAL51479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51480,0,4,13,26,0,26,9,0,9,13,0,13,4,0,4,0,0,0,56,4,63
SAL51481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51482,4,48,58,82,9,89,33,0,33,19,0,19,9,0,11,8,0,8,153,62,210
SAL51483,0,4,4,8,0,8,0,0,0,4,0,4,0,0,0,0,0,0,18,4,23
SAL51484,0,22,22,9,17,27,0,0,3,10,0,10,4,0,9,3,0,3,29,44,74
SAL51485,13,278,292,249,33,275,117,10,130,97,5,105,53,6,59,24,0,27,554,333,893
SAL51486,19,143,161,148,23,175,70,13,79,62,13,74,34,6,39,19,3,24,352,206,559
SAL51487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51488,0,8,8,11,5,9,0,0,0,3,0,3,0,0,0,0,0,0,13,13,23
SAL51489,33,141,173,272,23,294,172,3,176,174,6,181,83,4,83,30,0,30,764,182,949
SAL51490,90,1635,1732,1213,304,1517,492,105,599,385,37,421,103,13,116,22,5,29,2306,2102,4406
SAL51491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51492,4,74,82,74,21,92,44,4,48,47,5,50,16,3,23,8,0,7,195,108,305
SAL51493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51494,17,126,144,158,22,185,83,7,87,74,4,83,22,3,25,5,0,7,363,165,523
SAL51495,0,7,7,13,0,13,3,6,6,4,0,8,3,0,3,0,0,0,25,10,35
SAL51496,0,8,8,5,0,3,6,0,6,6,0,6,0,0,0,0,0,0,7,3,11
SAL51497,0,4,4,7,0,3,0,0,0,4,0,4,0,0,0,0,0,0,9,4,12
SAL51498,0,0,0,9,0,9,7,0,7,5,0,4,0,0,0,0,0,0,19,0,19
SAL51499,0,8,12,3,0,9,0,6,6,0,0,0,0,0,0,0,0,0,9,10,21
SAL51500,25,199,230,248,89,333,149,18,170,142,17,162,68,3,71,28,4,39,661,336,999
SAL51501,8,240,253,219,43,254,54,3,57,41,7,45,13,8,22,19,3,20,349,300,647
SAL51502,124,1083,1206,1406,171,1577,762,50,813,645,33,676,267,20,283,145,10,155,3351,1362,4713
SAL51503,0,5,5,10,0,10,3,0,3,0,0,0,0,0,0,0,0,0,11,5,11
SAL51504,0,5,5,6,0,6,3,0,3,3,0,3,3,0,3,0,0,0,22,5,20
SAL51505,0,20,25,24,3,34,11,0,11,12,0,11,11,0,11,0,0,0,62,25,91
SAL51506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL51507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51508,3,64,68,119,11,123,57,3,60,63,0,67,22,0,21,12,0,12,280,81,357
SAL51509,0,0,0,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,13,5,19
SAL51510,8,99,109,75,20,98,14,0,17,12,0,13,3,5,3,0,0,0,116,133,241
SAL51511,0,0,0,11,4,12,5,0,3,3,3,3,3,0,0,0,0,0,18,8,29
SAL51512,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,9,0,13
SAL51513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51514,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11
SAL51515,0,3,3,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,8,3,10
SAL51516,0,13,13,4,5,5,6,0,6,5,0,5,5,0,5,7,0,7,21,15,40
SAL51517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
