SAL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SAL50411,11,8,3,4,0,10,0,33,3,3,5,3,7,6,0,23,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,29,43,18,17,21,19,0,148
SAL50412,8,4,4,4,5,3,0,26,0,6,3,3,4,0,0,19,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,36,17,21,23,14,0,123
SAL50413,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,3,7,0,0,33
SAL50414,7,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,10,5,24,0,0,68
SAL50415,57,108,46,16,68,46,4,349,26,50,22,16,44,19,3,172,11,13,9,0,5,6,0,48,0,0,0,0,0,0,0,7,560,772,274,158,401,348,29,2541
SAL50416,35,85,30,37,47,34,0,274,20,55,46,51,55,34,0,266,9,28,16,22,43,7,0,133,0,7,0,0,14,5,0,20,180,347,164,169,257,150,4,1265
SAL50417,0,4,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6,12,6,0,40
SAL50418,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
SAL50419,46,121,72,55,72,19,0,398,38,78,92,72,68,29,0,382,22,28,40,43,88,19,0,250,11,9,6,10,54,6,0,99,413,587,355,331,546,150,26,2395
SAL50420,6,0,3,0,4,4,0,13,0,0,0,0,3,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,0,7,11,0,36
SAL50421,0,0,3,0,4,5,0,18,0,8,5,0,3,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,20,11,4,10,17,0,79
SAL50422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50423,190,390,154,74,156,28,5,996,96,199,112,63,144,17,4,638,40,71,45,42,111,17,3,332,23,39,9,7,59,9,0,148,1814,2286,864,586,1420,255,13,7243
SAL50424,10,13,0,6,15,0,0,46,11,10,16,14,30,3,0,82,0,4,4,6,7,0,0,34,4,0,0,0,3,0,0,10,76,85,40,41,85,29,0,350
SAL50425,0,5,0,0,4,0,0,7,4,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,7,5,7,5,0,42
SAL50426,19,58,23,10,18,7,0,144,12,37,19,20,32,9,0,121,4,8,7,11,9,0,0,40,0,0,0,0,6,0,0,7,220,368,145,133,217,44,0,1130
SAL50427,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5
SAL50428,3,0,0,8,23,3,0,34,4,3,3,3,18,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,6,3,71,12,0,150
SAL50429,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,5,0,0,0,29
SAL50430,0,0,0,0,4,0,0,5,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,4,4,8,3,0,44
SAL50431,165,309,158,80,226,32,0,966,110,287,186,163,289,50,0,1078,66,141,114,100,306,35,0,762,24,31,15,17,208,33,0,328,974,1502,723,599,1649,272,5,5719
SAL50432,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,5,3,3,0,4,0,0,17
SAL50433,0,3,3,0,0,10,0,11,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,7,0,0,25,0,45
SAL50434,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,16
SAL50435,9,13,11,6,9,8,0,55,4,11,0,11,7,0,0,36,0,9,4,0,0,9,0,20,0,0,0,0,0,0,0,4,36,62,26,27,36,42,0,223
SAL50436,4,11,3,9,5,0,0,35,0,5,4,0,5,0,0,18,0,0,0,0,3,0,0,4,3,0,0,0,0,0,0,3,65,49,17,13,62,4,0,216
SAL50437,7,16,10,7,13,3,0,49,5,9,0,0,14,13,0,43,4,8,5,0,8,4,0,26,0,0,0,0,0,0,0,6,36,59,21,28,51,48,0,243
SAL50438,298,665,320,153,227,29,9,1702,235,603,398,254,340,28,5,1857,107,251,165,136,274,46,0,983,30,58,22,15,170,23,0,318,2705,3918,1924,1184,2157,257,23,12160
SAL50439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50440,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7
SAL50441,116,242,96,49,89,46,5,633,96,230,159,101,108,34,0,740,44,100,57,64,75,35,6,372,18,17,12,3,33,10,0,93,962,1519,686,510,701,317,9,4712
SAL50442,17,36,15,5,41,12,0,122,8,17,7,0,13,18,0,74,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,96,140,48,36,163,40,3,534
SAL50443,0,0,0,0,5,4,0,5,0,0,0,5,3,4,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,6,5,6,11,10,0,48
SAL50444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50445,0,3,0,0,0,0,0,5,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,7,3,8,5,3,0,24
SAL50446,11,15,23,7,17,4,0,80,8,25,20,9,18,7,0,79,8,3,6,0,10,6,0,36,0,0,0,0,10,0,0,16,73,126,66,49,81,31,0,422
SAL50447,4,10,3,0,3,0,0,16,0,18,0,3,6,0,0,31,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,22,38,13,9,11,5,0,95
SAL50448,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,10,9,5,9,6,0,32
SAL50449,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,18
SAL50450,0,4,4,0,0,4,0,11,0,0,0,0,3,3,0,7,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,13,28,8,9,14,6,0,71
SAL50451,6,3,0,4,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,9,6,4,9,4,0,34
SAL50452,86,158,94,45,101,20,0,507,60,117,92,55,143,25,0,498,43,86,62,50,110,19,0,368,19,29,13,9,50,16,0,130,636,902,428,306,838,159,8,3282
SAL50453,69,156,61,39,178,24,3,534,42,91,48,36,111,12,0,336,16,22,20,19,45,11,4,132,0,13,3,0,23,4,0,44,918,1136,445,382,1860,282,18,5039
SAL50454,19,44,17,11,54,18,0,166,28,48,27,17,46,14,0,190,25,28,21,6,31,10,0,119,4,0,0,0,5,5,0,13,147,234,104,84,228,94,4,890
SAL50455,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,0,6,0,28
SAL50456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
SAL50457,227,418,174,80,122,26,9,1053,100,297,151,96,149,25,0,817,61,108,67,46,151,32,0,468,23,30,7,14,141,41,0,259,1515,2006,823,509,1131,251,34,6275
SAL50458,6,12,0,3,8,0,0,27,9,5,0,0,6,3,0,25,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,26,10,4,26,3,0,78
SAL50459,0,0,0,0,0,3,0,7,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,7,3,3,9,0,35
SAL50460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SAL50461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7
SAL50462,0,5,0,0,0,0,0,11,0,5,6,3,3,3,0,19,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,6,17,11,4,4,5,0,48
SAL50463,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,10
SAL50464,303,406,130,61,332,199,28,1453,158,241,140,56,292,120,12,1013,53,83,53,26,119,50,7,380,9,17,6,0,55,12,0,109,2564,2892,760,447,3406,1497,240,11809
SAL50465,5,8,5,5,5,6,0,41,6,7,0,5,13,0,0,30,0,4,0,0,3,0,0,6,0,0,0,0,0,0,0,0,38,44,15,29,41,6,0,161
SAL50466,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,6,0,19
SAL50467,10,14,3,7,41,14,0,91,15,18,6,4,48,17,0,101,3,5,0,0,27,9,0,42,0,0,0,0,5,0,0,11,42,44,13,21,138,62,0,318
SAL50468,203,364,133,63,194,49,0,1007,100,171,108,62,181,30,3,644,27,69,39,31,106,17,0,286,27,19,12,7,40,11,0,111,2067,2713,890,504,1917,548,17,8652
SAL50469,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,3,0,5,0,7,0,24
SAL50470,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,6,10,8,0,30
SAL50471,5,10,0,0,0,8,0,29,0,0,0,3,5,4,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,25,13,15,14,9,14,0,100
SAL50472,158,305,128,123,188,26,0,936,89,226,144,119,203,53,3,839,64,129,91,72,201,75,0,625,23,44,24,24,93,94,0,302,1286,1833,832,712,1596,438,12,6703
SAL50473,71,139,53,35,108,12,0,420,39,103,47,43,113,18,0,374,31,40,25,14,76,18,0,196,5,13,8,3,23,3,0,60,613,852,329,232,776,156,4,2958
SAL50474,111,235,94,58,101,16,0,624,64,141,126,67,104,22,0,527,32,67,46,26,73,29,0,268,13,12,11,6,31,28,0,93,777,1160,551,323,692,144,0,3654
SAL50475,4,0,0,0,0,5,0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3,3,3,20,0,51
SAL50476,36,68,30,12,48,11,0,208,18,46,24,10,36,8,0,143,7,14,5,4,13,0,0,47,0,0,0,0,0,0,0,0,549,768,250,257,585,126,3,2532
SAL50477,40,57,13,16,51,11,0,186,50,87,45,24,101,9,0,317,13,15,11,8,38,5,0,94,0,5,0,0,4,0,0,5,136,194,77,50,248,32,3,744
SAL50478,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,21
SAL50479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10
SAL50480,5,0,8,4,5,0,0,24,3,6,4,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,18,18,18,11,0,107
SAL50481,7,23,14,12,8,8,0,71,6,17,16,9,3,3,0,63,4,4,6,0,0,0,0,21,6,0,0,0,0,0,0,0,52,86,46,38,40,24,0,284
SAL50482,332,601,243,135,505,73,10,1899,168,286,166,141,393,43,11,1205,101,134,103,92,309,43,0,792,25,35,19,17,223,14,4,334,3736,4598,1879,1547,4929,843,36,17557
SAL50483,0,0,0,0,0,0,0,3,3,0,4,0,6,0,0,18,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,11,10,4,10,19,5,0,48
SAL50484,69,90,52,37,91,16,3,357,29,60,38,19,85,6,0,243,19,43,15,18,87,8,0,188,8,14,0,4,106,3,0,139,586,797,304,224,893,147,9,2957
SAL50485,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,9,0,0,28
SAL50486,10,17,3,7,19,10,0,66,12,9,16,11,17,13,0,85,4,5,3,4,32,3,0,63,0,3,0,0,35,8,0,49,50,75,31,22,125,47,0,354
SAL50487,6,9,6,4,4,3,0,32,0,6,5,3,7,0,0,30,6,0,0,0,7,4,0,15,0,0,0,0,0,0,0,0,28,46,16,11,21,13,0,145
SAL50488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50489,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SAL50491,110,177,112,79,151,8,0,635,121,266,201,154,303,22,0,1063,105,194,136,134,321,39,0,935,35,53,26,21,114,20,0,259,759,1113,645,540,1290,143,5,4493
SAL50492,69,120,43,26,70,45,6,374,38,56,43,23,93,43,0,291,25,37,31,28,110,40,0,275,16,23,5,3,83,19,0,153,405,524,207,161,547,310,10,2166
SAL50493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50494,0,8,5,0,5,0,0,19,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,4,5,16,5,3,47
SAL50495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50496,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,3,0,0,0,18
SAL50497,150,198,119,57,166,35,3,726,139,209,118,110,251,49,0,875,44,71,46,43,118,23,0,339,0,4,8,3,18,7,0,41,956,1160,526,364,1015,275,35,4330
SAL50498,10,49,9,4,27,0,0,106,21,39,8,18,47,0,0,123,3,0,0,0,11,4,0,21,0,0,0,0,0,0,0,0,66,119,26,32,116,20,6,378
SAL50499,3,0,0,0,0,3,0,10,0,3,0,0,5,6,0,10,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,9,11,5,0,10,13,0,44
SAL50500,134,267,113,101,175,27,0,819,99,210,160,150,214,22,5,863,56,111,60,74,138,20,0,452,13,17,11,17,70,7,0,128,800,1208,580,536,1106,179,11,4422
SAL50501,7,21,7,7,0,5,0,40,7,11,3,10,5,4,0,29,0,4,5,10,4,0,0,23,0,0,0,0,0,0,0,3,27,65,24,24,17,10,0,179
SAL50502,85,164,62,42,115,16,0,477,68,129,103,75,140,29,0,541,42,56,41,40,75,49,0,294,14,19,16,5,40,68,3,157,759,1013,433,326,841,227,5,3602
SAL50503,0,0,0,0,4,0,0,4,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,11,0,0,19
SAL50504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50507,0,0,0,0,0,0,0,0,3,0,0,5,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,7,0,19
SAL50508,78,55,18,9,36,40,0,234,28,34,11,4,46,35,3,168,7,8,0,0,12,9,0,38,0,0,0,0,3,0,0,4,372,277,80,60,269,237,4,1296
SAL50509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50510,250,496,224,101,87,17,0,1180,104,244,176,102,79,18,0,726,53,126,94,50,67,11,0,397,25,26,18,17,51,14,0,161,1736,2127,1068,618,879,110,10,6549
SAL50511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50512,20,17,0,3,3,3,0,52,0,12,6,6,0,3,0,35,0,0,6,3,3,0,0,11,0,4,0,0,0,0,0,3,46,75,27,29,24,20,0,218
SAL50513,3,0,4,0,3,3,0,17,6,4,0,0,0,4,0,10,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,17,17,12,7,8,71,0,138
SAL50514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50515,0,3,0,0,0,0,0,3,0,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,5,0,3,0,0,30
SAL50516,7,10,3,0,20,0,0,41,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,52,16,8,90,7,0,237
SAL50517,28,58,19,16,30,4,0,150,16,24,11,17,32,4,0,104,5,6,9,10,13,0,0,40,0,6,0,0,4,0,0,12,161,211,115,86,177,56,0,798
SAL50518,244,445,201,145,370,63,0,1462,150,332,241,183,393,43,0,1340,76,144,82,74,237,41,0,651,32,33,21,16,131,30,0,262,2101,2853,1208,955,2756,585,7,10473
SAL50519,26,20,5,4,88,10,3,149,10,11,6,3,23,0,0,52,0,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,119,131,45,19,434,20,5,765
SAL50520,16,10,5,8,17,10,0,65,9,11,4,10,8,3,0,37,3,4,3,3,3,4,0,17,0,0,0,0,0,0,0,3,73,70,35,42,51,30,0,299
SAL50521,6,10,0,0,6,12,0,33,4,11,6,0,9,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,69,17,6,75,87,0,305
SAL50522,265,464,151,75,211,155,16,1347,154,339,166,84,226,94,3,1073,68,142,56,41,151,69,0,532,29,30,11,10,79,42,0,203,2043,2604,831,456,1633,1036,107,8702
SAL50523,20,43,20,16,61,16,0,170,18,44,20,34,81,31,0,222,22,25,15,20,42,21,0,128,0,5,0,4,13,3,0,28,138,209,79,99,283,108,0,921
SAL50524,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,10
SAL50525,9,41,25,21,16,3,0,110,6,21,14,48,34,9,0,137,3,4,11,6,19,7,0,49,0,0,0,0,5,0,0,4,89,143,73,117,137,28,0,584
SAL50526,0,3,0,0,3,0,0,14,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,5,8,7,0,3,18,0,0,36
SAL50527,5,5,4,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,11,9,5,3,0,74
SAL50528,3,7,0,4,50,106,0,169,0,0,0,0,6,24,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,65,20,13,213,589,6,944
SAL50529,0,0,0,0,5,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,100,53,4,10,351,597,12,1123
SAL50530,0,14,3,0,6,4,0,20,4,13,6,4,5,8,0,32,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,10,37,13,8,23,15,0,104
SAL50531,0,4,0,3,4,4,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,21,7,6,11,8,0,67
SAL50532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,9,0,0,20
SAL50533,67,128,56,54,50,13,0,361,26,52,59,47,43,6,0,234,9,22,18,12,18,3,0,78,3,4,0,0,3,0,0,14,390,523,262,205,291,44,4,1722
SAL50534,85,193,95,34,86,33,0,533,59,154,128,80,111,27,0,556,43,62,46,41,70,29,0,290,11,14,8,9,16,9,0,74,528,836,438,301,645,194,0,2936
SAL50535,0,7,0,0,0,0,0,13,0,0,0,3,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,8,6,14,4,0,56
SAL50536,94,121,75,34,113,74,4,510,60,89,66,45,123,65,0,442,35,51,26,41,155,62,0,369,13,21,7,9,145,56,5,253,559,697,288,238,951,505,12,3247
SAL50537,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13
SAL50538,5,5,5,0,12,8,0,29,3,3,0,0,3,3,0,11,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,25,14,3,31,18,0,118
SAL50539,4,9,10,0,5,3,0,50,4,8,4,8,13,3,0,46,0,0,0,4,5,3,0,12,0,0,0,0,4,0,0,6,52,75,34,30,103,45,3,347
SAL50540,5,4,3,0,15,0,0,30,0,4,0,0,7,0,0,11,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,30,78,37,8,65,18,0,230
SAL50541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
SAL50542,62,171,77,76,64,19,0,468,35,73,55,55,50,17,0,286,15,35,25,16,33,12,0,139,9,5,0,8,11,4,0,38,427,689,341,302,364,121,0,2247
SAL50543,0,9,0,3,0,3,0,15,3,0,0,7,5,0,0,10,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,11,12,9,15,13,6,0,71
SAL50544,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,4,0,0,15
SAL50545,3,0,3,3,4,0,0,14,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,6,4,9,0,36
SAL50546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50548,20,32,17,12,21,9,0,104,12,19,14,30,23,5,0,103,4,14,6,13,21,3,0,63,3,5,0,4,3,0,0,12,110,173,81,98,147,38,0,644
SAL50549,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,24
SAL50550,150,202,104,72,320,46,8,905,106,169,105,85,276,46,3,796,50,57,36,43,168,29,0,390,14,10,7,6,56,5,0,93,1310,1467,625,522,2641,494,19,7073
SAL50551,34,52,13,11,18,6,0,144,7,24,23,18,27,3,0,109,4,10,7,10,20,0,0,57,3,4,0,6,4,3,0,12,170,235,124,80,192,44,0,847
SAL50552,66,163,76,31,43,4,0,370,38,104,68,61,56,5,0,333,14,47,20,29,33,5,0,149,4,9,5,3,26,3,0,49,448,707,367,241,319,62,0,2136
SAL50553,61,116,59,47,87,12,0,378,28,47,31,26,83,13,0,228,15,14,14,16,31,3,0,91,0,3,3,7,15,0,0,26,458,581,300,257,634,108,4,2346
SAL50554,3,0,3,0,0,0,0,12,0,0,3,0,0,3,0,9,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,10,12,3,3,12,0,38
SAL50555,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,20
SAL50556,30,38,7,10,49,13,0,146,29,40,21,10,67,17,4,190,17,14,6,3,40,0,0,78,0,3,0,0,55,0,0,66,444,477,150,94,955,129,10,2257
SAL50557,13,44,11,10,19,5,0,99,13,26,16,9,18,0,0,90,0,6,3,0,15,0,0,25,8,0,0,0,6,0,0,17,155,225,90,72,148,29,0,716
SAL50558,0,9,3,0,6,0,0,19,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,20,25,17,11,12,4,0,86
SAL50559,0,9,4,0,0,0,0,12,0,4,0,0,3,0,0,9,4,3,0,8,0,0,0,11,3,0,0,0,0,0,0,0,17,27,7,11,3,3,0,75
SAL50560,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,7,5,0,10,4,0,30
SAL50561,39,81,44,23,45,3,0,231,28,60,48,23,53,9,0,230,25,37,20,20,49,10,0,160,9,5,0,0,19,0,0,32,197,322,154,117,315,35,3,1138
SAL50562,18,30,8,3,4,13,0,85,3,11,3,4,5,5,0,37,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,102,132,59,23,36,56,0,410
SAL50563,8,5,5,0,15,0,0,23,7,14,3,0,13,0,3,35,0,9,3,0,0,0,0,15,0,0,0,0,0,0,0,0,19,19,14,9,29,0,3,79
