SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL50176,0,0,0,4,0,0,4,17,0,26
SAL50177,7,3,6,58,11,0,72,274,22,362
SAL50178,54,8,60,406,113,12,527,1130,72,1726
SAL50179,0,0,0,0,0,0,0,0,0,0
SAL50180,65,7,76,429,153,15,595,1864,217,2674
SAL50181,7,0,7,167,50,6,221,572,34,831
SAL50182,0,0,0,0,0,0,0,21,0,22
SAL50183,356,38,391,530,191,43,760,2665,210,3640
SAL50184,0,0,0,173,40,7,223,305,21,543
SAL50185,11,3,12,126,35,6,163,448,165,773
SAL50186,0,0,0,0,0,0,0,9,6,11
SAL50187,6,0,6,522,166,41,729,1244,167,2145
SAL50188,4,0,4,30,19,0,52,145,13,211
SAL50189,38,3,38,94,37,4,132,416,64,611
SAL50190,23,10,30,403,166,31,601,1784,675,3052
SAL50191,0,0,0,17,4,0,27,52,6,85
SAL50192,4,0,4,17,5,0,29,127,19,166
SAL50193,0,0,0,40,4,0,48,60,21,128
SAL50194,0,0,0,0,0,0,0,0,0,0
SAL50195,0,0,0,20,7,0,26,74,5,105
SAL50196,14,9,24,108,33,6,147,374,80,599
SAL50197,17,0,17,168,68,11,247,649,85,983
SAL50198,0,0,0,5,3,0,4,18,0,23
SAL50199,0,0,0,3,0,0,5,35,5,46
SAL50200,0,0,0,503,94,23,621,1318,404,2344
SAL50201,311,57,376,1458,628,36,2122,4128,287,6537
SAL50202,0,0,0,0,0,0,0,0,0,0
SAL50203,0,0,0,15,7,0,23,41,0,68
SAL50204,0,0,0,16,4,4,24,102,6,134
SAL50205,0,0,0,3,0,0,3,23,4,24
SAL50206,0,0,0,0,0,0,0,6,0,6
SAL50207,36,0,38,919,317,49,1281,2898,354,4527
SAL50208,0,0,0,0,0,0,0,4,0,0
SAL50209,0,0,0,9,3,0,14,27,0,37
