SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL50456,7,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,75,66.7,71.4,75,66.7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,0,3,3,0,0,3
SAL50457,3046,3394,6439,1396,880,2282,485,1059,1548,78,113,190,98,73,173,2057,2131,4188,845,1123,1968,4.8,3.6,4.2,67.5,62.9,65.1,64.3,60.6,62.4,321,318,639,114,217,332,817,1007,1814,274,323,598,401,203,607,36,34,69,45,78,123,479,319,795,3026,3293,6308,488,603,1092,2045,2223,4263,1280,1509,2786
SAL50458,6,8,12,6,3,6,0,0,0,0,0,0,0,0,4,6,8,12,0,0,0,16.7,16.7,16.7,100,100,100,83.3,83.3,83.3,0,0,0,0,0,0,0,0,4,0,0,0,5,0,6,0,0,0,0,0,0,5,0,6,3,4,5,3,5,6,0,6,0,3,9,11
SAL50459,26,13,36,14,3,14,0,7,11,0,0,0,0,0,0,12,9,28,0,0,0,6.3,0,3.8,72.7,76.9,74.3,68.2,76.9,71.4,0,0,0,0,0,0,3,0,7,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,17,7,19,0,5,9,13,8,14,13,7,12
SAL50460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50461,7,3,7,0,0,4,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,66.7,66.7,66.7,66.7,66.7,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,4,3,4,0,0,0
SAL50462,22,20,38,8,8,13,3,9,10,0,0,0,0,0,0,11,17,30,3,3,7,14.3,0,7.1,66.7,70,68.3,57.1,70,63.4,0,0,0,0,0,0,0,0,0,0,3,4,5,0,6,0,0,0,0,0,0,9,0,10,14,15,31,0,4,6,9,11,20,5,8,15
SAL50463,8,8,12,3,0,9,0,5,5,0,0,0,0,0,0,3,4,8,0,0,3,0,0,0,85.7,83.3,84.6,85.7,83.3,84.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13,0,0,0,3,6,11,3,0,5
SAL50464,5680,5131,10809,2973,1910,4885,771,1158,1931,178,177,358,217,181,398,4139,3425,7568,956,1328,2282,5.3,5.2,5.2,73,66.7,70,69.1,63.3,66.3,794,713,1506,118,164,281,1663,1617,3282,561,550,1101,631,343,977,38,48,86,54,71,125,724,463,1187,3762,3530,7292,1714,1573,3279,1491,1372,2866,3786,3556,7345
SAL50465,88,90,175,56,26,83,6,22,35,4,3,5,3,0,3,73,59,128,18,30,49,4.2,0,2.3,82.6,64.8,73.6,79.1,64.8,71.8,0,0,0,0,4,4,3,15,23,6,8,14,19,7,32,5,3,4,0,0,0,27,14,38,92,83,177,9,22,28,78,70,149,22,27,49
SAL50466,8,12,18,0,3,6,3,0,0,0,0,0,0,0,0,5,3,11,3,3,4,0,0,0,77.8,36.4,55,77.8,36.4,55,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,7,8,7,20,0,0,0,5,7,12,4,0,0
SAL50467,151,138,289,25,10,33,9,22,28,5,0,13,16,3,21,54,35,93,72,74,145,23.6,11.4,18.9,35.5,25.7,30.9,27.1,22.8,25.1,0,0,0,0,0,0,3,10,10,10,3,12,25,13,43,0,4,4,9,5,8,33,23,53,92,76,170,36,33,70,57,48,104,70,58,131
SAL50468,4416,4413,8826,2248,1454,3704,711,1303,2014,143,178,318,165,141,309,3268,3076,6346,809,1070,1881,5.1,4.6,4.9,74,69.7,71.9,70.3,66.5,68.4,434,444,875,132,220,346,1103,1275,2377,383,435,815,691,385,1079,43,64,107,60,84,143,797,537,1332,3866,4003,7868,977,888,1868,2319,2432,4750,2256,2203,4454
SAL50469,13,10,18,3,7,9,0,0,0,0,0,6,0,0,0,8,7,15,0,0,0,0,0,0,66.7,62.5,65,66.7,62.5,65,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,14,0,0,0,7,5,11,0,0,0
SAL50470,13,11,28,10,0,13,0,0,0,0,0,0,0,0,5,10,5,17,0,3,9,18.2,16.7,17.6,68.8,46.2,58.6,56.3,38.5,48.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,4,8,18,23,5,0,9,6,18,24,9,0,8
SAL50471,59,62,119,30,17,47,7,17,24,5,3,5,0,0,0,38,32,74,5,17,23,2.6,0,1.4,68.4,54,60.8,66.7,54,60,0,5,5,0,0,0,6,6,10,4,6,4,6,3,5,0,0,0,0,4,0,8,5,16,48,50,96,3,3,14,43,42,85,10,12,19
SAL50472,3376,3643,7017,1529,741,2267,365,1028,1393,150,124,269,118,92,209,2165,1973,4136,942,1445,2386,5.5,4.6,5.1,64.2,54.2,59,60.6,51.7,56,15,38,55,24,55,74,168,333,501,192,327,523,1062,678,1738,63,124,185,44,101,144,1166,899,2066,3327,3484,6812,551,630,1181,2323,2379,4704,1331,1534,2864
SAL50473,1447,1582,3028,681,466,1146,180,365,548,46,50,100,59,57,117,964,946,1911,388,548,938,6,6.2,6.1,66.8,59.7,63.1,62.8,56,59.2,47,60,108,20,42,65,154,263,423,116,128,250,419,210,633,9,33,43,19,43,61,449,290,736,1470,1591,3061,197,218,417,1053,1122,2173,514,599,1114
SAL50474,1823,1944,3766,916,490,1407,246,589,837,47,80,128,62,49,114,1276,1207,2485,460,651,1110,4.9,4.1,4.5,70,62.2,66,66.6,59.7,63,95,115,208,41,95,138,287,390,674,175,219,395,500,237,733,24,36,61,19,37,60,546,307,855,1895,2012,3910,264,279,542,1368,1496,2860,661,697,1361
SAL50475,27,23,48,14,3,16,0,7,5,0,0,0,0,0,0,17,10,25,0,0,6,6.7,0,3.8,60,47.8,54.2,56,47.8,52.1,0,0,0,0,0,0,0,3,8,4,0,0,3,0,3,0,0,0,0,0,0,3,0,3,26,12,42,0,4,7,13,7,21,11,7,17
SAL50476,1262,1409,2667,749,441,1195,126,407,532,67,98,158,51,50,105,995,1001,1992,167,344,511,5,5.4,5.2,78.7,71,74.6,74.8,67.1,70.7,25,22,47,9,33,37,95,220,315,120,216,339,415,259,670,19,34,48,17,32,53,451,327,775,1306,1427,2734,324,347,674,527,524,1058,913,1091,1999
SAL50477,60,44,111,32,18,59,0,6,6,5,0,10,0,0,0,42,30,70,18,17,32,2.4,0,1.4,65.6,63.6,64.8,64.1,63.6,63.9,0,3,4,0,0,0,0,5,6,14,6,18,11,10,21,0,0,0,5,0,5,14,10,25,51,29,79,14,17,29,34,19,52,29,19,53
SAL50478,13,13,22,5,0,8,0,0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,50,55.6,52.4,50,55.6,52.4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,3,6,4,9,9,11,0,0,0,4,0,10,3,4,5
SAL50479,3,5,4,3,0,5,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,0,0,0,3,4,12,0,0,0
SAL50480,50,58,106,31,14,45,3,18,21,0,0,0,4,3,8,36,37,74,7,18,21,5.3,16.2,10.7,73.1,66.1,69.4,69.2,55.4,62,0,0,0,0,0,0,0,6,10,4,3,7,9,6,11,0,0,0,0,5,5,9,6,18,46,52,100,7,5,13,33,38,73,19,22,41
SAL50481,156,141,303,48,26,74,32,49,85,15,8,17,4,0,5,98,88,182,57,48,105,2.1,2.3,2.2,59.4,60,59.7,58.1,58.6,58.4,4,0,0,4,11,11,5,18,23,15,18,36,62,15,79,0,3,3,6,9,7,64,26,94,162,141,300,16,12,30,134,119,253,34,37,67
SAL50482,8675,9512,18190,4625,2738,7364,1079,2620,3698,326,355,680,378,371,747,6400,6088,12484,1719,2947,4671,5.9,6.1,6,73.7,64,68.6,69.4,60.1,64.5,202,219,419,74,156,234,651,1127,1781,705,1071,1776,2455,1638,4090,166,255,417,109,236,345,2725,2127,4855,9731,10221,19948,1461,1660,3122,6488,6669,13153,3819,4429,8244
SAL50483,16,11,25,13,5,10,3,5,5,0,0,0,0,0,0,10,6,19,0,0,0,0,12.5,5,85.7,88.9,87,85.7,77.8,82.6,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,12,4,21,4,0,6,8,6,9,8,5,15
SAL50484,1481,1494,2981,692,439,1134,192,355,546,47,68,122,72,60,135,1008,926,1929,385,507,893,7.1,6.6,6.8,67.9,61.6,64.7,63.1,57.6,60.3,65,88,153,21,40,69,243,300,548,117,142,264,336,160,493,23,22,49,13,30,46,369,215,587,1422,1431,2856,252,249,499,840,846,1686,724,745,1470
SAL50485,3,3,8,3,5,3,0,0,0,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,100,80,90,100,80,90,0,0,0,0,0,0,0,5,5,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,3,0,5,0,0,0,0,0,0,0,3,8
SAL50486,115,162,276,22,26,46,9,16,27,0,7,8,0,0,0,37,47,81,63,104,176,2.6,2.1,2.4,33.9,29,31,33,28.4,30.3,5,0,8,0,7,7,0,16,21,6,20,22,27,11,46,0,0,0,3,4,4,36,21,52,88,136,224,15,21,36,65,78,141,39,62,100
SAL50487,64,67,136,26,9,36,6,19,18,0,0,0,4,3,13,36,37,71,24,29,52,16.7,14.7,15.7,53.7,51.5,52.6,44.8,43.9,44.4,0,4,5,0,0,4,0,6,6,0,4,5,8,6,16,4,0,3,4,4,8,19,12,30,55,56,115,9,9,13,43,36,74,24,19,49
SAL50488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50489,4,3,3,4,0,6,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,0,4,3,3,0,0,0
SAL50490,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,66.7,50,60,66.7,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,5,0,0,0
SAL50491,2165,2645,4814,577,367,947,195,448,638,83,74,160,50,57,105,900,940,1846,1150,1602,2756,5.3,6.2,5.7,41.7,35.7,38.4,39.5,33.5,36.2,24,36,60,22,40,59,145,243,381,166,275,442,643,347,992,29,34,60,28,72,99,702,453,1154,1989,2371,4357,336,423,762,1294,1521,2815,942,1176,2115
SAL50492,844,957,1804,322,202,522,81,189,267,31,33,68,10,17,28,449,438,883,303,439,737,2.9,3.4,3.2,53.3,45.5,49.1,51.7,43.9,47.6,14,13,25,3,26,32,58,103,156,39,85,118,213,114,321,11,18,26,16,13,23,234,146,380,694,814,1507,161,162,325,446,488,937,368,452,819
SAL50493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50494,14,15,30,11,10,16,0,0,0,0,5,5,0,0,0,10,8,24,0,4,5,0,0,0,81.3,69.2,75.9,81.3,69.2,75.9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,4,0,8,10,11,20,7,3,6,4,7,13,10,8,20
SAL50495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50496,11,9,21,9,0,10,0,0,5,0,0,0,0,0,0,11,5,12,0,5,6,9.1,0,6.7,78.6,50,68.2,71.4,50,63.6,0,0,0,0,0,0,0,0,3,0,0,0,10,0,10,0,0,0,0,0,0,10,0,10,13,9,22,3,0,3,13,9,22,3,0,3
SAL50497,1188,1101,2291,593,385,978,143,329,470,86,58,139,25,14,38,849,785,1634,224,230,455,3.2,1.8,2.5,71.5,71.2,71.4,69.3,69.9,69.6,25,41,64,4,28,32,106,207,314,92,94,190,413,161,579,17,40,55,17,21,40,449,219,674,973,890,1863,310,338,647,608,527,1142,613,628,1237
SAL50498,23,24,44,11,12,16,0,0,0,0,5,3,0,0,0,11,15,24,6,7,16,0,0,0,50,56.5,53.3,50,56.5,53.3,0,0,0,0,0,0,0,0,3,0,4,5,3,0,9,0,0,0,0,0,0,3,0,9,17,14,32,8,4,10,13,9,24,9,10,15
SAL50499,19,23,44,14,3,15,0,3,11,3,3,5,0,0,4,17,14,31,4,10,14,5.9,8.3,6.9,77.3,48,61.7,72.7,44,57.4,0,0,0,0,0,0,0,0,0,0,3,0,7,3,13,0,0,0,0,0,0,7,3,13,21,22,39,0,4,10,18,12,29,5,10,16
SAL50500,2315,2429,4745,778,450,1227,245,578,826,97,74,171,99,88,187,1223,1194,2415,959,1129,2091,8.3,7.2,7.7,52.7,49.2,50.9,48.3,45.6,46.9,35,33,70,28,68,96,173,290,457,196,274,470,750,370,1118,41,53,97,30,72,108,824,497,1325,2174,2229,4402,376,432,804,1462,1457,2918,976,1103,2084
SAL50501,100,101,201,42,20,64,14,31,39,9,6,14,0,0,3,67,59,122,26,35,62,3.1,1.8,2.5,63.7,56.4,60.1,61.8,55.4,58.6,5,3,10,0,4,8,22,20,38,4,8,20,27,6,37,0,0,4,0,0,0,30,15,43,93,98,192,12,7,21,78,82,162,21,21,46
SAL50502,1803,1932,3728,765,460,1223,242,509,750,49,72,125,69,50,115,1130,1094,2218,545,702,1253,6,4.6,5.3,62.8,56.4,59.5,59,53.8,56.3,82,82,165,35,59,96,269,387,657,156,212,363,458,241,700,30,34,64,21,42,64,508,322,833,1822,1922,3747,212,250,459,1265,1352,2618,648,691,1331
SAL50503,7,0,9,9,0,7,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,33.3,12.5,71.4,100,80,71.4,66.7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,5,10,0,0,0,0,0,3,3,4,7
SAL50504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50507,5,0,4,0,0,0,0,0,3,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,66.7,100,75,66.7,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,0,0,0
SAL50508,450,487,941,149,143,291,39,48,90,14,20,35,13,15,27,215,230,443,192,212,399,6.5,6.1,6.3,47.3,47,47.2,44.2,44.1,44.2,3,26,29,8,9,15,19,66,89,12,17,32,66,38,99,4,14,22,7,5,17,78,62,137,395,416,815,116,121,235,280,256,530,204,245,447
SAL50509,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50510,3274,3461,6739,1661,854,2509,529,1185,1712,86,106,189,94,86,178,2366,2224,4589,835,1167,2006,3.8,3.9,3.9,72.1,64.3,68.1,69.4,61.8,65.5,559,423,980,120,230,349,1109,1220,2324,249,333,584,284,127,412,14,26,41,22,75,96,318,229,547,3600,3711,7311,525,551,1078,2537,2608,5142,1407,1505,2907
SAL50511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50512,108,109,217,40,18,59,20,44,62,8,0,12,0,5,6,73,68,140,26,34,64,4.1,7.5,5.7,67.6,62,64.8,64.8,57.4,61.1,0,3,3,5,4,3,17,34,42,13,15,28,26,15,40,4,0,3,0,0,0,33,14,44,97,99,199,15,19,34,63,61,128,41,46,88
SAL50513,105,27,136,14,6,25,7,12,15,0,0,3,0,0,3,23,17,42,80,6,87,4,5.3,4.5,23.4,70.4,32.8,22.4,66.7,31.3,0,0,0,0,0,0,5,4,9,0,0,3,15,8,25,0,3,4,0,0,0,16,12,28,32,25,63,9,4,10,23,14,38,15,16,32
SAL50514,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAL50515,18,12,33,10,3,13,0,6,3,0,0,0,0,0,0,14,10,21,5,5,13,0,11.1,4.8,63.2,56.3,60,63.2,50,57.1,0,0,0,0,0,0,0,0,0,3,0,5,3,0,4,0,0,0,0,0,0,4,0,7,18,18,32,0,0,0,11,13,26,8,9,16
SAL50516,20,3,28,15,4,21,0,0,0,4,0,9,0,0,0,19,3,28,0,0,0,0,0,0,95.2,100,96,95.2,100,96,0,0,0,0,0,0,5,0,5,4,0,4,5,0,5,0,0,0,0,0,0,6,0,6,13,4,15,12,0,10,4,0,5,14,4,16
SAL50517,418,407,828,191,103,294,57,116,173,12,14,26,19,8,28,283,241,517,105,148,252,6.4,3.4,5,67.7,58,62.9,63.4,56.1,59.8,9,5,16,8,8,11,37,53,89,24,41,67,138,60,194,4,10,8,0,11,11,140,79,216,448,425,868,37,47,81,315,305,616,141,142,280
SAL50518,5282,5408,10687,2654,1433,4093,588,1351,1939,196,191,391,202,170,375,3645,3145,6795,1315,1993,3310,5.6,5.4,5.5,69.1,58.2,63.6,65.2,55.1,60.1,113,109,226,39,98,135,407,661,1070,387,541,927,1640,877,2516,93,138,232,75,129,205,1806,1139,2953,5361,5421,10779,744,782,1525,3650,3680,7323,2084,2171,4261
SAL50519,152,39,190,114,20,139,6,0,10,15,5,14,4,0,6,138,32,169,9,10,14,2.9,3.2,2.9,91.4,81.6,89.5,88.8,78.9,86.8,10,0,10,0,0,0,8,5,12,13,5,20,65,4,62,3,0,3,0,0,0,69,3,73,106,31,136,42,6,48,69,12,81,80,21,98
SAL50520,168,129,297,100,41,137,9,35,47,10,7,19,3,0,3,126,79,208,28,32,64,2.4,0,1.5,74.3,63.3,69.5,72.5,63.3,68.5,0,0,5,0,5,9,13,16,32,18,11,26,31,29,56,0,5,7,7,8,10,41,31,68,154,110,269,22,26,49,100,73,178,67,59,130
SAL50521,32,10,43,16,6,20,3,0,3,0,0,0,0,0,0,18,6,22,0,0,3,0,0,0,60,70,62.5,60,70,62.5,0,0,0,0,0,0,4,3,8,4,0,3,4,0,4,3,0,3,0,0,0,6,0,6,14,7,16,8,0,8,9,7,11,10,6,17
SAL50522,4079,4185,8265,1739,1210,2950,641,1193,1834,127,143,269,165,107,277,2670,2657,5327,1000,1258,2261,6.1,4.1,5.1,65.4,63.5,64.4,61.4,60.9,61.1,463,527,990,123,212,337,911,1207,2115,373,382,756,593,287,877,39,51,89,50,67,122,682,407,1087,3195,3342,6534,892,984,1875,1784,1871,3654,2147,2314,4468
SAL50523,501,453,957,105,52,159,50,82,136,19,15,32,17,24,40,191,174,363,246,233,485,8.4,12.7,10.5,37.8,38,37.9,34.7,33.2,34,4,4,3,0,8,8,11,27,40,15,27,43,148,58,203,3,6,9,4,8,18,153,72,229,433,377,816,50,71,122,319,269,592,150,166,319
SAL50524,6,6,8,4,0,4,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,80,50,66.7,80,50,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,0,0,5,4,9,3,0,6
SAL50525,344,305,653,104,48,148,31,70,101,32,15,47,7,9,15,174,138,314,143,152,296,4.6,3.5,4.1,50.1,46.1,48.2,47.8,44.4,46.2,0,6,8,0,7,7,9,23,30,12,31,42,125,43,165,6,7,9,0,8,11,130,64,190,327,283,606,45,65,110,279,225,504,81,106,184
SAL50526,22,16,39,12,5,20,0,6,8,0,0,0,0,0,0,15,12,25,7,6,12,0,9.1,4.3,57.1,64.7,60.5,57.1,58.8,57.9,0,0,0,0,0,0,0,4,0,0,0,0,0,6,4,0,0,0,0,0,0,0,6,4,20,17,41,0,0,0,19,16,34,0,6,3
SAL50527,48,32,85,39,13,49,5,13,12,0,0,0,0,0,0,41,21,68,7,10,11,0,0,0,82.4,71.9,78.3,82.4,71.9,78.3,0,0,0,0,0,0,3,6,9,0,4,3,7,8,14,0,0,0,0,0,0,10,7,22,48,37,88,3,0,6,29,24,59,18,15,32
SAL50528,152,24,172,42,13,52,6,0,12,4,0,4,0,0,0,56,9,64,3,0,3,0,0,0,35.5,47.8,37.1,35.5,47.8,37.1,0,0,0,0,0,0,0,3,6,0,3,0,35,0,32,0,0,0,0,0,0,33,0,35,47,3,49,9,3,20,35,3,40,23,10,30
SAL50529,603,165,770,257,69,325,13,3,19,9,10,19,0,0,0,282,82,356,0,0,0,0,0,0,46.2,48.5,46.7,46.2,48.5,46.7,8,4,12,3,0,3,23,10,32,23,11,37,106,15,122,10,0,10,0,0,0,117,18,143,140,25,167,136,60,196,26,5,29,254,80,332
SAL50530,31,22,51,6,5,16,0,3,7,6,0,6,0,0,0,13,15,25,16,10,20,0,7.7,4,35.3,65,46.3,35.3,60,44.4,0,0,0,0,0,0,0,3,6,0,5,3,8,6,10,0,0,0,0,0,0,9,6,7,27,19,45,6,8,13,16,11,23,11,13,30
SAL50531,31,25,59,6,9,15,4,0,8,0,0,0,0,0,0,14,12,26,10,13,29,20,0,12,50,34.5,42.4,40,34.5,37.3,0,3,3,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,8,3,9,33,30,67,8,6,20,15,17,34,19,20,39
SAL50532,7,6,9,0,0,0,4,3,4,0,0,0,0,0,0,6,6,9,0,0,0,0,0,0,80,100,88.9,80,100,88.9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,0,0,0,4,3,5,4,0,3
SAL50533,919,923,1845,446,223,663,114,308,415,45,31,70,21,23,41,624,579,1198,246,316,565,3.5,3.5,3.5,67.8,62.3,65,65.4,60.2,62.8,29,26,55,17,33,50,102,177,277,74,97,173,314,146,456,9,18,35,15,25,43,343,188,529,936,935,1870,138,149,289,697,709,1403,343,334,679
SAL50534,1486,1597,3081,545,319,865,189,420,613,59,48,105,36,41,80,836,818,1658,539,675,1208,4.7,5,4.8,56.3,51.5,53.8,53.6,48.9,51.2,29,34,59,18,49,64,124,208,327,136,177,307,417,227,647,30,36,63,13,45,61,464,305,772,1353,1413,2771,281,301,583,858,900,1755,730,769,1495
SAL50535,33,35,64,13,9,21,0,5,13,0,3,5,0,0,0,19,20,39,8,15,20,0,5.3,2.6,59.4,54.3,56.7,59.4,51.4,55.2,0,0,0,0,0,0,0,6,4,3,3,0,9,0,11,0,0,0,0,0,0,9,4,12,33,30,65,0,6,5,28,23,54,7,13,15
SAL50536,1303,1486,2792,449,327,772,164,293,463,35,35,71,65,43,107,712,702,1412,439,641,1083,9,6,7.5,54.6,47,50.6,49.7,44.2,46.8,41,30,71,14,35,47,91,180,273,88,139,224,291,177,465,24,36,59,17,24,41,327,236,566,1076,1208,2285,272,305,571,675,756,1427,586,656,1248
SAL50537,8,5,14,3,0,4,0,0,3,0,0,3,0,0,0,8,4,10,0,0,8,0,0,0,71.4,66.7,69.2,71.4,66.7,69.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,12,9,17,0,0,0,12,9,17,0,0,0
