SAL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL51353,0,5,0,5,5,9,3,6,0,24,6,5,0,3,7,5,3,4,0,32,0,8,0,0,11,20,7,17,0,77,0,13,6,3,7,13,0,0,0,43,4,8,7,5,9,9,3,4,0,47,0,5,6,4,8,8,0,5,4,35,3,0,3,4,8,6,5,20,0,46,10,14,8,3,10,8,4,7,3,57,0,0,0,0,0,0,0,4,7,10,24,54,30,23,59,82,26,62,12,373
SAL51354,11,10,12,9,40,44,14,59,0,195,23,29,44,36,62,78,31,52,4,359,29,30,23,19,87,80,38,122,6,431,12,63,55,33,30,40,12,13,6,263,7,36,28,22,59,36,7,20,0,203,7,76,37,13,14,16,6,7,0,174,18,8,9,5,18,18,23,68,4,171,8,54,36,7,24,25,8,27,5,190,0,5,0,4,3,15,3,8,10,45,121,304,242,150,327,352,130,377,31,2038
SAL51355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,20
SAL51356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51357,0,0,5,0,0,3,0,0,0,13,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,13,3,5,0,39
SAL51358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51359,4,4,10,3,33,59,20,131,0,274,15,22,28,15,69,110,45,95,3,405,24,16,10,9,36,90,61,267,7,525,9,32,29,14,40,30,14,29,0,195,10,28,33,26,52,49,18,24,4,248,4,53,23,9,14,19,0,9,0,130,27,11,10,10,22,36,33,175,7,337,11,43,27,12,20,17,7,39,0,163,4,0,0,0,5,0,4,0,9,29,105,205,176,99,302,412,211,773,34,2311
SAL51360,24,42,48,40,79,170,93,219,4,711,60,156,167,100,176,256,81,166,6,1168,22,44,33,24,50,113,28,81,4,408,22,151,97,45,46,45,9,31,0,442,22,104,82,55,84,97,17,29,8,502,14,134,62,21,29,34,12,23,0,331,9,17,13,9,8,12,5,25,3,96,9,70,22,8,17,19,8,24,0,182,3,11,5,3,0,14,0,5,12,61,180,738,530,298,501,777,257,594,32,3898
SAL51361,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,11
SAL51362,4,3,3,0,8,11,0,13,0,42,0,6,0,0,13,3,0,13,0,32,7,0,6,3,13,27,11,48,0,119,4,8,7,8,8,7,0,4,5,45,0,3,0,0,10,12,5,6,0,39,0,12,6,0,7,4,0,6,0,45,3,9,3,0,9,23,18,74,0,137,3,11,15,6,11,13,8,13,0,77,0,0,0,0,0,0,0,4,4,10,21,58,39,28,66,96,47,187,8,553
SAL51363,12,21,19,19,74,98,45,126,3,417,51,95,113,101,175,188,59,121,3,909,39,58,39,31,126,166,69,174,6,709,29,102,108,66,71,40,14,24,11,463,18,87,85,49,150,73,19,39,0,519,13,108,54,46,55,20,8,28,4,334,24,17,27,19,53,46,27,106,5,321,25,118,44,33,61,67,24,55,8,437,0,3,8,3,12,6,4,8,16,60,207,602,491,364,775,710,271,687,54,4160
SAL51364,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,12
SAL51365,0,0,5,0,9,12,3,12,0,40,6,8,6,0,9,10,4,3,0,50,0,0,0,4,4,16,4,16,5,54,6,4,11,8,14,8,3,0,3,62,0,0,8,4,19,10,4,0,3,51,4,9,5,5,5,3,5,0,3,41,7,0,4,0,4,4,5,9,0,37,3,14,10,3,12,4,0,10,0,58,0,0,0,0,0,0,0,0,0,10,28,42,44,25,83,73,20,65,18,398
SAL51366,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,11
SAL51367,0,0,0,0,0,4,0,4,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,7,0,12,5,32
SAL51368,11,17,26,13,35,62,31,76,0,270,42,104,88,68,93,157,52,125,0,728,11,12,15,15,11,33,16,30,0,148,12,63,41,20,19,17,10,7,3,198,6,20,25,10,27,25,9,16,0,139,3,36,10,11,9,7,6,10,0,87,9,4,5,0,4,12,3,23,0,64,6,30,16,11,10,12,6,10,0,95,0,5,0,0,5,0,3,4,0,22,103,292,227,147,227,327,133,289,3,1754
SAL51369,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,8
