SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL51340,359,545,956,737,655,449,733,708,82,5230
SAL51341,14,5,4,0,6,4,10,4,0,39
SAL51342,65,77,47,28,27,10,11,26,7,281
SAL51343,5,0,0,0,0,0,0,0,0,7
SAL51344,0,0,0,0,0,0,0,0,0,0
SAL51345,360,852,226,206,301,161,83,141,25,2349
SAL51346,341,1162,101,187,193,125,33,99,20,2264
SAL51347,0,0,0,0,0,0,0,0,0,0
SAL51348,194,334,332,248,200,140,133,175,35,1797
SAL51349,0,0,0,0,0,0,0,0,0,0
SAL51350,8,4,5,5,0,0,0,8,0,36
SAL51351,73,115,119,79,62,62,41,64,7,621
SAL51352,160,281,313,215,225,134,127,163,34,1651
SAL51353,24,32,77,43,47,35,46,57,10,373
SAL51354,195,359,431,263,203,174,171,190,45,2038
SAL51355,0,0,5,0,0,0,10,9,0,20
SAL51356,0,0,0,0,0,0,0,0,0,0
SAL51357,13,5,0,3,0,0,0,11,0,39
SAL51358,0,0,0,0,0,0,0,0,0,0
SAL51359,274,405,525,195,248,130,337,163,29,2311
SAL51360,711,1168,408,442,502,331,96,182,61,3898
SAL51361,10,0,0,0,6,0,4,0,0,11
SAL51362,42,32,119,45,39,45,137,77,10,553
SAL51363,417,909,709,463,519,334,321,437,60,4160
SAL51364,9,0,0,0,4,0,0,0,0,12
SAL51365,40,50,54,62,51,41,37,58,10,398
SAL51366,4,0,0,0,3,0,0,0,0,11
SAL51367,10,10,0,0,0,0,3,0,4,32
SAL51368,270,728,148,198,139,87,64,95,22,1754
SAL51369,9,0,0,0,0,0,0,3,0,8
SAL51370,4,8,7,4,6,0,9,6,0,46
SAL51371,274,471,309,212,325,144,170,132,29,2059
SAL51372,364,593,1331,516,539,324,883,585,152,5295
SAL51373,153,217,525,236,241,149,405,259,23,2210
SAL51374,8,0,0,0,0,0,0,4,0,11
SAL51375,34,3,7,0,0,0,0,4,0,44
SAL51376,0,0,0,0,4,0,0,0,0,6
