SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL50513,0,0,0,14,15,12,7,8,71,136
SAL50514,0,0,0,0,0,0,0,0,0,3
SAL50515,0,0,0,10,16,5,0,4,0,33
SAL50516,0,0,0,3,3,0,0,7,0,28
SAL50517,4,0,12,162,222,118,83,186,60,828
SAL50518,131,29,267,2123,2890,1211,964,2838,662,10687
SAL50519,0,0,0,30,21,10,5,112,9,190
SAL50520,0,0,3,71,66,30,36,56,25,297
SAL50521,0,0,0,7,5,0,0,17,13,43
SAL50522,78,10,166,2034,2618,828,450,1587,748,8265
SAL50523,13,6,34,141,211,81,97,303,123,957
SAL50524,0,0,0,0,4,0,5,0,0,8
SAL50525,7,6,8,89,156,78,123,153,47,653
SAL50526,5,0,5,8,7,4,3,18,0,39
SAL50527,0,0,3,28,26,8,10,7,4,85
SAL50528,0,0,0,11,11,0,4,41,109,172
SAL50529,0,0,0,86,37,5,3,228,408,770
SAL50530,0,0,0,4,16,8,9,11,5,51
SAL50531,0,0,0,24,15,7,3,8,3,59
SAL50532,0,0,0,3,0,3,0,6,0,9
SAL50533,4,5,19,404,550,284,209,318,81,1845
SAL50534,13,11,73,554,850,448,302,685,239,3081
SAL50535,0,0,0,14,16,8,7,14,8,64
SAL50536,134,50,232,502,619,274,220,873,312,2792
SAL50537,0,0,0,0,4,0,0,5,0,14
SAL50538,0,0,0,5,9,9,0,8,16,50
SAL50539,4,0,6,53,82,39,31,62,47,312
SAL50540,0,0,0,24,74,35,11,56,15,207
SAL50541,0,0,0,0,0,0,0,0,4,4
SAL50542,9,4,37,447,726,339,310,390,171,2385
SAL50543,0,0,0,11,13,9,15,9,4,65
SAL50544,0,0,0,0,3,3,8,4,0,15
SAL50545,0,0,0,13,11,0,0,7,10,39
SAL50546,0,0,0,0,0,0,0,0,0,0
SAL50547,0,0,0,0,0,0,0,0,0,0
SAL50548,3,0,13,117,184,81,103,154,52,686
SAL50549,0,0,0,7,10,5,0,0,5,29
SAL50550,58,8,98,1311,1480,627,529,2686,517,7154
SAL50551,4,0,14,175,245,126,78,196,51,865
SAL50552,26,13,56,463,732,388,248,347,117,2296
SAL50553,15,0,26,467,589,306,259,677,137,2441
SAL50554,0,0,0,6,13,5,3,5,12,39
SAL50555,0,0,0,6,9,0,0,0,0,20
SAL50556,53,0,68,449,482,154,91,949,134,2269
SAL50557,6,0,21,172,228,92,78,166,45,764
SAL50558,0,0,0,18,26,13,12,14,3,87
SAL50559,0,0,0,23,29,8,7,5,0,78
SAL50560,0,0,0,3,9,7,0,10,4,36
SAL50561,19,0,32,206,323,165,115,324,60,1190
SAL50562,0,0,3,113,130,58,23,42,57,420
SAL50563,0,0,0,0,4,3,0,0,0,5
SAL50564,5,0,12,83,98,59,80,89,43,449
SAL50565,0,0,0,12,9,0,0,0,0,25
SAL50566,9,0,15,915,1178,462,402,1019,261,4240
SAL50567,0,4,10,42,77,52,31,25,8,232
SAL50568,0,0,0,3,12,0,0,7,3,28
SAL50569,8,6,20,76,90,50,35,106,76,433
SAL50570,0,0,0,6,3,5,0,3,0,20
SAL50571,31,5,75,604,861,440,308,471,92,2780
SAL50572,0,0,0,9,6,3,0,5,4,21
SAL50573,0,0,0,0,0,0,0,0,0,0
SAL50574,293,123,584,2966,3743,1624,1449,5733,1326,16835
SAL50575,5,0,8,42,55,23,17,45,19,201
SAL50576,0,0,0,3,3,0,5,17,8,33
SAL50577,0,0,0,16,26,14,16,16,6,92
SAL50578,0,0,0,25,27,24,22,35,6,142
SAL50579,0,0,10,38,82,51,34,62,17,276
SAL50580,0,0,0,13,15,6,10,3,3,48
SAL50581,0,0,0,10,18,9,9,3,0,51
SAL50582,6,0,7,49,62,46,47,78,22,308
SAL50583,172,123,506,1367,1969,1002,865,2315,643,8166
SAL50584,0,0,0,11,9,6,3,5,6,35
SAL50585,19,78,123,418,610,278,203,468,229,2210
SAL50586,0,0,0,41,81,40,41,39,38,281
SAL50587,41,6,100,1738,2408,1022,770,1625,339,7902
SAL50588,0,0,0,9,0,0,0,0,4,14
SAL50589,0,0,0,5,11,8,5,12,6,50
SAL50590,0,0,0,0,0,0,0,7,0,5
SAL50591,0,0,0,18,34,19,8,11,14,108
SAL50592,0,0,0,0,0,0,0,0,0,0
SAL50593,0,0,5,11,44,25,17,22,15,137
SAL50594,53,23,96,335,511,191,111,465,116,1732
SAL50595,0,0,0,5,0,0,0,3,4,5
SAL50596,0,0,0,4,6,7,3,0,0,24
SAL50597,0,0,0,10,11,0,0,5,0,27
SAL50598,0,0,0,9,12,17,9,12,7,67
SAL50599,150,69,292,947,1291,548,379,869,215,4253
SAL50600,0,0,0,7,9,11,10,3,5,38
SAL50601,0,0,0,8,16,9,0,10,4,46
SAL50602,0,3,3,237,187,64,37,442,215,1171
SAL50603,113,57,317,2225,3245,1478,1251,2932,733,11870
SAL50604,0,0,0,33,68,26,29,53,21,237
SAL50605,0,0,0,13,6,9,8,11,7,49
SAL50606,0,0,0,4,4,0,5,6,3,22
SAL50607,21,3,70,851,1362,548,383,897,146,4186
SAL50608,0,0,0,14,11,0,0,37,128,188
SAL50609,115,68,320,1997,2661,978,744,2407,810,9600
SAL50610,7,0,15,1116,1543,541,448,1178,226,5048
SAL50611,9,0,13,380,551,198,177,389,102,1804
SAL50612,0,0,0,21,27,13,8,16,10,86
SAL50613,16,0,29,1699,2268,981,775,2277,279,8281
SAL50614,0,0,0,11,9,5,3,10,3,42
SAL50615,62,14,138,490,661,321,310,884,195,2858
SAL50616,0,0,0,13,4,3,4,3,0,33
SAL50617,0,0,0,0,0,0,0,0,0,0
SAL50618,0,0,4,69,122,68,42,71,42,413
SAL50619,0,0,3,373,483,155,151,518,69,1751
SAL50620,9,0,27,138,219,99,71,221,75,821
SAL50621,0,0,0,16,3,14,8,8,9,66
SAL50622,37,13,71,1245,1582,617,450,1300,292,5487
SAL50623,26,4,65,750,999,456,350,700,151,3408
SAL50624,0,0,0,0,5,3,7,7,3,29
SAL50625,10,0,24,398,601,252,211,491,91,2035
SAL50626,0,0,0,34,23,25,16,13,3,116
SAL50627,0,0,0,0,0,0,0,0,0,0
SAL50628,14,3,28,253,313,172,161,309,75,1286
SAL50629,0,0,4,85,91,66,57,57,17,377
SAL50630,0,0,0,14,19,9,12,24,7,80
SAL50631,0,0,0,14,25,17,21,9,8,88
SAL50632,0,0,0,0,7,0,0,9,0,19
SAL50633,141,29,246,2078,2720,1107,827,2605,536,9883
SAL50634,0,0,0,40,57,24,30,31,17,203
SAL50635,5,0,22,600,695,146,80,430,157,2113
SAL50636,6,0,3,593,873,264,284,836,160,3014
SAL50637,0,0,0,17,31,10,16,18,5,86
SAL50638,78,5,162,2124,2816,1362,838,1756,308,9198
SAL50639,19,0,32,271,325,154,153,476,92,1477
SAL50640,0,0,0,14,15,8,6,11,12,57
SAL50641,55,78,175,682,1051,422,268,728,348,3503
SAL50642,0,0,0,10,7,6,7,6,3,37
SAL50643,0,0,0,12,15,3,7,5,7,57
SAL50644,4,0,4,13,12,9,5,7,0,58
SAL50645,18,0,30,1238,1565,573,423,1326,236,5363
SAL50646,0,0,0,19,29,21,12,24,11,123
SAL50647,0,0,3,3,13,0,5,0,0,29
SAL50648,0,0,0,0,0,0,0,0,0,4
SAL50649,0,0,0,4,0,0,0,0,0,8
SAL50650,0,0,0,6,10,3,4,8,5,37
SAL50651,0,0,0,0,5,3,0,4,8,22
SAL50652,0,0,0,9,6,0,4,17,0,43
SAL50653,0,0,4,57,64,40,35,44,19,255
SAL50654,5,0,16,133,249,109,102,206,105,903
SAL50655,5,0,5,18,33,26,22,20,4,129
SAL50656,0,0,0,0,0,0,0,0,0,0
SAL50657,3,0,5,124,211,85,68,79,40,606
SAL50658,0,0,0,19,32,20,11,10,5,97
SAL50659,0,0,0,4,14,4,6,7,0,33
SAL50660,0,0,0,10,6,5,5,0,5,22
SAL50661,33,9,72,1424,1815,765,630,2025,343,6988
SAL50662,0,3,14,75,85,34,25,49,42,310
SAL50663,0,0,0,0,7,5,0,6,0,8
SAL50664,13,4,50,1207,1393,594,386,1015,138,4737
SAL50665,0,0,0,5,3,0,3,6,0,16
SAL50666,0,0,0,5,3,4,0,7,0,15
SAL50667,0,0,0,0,6,0,6,0,0,17
SAL50668,36,28,125,1176,1568,575,342,968,271,4901
SAL50669,0,0,0,0,3,0,0,0,0,13
SAL50670,131,112,329,1981,2471,732,452,1967,646,8245
SAL50671,0,0,0,0,0,0,0,0,3,4
SAL50672,0,0,3,12,22,17,8,11,9,81
SAL50673,0,0,0,21,27,22,0,12,14,107
SAL50674,0,0,0,14,6,10,6,22,9,58
SAL50675,0,0,0,0,0,0,0,0,0,0
SAL50676,0,0,0,13,16,3,4,5,7,49
SAL50677,0,0,0,16,10,4,0,10,0,45
SAL50678,0,0,0,13,10,7,0,3,10,47
SAL50679,0,0,3,15,36,24,31,14,25,144
SAL50680,0,0,0,15,3,4,0,9,6,30
SAL50681,0,0,0,44,58,29,33,85,10,257
SAL50682,8,0,33,446,611,294,195,519,79,2144
SAL50683,13,7,32,730,921,359,265,610,116,3005
SAL50684,0,0,4,28,32,18,15,21,4,121
SAL50685,0,0,0,17,4,0,0,5,0,24
SAL50686,5,0,16,183,259,138,130,173,62,941
SAL50687,0,0,0,0,3,0,0,0,0,10
SAL50688,0,0,0,26,30,22,21,16,11,124
SAL50689,0,0,0,10,12,3,3,10,9,47
SAL50690,0,0,0,3,10,9,15,11,7,55
SAL50691,0,0,6,30,28,15,8,58,29,162
SAL50692,0,0,0,42,75,27,31,42,38,266
SAL50693,0,0,4,5,9,0,4,0,3,27
SAL50694,0,0,0,28,32,34,79,24,6,201
SAL50695,0,0,0,12,6,8,5,10,3,37
SAL50696,5,0,7,727,930,357,260,830,137,3236
SAL50697,0,0,0,13,18,7,6,9,4,58
SAL50698,0,0,0,25,34,10,12,8,6,108
SAL50699,0,0,0,11,14,4,8,5,0,44
SAL50700,83,3,149,315,402,163,68,331,59,1344
SAL50701,162,39,246,1795,2159,762,502,2245,534,7995
SAL50702,104,15,173,1106,1385,418,294,1084,248,4531
SAL50703,0,0,8,39,90,36,46,78,54,358
SAL50704,0,0,0,0,0,0,0,0,0,4
SAL50705,10,6,36,297,449,237,187,371,167,1710
SAL50706,0,0,0,3,4,0,0,7,7,28
SAL50707,100,28,284,1195,1922,908,662,1058,271,6011
SAL50708,0,0,0,27,26,11,13,29,22,124
SAL50709,7,4,27,193,291,164,168,285,198,1293
SAL50710,0,0,0,0,0,0,0,0,0,0
SAL50711,3,0,3,154,200,116,98,80,31,681
SAL50712,37,19,70,594,719,250,202,1004,346,3116
SAL50713,0,0,0,10,31,10,8,10,4,79
SAL50714,53,17,123,993,1339,656,418,865,172,4450
SAL50715,0,0,0,9,21,8,5,3,18,64
SAL50716,0,0,0,54,124,27,8,49,24,292
SAL50717,0,0,4,93,101,57,40,124,220,633
SAL50718,4,0,11,188,312,149,133,289,225,1297
SAL50719,0,0,3,71,109,62,82,78,23,432
SAL50720,0,0,0,0,4,0,0,0,6,10
SAL50721,0,0,0,0,0,0,0,0,0,0
SAL50722,3,0,6,39,53,29,39,40,15,219
SAL50723,0,0,0,10,14,6,0,3,9,42
SAL50724,6,0,14,340,347,141,112,525,126,1593
SAL50725,80,12,190,1805,2179,1006,703,1849,323,7866
SAL50726,0,0,0,12,3,0,0,15,6,37
SAL50727,0,0,5,14,16,13,5,14,16,79
SAL50728,0,0,0,46,57,18,14,42,13,189
SAL50729,0,0,0,8,6,4,4,3,0,26
SAL50730,0,0,4,59,72,29,19,94,95,366
SAL50731,7,0,15,275,432,181,160,399,93,1542
SAL50732,3,0,7,73,86,44,49,62,5,319
SAL50733,0,0,0,0,4,0,0,0,18,22
SAL50734,3,0,7,33,46,21,10,26,7,145
SAL50735,0,0,0,0,0,0,0,15,12,33
SAL50736,0,0,0,9,14,12,13,13,0,64
SAL50737,0,0,0,24,23,9,0,21,14,95
SAL50738,0,0,0,31,24,7,3,44,49,160
SAL50739,0,0,0,62,72,46,30,33,16,269
SAL50740,172,22,297,1875,2377,1059,685,1576,288,7866
SAL50741,0,0,0,0,0,0,0,0,0,0
SAL50742,40,20,92,532,635,320,240,863,347,2935
SAL50743,0,0,0,14,8,10,10,6,0,53
SAL50744,0,0,0,6,11,16,7,17,7,56
SAL50745,4,0,4,184,252,104,74,178,36,830
SAL50746,0,0,0,12,11,5,6,3,0,30
SAL50747,27,10,45,120,156,65,79,260,99,770
SAL50748,96,65,239,1684,2239,993,815,2249,728,8715
SAL50749,3,0,7,156,206,132,139,170,81,890
SAL50750,0,0,0,5,4,8,5,3,4,27
SAL50751,0,0,0,0,0,0,0,0,0,4
SAL50752,20,14,62,983,1186,467,274,603,197,3704
SAL50753,0,0,5,21,27,12,14,15,9,96
SAL50754,27,3,52,788,994,357,359,1672,335,4506
SAL50755,0,0,0,0,0,0,0,0,0,0
SAL50756,74,13,142,1180,1539,590,451,1864,378,6003
SAL50757,0,0,3,43,67,26,25,36,22,229
SAL50758,9,0,22,319,397,158,125,415,71,1488
SAL50759,0,0,0,3,9,0,0,17,20,52
SAL50760,0,0,0,61,25,10,21,42,65,224
SAL50761,0,0,3,49,61,39,26,43,20,236
SAL50762,5,0,4,8,6,4,4,13,14,48
SAL50763,4,0,3,40,66,31,17,58,34,233
SAL50764,348,37,559,2389,3237,1403,939,2464,349,10782
SAL50765,0,0,0,3,3,0,0,5,0,10
SAL50766,53,4,86,1254,1629,647,441,1394,230,5602
SAL50767,0,0,0,3,3,0,0,0,0,9
SAL50768,0,0,0,25,32,13,20,29,7,130
SAL50769,0,0,0,4,5,0,0,0,0,14
SAL50770,0,0,0,0,3,3,8,0,3,21
SAL50771,24,7,49,180,236,111,93,245,71,932
SAL50772,0,0,0,13,18,17,13,16,8,84
SAL50773,5,0,6,58,65,42,24,73,22,285
SAL50774,0,0,0,3,10,0,6,7,7,36
SAL50775,0,0,0,15,12,6,9,7,13,60
SAL50776,0,0,0,4,8,6,4,5,0,33
SAL50777,0,0,0,10,11,0,11,50,19,97
SAL50778,0,0,0,0,4,3,3,0,0,14
SAL50779,0,0,0,10,3,3,0,31,43,93
SAL50780,0,0,4,10,18,0,4,8,4,46
SAL50781,30,7,47,514,532,259,260,1311,234,3109
SAL50782,3,0,9,156,192,77,64,240,86,815
SAL50783,0,0,0,27,53,19,12,50,18,185
SAL50784,0,0,6,7,10,7,13,8,8,54
SAL50785,0,0,0,10,28,21,20,24,20,122
SAL50786,0,0,0,6,17,7,10,3,8,50
SAL50787,0,0,3,39,64,34,38,25,10,218
SAL50788,0,0,0,18,28,9,18,11,4,88
SAL50789,0,0,0,16,10,9,6,3,4,36
SAL50790,0,0,0,6,14,8,4,4,6,44
SAL50791,0,0,0,24,21,16,14,19,22,120
SAL50792,4,6,9,45,77,29,33,49,42,277
SAL50793,0,0,0,11,21,11,5,12,5,64
SAL50794,0,0,0,0,4,0,3,0,0,6
SAL50795,0,0,0,15,11,6,0,28,31,91
SAL50796,0,0,0,35,31,15,3,20,6,102
SAL50797,0,0,0,7,16,3,3,0,0,34
SAL50798,0,0,0,10,10,5,6,13,4,50
SAL50799,7,9,21,778,1169,382,242,872,793,4232
SAL50800,0,0,0,0,13,4,12,10,13,51
SAL50801,0,0,0,0,0,0,0,5,0,4
SAL50802,0,0,0,3,10,5,3,4,6,25
SAL50803,0,0,0,0,4,0,0,0,0,4
SAL50804,0,0,0,4,0,0,0,0,5,10
SAL50805,0,0,0,4,9,0,0,17,8,41
SAL50806,0,0,0,68,75,35,41,182,9,420
SAL50807,0,0,0,3,9,3,0,3,0,17
SAL50808,0,0,0,184,145,36,20,53,26,460
SAL50809,0,0,0,30,31,18,15,49,21,160
SAL50810,0,0,0,0,0,0,0,0,0,0
SAL50811,0,0,0,9,4,4,3,8,7,45
SAL50812,0,0,0,0,0,0,0,6,5,12
SAL50813,0,0,0,6,5,0,0,0,0,22
SAL50814,0,0,0,0,0,0,0,0,0,9
SAL50815,0,0,4,101,158,92,95,108,64,622
SAL50816,22,0,56,809,1044,407,327,1008,177,3781
SAL50817,0,0,0,8,8,0,0,25,132,170
SAL50818,0,0,0,0,0,0,0,0,0,0
SAL50819,5,6,9,79,116,62,41,91,26,415
SAL50820,0,0,0,4,3,4,7,0,7,20
SAL50821,0,0,0,0,0,0,0,4,11,21
SAL50822,0,0,0,21,21,5,7,13,12,67
SAL50823,0,0,0,0,6,0,0,6,0,18
SAL50824,0,0,0,0,4,3,5,0,0,7
SAL50825,0,0,0,4,0,3,0,0,0,14
SAL50826,0,0,0,18,14,10,7,3,6,52
SAL50827,0,0,0,0,0,0,0,0,0,0
SAL50828,26,5,42,935,1218,514,463,1182,250,4569
SAL50829,14,0,17,342,460,182,127,325,115,1558
SAL50830,4,5,25,115,188,77,74,181,70,709
SAL50831,34,3,75,2517,3015,1271,997,3330,400,11531
SAL50832,8,0,22,55,93,50,35,85,19,340
SAL50833,33,4,58,788,924,382,375,1601,340,4409
SAL50834,0,0,0,9,9,0,4,10,15,45
SAL50835,18,6,57,765,993,374,206,591,146,3077
SAL50836,0,0,5,94,112,47,33,230,280,797
SAL50837,0,0,0,0,3,0,0,3,11,20
SAL50838,4,3,19,473,575,255,204,687,184,2385
SAL50839,0,0,3,38,51,23,31,52,28,221
SAL50840,98,8,133,938,1023,299,168,631,215,3266
SAL50841,0,3,8,48,71,28,29,78,51,306
SAL50842,56,6,139,2029,2857,1354,824,1669,202,8923
SAL50843,0,0,0,0,0,0,0,0,0,4
SAL50844,0,0,0,86,94,33,36,141,170,556
SAL50845,0,0,0,29,50,17,19,44,15,175
SAL50846,3,0,3,83,118,48,33,142,142,565
SAL50847,0,3,15,472,734,418,309,432,128,2497
SAL50848,0,0,0,0,0,0,0,0,0,0
SAL50849,102,35,226,1494,2083,954,675,1341,260,6803
SAL50850,0,0,0,6,3,0,7,12,0,24
SAL50851,0,0,0,6,4,0,0,0,0,13
SAL50852,3,0,3,12,9,3,11,13,3,52
SAL50853,10,3,30,232,404,201,140,218,52,1248
SAL50854,0,0,0,3,9,4,0,0,10,24
SAL50855,0,0,0,0,0,0,0,0,0,5
SAL50856,0,0,0,0,0,0,0,0,0,3
SAL50857,18,0,28,518,591,265,192,888,230,2679
SAL50858,31,6,53,183,253,105,96,326,89,1050
SAL50859,0,0,0,3,6,4,0,5,0,13
SAL50860,0,0,0,0,0,0,0,0,0,0
SAL50861,0,0,0,10,15,0,4,15,0,47
SAL50862,0,0,0,22,50,24,20,23,12,148
SAL50863,9,0,22,396,530,273,205,338,167,1905
SAL50864,0,0,6,3,0,0,0,5,0,13
SAL50865,21,3,49,304,490,240,165,283,93,1577
SAL50866,0,0,0,20,47,23,25,16,10,135
SAL50867,0,0,0,23,21,17,9,19,12,99
SAL50868,0,0,0,21,25,12,3,4,9,72
SAL50869,0,0,0,0,3,3,0,8,0,17
SAL50870,0,0,0,0,10,0,0,7,6,25
SAL50871,30,3,63,614,708,296,257,832,136,2842
SAL50872,0,0,0,0,0,0,5,0,4,14
SAL50873,83,39,210,1643,2049,860,831,3591,805,9779
SAL50874,113,13,198,1198,1501,610,447,1411,197,5351
SAL50875,9,0,31,602,914,414,296,599,151,2974
SAL50876,0,0,0,0,0,0,0,0,0,0
SAL50877,0,0,0,3,0,0,0,5,0,14
SAL50878,0,0,0,9,7,5,5,0,0,19
SAL50879,4,0,10,147,198,98,81,141,31,695
SAL50880,6,0,16,135,180,73,52,172,51,659
SAL50881,28,10,79,756,1053,471,413,814,186,3691
SAL50882,0,0,0,5,7,0,4,4,0,12
SAL50883,0,0,0,7,10,12,5,0,12,41
SAL50884,0,0,0,6,0,6,0,6,4,21
SAL50885,0,0,0,12,11,0,5,7,0,33
SAL50886,0,0,0,4,4,3,3,10,0,21
SAL50887,0,0,0,0,0,0,0,0,0,0
SAL50888,0,0,0,3,0,0,0,0,3,16
SAL50889,0,0,0,25,24,19,15,22,9,107
SAL50890,130,109,362,1215,1725,781,692,2391,982,7782
SAL50891,70,8,115,655,910,408,361,926,224,3488
SAL50892,0,0,0,9,17,4,4,9,4,41
SAL50893,56,0,81,796,1100,404,269,704,134,3408
SAL50894,0,0,0,25,30,15,0,0,12,83
SAL50895,0,0,0,19,43,17,12,24,14,120
SAL50896,81,126,258,1662,2024,843,641,2798,604,8574
SAL50897,0,0,0,8,15,6,9,0,6,48
SAL50898,0,0,3,69,117,61,43,46,31,368
SAL50899,0,0,3,79,124,76,37,247,294,853
SAL50900,0,0,0,5,3,10,5,7,7,43
SAL50901,0,0,7,82,108,41,51,63,19,370
SAL50902,0,0,0,36,18,9,6,169,364,596
SAL50903,56,14,125,1450,2076,966,658,1281,549,6988
SAL50904,5,0,5,135,177,107,76,187,41,726
SAL50905,16,3,35,431,616,278,185,342,66,1922
SAL50906,0,0,0,0,0,3,0,3,0,4
SAL50907,0,0,0,0,7,5,0,0,0,8
SAL50908,4,0,4,3,13,9,5,12,0,46
SAL50909,0,0,0,0,0,0,0,0,0,4
SAL50910,0,0,0,0,0,0,0,0,0,3
SAL50911,26,51,92,276,375,173,143,373,154,1492
SAL50912,0,0,0,17,10,4,0,40,39,120
SAL50913,3,0,5,25,54,31,22,45,14,192
SAL50914,0,0,0,0,0,0,0,0,0,0
SAL50915,0,0,0,6,5,3,0,4,0,18
SAL50916,0,0,0,34,45,22,14,18,10,142
SAL50917,42,7,114,2816,3561,1069,636,2669,726,11470
SAL50918,0,0,0,8,14,14,6,17,3,53
SAL50919,0,0,0,3,9,4,0,8,3,29
SAL50920,11,3,32,603,840,399,325,689,147,3009
SAL50921,0,0,0,0,0,0,0,0,3,3
SAL50922,225,21,369,1321,1783,768,735,2080,452,7147
SAL50923,5,0,5,25,30,26,28,49,28,192
SAL50924,0,0,0,3,4,0,0,6,3,17
SAL50925,13,7,38,315,498,189,173,575,163,1911
SAL50926,0,0,0,155,112,49,48,170,158,698
SAL50927,0,0,0,0,0,0,0,0,0,6
SAL50928,0,0,3,24,38,21,18,30,0,139
SAL50929,0,0,0,5,7,0,0,6,0,24
SAL50930,0,0,7,22,44,32,15,17,6,132
SAL50931,0,0,0,0,0,0,0,0,0,0
SAL50932,110,36,248,1208,1608,648,436,877,243,5010
SAL50933,213,28,365,479,615,298,196,645,121,2354
SAL50934,0,0,0,9,19,16,3,32,14,89
SAL50935,0,0,0,4,6,0,3,0,0,13
SAL50936,0,0,0,10,17,3,10,12,14,71
SAL50937,0,0,0,12,9,3,3,11,0,42
SAL50938,32,6,61,402,531,237,215,457,259,2105
SAL50939,222,44,401,747,1078,480,386,1444,355,4491
SAL50940,0,0,0,0,10,0,4,10,190,216
SAL50941,0,0,3,36,73,30,10,25,31,202
SAL50942,0,0,0,9,9,5,4,3,3,23
SAL50943,0,0,0,0,5,0,3,0,3,10
SAL50944,28,7,50,434,547,214,230,741,168,2335
SAL50945,6,0,9,34,60,34,19,31,24,200
SAL50946,19,3,58,151,187,103,71,124,30,667
SAL50947,108,92,275,1066,1146,375,337,1921,696,5542
SAL50948,17,9,39,349,374,143,134,680,154,1838
SAL50949,0,0,0,23,21,8,10,12,12,83
SAL50950,0,0,0,296,431,112,150,318,218,1531
SAL50951,6,5,13,373,595,254,223,465,80,1990
SAL50952,0,0,4,34,64,32,40,37,13,218
SAL50953,6,0,3,81,134,63,46,80,10,418
SAL50954,0,0,0,0,4,3,9,5,6,33
SAL50955,0,0,0,4,0,0,0,0,0,5
SAL50956,0,0,0,3,0,3,0,3,0,11
SAL50957,6,4,23,132,205,111,95,189,49,772
SAL50958,0,0,0,0,0,7,0,0,0,10
SAL50959,0,0,0,16,8,5,3,4,4,37
SAL50960,81,40,167,1542,1825,763,540,1622,326,6614
SAL50961,0,0,0,3,7,3,3,4,6,27
SAL50962,0,0,0,10,7,3,3,4,0,26
SAL50963,6,4,9,19,50,26,20,57,46,215
SAL50964,0,0,0,20,16,4,8,9,0,63
SAL50965,0,0,0,5,3,0,0,5,3,14
SAL50966,0,0,0,6,3,0,5,7,0,33
SAL50967,0,0,0,10,8,8,6,4,0,28
SAL50968,0,0,0,20,17,9,4,18,4,72
SAL50969,16,4,53,333,491,201,146,296,127,1601
SAL50970,81,3,119,1089,1097,477,468,2765,409,6313
SAL50971,0,0,0,7,11,4,0,30,18,74
SAL50972,0,0,4,7,9,5,4,4,6,37
SAL50973,0,0,0,17,15,4,16,6,7,68
SAL50974,0,0,0,15,16,3,8,12,4,53
SAL50975,0,0,4,38,56,19,23,42,12,191
SAL50976,0,0,6,9,15,5,6,11,12,56
SAL50977,0,0,0,3,3,5,5,0,0,15
SAL50978,0,0,3,20,64,32,22,20,15,161
SAL50979,0,0,0,0,7,0,3,0,0,14
SAL50980,0,0,0,67,79,44,42,52,37,313
SAL50981,0,0,0,5,21,4,6,5,3,44
SAL50982,0,0,0,9,7,4,4,11,6,44
SAL50983,0,0,3,19,37,25,21,31,42,183
SAL50984,0,0,0,7,3,3,10,3,9,30
SAL50985,0,0,0,0,0,0,0,0,0,0
SAL50986,0,0,0,9,8,3,0,0,0,19
SAL50987,0,0,4,38,42,23,20,45,54,226
SAL50988,24,9,51,237,367,134,111,366,190,1414
SAL50989,0,0,0,0,0,0,0,0,0,0
SAL50990,0,0,0,0,3,0,0,0,5,12
SAL50991,0,0,0,13,14,4,7,7,0,49
SAL50992,0,0,3,115,183,93,77,152,30,648
SAL50993,9,8,18,38,76,36,32,86,97,367
SAL50994,0,0,0,10,3,6,3,6,4,30
SAL50995,0,0,0,3,3,0,0,4,0,14
SAL50996,0,0,7,128,239,114,81,131,48,741
SAL50997,5,4,17,96,139,67,40,159,116,622
SAL50998,242,54,523,3735,4718,1991,1569,5855,1032,18909
SAL50999,0,0,0,6,16,6,4,9,5,41
SAL51000,94,36,211,1834,2148,1003,613,1564,459,7622
SAL51001,0,0,0,8,10,4,0,0,0,19
SAL51002,0,0,0,4,4,0,0,3,0,8
SAL51003,0,0,0,0,0,0,0,0,0,0
SAL51004,27,36,98,380,571,329,294,472,302,2355
SAL51005,0,0,0,0,0,0,0,5,3,5
SAL51006,0,0,0,8,10,12,3,21,29,88
SAL51007,0,0,0,0,0,4,0,0,0,6
SAL51008,48,46,181,1015,1284,554,361,655,207,4077
SAL51009,6,0,16,126,198,82,49,99,36,585
SAL51010,0,0,0,11,18,24,10,17,4,81
SAL51011,0,0,0,0,0,0,0,0,4,9
SAL51012,0,0,0,6,3,3,3,5,6,26
SAL51013,6,0,6,27,35,21,23,17,4,130
SAL51014,0,0,0,201,31,7,0,77,19,343
SAL51015,44,3,102,1556,2170,829,499,1039,234,6318
SAL51016,16,3,35,495,773,369,337,538,188,2702
SAL51017,0,0,0,4,4,3,5,21,7,39
SAL51018,0,0,0,0,0,3,0,0,3,9
SAL51019,0,0,0,0,3,4,0,3,4,14
SAL51020,0,0,0,11,12,8,5,50,44,124
SAL51021,150,77,316,2606,3085,1085,585,1918,531,9813
SAL51022,0,0,0,0,0,0,0,0,0,0
SAL51023,0,0,0,6,7,0,0,3,0,23
SAL51024,0,0,9,41,65,23,38,70,223,464
SAL51025,3,0,18,194,281,107,88,141,52,866
SAL51026,22,7,54,491,711,355,251,577,133,2530
SAL51027,0,0,0,0,4,0,0,0,0,8
SAL51028,0,0,0,0,0,0,0,0,0,0
SAL51029,0,0,0,0,0,0,0,0,0,0
SAL51030,66,0,187,1487,1882,898,565,1204,193,6220
SAL51031,21,5,58,327,532,209,170,426,103,1769
SAL51032,0,0,0,0,0,0,0,0,0,0
