POW_LGA_CODE_2021,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000_3499_A_15_19,Tot_3000_3499_A_20_24,Tot_3000_3499_A_25_34,Tot_3000_3499_A_35_44,Tot_3000_3499_A_45_54,Tot_3000_3499_A_55_64,Tot_3000_3499_A_65_74,Tot_3000_3499_A_75ov,Tot_3000_3499_Tot,Tot_3500mo_A_15_19,Tot_3500mo_A_20_24,Tot_3500mo_A_25_34,Tot_3500mo_A_35_44,Tot_3500mo_A_45_54,Tot_3500mo_A_55_64,Tot_3500mo_A_65_74,Tot_3500mo_A_75ov,Tot_3500mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
LGA52520,0,3,0,20,0,0,7,6,4,7,0,0,23,0,0,6,3,4,0,3,6,21,5,0,11,9,4,6,6,0,44,0,9,11,8,10,17,3,6,59,0,10,18,8,11,17,0,0,73,0,8,21,19,16,19,5,0,93,0,10,26,24,9,14,7,3,93,4,5,11,18,10,20,10,4,78,0,0,17,20,13,16,4,0,72,0,5,15,18,18,14,3,0,75,0,0,3,3,0,3,0,3,21,0,0,3,4,13,3,10,4,34,0,0,3,0,0,5,0,0,8,23,54,151,158,116,147,63,19,726
LGA52590,14,9,0,41,4,0,3,11,15,20,13,0,66,5,6,10,13,10,20,4,4,77,10,13,11,21,20,33,14,4,124,11,12,23,22,32,38,18,6,152,8,31,47,27,28,33,23,7,201,4,9,47,28,42,47,18,6,198,0,13,26,31,31,31,9,0,140,0,10,33,23,24,32,7,0,129,0,5,17,36,27,27,13,4,118,0,14,49,56,70,63,0,0,247,0,0,9,20,17,11,8,0,61,0,0,9,14,15,7,0,0,40,3,0,0,0,3,4,0,0,20,69,102,300,312,338,388,141,34,1686
LGA52660,13,7,0,180,33,16,22,36,21,21,8,4,165,22,24,27,38,23,37,20,4,200,42,24,47,53,54,61,33,10,329,19,51,72,59,83,50,24,5,354,14,67,83,90,83,76,21,7,437,4,34,110,80,103,62,13,6,408,0,34,77,86,64,57,11,0,322,0,13,55,81,67,59,14,3,303,0,3,37,66,63,65,7,3,242,0,9,52,76,96,86,9,4,327,0,0,6,15,17,10,3,0,52,0,0,3,9,20,18,0,3,62,3,3,0,8,7,5,0,3,43,416,283,628,753,731,645,187,46,3698
LGA52730,19,15,4,95,9,4,6,19,28,23,14,3,106,17,4,6,12,25,40,18,6,122,15,15,22,38,41,42,20,10,199,7,21,42,44,54,63,23,5,251,0,21,35,50,56,53,15,5,237,4,9,48,47,65,65,19,3,257,0,9,22,38,64,33,20,0,175,0,0,18,46,35,39,5,0,141,0,0,12,22,25,25,14,9,107,0,0,5,29,36,27,13,0,115,0,0,3,6,10,4,3,0,29,0,0,0,4,13,10,9,5,40,0,4,0,5,3,6,6,0,28,148,76,237,384,481,462,193,50,2037
LGA52800,4,4,0,75,5,8,16,21,13,8,4,0,75,3,7,11,11,7,16,13,0,70,9,12,20,27,19,19,13,0,117,10,20,42,25,18,28,7,0,147,14,35,63,28,32,32,17,0,224,4,27,89,44,50,39,16,0,276,0,37,94,41,40,46,12,0,276,0,18,78,61,53,58,19,0,294,0,17,51,43,44,42,14,0,221,0,13,106,98,111,94,25,0,443,0,5,32,30,30,17,4,0,110,0,3,23,21,27,20,0,0,97,0,8,20,16,14,8,9,0,64,73,211,676,492,474,435,150,13,2529
LGA52870,19,12,9,99,5,4,13,7,12,24,13,0,79,19,6,8,15,21,27,14,4,113,9,15,18,21,41,35,28,8,172,18,15,34,40,37,48,29,0,229,3,12,51,49,37,46,20,9,230,0,16,31,41,45,62,28,0,221,0,9,25,32,42,34,12,3,158,0,0,20,28,32,13,10,0,112,0,4,13,16,31,27,11,0,100,0,0,20,40,35,23,12,3,138,0,0,6,5,11,0,6,0,30,0,0,3,12,10,11,7,3,52,0,0,0,0,6,9,0,0,21,119,97,247,340,399,397,207,46,1851
LGA52940,0,0,3,12,0,0,0,0,0,4,3,0,12,0,0,0,6,3,4,3,0,12,6,0,4,5,5,8,0,0,36,0,0,3,4,4,0,8,0,18,0,9,3,3,9,7,3,0,35,0,4,8,4,6,10,4,0,34,0,0,3,6,0,3,3,0,24,0,0,3,3,5,8,0,0,22,0,0,0,10,10,0,4,0,19,0,4,4,15,7,5,3,3,38,0,0,0,3,4,0,0,0,8,0,0,0,6,3,5,0,0,17,0,0,0,0,0,5,0,0,10,5,19,33,63,64,64,36,12,305
LGA53010,0,0,0,6,0,0,0,0,4,5,0,0,12,0,0,0,3,4,4,3,0,12,0,0,3,0,9,8,6,0,27,0,3,0,8,4,4,5,0,26,0,3,7,8,4,9,6,0,31,0,0,11,5,8,12,4,0,45,0,0,3,4,12,14,6,0,38,0,0,4,9,0,8,3,0,22,0,0,4,13,0,4,0,0,24,0,0,4,5,8,10,0,0,21,0,0,0,0,0,0,0,0,4,0,0,0,4,3,4,0,0,16,0,0,0,7,0,3,0,0,11,6,8,43,68,57,71,38,3,300
LGA53080,0,0,0,7,0,0,0,0,4,0,0,0,7,0,0,0,0,3,4,0,0,9,4,0,5,0,7,11,7,0,26,0,3,11,3,4,7,0,0,34,0,6,14,9,5,9,0,0,40,3,3,7,8,3,9,3,0,48,0,4,3,6,10,9,0,0,33,4,4,12,7,11,6,6,0,45,0,7,20,8,17,11,7,0,72,0,12,39,43,44,23,3,0,160,0,0,24,17,9,11,0,0,70,0,0,14,7,19,8,0,0,46,0,0,0,0,4,3,0,4,13,13,44,151,116,139,113,29,8,618
LGA53150,7,6,0,98,17,25,15,17,10,15,3,3,102,13,29,18,21,19,19,3,0,118,17,33,27,17,23,21,6,6,154,12,40,46,40,31,30,9,0,211,4,29,55,35,40,27,11,0,203,0,18,68,47,40,39,10,0,224,0,18,63,44,39,29,13,0,196,0,14,47,42,48,31,10,4,188,0,0,24,33,39,27,5,0,137,0,4,35,48,58,49,21,0,215,0,0,4,11,24,15,7,0,54,0,0,8,19,48,27,14,0,121,4,4,0,0,8,0,0,0,18,162,253,422,397,443,336,125,20,2159
LGA53220,10,0,0,131,11,5,13,11,14,6,6,0,68,9,13,16,9,11,8,3,0,69,15,28,41,30,25,20,5,0,164,8,31,60,35,28,23,7,0,190,15,58,93,58,51,41,9,3,330,22,98,211,117,139,93,25,4,700,26,156,312,209,185,150,35,0,1072,12,136,415,309,286,217,38,0,1416,11,137,492,431,390,241,39,0,1752,16,302,1711,1601,1487,885,124,0,6128,0,47,644,801,605,391,48,0,2540,0,26,518,854,649,397,39,4,2487,3,14,42,44,47,34,6,0,198,220,1065,4630,4560,3940,2531,398,21,17368
LGA53290,17,15,7,180,38,10,44,32,28,38,25,12,222,22,24,40,43,43,61,17,0,250,61,54,58,66,66,67,27,6,413,45,93,97,89,115,86,26,3,556,12,96,150,116,139,116,35,11,682,12,55,163,166,186,163,54,9,805,8,59,119,141,137,99,34,5,596,0,32,120,125,149,119,23,6,574,0,10,80,95,113,78,25,8,403,7,14,99,199,222,146,26,12,732,0,6,22,35,49,32,5,0,149,3,8,20,34,67,53,23,5,208,11,8,15,12,21,27,0,0,94,417,474,1084,1207,1389,1148,351,75,6141
LGA53360,7,0,0,46,5,5,5,13,0,4,0,0,33,8,9,15,14,12,15,4,0,68,10,16,26,25,27,17,3,0,129,14,29,62,21,25,14,8,0,170,9,32,72,50,38,22,9,0,232,3,19,85,51,45,31,11,3,253,0,10,43,45,50,26,7,3,179,0,8,32,39,38,25,6,0,143,0,0,23,36,30,28,0,0,112,0,0,33,44,52,35,12,0,185,0,0,9,5,10,11,0,0,35,0,0,4,27,20,20,5,0,76,0,3,4,3,7,0,0,0,22,100,139,424,390,355,248,57,4,1727
LGA53430,68,35,3,836,165,256,155,122,88,110,63,8,962,140,282,208,134,150,143,67,11,1143,124,411,399,274,280,237,120,8,1855,77,408,490,415,341,293,146,28,2195,60,374,765,582,438,414,154,15,2808,23,318,993,775,640,582,145,19,3488,4,159,772,695,645,548,122,12,2959,11,75,680,683,617,498,126,11,2697,3,32,429,521,547,388,103,14,2036,0,33,559,1037,1126,758,163,13,3689,0,0,65,172,246,189,29,7,713,0,0,65,244,350,235,81,24,1006,12,37,46,38,45,41,8,0,227,1520,2691,5751,5823,5643,4551,1405,180,27577
LGA53570,14,10,4,80,11,4,12,16,19,17,17,8,100,7,4,14,22,22,16,3,7,102,14,17,34,31,34,32,21,6,187,10,34,69,29,38,39,15,0,237,11,33,113,40,61,44,8,3,317,0,28,80,53,63,52,14,0,284,0,13,51,40,25,43,13,11,204,0,0,31,33,41,39,6,0,155,0,6,16,26,23,23,10,0,105,0,3,30,41,34,48,13,0,172,0,0,8,7,10,8,3,6,46,0,0,4,7,19,12,9,0,51,0,0,11,13,4,9,4,0,40,93,147,495,388,414,420,162,51,2171
LGA53640,3,0,0,23,0,0,0,0,4,3,0,0,9,0,4,9,5,8,6,0,0,34,0,6,4,4,8,9,13,0,41,0,8,8,7,5,8,6,0,41,0,7,10,4,10,10,6,0,43,0,7,21,26,25,10,14,0,111,0,3,20,6,17,17,11,0,78,0,0,15,20,14,8,6,0,69,0,0,4,4,13,7,4,5,38,0,4,17,16,21,8,7,3,69,0,0,6,4,6,8,0,0,18,0,0,4,6,0,6,4,0,17,0,0,6,0,0,8,0,0,11,13,42,136,112,128,118,70,12,627
LGA53710,4,6,0,12,0,0,0,7,0,0,4,4,15,0,0,4,6,4,5,4,0,18,0,0,3,8,7,5,0,3,32,0,3,4,8,7,3,6,0,38,0,7,0,14,7,15,8,0,53,0,4,4,11,9,12,4,0,39,0,0,5,4,8,3,0,0,31,0,0,0,13,4,5,5,0,25,0,0,0,4,8,4,4,0,22,0,0,0,4,3,8,3,0,20,0,0,0,3,3,0,0,0,7,0,0,3,0,0,0,0,0,15,0,0,0,0,0,8,0,0,7,12,19,33,80,66,74,54,8,338
LGA53780,74,42,7,1038,181,204,185,184,152,162,65,13,1143,153,211,227,258,210,193,74,15,1338,185,343,380,427,344,304,130,29,2140,116,420,551,593,507,360,128,23,2694,77,415,840,722,682,478,135,10,3361,36,319,1025,923,800,583,169,7,3871,16,176,735,736,605,510,129,7,2918,7,85,638,678,587,495,115,4,2611,4,40,382,455,411,328,90,4,1709,0,43,403,665,703,509,112,5,2437,0,9,56,131,127,78,22,0,429,0,3,55,153,169,119,45,3,554,9,41,52,51,57,48,11,0,266,1849,2619,5743,6197,5500,4306,1297,145,27649
LGA53800,56,23,4,520,80,57,65,74,73,97,54,8,511,101,75,110,104,116,114,48,11,674,158,180,187,187,215,187,90,13,1210,127,242,297,265,287,261,90,7,1577,74,269,388,335,387,382,98,10,1941,28,214,485,421,497,456,108,8,2216,10,124,386,392,391,342,79,12,1733,0,95,385,337,427,305,59,0,1613,3,27,257,316,326,265,54,3,1257,5,38,359,533,658,423,107,6,2116,0,0,41,89,122,101,9,4,368,0,5,36,106,135,105,29,9,417,5,12,24,23,23,31,14,6,142,1321,1396,3091,3278,3736,3148,891,116,16975
LGA53920,8,3,0,50,3,11,10,9,17,0,4,0,51,3,6,4,3,5,6,4,0,28,3,8,13,14,11,0,4,0,58,3,4,16,8,5,5,0,0,54,3,13,20,13,11,12,0,0,87,9,24,29,18,9,18,0,5,117,0,14,31,29,15,15,3,0,115,0,6,32,24,24,16,5,0,118,0,3,20,13,18,23,0,0,89,0,8,51,46,39,48,12,0,206,0,0,8,14,23,10,4,0,56,0,0,3,10,28,11,0,0,48,0,0,3,10,3,6,6,0,23,37,96,273,234,230,189,55,5,1124
LGA53990,29,15,0,248,49,24,31,53,36,42,16,8,269,37,18,45,54,60,59,21,5,300,51,50,77,114,110,93,39,11,538,35,86,135,159,141,107,38,7,710,39,117,199,169,163,134,37,4,876,13,110,256,216,186,168,38,0,991,3,41,198,154,155,127,29,6,705,0,44,161,162,177,131,31,6,713,5,21,122,158,162,138,19,5,631,0,23,179,332,300,229,39,4,1109,0,5,34,70,66,52,14,3,254,0,3,15,73,81,52,20,3,248,13,7,15,13,6,20,9,3,72,543,570,1526,1789,1719,1405,396,67,8017
LGA54060,12,0,0,38,7,10,5,7,13,9,6,0,55,9,3,3,13,13,15,8,0,71,7,13,14,8,17,23,12,0,96,3,10,9,12,15,27,5,3,89,3,10,9,15,24,24,9,3,97,0,7,21,25,32,32,10,0,132,0,9,9,13,20,28,3,3,75,0,0,15,24,27,17,4,4,81,0,3,8,19,13,15,7,0,68,0,3,8,26,34,20,11,6,106,0,0,3,9,13,9,0,0,30,0,0,0,10,5,8,7,0,39,3,0,0,0,0,0,3,3,18,86,61,106,188,247,247,89,31,1062
LGA54130,3,0,0,19,0,3,4,0,0,6,0,0,16,0,0,0,3,0,4,6,0,15,0,0,3,8,11,7,3,0,38,4,0,9,12,6,13,5,0,50,3,14,5,18,12,14,6,0,66,0,6,17,16,13,19,5,0,75,0,9,16,10,7,16,4,0,59,0,6,8,16,16,13,4,0,63,0,3,9,5,9,8,0,0,35,0,0,11,14,13,17,0,0,55,0,0,0,6,0,7,4,0,24,0,0,0,3,4,0,0,0,14,0,0,3,0,3,4,0,0,13,12,43,88,130,112,130,53,9,566
LGA54170,182,83,12,2688,489,579,289,317,281,295,123,26,2399,356,573,406,397,420,385,160,19,2720,290,763,727,612,732,618,277,38,4058,156,710,936,822,825,749,268,31,4489,92,682,1217,991,1086,853,262,26,5212,35,541,1488,1250,1354,1017,282,11,5981,8,248,1011,1029,1065,830,184,13,4386,5,131,986,963,1020,752,152,10,4019,0,49,655,754,818,572,117,5,2967,0,17,707,1373,1499,1024,173,12,4802,0,10,78,236,270,218,55,6,865,0,5,93,336,448,361,101,17,1363,41,64,86,80,110,95,30,3,512,4889,5197,9035,9567,10269,8091,2308,223,49576
LGA54200,71,27,13,657,82,91,75,86,77,77,46,6,536,78,121,101,111,96,93,58,12,672,81,171,206,173,197,167,93,12,1104,65,220,273,256,269,191,72,9,1356,39,243,401,328,371,323,100,14,1820,20,186,562,507,487,412,103,12,2282,0,105,453,430,376,330,92,6,1802,0,55,364,366,330,306,77,5,1505,0,32,249,308,316,218,54,10,1184,0,23,281,515,517,326,83,10,1757,0,4,56,99,107,80,18,4,362,0,0,44,102,140,109,38,11,456,10,20,24,25,43,36,12,3,168,1070,1407,3184,3464,3442,2798,896,118,16385
LGA54280,31,16,4,276,62,32,62,46,35,29,16,5,297,68,30,75,61,62,66,17,5,382,76,94,145,123,111,95,53,0,695,94,147,195,181,140,113,44,3,913,98,195,259,209,216,178,46,3,1192,60,229,370,294,327,293,72,4,1647,39,202,361,319,283,211,52,3,1478,27,186,478,342,352,281,63,4,1744,7,113,416,363,340,247,53,4,1545,13,170,849,932,758,588,113,0,3421,0,21,228,276,232,151,25,0,934,4,10,163,275,248,159,27,3,885,6,19,51,28,29,42,9,3,178,912,1491,3743,3527,3168,2520,609,52,16013
LGA54310,4,4,0,213,31,18,40,52,29,13,5,0,184,24,16,33,49,29,15,10,0,165,48,29,65,88,61,32,7,0,337,42,69,112,114,97,62,16,0,516,46,96,168,185,135,66,17,0,723,42,142,301,248,178,111,25,0,1052,20,115,299,234,207,128,33,0,1031,12,89,347,314,259,160,21,0,1204,5,53,378,353,270,169,50,0,1288,8,136,848,1027,843,503,59,0,3424,0,31,313,428,344,197,36,0,1349,0,18,362,736,604,359,37,0,2113,8,14,44,28,23,27,0,0,145,613,853,3383,3938,3114,1873,326,11,14098
LGA54340,7,15,0,47,10,5,4,15,7,19,8,0,65,13,3,21,18,6,11,9,0,86,18,11,29,21,25,19,15,6,149,7,32,47,34,42,46,16,3,231,14,37,51,54,61,53,17,4,291,0,36,54,50,39,58,20,0,261,0,16,51,35,25,34,20,6,183,0,9,37,26,31,26,5,0,128,0,4,27,27,18,22,7,0,110,0,4,31,25,34,44,3,0,141,0,0,0,7,9,3,0,0,18,0,0,4,5,12,7,4,0,32,0,0,5,4,5,0,0,0,17,107,165,356,325,342,369,139,25,1820
LGA54410,0,0,0,11,0,0,0,3,0,0,0,3,10,0,0,3,0,9,6,4,0,20,0,0,0,8,3,5,4,0,29,0,0,3,5,4,13,4,0,32,3,3,12,12,21,7,7,0,61,0,4,12,14,13,22,0,0,67,0,3,6,5,15,10,0,0,40,0,4,4,10,4,11,0,0,35,0,0,3,7,4,3,0,0,15,0,0,4,6,7,9,7,0,27,0,0,0,0,7,0,0,0,4,0,0,3,9,6,4,0,0,16,0,3,3,0,0,0,0,0,5,21,20,61,81,85,102,29,10,411
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,9,0,0,0,4,0,0,3,0,9,0,3,6,6,3,4,0,0,18,0,0,7,7,9,0,4,0,20,0,5,5,14,7,10,4,0,50,0,3,6,10,4,10,4,0,29,0,0,9,15,8,5,7,0,40,0,0,10,5,5,5,0,0,17,0,0,4,4,3,5,5,0,23,0,0,0,0,3,4,0,0,9,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,4,0,3,3,16,44,71,59,40,30,5,267
LGA54550,3,0,3,27,0,0,4,5,10,8,0,0,27,3,0,6,14,6,12,3,0,44,4,5,15,7,13,9,11,3,69,3,15,11,5,7,22,11,0,78,0,10,17,25,16,22,12,0,109,0,15,24,30,25,48,13,3,158,0,8,13,6,12,22,5,7,71,0,3,10,24,10,18,9,0,82,0,0,10,15,22,8,0,0,66,0,6,5,21,15,25,12,0,81,0,0,5,9,0,11,4,0,24,0,0,3,15,11,17,7,0,58,0,0,0,5,6,3,0,4,12,31,65,125,188,169,234,112,19,945
LGA54620,4,0,0,15,0,0,0,0,3,4,0,4,12,0,0,0,0,3,0,8,4,19,0,0,10,4,9,4,5,0,40,5,3,6,10,15,5,10,6,55,0,3,8,10,10,5,7,0,47,0,8,9,10,23,9,0,0,62,0,5,12,9,13,16,4,0,59,0,8,8,15,15,20,8,0,74,0,6,23,12,14,17,0,3,81,0,4,43,43,27,23,0,0,151,0,0,10,10,9,9,0,0,35,0,0,7,12,16,8,0,0,48,0,0,0,0,4,3,5,0,13,16,47,133,150,166,137,55,21,727
LGA54690,5,0,0,3,0,0,0,0,0,0,3,0,9,0,0,0,4,0,0,5,0,12,0,0,0,8,3,6,0,0,10,0,0,0,3,3,3,0,0,14,0,0,0,0,5,4,3,0,17,0,0,0,0,3,11,0,0,21,4,0,0,4,5,3,4,0,24,0,0,5,3,8,4,0,0,14,0,0,4,7,0,5,0,0,17,0,0,3,4,7,6,0,4,27,0,0,0,0,5,0,0,0,6,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,12,12,22,29,42,44,27,4,190
LGA54760,0,3,0,13,0,0,0,0,6,5,0,0,6,0,0,3,0,0,0,0,0,21,3,0,6,3,5,3,5,3,17,0,5,4,8,7,7,4,0,27,0,0,10,0,12,11,4,7,40,0,0,6,13,10,13,5,0,54,0,3,6,8,9,3,0,0,39,0,0,4,10,9,9,8,0,37,0,0,6,14,9,9,0,0,34,0,0,0,15,7,12,0,0,42,0,0,0,6,0,3,4,0,16,0,0,0,4,4,3,0,0,12,0,0,0,0,4,6,0,0,8,12,14,59,88,82,89,40,15,394
LGA54830,24,4,0,394,65,75,75,81,52,37,27,6,416,70,69,90,97,77,53,17,0,481,99,126,149,147,162,94,42,7,831,67,146,243,233,192,129,37,0,1049,48,203,350,307,278,193,53,0,1441,29,175,456,416,403,325,81,7,1895,10,130,455,442,405,298,63,8,1810,0,88,443,485,439,348,74,4,1881,0,41,366,400,435,309,43,5,1601,3,52,658,920,903,681,98,0,3317,0,4,144,235,272,169,27,0,849,0,5,86,277,339,232,37,3,971,15,14,38,20,37,28,8,0,163,852,1215,3637,4160,4065,2940,625,43,17533
LGA54900,0,0,0,16,0,6,6,8,7,8,0,5,35,0,0,3,0,3,13,9,4,28,3,8,8,5,13,9,7,0,57,0,6,11,15,14,12,3,0,61,4,10,15,16,20,14,10,3,87,3,9,14,32,18,23,7,0,110,0,5,14,12,18,11,15,5,81,0,0,23,16,19,23,0,0,84,0,0,8,15,11,18,0,0,52,0,3,10,20,23,12,11,0,87,0,0,0,3,4,5,5,0,20,0,0,0,4,3,7,4,4,27,4,0,6,0,3,7,4,5,23,29,49,131,155,167,162,80,27,796
LGA54970,3,0,0,10,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,3,7,0,3,6,5,0,4,0,25,0,3,3,4,6,3,0,0,26,0,13,10,13,8,13,0,0,60,0,15,18,24,17,13,6,0,104,5,32,46,31,44,30,6,0,191,4,32,79,47,57,53,5,0,275,0,40,93,84,67,60,5,0,353,3,91,373,315,339,217,38,0,1377,0,11,85,121,92,67,6,0,381,4,0,64,99,107,59,5,0,344,4,8,11,12,13,8,0,0,49,34,248,788,766,754,531,80,4,3209
LGA55040,3,0,0,19,0,0,3,3,3,4,0,0,14,0,5,8,5,8,0,0,0,20,0,0,12,5,7,0,0,0,30,0,6,18,10,13,0,0,0,48,0,7,14,7,7,11,4,0,49,3,22,31,19,32,33,7,0,137,7,19,52,31,39,30,13,0,185,3,34,75,56,46,39,4,0,257,5,47,108,96,76,51,15,0,393,0,56,380,310,217,164,19,0,1158,0,11,101,118,98,56,0,0,390,0,6,61,115,108,59,3,0,355,0,0,6,5,8,12,0,0,36,36,218,873,793,670,466,70,6,3130
LGA55110,121,42,9,1283,255,201,218,174,180,172,81,9,1293,219,255,238,246,232,263,104,15,1566,196,361,402,424,441,435,140,26,2416,103,410,529,522,532,474,163,19,2749,45,399,624,616,669,481,134,3,2975,25,224,677,713,786,646,117,13,3219,7,142,468,423,522,395,76,6,2042,3,80,357,413,426,361,63,5,1715,0,6,234,278,396,217,32,5,1166,0,16,229,472,538,385,70,8,1711,0,0,41,79,84,71,17,0,295,0,0,44,125,149,119,45,4,497,26,27,36,43,48,41,10,8,247,2401,2406,4352,4757,5178,4250,1122,136,24614
LGA55180,41,24,4,173,15,12,24,25,31,45,31,9,174,27,13,29,30,34,54,22,10,220,56,29,45,65,74,94,55,10,426,35,41,76,70,84,91,45,6,453,23,66,120,120,127,132,38,10,635,9,60,108,92,150,141,45,4,612,0,20,79,73,96,102,19,3,395,0,11,51,68,94,91,28,7,349,0,3,33,37,58,57,12,5,201,0,3,20,64,95,76,24,3,281,0,0,0,13,11,5,3,3,34,0,0,3,13,12,15,10,3,54,4,5,5,3,7,7,14,0,50,298,271,631,700,912,980,381,71,4260
LGA55250,0,0,0,10,0,0,0,0,0,6,0,0,8,0,0,0,0,3,0,0,0,11,0,0,0,7,0,7,5,0,25,0,5,9,3,0,4,6,0,23,0,3,13,5,16,7,4,0,48,4,13,27,14,13,22,8,3,99,7,4,35,21,14,16,4,0,107,4,17,44,40,37,23,6,0,174,5,10,55,40,33,32,7,0,184,0,36,141,102,110,75,19,0,486,0,4,43,44,35,21,3,0,158,0,0,24,56,55,33,3,0,175,0,0,8,8,3,3,0,0,29,20,101,412,356,331,253,71,7,1547
LGA55320,153,73,15,1815,286,463,244,205,186,196,106,12,1700,203,433,305,292,267,273,119,29,1927,189,558,542,473,475,438,208,42,2920,101,521,779,652,595,557,215,25,3439,63,586,1073,945,823,722,231,31,4465,31,511,1488,1267,1120,958,268,29,5673,8,343,1252,1092,948,706,223,21,4598,3,141,1233,1058,968,698,186,10,4303,4,52,801,780,730,485,113,4,2975,3,40,1086,1496,1453,938,203,18,5245,0,8,212,342,329,226,49,7,1175,0,11,181,721,831,521,120,30,2417,20,61,65,69,54,58,15,3,346,2925,4386,9535,9665,9023,7027,2167,274,44999
LGA55390,4,0,0,7,0,0,0,0,0,0,3,0,11,0,0,0,3,4,0,0,0,6,0,0,8,3,0,0,0,0,11,0,0,0,0,3,0,0,0,11,0,0,3,4,5,0,0,0,15,0,3,7,4,10,10,0,0,39,0,13,14,12,11,12,3,0,67,0,12,28,21,11,14,3,0,89,0,25,42,22,23,13,5,0,131,0,23,123,98,93,60,12,0,407,0,4,43,46,38,25,0,0,154,0,0,24,49,44,9,0,0,124,0,0,0,0,0,3,0,0,11,16,81,290,266,241,162,29,3,1075
LGA55460,18,3,0,32,12,7,0,9,4,7,3,3,39,12,3,9,6,8,10,6,6,52,12,10,14,19,15,20,11,0,109,8,26,26,16,15,27,13,0,127,3,16,31,25,45,31,8,0,171,0,20,38,33,35,43,14,3,199,0,20,30,33,30,17,11,0,146,0,10,41,18,29,21,6,0,128,0,4,28,30,26,24,3,0,112,0,7,40,29,40,45,13,0,171,0,0,10,10,4,6,0,0,27,0,0,3,8,19,8,4,0,41,4,0,7,3,4,0,0,0,19,97,121,280,252,291,286,95,17,1439
