POW_LGA_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
LGA59170,6,5,3,0,0,7,4,11,0,31,0,4,0,0,0,3,0,8,0,25,4,12,0,0,0,0,0,3,0,23,32,59,52,36,35,81,48,164,10,508
LGA59250,9,3,0,0,0,0,5,11,3,35,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,3,165,36,39,16,74,50,92,891,36,1403
LGA59310,4,7,0,7,5,3,0,8,0,47,0,4,0,0,0,6,0,3,0,21,0,3,3,5,0,0,0,4,4,13,31,87,59,46,54,138,47,174,10,638
LGA59320,0,0,0,0,4,0,0,0,0,6,0,4,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,5,0,9,12,27,29,18,28,34,12,58,5,223
LGA59330,0,3,0,4,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,7,11,25,20,19,25,36,13,57,0,213
LGA59340,4,16,10,10,27,26,10,30,6,129,0,8,3,4,4,13,0,7,0,48,0,6,4,0,0,6,0,3,0,24,185,278,211,228,693,707,257,889,81,3522
LGA59350,4,0,0,0,0,5,3,16,0,29,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,72,23,22,3,34,24,54,409,18,654
LGA59360,4,5,3,3,0,6,0,20,0,42,0,5,0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,6,0,7,98,63,81,29,73,94,94,713,28,1273
LGA59370,4,19,6,10,5,12,0,14,4,69,0,10,6,3,6,0,0,8,4,43,4,9,4,0,0,3,0,0,4,26,52,191,132,92,127,154,64,227,23,1064
LGA59499,247,791,399,210,150,246,75,288,31,2433,119,409,178,66,37,66,22,81,27,1015,76,232,65,23,12,32,4,27,36,516,4409,11147,7411,4605,6534,10124,3133,11844,1359,60566
LGA59799,9,0,0,0,0,0,0,10,0,25,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,235,39,21,17,40,63,31,905,27,1386
