POW_LGA_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
LGA58260,5,120,0,129,3,16,0,17,0,3,0,3,9,143,0,151,7,57,0,63,0,40,0,41,0,11,0,9,7,111,0,114,8,180,0,189,4,59,0,63,0,13,0,18,12,252,5,271
LGA58330,6,287,0,294,4,117,0,119,0,23,0,25,14,429,0,444,0,153,0,154,0,239,0,237,0,30,0,30,5,423,0,426,7,438,0,453,6,358,0,358,3,56,0,60,16,852,0,871
LGA58400,3,46,3,50,0,13,0,13,0,0,0,4,3,54,3,65,0,27,0,27,0,22,0,21,0,14,0,14,0,58,0,60,3,70,3,71,0,35,0,33,0,14,0,13,3,119,3,128
LGA58470,3,21,0,27,0,4,0,3,0,0,0,0,6,26,0,33,4,25,0,25,0,9,0,10,0,0,0,0,3,31,0,35,7,48,0,52,4,7,0,13,0,4,0,4,5,57,0,67
LGA58510,117,10134,23,10272,55,4116,7,4172,6,673,0,686,177,14926,30,15131,124,7076,11,7212,87,7235,14,7331,13,859,7,877,225,15166,32,15427,243,17210,32,17487,138,11343,23,11503,25,1533,10,1567,400,30090,61,30553
LGA58540,7,197,3,202,0,45,0,48,0,14,0,22,6,259,5,272,0,72,0,72,4,72,0,75,0,11,0,11,4,159,0,160,7,267,3,275,0,122,0,126,0,30,0,31,10,415,5,428
LGA58570,97,8107,17,8216,25,2665,8,2697,13,462,3,477,135,11235,22,11392,93,6227,8,6327,56,5871,13,5943,3,654,3,662,160,12753,23,12936,186,14337,25,14547,85,8540,16,8642,20,1114,7,1139,290,23991,44,24327
LGA58610,0,230,3,233,0,54,0,51,0,29,0,27,4,311,5,315,0,110,0,114,5,157,0,168,0,34,0,31,3,299,3,308,4,340,3,343,5,213,4,219,0,62,3,64,9,609,5,626
LGA58680,0,78,0,78,0,21,0,21,0,13,0,13,0,106,0,106,0,32,0,32,0,26,0,29,0,0,0,0,0,64,0,62,0,110,0,110,0,49,0,49,0,12,0,12,0,173,0,171
LGA58760,149,19613,43,19806,90,6459,24,6570,25,1214,5,1241,260,27283,73,27615,88,9605,18,9711,114,13463,22,13599,20,1283,7,1314,222,24355,51,24625,240,29218,62,29520,205,19924,42,20173,41,2500,16,2553,483,51637,123,52245
LGA58820,25,1232,3,1257,6,177,0,187,5,127,0,133,30,1540,5,1578,11,335,0,346,13,346,0,360,0,53,0,53,21,733,0,750,31,1570,7,1604,18,525,0,540,4,184,0,186,55,2270,7,2327
LGA58890,4,151,0,161,4,39,0,40,0,12,0,11,9,201,0,207,4,59,0,63,4,65,0,68,0,4,0,4,4,132,0,139,7,215,0,220,4,102,0,108,0,13,0,18,11,327,0,345
LGA59030,0,176,0,172,0,15,0,19,0,17,0,19,3,203,0,208,0,27,0,27,0,14,0,13,0,3,0,3,0,44,0,47,0,199,0,199,4,32,0,36,0,16,0,20,4,246,0,255
LGA59100,0,129,0,135,0,18,0,18,0,7,0,9,0,161,0,158,0,49,0,49,0,50,0,53,0,7,0,7,0,107,0,112,0,177,0,181,0,68,0,72,0,17,0,17,0,266,0,269
LGA59170,3,228,3,237,0,45,0,44,0,27,0,25,4,294,4,304,0,90,0,89,3,93,0,96,0,19,0,19,0,200,4,208,4,313,5,325,4,136,3,142,0,38,0,41,11,491,6,508
LGA59250,24,874,3,897,0,64,0,64,5,154,0,157,29,1089,3,1116,13,197,0,209,6,24,0,34,3,39,0,42,27,266,0,292,35,1066,3,1111,6,87,0,97,8,196,0,200,50,1350,3,1403
LGA59310,14,276,0,290,4,38,0,42,0,20,0,20,11,328,3,347,0,121,0,121,5,133,3,145,0,26,0,23,5,281,3,287,14,394,0,411,12,176,0,189,0,38,0,42,19,612,6,638
LGA59320,4,89,7,98,0,39,0,48,0,6,0,6,8,145,7,155,0,30,0,32,0,34,0,34,0,9,0,9,4,71,0,74,8,121,3,133,0,76,0,77,0,13,0,13,9,209,3,223
LGA59330,0,84,0,91,0,20,0,20,0,3,0,3,0,113,0,112,0,42,0,44,4,50,0,51,0,6,0,6,3,99,0,100,3,131,0,131,4,63,0,69,0,11,0,11,3,207,0,213
LGA59340,183,1201,14,1396,48,193,3,249,39,109,0,144,270,1499,22,1789,161,986,4,1145,97,366,0,465,20,97,0,120,273,1455,6,1733,341,2187,16,2544,143,560,6,717,56,205,4,262,543,2950,27,3522
LGA59350,13,432,0,451,0,27,0,31,3,72,0,78,23,535,0,559,10,70,0,72,9,11,0,15,0,10,0,10,10,86,0,99,23,499,0,522,8,36,0,47,3,83,0,87,37,616,0,654
LGA59360,12,762,0,780,0,91,0,94,3,89,0,93,17,945,6,964,4,191,0,197,0,73,0,74,0,32,0,39,6,304,0,309,17,952,3,974,0,171,0,172,7,121,0,124,24,1240,3,1273
LGA59370,6,353,0,364,3,126,0,131,0,34,0,31,13,512,4,526,8,198,0,203,8,270,4,287,0,46,0,46,16,512,3,537,12,548,4,569,12,399,4,415,0,81,0,78,28,1026,5,1064
LGA59499,516,26087,96,26692,189,11770,51,12017,135,3732,26,3895,846,41586,173,42601,121,4791,24,4938,160,10948,43,11151,60,1803,10,1876,345,17543,79,17965,636,30879,118,31634,355,22724,94,23168,201,5531,41,5769,1189,59132,244,60566
LGA59799,16,936,3,956,0,48,0,54,5,226,0,230,21,1220,7,1240,0,92,0,91,4,21,0,21,3,28,0,31,4,137,0,144,14,1023,3,1046,4,73,0,77,3,255,0,262,22,1355,7,1386
