POW_LGA_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA51860,0,28,13,0,0,0,0,13,12,5,3,0,0,15,13,0,0,0,0,17,28,0,0,0,0,26,9,4,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,138,6,7,0,0,153,5,0,0,0,0,5,8,0,0,0,0,8,7,0,0,0,0,7,3,0,0,0,0,3,6,0,0,0,0,14,4,0,0,0,0,5,6,0,0,0,0,6,3,0,0,0,0,3,8,0,0,0,0,8,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,4,6,0,75,4,0,0,0,0,5,0,0,0,0,0,0,206,12,5,7,4,230
LGA51890,0,374,396,10,8,0,0,416,406,7,13,5,0,426,449,9,5,5,0,466,342,7,16,5,4,366,177,14,8,0,0,198,59,5,9,0,0,74,7,0,0,0,0,8,0,4,3,4,0,16,3000,61,83,19,11,3171,131,0,0,0,0,130,80,0,0,0,0,79,84,0,4,0,0,88,111,0,6,0,0,116,129,0,7,0,0,137,108,0,5,3,3,116,107,0,3,0,0,112,103,5,3,0,4,110,105,0,14,3,0,123,80,7,8,0,0,101,44,4,4,5,0,58,14,0,0,4,0,19,3,0,4,0,0,8,1091,22,65,18,5,1204,274,13,0,0,4,289,92,0,5,8,7,115,4459,91,151,46,30,4774
LGA51960,0,223,201,6,4,0,0,207,196,0,4,0,0,197,207,3,4,0,0,213,136,4,5,0,0,148,142,3,0,0,3,145,40,0,3,0,0,44,5,0,0,0,0,5,0,0,0,0,0,5,1773,34,19,3,3,1836,32,0,0,0,0,32,15,0,0,0,0,15,23,0,0,0,0,19,35,0,0,0,0,31,32,0,3,0,0,34,29,0,0,0,0,28,26,0,0,0,0,23,50,0,0,0,0,49,31,0,0,0,0,33,19,0,0,0,0,21,13,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,296,6,15,5,0,319,164,0,0,0,0,165,61,0,0,0,0,69,2290,43,32,9,7,2385
LGA52030,0,13,9,4,5,0,0,13,12,3,10,0,0,26,4,6,7,4,0,19,13,8,3,4,0,31,12,8,7,3,0,33,0,0,7,0,0,15,0,3,0,6,0,9,0,4,0,0,0,6,101,40,49,28,0,217,6,0,0,0,0,5,12,0,0,0,0,12,3,0,3,0,0,4,0,0,0,4,0,10,9,4,0,3,0,13,10,0,0,0,0,10,0,0,0,0,0,4,16,0,0,0,0,18,4,0,7,0,0,13,6,0,10,0,0,16,8,0,0,4,0,14,0,0,4,4,0,7,3,0,0,3,0,7,73,9,24,21,0,125,11,0,0,0,0,16,0,0,0,0,0,0,182,45,77,48,3,361
LGA52100,0,35,10,3,6,0,0,30,10,8,7,4,0,19,18,5,8,5,0,41,19,4,3,4,0,28,21,7,11,7,0,35,7,7,8,7,0,29,0,3,6,0,0,11,0,0,0,5,0,0,215,53,65,30,6,360,4,0,0,0,0,4,10,0,0,0,0,10,4,0,0,0,0,4,9,0,0,0,0,10,11,0,4,0,0,20,10,0,3,3,0,17,12,0,3,0,0,16,9,3,0,0,0,13,8,0,0,0,0,4,7,5,0,0,0,8,3,0,0,0,0,10,0,0,5,0,0,8,0,0,0,3,0,3,87,9,16,13,0,131,22,0,0,0,0,25,4,0,3,0,0,7,325,62,80,52,6,526
LGA52170,0,178,101,25,19,0,0,142,100,35,11,3,0,143,99,46,19,5,0,167,72,44,22,0,3,137,43,24,14,0,0,82,14,8,4,0,0,36,4,5,4,0,0,11,3,3,4,0,0,9,984,222,125,21,4,1357,205,0,0,0,0,209,274,0,7,0,0,281,99,5,6,0,0,109,100,6,15,0,0,115,70,8,10,4,0,91,73,16,15,4,0,106,74,6,20,3,0,107,73,33,14,4,0,126,70,19,21,10,0,124,40,19,26,7,0,89,38,25,20,7,0,91,11,19,13,6,0,52,12,10,10,8,0,34,1138,155,177,57,8,1537,68,4,5,3,5,89,28,4,0,3,3,42,2226,388,314,83,21,3021
LGA52240,0,28,19,10,11,3,0,41,21,7,12,7,0,41,23,8,7,9,0,41,24,6,10,0,5,38,20,6,12,3,0,43,0,3,10,8,0,17,0,0,0,8,0,11,0,0,3,0,0,9,189,39,84,38,3,361,9,0,0,4,0,10,7,0,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,6,9,0,7,0,0,11,7,0,0,7,0,17,10,0,0,0,0,14,16,0,3,0,0,19,8,0,0,0,0,14,11,0,3,6,0,18,3,0,0,4,0,14,0,0,4,5,0,9,0,0,5,0,0,3,79,9,27,28,0,145,13,0,6,3,0,24,13,0,5,0,4,17,299,49,121,73,9,548
LGA52310,0,20,6,5,0,0,0,9,9,3,5,0,4,27,3,11,8,0,0,25,9,7,3,0,0,18,10,3,4,0,0,18,6,0,4,0,0,8,0,0,5,0,0,4,0,6,0,0,0,6,94,37,28,5,5,169,7,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,5,3,0,0,0,0,5,0,0,0,0,0,4,5,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,3,0,0,3,29,12,10,12,0,60,0,0,3,0,0,6,0,0,0,0,0,7,127,45,40,21,3,237
LGA52380,0,32,30,0,0,0,0,32,45,0,0,0,0,45,37,0,0,0,0,37,28,0,0,0,0,27,26,4,0,0,0,28,6,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,331,5,0,0,3,341,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,8,0,0,0,0,8,3,0,0,0,0,3,5,0,0,0,0,5,4,0,0,0,0,3,3,0,0,0,0,3,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,45,43,0,0,0,0,42,14,0,0,0,0,13,423,5,0,9,7,444
LGA52450,3,30,17,10,0,0,0,29,29,3,7,3,0,42,26,8,0,0,0,36,13,8,4,4,0,25,19,7,0,0,0,31,10,0,0,0,0,12,0,0,4,0,0,9,0,0,0,3,0,7,263,61,24,19,5,372,8,0,0,0,0,13,3,0,0,0,0,3,8,0,0,0,0,8,13,0,0,0,0,13,15,0,0,0,0,17,17,0,3,0,0,18,11,3,0,0,0,15,11,0,0,3,0,19,11,0,3,0,0,12,15,0,3,7,0,28,6,4,6,0,0,10,0,0,0,0,0,5,0,3,0,0,0,3,115,8,18,17,0,161,15,6,6,0,0,25,0,0,0,0,3,3,397,78,45,35,13,564
LGA52520,0,46,37,15,0,0,0,61,27,7,4,0,0,39,37,3,4,0,0,44,39,9,14,6,0,68,20,5,5,9,0,35,10,10,5,4,0,24,3,3,0,0,0,9,0,3,0,3,0,4,333,80,57,31,0,501,5,0,0,0,0,5,6,0,0,0,0,13,12,0,0,0,0,11,23,0,3,0,0,25,20,0,0,0,0,29,18,0,0,0,0,19,14,0,0,0,0,17,4,3,0,0,0,19,12,0,0,0,0,15,8,4,7,3,0,21,6,0,0,7,0,13,0,0,6,0,0,4,4,3,0,3,0,10,135,18,23,17,0,193,10,0,4,0,0,18,10,0,0,4,0,13,489,97,84,54,4,726
LGA52590,0,102,81,8,9,6,0,96,84,16,14,0,0,113,85,13,5,4,0,113,84,20,18,9,0,128,66,7,22,3,0,105,12,6,15,5,0,40,3,6,0,6,0,18,0,0,4,3,0,8,789,92,110,39,0,1030,36,0,0,0,0,38,26,0,0,0,0,26,26,0,6,0,0,37,27,0,0,0,0,32,40,0,5,4,0,49,31,0,3,0,0,36,35,3,9,0,0,52,26,3,5,0,0,35,49,3,11,3,0,69,44,4,8,3,0,60,19,5,8,7,0,36,10,3,6,5,0,28,9,4,3,14,0,26,372,33,67,41,6,522,69,7,10,5,3,101,19,3,0,3,3,37,1251,140,191,92,14,1686
LGA52660,0,183,163,15,18,3,0,205,185,18,19,0,5,227,157,23,24,5,0,211,170,26,19,0,0,210,121,9,18,4,3,147,32,6,3,3,5,44,11,0,3,0,0,19,0,0,5,3,0,12,1529,135,152,22,15,1849,321,0,4,0,0,324,106,0,0,0,0,110,85,0,3,0,0,93,123,0,10,3,0,134,146,5,21,6,0,180,118,7,23,4,0,152,106,0,13,0,3,127,109,5,17,0,0,136,100,0,16,8,0,116,92,10,10,5,0,121,40,0,19,7,3,71,15,4,11,12,4,49,8,0,8,9,4,25,1368,37,160,52,15,1627,138,9,13,5,3,167,40,3,5,4,3,53,3070,178,329,78,38,3698
LGA52730,0,95,60,21,18,10,0,107,76,9,26,7,0,115,75,19,37,0,0,134,55,15,34,4,0,117,48,5,20,8,0,88,10,5,20,3,0,38,7,8,12,11,0,27,0,0,6,3,0,13,549,102,203,50,11,911,113,0,0,0,0,112,26,0,0,0,3,25,20,0,7,0,0,27,43,3,6,4,0,60,46,4,18,4,3,73,57,9,14,5,0,86,56,7,30,0,0,94,86,5,10,7,4,115,86,9,20,13,0,122,79,8,21,8,0,109,30,9,18,13,0,64,16,10,13,3,3,43,0,0,15,9,0,28,650,57,187,66,11,971,74,3,22,11,0,111,26,0,5,7,7,51,1297,159,411,137,29,2037
LGA52800,0,194,156,0,3,0,5,167,172,3,5,3,3,182,173,8,0,0,0,183,166,9,5,4,0,187,124,5,6,0,0,137,55,7,8,0,0,69,16,0,0,0,0,21,0,0,4,0,0,4,1722,43,47,7,13,1836,33,0,0,0,0,33,46,0,0,0,0,43,44,0,0,0,0,43,68,0,0,0,0,69,43,0,0,0,0,49,39,0,0,0,0,39,23,0,0,0,0,24,39,0,3,0,0,43,22,0,3,0,0,31,26,0,4,5,0,37,31,3,0,0,0,40,5,0,0,0,0,9,4,0,0,0,0,6,425,23,17,13,4,477,136,0,3,0,0,143,68,7,0,0,6,79,2347,70,65,19,21,2529
LGA52870,0,101,72,7,12,4,0,99,70,20,11,7,3,112,60,25,25,5,0,111,57,14,25,15,4,113,70,18,13,6,0,103,18,3,20,14,0,60,3,5,7,5,0,18,0,0,6,8,0,19,631,114,149,68,15,978,81,0,0,0,0,86,34,0,3,4,0,38,32,0,0,0,0,34,38,5,3,0,0,42,53,4,8,5,0,71,42,4,7,3,0,50,53,4,6,0,0,72,54,6,11,8,0,78,47,0,12,3,0,67,59,3,14,7,0,88,24,3,21,12,0,62,18,6,9,10,0,48,8,0,3,14,0,25,534,44,101,69,7,757,60,0,10,8,0,79,19,5,3,5,4,39,1247,161,267,153,27,1851
LGA52940,0,17,16,4,3,0,0,26,14,8,3,4,0,19,15,8,0,0,0,24,8,4,3,3,3,22,4,4,7,0,0,22,0,6,5,0,0,8,0,0,3,0,0,0,0,0,8,0,0,3,96,41,36,13,0,192,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,6,9,0,0,0,0,14,8,0,0,0,0,8,5,0,0,0,0,12,6,0,0,0,0,6,5,0,0,0,0,9,4,0,0,0,0,11,3,0,3,0,0,13,0,0,4,0,0,7,0,0,0,3,0,4,54,7,15,14,0,96,4,0,4,0,0,3,4,4,0,3,0,13,157,57,62,23,5,305
LGA53010,0,26,0,6,6,0,0,21,8,3,9,5,0,25,8,3,3,0,0,17,7,6,5,0,0,22,5,8,7,7,0,31,3,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0,0,78,35,51,27,0,196,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,5,4,0,0,0,0,11,6,4,0,0,0,10,3,0,0,4,0,8,3,0,4,0,0,5,6,0,3,0,0,11,3,0,0,0,0,6,5,0,0,0,0,7,5,0,0,0,0,7,0,0,0,4,0,4,0,0,0,0,0,3,43,14,9,11,0,77,13,5,5,0,0,18,4,0,0,4,0,7,131,48,67,45,5,300
LGA53080,0,49,53,0,0,0,0,51,46,0,0,0,0,46,54,0,6,0,0,55,40,4,0,0,0,39,30,0,3,0,5,38,13,4,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,435,9,7,6,5,456,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,9,0,0,0,0,9,3,0,0,0,0,3,3,0,0,0,0,3,14,0,0,0,0,12,12,0,0,0,0,15,13,0,0,0,0,13,3,0,0,0,0,7,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,83,0,4,0,0,89,41,0,0,0,0,49,22,0,0,0,0,26,585,14,11,5,5,618
LGA53150,0,106,72,26,8,0,0,106,85,28,21,0,0,137,82,25,19,0,0,131,58,32,8,6,4,101,34,20,6,0,0,58,12,15,4,0,0,31,4,3,6,0,0,7,0,0,0,0,0,0,750,163,102,7,4,1033,132,0,0,5,0,134,149,0,3,0,0,156,75,5,5,0,0,86,62,10,6,0,0,82,58,6,12,4,0,81,55,8,18,0,0,89,43,7,26,0,0,72,50,14,17,4,0,83,55,3,13,3,0,72,47,12,23,0,0,77,20,10,15,3,0,51,11,6,8,0,0,20,5,3,3,4,0,16,753,96,146,27,3,1024,56,7,10,0,0,70,19,4,4,3,0,30,1578,270,261,41,9,2159
LGA53220,4,1940,1642,21,6,0,0,1675,1571,16,14,0,3,1612,1447,19,6,4,3,1480,1186,17,7,3,3,1213,714,10,5,0,9,738,235,0,0,0,0,240,35,5,0,0,0,41,13,3,0,0,0,11,13295,134,74,20,32,13557,88,0,0,0,0,91,104,0,0,0,0,105,143,0,5,0,0,151,212,0,9,0,4,220,170,0,6,0,0,173,174,0,5,0,0,182,128,0,3,0,0,134,141,0,6,0,0,149,84,0,0,0,0,91,68,0,0,0,0,73,24,4,0,0,0,26,4,0,4,0,0,15,4,0,0,0,0,4,1332,19,39,11,7,1416,1971,10,11,0,10,2001,361,0,10,0,29,401,16965,168,129,33,74,17368
LGA53290,0,383,288,41,43,9,3,383,317,55,66,18,3,462,307,74,70,19,9,480,273,50,69,10,0,407,187,37,34,14,10,288,68,18,18,12,3,121,11,10,11,4,0,39,4,3,10,13,0,35,2800,373,400,130,42,3753,214,0,0,0,0,216,110,0,5,0,0,117,94,3,9,3,5,116,152,10,15,7,0,189,160,11,20,8,0,200,129,10,21,9,0,169,137,5,24,8,0,177,137,12,18,10,0,181,133,11,26,7,3,187,107,3,28,16,3,157,67,14,14,10,0,107,16,7,16,13,0,49,5,4,7,13,4,32,1472,94,201,103,28,1904,265,30,42,9,13,354,86,17,8,8,13,134,4620,518,650,251,100,6141
LGA53360,6,124,99,21,13,0,0,137,94,12,10,0,3,125,76,17,13,0,0,106,76,10,6,0,0,90,45,8,6,3,0,65,15,3,0,0,0,26,5,0,0,0,0,5,0,0,3,0,0,5,861,114,78,8,9,1064,64,0,0,0,0,65,47,0,0,0,0,47,54,0,4,0,0,61,57,0,3,0,0,56,51,3,7,5,0,68,25,9,4,0,0,42,34,3,3,0,0,44,33,8,3,0,0,44,24,8,5,0,0,36,23,8,7,6,0,40,6,8,4,0,0,14,5,0,0,0,0,3,0,0,0,0,0,4,426,40,39,15,7,527,79,5,10,0,5,93,28,5,0,0,6,48,1395,164,127,24,23,1727
LGA53430,3,1868,1447,191,95,5,6,1742,1494,213,134,9,0,1850,1513,233,134,12,5,1903,1292,212,136,17,8,1661,875,129,89,14,6,1109,284,72,42,8,3,405,65,25,17,5,0,114,14,18,4,4,0,43,13074,1400,899,90,48,15508,1189,5,15,4,5,1212,1498,8,42,5,0,1548,851,12,40,5,5,919,753,28,87,12,0,883,836,35,93,15,4,987,756,65,87,10,0,916,683,65,94,15,3,867,610,65,88,15,0,782,563,51,102,15,5,727,567,57,109,22,3,769,349,52,110,15,0,525,153,43,57,20,8,279,45,23,37,22,0,124,8850,510,967,173,39,10535,1053,33,63,4,9,1163,297,17,24,7,21,365,23275,1956,1947,280,123,27577
LGA53570,3,121,106,8,7,4,0,133,95,25,13,10,0,137,99,26,22,8,4,148,96,17,23,8,0,134,57,13,14,17,0,105,16,7,12,10,7,50,9,4,11,8,0,23,5,3,6,5,0,12,972,130,124,66,18,1307,49,0,0,3,0,55,43,0,0,0,0,46,71,0,0,0,0,80,50,0,12,6,0,64,39,3,9,7,0,56,42,0,8,6,0,52,28,3,9,0,6,43,44,6,9,0,0,60,48,10,9,5,0,72,42,8,8,9,0,72,17,3,15,11,0,45,3,0,9,12,0,25,5,11,9,6,0,25,488,40,98,67,10,711,69,3,8,6,0,100,31,4,4,12,8,56,1558,179,244,150,39,2171
LGA53640,6,36,25,5,5,7,0,37,20,5,11,3,0,43,25,11,12,3,0,51,30,6,12,10,0,48,14,5,9,3,0,29,12,3,10,0,0,32,3,6,0,3,0,14,0,0,4,0,0,0,257,65,70,30,10,428,5,0,0,0,0,5,3,0,0,0,0,6,11,0,4,0,0,11,17,0,0,5,0,28,14,0,4,0,0,13,14,0,0,0,0,18,9,0,0,0,0,18,9,0,0,0,0,14,11,3,4,0,0,18,11,0,0,0,0,19,11,6,3,0,0,16,3,0,0,0,0,3,4,0,0,4,0,8,111,14,22,13,3,162,20,3,0,0,0,25,0,3,0,0,0,7,390,86,95,42,18,627
LGA53710,0,25,8,5,0,0,3,20,7,5,4,0,0,23,8,6,6,3,4,22,11,4,0,0,0,19,18,4,4,4,0,31,8,0,0,4,0,16,6,0,0,0,0,8,0,0,0,3,0,3,104,24,39,15,10,194,5,0,0,0,0,5,5,0,0,0,0,7,0,0,0,0,0,3,3,0,0,0,0,3,12,0,4,0,0,20,9,4,3,4,0,19,9,4,6,0,0,13,9,0,0,0,0,12,8,0,9,0,0,16,4,0,0,0,0,9,3,0,0,0,3,12,0,5,5,0,0,6,5,0,0,5,0,5,75,15,20,20,3,130,5,0,0,0,4,13,0,0,0,0,0,6,191,43,58,36,13,338
LGA53780,7,1964,1430,201,152,7,11,1799,1450,186,140,11,3,1789,1410,169,158,18,6,1768,1263,144,135,18,4,1559,819,116,95,10,4,1034,312,72,49,8,5,445,69,30,16,3,5,116,5,6,7,0,0,23,13105,1334,1099,107,53,15700,1344,0,12,14,0,1370,1186,5,45,6,6,1239,777,14,64,10,5,873,732,49,100,18,7,906,851,67,165,32,7,1115,785,80,144,28,4,1042,695,67,139,24,8,934,629,58,99,13,0,797,581,57,108,23,13,772,499,59,114,25,0,700,293,40,88,24,0,440,105,27,43,17,7,202,55,14,24,10,0,109,8530,543,1144,234,53,10497,874,31,41,10,15,972,368,23,43,18,31,484,22883,1924,2327,367,153,27649
LGA53800,4,1023,919,69,73,11,3,1072,1010,111,75,17,3,1215,996,104,90,18,5,1214,898,115,101,18,7,1135,595,76,79,14,0,763,205,40,46,18,3,308,42,13,11,10,0,77,4,5,0,9,0,23,8486,678,613,141,36,9956,888,0,3,10,0,906,479,4,9,0,0,495,401,0,21,0,0,423,444,17,27,7,0,491,454,22,43,8,7,525,432,21,33,14,0,503,454,32,44,5,0,546,447,35,66,17,0,566,420,15,55,19,0,512,381,32,65,26,6,518,204,31,45,18,5,294,89,12,16,18,0,141,30,14,17,19,0,74,5127,239,441,163,23,5987,701,27,23,22,13,783,211,14,12,7,18,255,14524,951,1088,333,79,16975
LGA53920,0,79,69,0,0,0,4,71,71,3,0,0,0,76,89,3,0,0,0,92,81,3,0,0,0,94,43,4,0,0,0,43,19,0,0,0,0,22,5,0,0,0,0,13,0,0,0,0,0,0,739,19,10,3,8,781,7,0,0,0,0,7,28,0,0,0,0,27,22,0,0,0,0,22,21,0,0,0,0,21,29,0,0,0,0,29,23,0,0,0,0,19,12,0,0,0,0,16,21,0,0,0,0,23,11,0,0,0,0,14,11,0,0,0,0,14,7,3,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,204,3,5,0,5,211,76,0,5,3,5,83,43,0,0,3,4,49,1059,25,18,5,19,1124
LGA53990,0,605,519,18,27,8,6,572,513,27,27,15,5,580,434,47,44,6,7,530,413,41,50,10,8,516,302,33,36,3,0,374,85,14,14,10,3,134,12,6,7,3,4,34,3,0,8,3,3,16,4266,247,289,73,29,4912,364,0,0,6,0,371,150,0,3,0,0,156,179,3,15,0,0,191,183,0,19,10,0,216,239,6,27,9,0,281,220,21,16,5,0,264,198,7,33,6,4,242,218,16,24,5,0,269,164,14,25,14,5,221,150,9,34,7,0,209,70,9,30,16,7,129,24,6,16,16,0,59,7,5,12,16,0,37,2166,99,259,105,19,2648,280,12,31,4,0,329,103,7,13,3,7,132,6815,369,592,183,63,8017
LGA54060,0,53,36,13,9,0,0,59,45,6,16,3,0,75,45,10,7,0,0,74,51,12,10,0,0,71,31,10,14,3,0,57,10,8,3,5,0,30,0,0,5,3,3,7,0,3,0,4,0,9,372,77,74,18,12,541,59,0,0,3,0,63,24,0,0,0,0,24,20,0,0,0,0,20,14,0,0,0,0,23,25,5,7,4,0,34,19,0,4,0,0,33,35,3,6,0,0,39,29,3,10,4,0,40,39,3,9,7,0,54,36,6,10,5,0,51,13,3,9,5,3,29,0,3,0,0,0,13,3,0,9,5,0,16,316,23,54,27,7,429,36,13,3,5,0,55,23,3,0,6,4,35,744,108,129,56,21,1062
LGA54130,0,51,9,14,6,4,0,35,15,10,5,5,0,34,22,7,10,3,0,45,26,5,13,3,0,53,9,9,3,7,0,24,4,4,3,5,0,19,0,0,0,0,0,5,0,0,0,0,0,0,197,44,73,41,6,372,0,0,0,0,0,4,7,0,0,0,0,8,9,0,0,0,0,9,10,0,0,0,0,13,11,3,0,4,0,18,16,0,4,0,0,22,0,0,0,3,0,4,8,0,9,7,0,22,10,5,0,3,0,20,15,3,3,0,0,19,8,0,0,0,0,10,0,0,3,5,0,6,0,0,0,0,0,4,98,18,17,25,0,159,16,3,0,3,0,28,6,0,3,0,6,8,319,70,95,76,10,566
LGA54170,3,2463,1893,284,224,15,4,2416,2126,356,274,18,7,2783,2185,362,312,30,12,2903,1751,302,280,25,8,2365,1142,239,157,18,5,1563,329,105,103,7,0,546,75,34,34,0,0,147,16,10,9,0,0,30,17985,2210,1917,145,65,22321,4242,5,33,18,10,4303,3162,11,68,16,4,3256,1514,19,116,7,4,1660,1513,67,184,22,4,1792,1671,111,268,40,4,2098,1628,115,285,51,8,2081,1686,114,265,40,7,2110,1636,121,286,38,11,2085,1519,142,251,39,16,1959,1290,143,285,46,11,1767,625,104,203,56,7,1000,234,77,122,41,0,481,84,37,38,16,5,175,20800,1067,2396,427,84,24772,1611,64,113,24,19,1830,509,29,48,23,33,651,40910,3372,4476,627,202,49576
LGA54200,5,1182,882,120,78,9,7,1102,932,99,101,9,3,1153,940,107,102,9,3,1158,756,118,90,15,6,987,547,81,65,12,0,701,197,47,34,7,0,289,41,26,13,0,0,85,11,11,15,3,0,32,8039,835,677,89,32,9680,796,3,11,12,4,822,606,4,28,5,3,646,393,9,39,6,0,442,351,21,63,16,0,454,402,42,79,19,3,548,366,38,73,19,0,494,374,28,80,13,5,498,348,38,89,15,0,490,325,50,91,20,0,486,320,55,86,13,5,480,182,41,66,18,0,303,70,24,43,23,5,167,35,11,14,11,3,77,4559,366,761,182,31,5902,450,27,36,9,4,531,211,14,18,10,23,274,13262,1253,1493,287,84,16385
