POW_LGA_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
LGA57980,112,16,9,2124,1671,218,129,21,6,2039,1457,251,164,22,5,1906,1249,197,141,13,0,1604,861,178,113,11,6,1170,390,116,81,9,3,603,144,51,43,17,3,256,64,27,24,16,3,142,16764,1588,1056,150,77,19630
LGA58050,441,73,24,6562,5400,488,464,102,35,6482,5288,570,519,82,50,6508,4530,542,482,83,38,5676,3245,389,406,78,38,4165,1320,263,243,77,20,1926,387,116,106,52,9,678,149,78,68,55,8,353,54669,3900,4112,826,341,63848
LGA58190,0,3,0,12,8,5,3,3,0,13,4,5,3,0,0,19,3,7,8,0,0,19,0,3,4,0,0,12,5,0,0,3,0,9,3,0,0,0,0,3,0,4,0,0,0,4,79,28,20,15,0,146
LGA58260,0,0,0,23,17,6,0,0,0,31,19,4,5,4,0,33,26,3,3,9,0,35,23,0,7,0,0,25,3,0,0,4,0,14,0,0,0,0,0,8,4,0,3,0,0,11,191,26,25,25,0,271
LGA58330,10,5,0,62,47,12,6,0,0,75,62,13,19,8,0,97,57,16,31,5,0,112,50,18,35,3,0,105,30,5,22,11,0,65,19,6,18,3,0,51,6,4,12,3,0,26,529,101,166,56,9,871
LGA58400,0,0,0,5,9,0,0,5,0,15,6,5,6,0,0,16,12,4,4,0,0,17,7,0,0,0,0,12,5,0,0,7,0,13,0,0,0,0,0,8,0,0,0,0,0,3,76,17,18,17,5,128
LGA58470,0,0,0,4,0,0,0,0,0,5,7,0,0,0,0,12,3,0,3,0,0,5,9,0,3,0,0,9,3,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,44,9,6,3,0,67
LGA58510,149,18,10,3296,2597,169,141,17,13,2925,2399,200,137,20,16,2774,1974,182,142,24,10,2331,1571,121,142,22,12,1863,668,79,91,13,5,852,203,38,56,10,4,308,69,16,19,13,10,131,27499,1455,1301,181,122,30553
LGA58540,5,4,0,30,24,5,0,7,0,39,21,4,10,3,0,41,37,11,9,12,0,70,24,12,8,4,0,51,12,3,6,0,0,27,7,0,9,0,3,20,6,7,6,5,0,20,251,57,61,56,5,428
LGA58570,186,30,7,2719,1858,292,171,23,9,2354,1764,272,186,22,12,2250,1515,222,168,18,7,1925,1097,176,155,16,7,1451,481,112,114,23,4,731,164,70,46,8,8,298,60,32,28,8,8,133,20341,2046,1620,220,97,24327
LGA58610,6,0,0,62,43,5,7,5,0,67,44,5,19,10,0,73,51,0,10,3,0,72,35,6,16,9,0,63,12,5,8,10,0,43,6,6,7,9,0,24,0,3,0,5,0,11,414,56,97,54,4,626
LGA58680,0,0,0,9,8,0,3,6,0,15,10,0,8,7,0,23,14,7,4,3,0,25,11,4,0,0,0,23,4,6,0,0,0,13,3,5,4,0,0,13,0,3,0,0,0,9,100,21,26,21,4,171
LGA58760,621,80,40,5412,4051,613,651,86,41,5441,3668,701,696,84,35,5178,3108,574,600,79,32,4402,2215,377,475,87,21,3172,887,215,263,48,15,1433,256,89,109,43,10,507,82,45,43,34,10,211,41435,4443,5290,772,303,52245
LGA58820,12,0,4,229,277,10,7,0,3,300,275,14,16,6,6,317,258,6,14,4,6,289,166,10,17,9,0,203,51,5,16,7,0,76,8,5,5,10,0,28,3,3,8,8,0,31,2061,79,114,47,24,2327
LGA58890,5,0,0,24,9,9,3,3,0,37,19,9,8,12,5,52,12,11,11,8,0,40,9,6,13,12,0,36,9,0,3,14,0,28,0,6,14,8,0,24,0,0,10,8,0,22,137,58,77,70,9,345
LGA59030,0,6,0,31,21,7,0,0,0,23,27,0,0,0,0,31,34,0,0,4,0,38,22,3,5,0,0,32,4,0,4,0,0,10,0,0,0,4,0,3,0,0,0,3,0,0,204,16,20,21,7,255
LGA59100,6,0,0,23,15,3,4,0,0,23,8,0,4,3,0,21,12,11,14,3,0,41,16,0,14,7,6,31,8,5,6,5,0,15,3,4,3,5,0,12,0,0,3,3,0,11,122,47,53,41,7,269
LGA59170,14,0,0,45,26,5,8,5,0,42,19,10,9,0,5,43,33,7,10,5,0,50,33,0,28,6,0,70,10,0,15,0,0,31,5,8,7,4,0,25,3,6,8,6,8,23,285,56,110,40,13,508
LGA59250,6,0,0,169,121,0,0,3,0,125,146,0,4,0,0,150,95,3,4,3,0,103,87,0,0,0,0,90,25,0,0,4,0,35,7,0,0,0,0,9,0,0,0,0,0,3,1354,13,21,10,8,1403
LGA59310,10,4,0,59,43,7,5,6,0,68,36,7,10,6,0,60,29,16,14,5,0,67,37,6,17,9,0,65,26,7,12,3,0,47,5,5,9,6,0,21,0,3,3,5,4,13,429,67,93,44,4,638
LGA59320,4,3,0,21,12,0,3,4,0,18,12,7,3,5,0,24,10,7,10,0,0,29,22,0,7,0,0,28,3,0,3,0,0,6,0,3,0,3,0,9,0,0,3,0,0,9,135,28,41,20,5,223
LGA59330,0,5,0,18,14,0,4,5,0,22,9,7,4,5,0,28,16,4,0,0,0,22,11,6,0,6,0,31,6,3,0,4,0,14,0,0,0,0,0,7,0,4,0,0,0,7,130,33,22,28,0,213
LGA59340,8,3,9,343,282,25,17,3,0,323,309,26,18,3,3,358,270,27,25,4,4,324,244,21,18,4,4,297,103,7,13,3,3,129,28,7,6,0,0,48,14,3,3,3,0,24,3119,191,141,48,27,3522
LGA59350,0,0,0,63,79,0,0,0,0,78,81,0,0,0,0,81,50,4,0,0,0,57,31,4,3,0,0,37,20,0,4,0,0,29,7,0,0,0,0,3,0,0,0,0,0,3,627,10,8,6,0,654
LGA59360,9,0,0,136,121,6,9,0,3,139,159,10,10,3,4,190,127,9,20,6,0,164,88,3,14,0,6,120,29,4,3,0,0,42,4,3,0,5,0,12,0,0,3,6,0,7,1099,55,70,31,16,1273
LGA59370,17,11,0,103,62,8,10,3,0,84,79,15,8,6,0,112,79,15,27,7,0,129,79,17,18,18,0,136,19,10,21,9,0,69,9,6,9,10,0,43,6,0,7,11,0,26,707,116,142,82,12,1064
LGA59499,1844,75,58,6109,3328,697,2010,86,77,6199,3325,674,2220,95,91,6396,2818,629,2198,105,89,5847,2180,481,1846,122,83,4703,985,278,991,116,62,2433,366,135,401,93,28,1015,123,68,193,94,40,516,36070,5347,17340,1043,767,60566
LGA59799,0,0,3,189,189,0,3,0,0,196,219,0,0,0,0,223,143,5,0,0,0,149,58,3,0,0,0,61,22,0,0,0,0,25,3,3,0,0,0,8,0,0,0,0,0,0,1334,16,17,4,11,1386
