POW_LGA_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
LGA51540,26,7,8,15,11,7,21,0,0,6,79,40,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,0,0,3,0,0,0,3,10,12,0,0,0,4,0,4,4,9,11,8,6,16,0,0,0,14,21,35,0,0,4,14,22,40,0,0,0,29,35,58,30,35,63,56,68,124,0,0,0,54,78,128,5,0,5,29,21,47,82,96,175,0,9,6,26,125,148,6,5,11,3,8,11,34,144,183,0,13,9,34,114,144,24,41,66,0,12,8,3,36,43,68,208,275,0,0,0,10,3,14,0,0,0,5,9,13,0,3,3,11,19,23,0,0,0,25,12,36,19,20,36,0,0,0,39,35,77,39,24,57,19,19,42,1231,1190,2420
LGA51610,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,5,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,6,4,0,4,6,0,0,0,12,11,14,0,0,0,0,0,0,12,4,21,0,0,0,6,11,16,0,0,0,0,5,5,6,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,4,0,0,0,5,0,10,0,0,0,7,0,7,0,5,5,0,0,0,7,5,10,0,0,7,0,3,0,224,102,323
LGA51680,0,0,7,5,0,0,0,0,0,0,63,27,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,6,9,0,11,12,0,0,0,0,0,0,0,5,7,0,5,4,0,0,0,11,25,40,3,0,9,20,28,42,0,0,0,7,9,9,30,17,45,33,29,61,0,0,0,47,30,74,3,0,3,0,0,0,48,30,78,0,0,3,27,98,125,0,0,5,3,18,22,34,119,154,0,3,3,0,0,0,4,23,24,0,0,0,0,8,6,5,29,34,0,0,0,0,0,0,0,0,0,5,6,17,0,0,0,5,13,15,0,0,0,19,12,26,3,15,19,0,0,0,21,28,46,35,23,58,11,10,18,843,703,1549
LGA51710,4,0,7,7,17,0,20,0,0,0,31,13,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,3,4,3,0,0,0,3,4,3,0,0,0,3,5,8,0,0,5,9,8,7,0,0,0,9,15,19,17,19,37,22,32,53,0,0,0,60,66,123,3,0,3,91,64,152,154,129,287,0,0,0,7,37,39,0,0,0,0,3,9,8,45,57,0,6,6,4,4,6,5,5,8,0,4,4,6,3,9,14,20,36,0,0,0,7,9,14,0,0,0,5,6,17,0,0,0,12,21,29,0,0,0,10,0,13,3,0,3,0,0,0,20,4,19,22,6,30,5,0,11,479,373,854
LGA51750,0,9,3,16,0,0,0,0,0,0,47,14,59,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,10,5,11,0,0,0,0,0,0,14,8,24,3,0,5,34,47,80,0,4,14,35,20,55,80,71,145,0,0,0,8,3,17,85,101,189,96,105,201,0,0,0,146,166,306,31,16,49,175,177,361,0,0,0,29,32,61,44,29,78,76,64,139,0,0,0,40,81,120,5,6,10,8,0,11,63,81,142,3,12,13,448,744,1189,7,42,52,41,104,143,501,894,1396,13,22,32,76,300,378,113,428,540,51,179,230,6,50,57,262,977,1236,4,0,8,4,5,8,5,20,24,49,43,91,0,0,0,60,73,133,0,4,4,53,19,67,64,173,236,0,5,5,111,198,312,79,80,160,32,25,57,2639,4201,6847
LGA51820,76,221,77,300,194,69,263,368,125,492,1928,593,2521,8,5,10,7,6,15,13,13,26,7,0,14,0,3,3,46,15,62,13,5,18,3,6,5,98,53,154,12,10,28,47,125,175,13,49,63,124,107,231,199,294,497,3,0,3,143,55,202,168,242,403,307,302,605,5,3,9,1403,904,2307,163,43,205,1573,949,2523,0,3,3,226,216,442,422,363,783,646,580,1228,0,0,0,337,406,741,300,85,385,591,340,932,1222,839,2056,69,84,146,403,2274,2685,150,111,262,203,293,495,831,2762,3592,25,56,81,19,76,95,500,1450,1944,130,858,981,216,1135,1352,893,3575,4462,10,14,24,11,8,22,39,38,79,304,328,633,3,13,17,367,402,776,0,0,0,876,185,1064,205,672,880,0,13,13,1088,871,1952,2068,800,2873,331,216,553,29804,20235,50040
LGA51860,3,0,0,0,8,3,10,0,0,0,18,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,6,6,8,12,0,0,0,16,16,30,3,0,3,0,0,0,20,16,39,0,0,0,9,22,29,0,0,0,0,0,0,9,22,29,0,0,0,0,0,0,0,0,5,0,0,0,3,3,8,4,4,11,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,10,9,15,0,6,3,124,105,230
LGA51890,0,8,7,16,0,0,3,0,0,0,51,38,83,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,22,22,0,0,0,0,4,6,3,28,28,0,0,0,9,0,9,3,7,9,8,7,17,0,0,0,32,32,63,6,0,6,37,32,71,0,0,0,9,15,33,27,24,48,36,41,74,0,0,3,65,68,128,0,0,0,23,17,41,84,90,170,0,0,0,34,251,283,5,6,10,6,8,15,48,268,311,0,5,5,9,94,100,19,64,80,11,80,88,3,62,67,31,305,339,0,0,0,4,7,7,0,0,0,5,14,16,0,0,0,6,16,27,0,0,0,74,17,86,8,53,59,0,0,0,73,68,143,74,32,106,46,28,72,3043,1733,4774
LGA51960,0,4,3,9,4,0,4,0,0,0,29,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,19,23,8,19,29,0,0,0,5,0,3,0,0,0,0,0,3,0,0,0,3,8,6,3,5,13,9,12,16,0,0,0,25,34,62,0,0,0,3,3,13,31,36,71,0,6,6,13,89,101,0,0,0,0,7,6,20,99,111,0,0,0,0,3,3,0,12,12,0,0,0,0,5,5,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,17,0,16,0,6,6,0,0,0,17,5,16,29,5,33,22,17,34,1727,657,2385
LGA52030,0,0,0,0,0,0,0,0,0,0,7,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,5,0,0,4,4,6,4,0,0,0,15,14,33,0,0,0,0,0,6,21,18,36,0,0,0,0,24,23,0,0,0,0,0,0,0,24,22,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,6,6,8,8,5,14,0,0,0,208,152,361
LGA52100,0,5,4,3,0,0,0,12,3,15,22,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,0,0,0,0,0,0,4,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,6,0,7,0,0,0,0,0,0,0,3,3,0,4,9,0,0,0,9,13,23,0,0,0,17,9,23,23,23,46,0,0,0,0,25,24,0,0,0,0,0,0,0,25,24,0,0,0,7,19,17,0,6,8,0,0,0,0,7,12,3,33,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,0,10,9,0,0,0,16,8,20,6,0,5,7,5,9,289,239,526
LGA52170,0,3,4,8,3,0,6,0,0,4,18,10,24,0,0,0,3,4,11,5,4,7,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,7,14,26,9,7,10,20,27,44,3,3,12,42,23,65,77,59,130,0,0,0,0,4,4,54,81,139,54,84,146,0,0,0,122,132,252,21,5,25,138,137,272,0,0,0,0,9,15,13,13,36,16,29,47,0,0,0,34,38,70,0,0,0,39,14,48,69,51,116,6,0,5,11,74,90,0,3,4,16,31,43,31,109,141,9,28,32,4,4,9,41,204,241,30,103,128,11,63,69,83,394,478,0,0,0,0,0,0,3,17,20,12,9,20,0,0,0,15,23,40,0,0,0,6,3,14,21,102,125,0,20,17,27,124,152,57,57,113,14,9,26,1254,1769,3021
LGA52240,0,0,0,4,0,0,0,0,0,0,16,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,14,10,26,0,0,0,0,0,0,14,9,24,0,0,0,0,30,31,0,0,0,0,0,0,0,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,0,0,5,0,5,0,4,4,0,0,0,5,4,5,0,0,0,4,0,4,0,5,5,0,0,0,3,5,5,10,3,14,7,4,10,336,215,548
LGA52310,0,0,0,0,0,0,0,4,0,4,16,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,21,0,0,0,0,0,0,12,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,8,0,0,3,174,71,237
LGA52380,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,3,0,4,3,0,0,0,13,8,16,0,0,0,5,0,5,14,4,18,0,0,0,0,5,6,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,6,5,3,7,361,82,444
LGA52450,0,0,0,0,0,0,0,5,0,5,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,9,10,0,0,0,16,10,23,0,0,0,0,3,6,17,15,29,0,0,0,29,77,105,0,3,4,0,0,0,27,79,107,0,0,0,0,5,8,4,13,15,3,0,0,0,6,6,10,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,3,16,0,0,0,0,0,0,14,5,14,20,7,27,4,0,6,335,231,564
LGA52520,0,0,0,0,0,0,0,0,0,0,21,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,7,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,9,4,11,3,3,9,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,11,15,21,0,0,0,4,0,3,13,11,24,0,0,0,5,55,60,0,0,0,0,0,0,5,56,58,0,0,0,0,26,26,0,6,3,0,0,0,0,8,8,0,35,43,0,0,0,9,10,12,0,0,0,0,0,0,0,0,0,7,10,14,0,0,0,23,8,27,0,3,5,0,0,0,24,6,29,18,12,30,5,4,3,413,312,726
LGA52590,5,0,3,3,0,0,0,0,0,0,27,21,51,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,3,3,0,9,9,0,0,0,0,0,0,0,9,16,0,0,0,0,0,0,6,11,20,8,11,17,0,0,0,3,12,15,0,0,0,3,13,18,0,0,0,0,5,7,10,19,28,11,26,39,0,0,0,48,31,82,0,0,0,6,6,9,54,38,90,0,0,0,11,90,106,0,4,4,0,0,0,11,97,107,0,5,5,0,9,9,9,19,24,0,14,16,3,12,13,8,64,74,0,0,0,5,5,13,0,5,5,6,3,9,0,0,0,10,15,24,0,0,0,24,6,27,4,13,14,0,4,4,25,18,44,24,19,37,17,9,24,967,717,1686
LGA52660,0,6,5,16,5,4,3,0,0,7,182,41,220,0,0,0,0,6,6,3,4,5,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,6,7,13,0,0,4,0,7,10,4,4,13,4,0,4,7,19,22,0,0,0,7,3,9,0,4,7,7,8,15,0,0,0,36,50,81,4,5,6,41,53,87,0,0,0,5,13,16,33,25,59,34,36,74,0,0,0,56,66,118,0,0,0,10,0,11,62,68,129,0,4,5,40,310,346,0,0,0,0,14,16,48,332,374,0,3,7,0,10,14,24,118,140,17,180,194,10,93,110,58,407,467,0,0,0,0,0,0,6,0,3,8,16,26,0,0,0,11,17,25,0,0,0,38,5,48,13,58,65,0,0,0,49,62,114,82,26,110,25,16,39,1702,1993,3698
LGA52730,0,6,5,15,0,0,3,0,0,0,33,19,57,0,0,0,3,4,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,14,0,0,0,6,8,12,4,0,4,5,0,6,11,13,19,0,0,0,5,0,6,5,21,23,12,19,25,0,0,0,40,51,94,14,0,14,53,56,104,0,0,0,5,13,16,23,18,46,31,33,59,0,0,0,53,59,114,0,0,0,8,3,11,58,66,125,4,3,5,76,140,218,7,4,10,4,13,15,92,160,245,0,3,3,10,44,52,17,62,85,5,15,15,7,41,51,38,165,198,0,0,0,6,6,16,3,11,8,0,3,3,0,0,0,10,18,24,0,0,0,23,9,29,8,31,40,0,0,0,27,38,63,24,31,53,7,15,30,960,1075,2037
LGA52800,3,5,4,3,20,5,25,0,0,0,66,14,76,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,0,0,0,6,3,10,0,0,0,0,0,0,6,3,10,0,0,0,0,5,4,12,5,21,18,5,22,0,0,0,21,13,35,0,0,0,23,13,36,0,0,0,11,25,36,15,12,33,29,40,70,0,0,0,58,62,117,3,0,9,92,56,151,153,120,274,6,6,16,101,239,341,3,10,17,36,28,68,145,289,434,4,26,31,50,114,168,29,73,107,12,21,34,28,70,102,131,308,445,0,3,4,27,15,49,3,8,10,6,5,10,0,0,0,40,27,64,0,0,0,32,9,39,30,22,59,0,0,0,63,31,94,24,13,38,28,25,54,1374,1154,2529
LGA52870,0,3,9,8,0,0,0,0,0,0,41,21,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,7,10,0,11,12,0,0,0,4,3,4,4,10,14,7,10,19,0,0,0,23,19,40,4,4,5,27,24,50,0,0,0,4,10,20,29,32,60,34,45,81,0,0,0,32,29,62,0,0,0,9,0,5,38,31,67,0,0,0,18,104,125,0,0,3,0,3,6,25,108,130,0,6,8,3,28,30,8,44,53,3,45,48,3,30,31,21,152,170,0,0,0,4,0,4,8,8,7,3,10,8,0,0,0,14,12,20,0,0,0,27,9,37,3,19,21,0,0,0,29,31,59,28,13,41,25,21,37,933,920,1851
LGA52940,0,0,0,0,0,0,0,0,0,0,9,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,23,0,0,0,3,0,3,14,16,27,0,0,0,5,27,31,0,0,0,0,0,0,5,32,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,5,0,0,0,6,0,7,4,3,7,4,3,13,180,128,305
LGA53010,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,20,0,0,0,4,0,4,9,9,22,0,0,0,0,23,21,0,0,0,0,0,0,0,23,20,0,0,0,0,12,14,0,5,3,0,0,0,0,3,3,0,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,12,0,5,8,3,3,3,4,8,177,121,300
LGA53080,0,5,0,3,0,0,0,0,0,0,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,7,0,0,0,0,0,0,0,3,3,4,3,4,0,0,0,10,10,19,0,0,0,13,8,18,23,15,35,0,3,3,3,11,16,0,0,0,0,0,0,3,12,16,0,0,0,0,13,14,3,5,8,0,3,3,0,0,0,7,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,24,0,4,4,422,199,618
LGA53150,0,4,0,9,3,3,6,5,0,5,10,7,18,3,0,3,0,3,4,14,15,29,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,24,41,3,0,3,9,0,11,0,5,3,15,3,19,22,10,34,0,0,0,0,0,0,16,49,67,14,49,69,4,0,6,81,93,166,17,5,20,97,96,190,0,0,0,10,13,20,21,17,36,26,34,60,0,0,0,24,19,46,91,49,140,4,0,13,123,80,202,3,0,3,7,56,62,0,3,3,20,53,67,29,110,134,0,6,10,4,8,10,44,134,177,28,119,148,9,46,52,81,313,396,0,0,0,4,5,9,5,14,24,23,12,43,0,0,0,37,35,70,0,0,0,12,0,12,16,119,139,0,6,6,23,127,149,28,33,62,8,12,17,912,1250,2159
LGA53220,11,6,10,13,22,4,27,0,0,0,183,48,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,8,0,0,0,3,3,4,0,0,0,0,0,0,3,6,9,0,0,0,42,27,71,24,27,54,70,59,130,0,0,0,128,35,168,4,0,9,134,35,172,0,0,0,233,109,341,70,112,181,302,221,521,0,0,0,49,81,128,0,0,0,53,24,71,101,103,201,5,7,12,40,168,206,3,0,6,15,15,34,65,189,250,4,3,10,13,33,48,32,49,84,0,12,21,5,62,65,54,168,221,0,0,4,16,9,27,0,0,0,3,13,14,0,0,0,20,24,46,0,0,0,155,14,166,12,31,43,0,0,0,163,41,209,134,47,183,111,65,179,13539,3826,17368
LGA53290,3,16,13,26,112,22,133,30,5,40,436,121,555,0,0,0,3,4,6,3,5,11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,14,19,0,5,6,15,28,42,10,12,13,8,11,17,28,46,76,0,0,0,6,5,16,11,37,51,20,45,68,0,0,0,60,94,150,5,3,12,57,99,159,0,0,0,12,28,38,28,52,79,38,79,113,0,0,0,114,121,230,0,0,0,35,14,50,145,139,283,5,0,11,100,397,497,3,28,30,4,18,26,114,451,560,4,11,14,27,139,160,31,126,159,12,93,105,26,144,165,92,513,598,0,0,0,8,11,18,0,8,8,7,19,20,0,0,0,15,32,44,0,0,0,157,45,201,19,83,106,0,0,0,175,128,303,94,64,162,63,39,102,3182,2957,6141
LGA53360,55,4,14,11,5,0,5,3,0,3,88,71,159,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,5,13,16,7,13,22,10,27,38,0,0,0,102,33,134,0,0,0,103,33,139,0,0,0,20,30,51,14,22,37,31,50,81,0,0,0,48,62,111,21,5,29,15,7,25,92,71,157,0,0,0,17,64,89,0,5,5,4,10,11,22,85,103,0,3,3,4,47,55,4,19,24,0,0,0,0,6,12,8,81,92,0,0,0,4,4,13,3,3,6,5,4,5,0,0,0,19,12,30,0,0,0,21,5,29,3,20,23,0,0,0,28,22,51,36,29,68,18,12,28,886,841,1727
