POW_LGA_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
LGA57080,2884,743,965,1390,2311,1866,922,71,120,11260,127,25,47,72,88,106,75,0,3,540,281,83,93,125,300,293,189,3,20,1377,469,113,206,352,665,671,584,18,152,3221,17175,4419,6376,9480,16427,14353,10172,310,794,79508
LGA57140,9,4,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,0,3,5,10,0,0,5,62
LGA57210,22,7,4,5,4,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,14,12,0,0,4,4,6,3,0,0,32,174,20,33,65,132,57,65,6,18,573
LGA57280,51,10,24,30,74,73,40,0,7,303,0,5,0,3,3,0,5,0,0,15,19,0,3,11,23,33,13,0,0,113,26,3,7,10,38,30,32,0,12,151,649,112,203,313,785,723,473,18,55,3339
LGA57350,0,5,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,12,5,3,3,0,3,15,0,3,42
LGA57420,4,0,0,3,0,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,9,4,0,0,3,4,0,0,0,0,12,106,18,41,41,103,97,79,0,14,508
LGA57490,603,137,165,297,732,555,229,6,24,2748,24,6,18,14,31,33,10,0,0,133,155,22,33,54,142,132,63,4,9,613,112,16,31,52,132,92,54,0,28,525,3140,570,821,1321,3234,2559,1060,34,155,12901
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,15
LGA57700,37,9,9,20,62,71,23,0,3,229,17,3,0,3,8,0,0,0,0,43,17,5,7,11,17,12,4,0,3,69,31,5,11,12,29,17,15,0,6,114,558,94,132,210,461,375,200,4,35,2059
LGA57770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,4,28,6,4,13,12,19,57,0,3,152
