POW_LGA_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
LGA55810,3,10,0,16,18,429,4,449,0,9,0,9,0,3,0,3,6,28,0,27,0,0,0,0,0,21,0,15,0,20,0,20,0,18,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,15,0,20,0,20,3,19,0,18,0,10,0,16,0,0,0,0,0,4,0,4,0,21,0,21,33,620,3,661
LGA55880,0,126,0,126,0,7,0,7,0,0,0,0,0,0,0,0,0,12,0,12,0,5,0,5,0,6,0,6,0,3,0,3,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,16,0,17,0,19,0,19,0,8,0,8,0,0,0,0,0,7,0,5,0,9,0,10,5,228,0,237
LGA55950,0,105,0,105,0,3,0,3,0,4,0,4,0,7,0,7,0,8,0,8,0,13,0,13,0,6,0,6,0,0,0,0,0,6,0,6,0,3,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,24,0,24,0,7,0,7,0,0,0,0,0,17,0,17,0,8,0,10,0,239,0,242
LGA56090,5,86,0,97,4,364,4,367,6,617,0,618,0,60,0,64,19,758,0,778,0,271,0,271,8,945,0,955,10,609,4,622,7,495,0,504,0,32,0,32,0,48,0,48,5,117,0,121,4,479,0,484,3,186,0,187,25,944,3,963,19,1250,6,1272,14,813,0,823,3,115,0,116,11,491,0,502,11,474,8,495,156,9136,36,9324
LGA56160,0,14,0,14,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,10,9,0,15,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,55,0,65
LGA56230,3,280,8,289,11,604,3,621,29,1643,0,1673,3,137,0,146,11,433,4,451,0,70,0,74,14,451,4,469,15,429,3,449,3,97,0,105,0,5,0,5,0,32,0,32,0,70,0,70,0,149,0,153,0,127,0,134,4,203,0,214,6,411,0,419,4,384,0,387,3,133,0,138,3,189,0,196,8,246,4,256,131,6097,28,6257
LGA56300,6,121,0,121,0,0,0,0,0,70,0,70,0,0,0,0,0,11,0,11,0,0,0,0,0,34,0,34,4,63,0,64,0,10,0,10,0,4,0,4,0,0,0,0,0,3,0,3,0,10,0,10,0,3,0,4,0,37,0,37,0,38,0,38,0,56,0,55,0,9,0,9,0,6,0,6,0,24,0,24,9,491,0,500
LGA56370,0,183,0,186,0,23,0,22,0,20,0,20,0,0,0,0,0,14,0,14,0,6,0,6,0,13,0,13,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,24,0,24,0,27,0,25,0,30,0,30,0,0,0,0,0,7,0,7,0,23,0,23,7,389,0,399
LGA56460,0,223,0,222,0,0,0,3,0,84,0,93,0,35,0,37,4,80,3,87,0,69,0,69,7,226,5,232,3,91,0,90,0,101,0,101,0,13,0,13,0,63,0,66,0,17,0,17,0,57,0,53,0,38,0,43,4,140,0,144,10,306,0,315,18,481,3,503,0,26,0,23,5,105,0,112,0,81,0,82,69,2234,19,2322
LGA56580,0,34,0,34,0,129,3,130,0,176,0,176,4,227,0,237,6,511,0,524,0,56,0,56,0,523,0,521,3,604,0,607,0,263,0,266,0,65,0,67,4,383,0,393,0,324,0,325,5,984,5,993,0,230,0,234,15,1090,0,1107,8,1647,3,1657,22,4304,4,4337,7,422,0,424,11,919,0,929,4,471,0,473,103,13358,24,13482
LGA56620,0,0,0,0,0,8,0,8,0,0,0,0,0,3,0,3,0,8,0,8,0,0,0,0,0,22,0,22,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,9,36,0,53,14,42,0,52,5,37,0,38,10,11,0,23,0,3,0,3,0,4,0,4,40,187,0,233
LGA56730,0,252,4,259,4,16,0,24,6,329,0,343,3,94,0,102,10,282,0,288,0,157,0,157,7,477,0,487,14,256,0,275,8,193,3,201,0,13,0,13,0,46,0,46,0,53,0,53,0,125,0,129,3,92,0,98,17,600,0,617,19,479,0,500,33,770,0,808,0,31,0,33,3,185,0,189,13,198,8,226,157,4652,24,4828
LGA56790,0,278,3,285,4,44,0,51,0,9,0,9,0,0,0,0,3,83,0,88,0,11,0,11,0,86,0,90,4,182,0,190,0,27,0,27,0,8,0,8,0,0,0,0,0,11,0,11,0,6,0,6,0,37,0,40,0,53,0,53,6,96,0,100,3,77,0,84,0,12,0,14,0,24,0,24,0,42,0,46,22,1096,10,1126
LGA56860,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,8,0,8,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,65,0,65
LGA56930,0,0,0,0,0,9,0,9,0,17,0,17,0,0,0,0,0,61,0,61,0,3,0,3,0,85,0,85,0,78,0,85,0,0,0,0,0,7,0,7,0,36,0,36,0,52,0,52,0,57,0,57,0,25,0,25,0,40,0,40,4,372,0,381,0,93,0,88,0,41,0,36,0,25,0,22,0,33,0,33,7,1031,3,1045
LGA57000,0,108,0,108,12,537,4,557,0,3,0,3,0,0,0,0,0,35,0,41,0,0,0,0,0,0,0,0,5,19,0,25,4,13,0,12,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,7,0,5,0,25,0,27,0,17,0,12,0,0,0,0,0,5,0,5,4,0,0,5,0,18,0,18,20,798,4,826
LGA57080,0,222,0,226,485,20070,35,20584,17,1940,5,1959,6,1766,4,1775,62,5750,18,5834,3,1308,4,1314,34,4498,9,4537,63,8112,14,8193,25,3113,5,3146,16,2324,3,2341,76,13928,19,14020,11,2119,3,2134,343,36162,46,36553,55,5644,5,5708,429,20575,26,21031,65,6532,7,6604,303,23310,37,23652,31,1657,3,1695,29,2862,0,2893,106,5942,33,6077,2165,167840,271,170275
LGA57140,0,141,0,141,0,0,0,0,0,3,0,3,0,0,0,0,0,8,0,8,0,13,0,12,0,16,0,23,0,16,0,16,0,23,0,23,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,9,0,0,0,4,0,20,0,22,0,25,0,27,0,54,0,53,0,0,0,0,0,8,0,8,0,5,0,5,10,337,4,347
LGA57210,6,604,6,615,0,8,0,10,10,425,4,436,0,3,0,3,0,83,0,83,0,33,0,33,9,112,0,123,4,66,3,74,0,107,0,112,0,0,0,0,0,21,0,19,0,10,0,10,0,43,0,43,0,26,0,30,6,112,0,114,5,133,0,145,4,142,0,149,0,5,0,5,0,53,0,56,0,81,3,86,53,2079,18,2143
LGA57280,13,30,0,42,383,2883,7,3277,20,332,0,347,11,157,0,171,59,769,0,831,8,279,0,282,30,439,6,474,32,403,0,442,44,1139,11,1193,3,25,0,32,3,24,0,28,9,169,0,174,15,160,0,174,20,225,0,247,44,415,4,460,52,528,0,584,107,674,3,782,9,47,0,52,37,291,0,325,85,378,7,470,974,9387,38,10399
LGA57350,0,136,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,5,0,5,0,16,0,16,0,9,0,9,0,14,0,14,0,0,0,0,0,6,0,6,0,0,0,0,0,4,0,4,0,0,0,0,0,25,0,25,0,30,0,33,0,20,0,25,0,0,0,0,0,5,0,5,0,10,0,5,7,292,0,302
LGA57420,7,215,3,226,20,700,8,724,0,15,0,17,0,5,0,5,7,157,3,168,0,16,0,16,0,52,0,48,0,68,0,69,4,39,0,45,0,0,0,0,0,0,0,0,0,16,0,16,0,23,0,23,0,19,0,23,0,65,0,65,0,66,0,66,0,59,0,58,0,0,0,0,0,29,0,31,0,55,0,59,41,1598,13,1650
LGA57490,0,221,0,226,9,347,5,360,23,1420,4,1449,0,87,0,86,41,2435,0,2481,18,371,0,386,85,4781,11,4878,63,2905,6,2975,10,988,0,1004,8,191,0,199,0,290,0,294,9,412,0,423,4,1008,4,1014,15,921,4,945,118,4096,4,4222,62,4810,8,4879,83,5498,10,5590,8,479,0,484,28,1535,3,1568,34,1311,7,1354,617,34116,83,34820
