LGA_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA58330,4,32,38,0,13,13,6,35,41,4,86,93,0,230,235,7,191,196,6,144,149,3,134,139,5,151,158,4,97,99,3,108,108,0,71,74,10,187,193,9,173,182,0,41,43,61,1693,1761
LGA58400,0,0,0,0,5,5,0,3,9,0,5,5,0,30,29,0,12,12,0,10,10,0,14,14,0,15,15,0,6,6,0,4,0,0,3,3,0,4,4,0,14,14,6,3,11,6,128,137
LGA58470,0,4,4,0,0,0,3,0,3,3,0,8,3,0,3,0,0,0,5,5,8,0,0,5,0,0,0,0,0,0,0,3,4,0,0,0,0,3,7,0,8,8,0,0,0,14,23,50
LGA58510,9,294,297,0,103,105,19,292,308,19,534,557,31,1042,1065,39,1125,1154,22,866,888,35,1229,1258,40,1494,1535,17,1266,1281,20,1207,1229,26,1130,1160,55,3353,3406,20,898,917,11,185,197,363,15018,15357
LGA58540,0,6,6,0,0,0,0,9,9,0,8,8,0,20,23,0,21,19,0,15,18,4,15,17,3,36,37,0,20,25,0,17,15,0,10,10,0,53,57,0,34,34,0,11,11,7,275,289
LGA58570,8,232,234,5,79,87,3,231,237,13,435,450,12,804,814,11,782,795,9,725,728,15,978,989,19,1263,1279,22,1270,1287,19,1240,1262,11,1255,1272,60,4927,4987,16,873,888,5,137,144,228,15231,15453
LGA58610,0,8,7,3,11,13,0,18,18,0,38,41,0,99,98,8,70,75,0,49,49,3,67,68,0,72,73,0,41,41,0,43,47,0,34,34,0,57,57,0,50,50,0,24,26,14,681,697
LGA58680,0,0,0,0,0,0,0,6,6,0,5,6,0,15,15,0,15,15,0,10,13,0,16,16,3,13,14,0,10,10,0,12,12,0,12,12,0,29,29,0,28,28,0,9,9,3,180,185
LGA58760,33,976,1008,17,422,437,111,1363,1470,117,2336,2455,145,5241,5387,149,5485,5633,139,5115,5247,160,6990,7152,179,8532,8714,146,6971,7121,104,5825,5934,81,4562,4648,144,8417,8560,188,6280,6469,22,996,1015,1735,69511,71250
LGA58820,0,41,41,0,20,20,3,45,41,3,70,79,3,207,217,8,141,146,11,108,117,4,127,133,15,127,138,7,90,94,4,94,101,4,71,78,7,170,172,8,155,164,0,52,52,77,1518,1593
LGA58890,0,3,3,0,7,7,0,8,7,0,11,9,3,33,31,0,24,29,3,24,24,0,18,22,4,28,32,0,18,21,0,19,19,0,9,9,0,41,41,0,30,28,0,12,12,10,285,294
LGA59030,0,0,0,0,0,0,0,4,4,0,6,6,0,13,17,0,4,4,0,10,10,0,14,14,0,5,5,0,3,3,0,3,3,0,7,7,4,12,11,0,3,3,0,5,5,4,89,92
LGA59100,0,5,5,0,4,4,0,0,0,0,10,10,4,33,36,0,23,21,0,11,15,0,24,24,0,28,35,0,17,21,0,9,9,0,11,11,0,17,17,0,19,17,0,9,9,4,220,234
LGA59170,0,5,5,0,0,0,0,4,4,0,6,6,0,42,43,0,24,25,4,26,30,0,36,39,0,33,39,0,41,43,0,27,27,0,23,23,0,58,53,0,21,21,0,14,14,4,360,372
LGA59250,0,0,4,3,0,5,11,0,9,5,0,10,0,4,5,0,0,0,0,3,3,3,7,7,3,8,11,0,3,5,0,0,0,0,5,5,0,8,8,0,3,5,0,6,9,25,47,86
LGA59310,0,8,8,0,3,3,4,20,22,4,20,19,4,71,75,7,37,46,0,40,40,3,44,47,5,53,61,7,38,36,0,36,36,0,16,16,0,64,64,3,42,43,0,8,8,37,500,524
LGA59320,0,0,0,0,6,6,0,3,3,0,4,4,0,22,22,3,9,14,0,19,19,0,12,12,0,20,20,0,8,8,0,5,5,0,4,4,0,16,16,0,14,14,0,4,4,3,146,151
LGA59330,0,7,7,0,5,5,0,7,8,0,13,13,4,43,47,3,19,19,0,12,10,0,12,17,0,17,17,0,13,13,0,8,14,0,4,4,0,23,23,0,5,5,0,0,0,7,188,202
LGA59340,13,18,35,23,6,30,78,20,98,81,24,105,80,34,116,77,42,121,48,53,101,55,81,131,48,141,191,33,160,196,24,160,178,22,151,172,43,308,352,79,149,221,38,44,85,742,1391,2132
LGA59350,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,4,0,0,3,3,4,3,8,0,4,7,0,4,3,0,5,3,0,0,3,0,4,4,4,6,3,0,0,0,8,33,43
LGA59360,0,7,7,0,3,3,0,12,8,0,12,10,3,41,47,3,31,28,0,25,23,0,36,35,0,24,24,0,32,37,0,20,22,0,28,28,0,52,52,3,36,38,0,11,11,9,370,373
LGA59370,0,32,31,0,11,13,5,38,45,4,70,80,6,227,232,7,155,160,0,112,113,0,116,120,9,136,139,4,88,91,11,74,79,0,58,59,7,118,123,5,94,95,3,32,36,61,1361,1416
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
