LGA_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA56860,0,3,3,0,0,0,0,0,0,0,4,4,0,3,5,0,5,5,0,9,9,0,13,13,0,8,8,0,6,6,0,3,3,0,0,0,0,3,3,0,5,5,0,4,4,0,3,3,0,10,11,3,0,3,4,86,93
LGA56930,0,10,10,0,0,0,0,3,3,0,3,3,0,9,9,0,18,18,0,9,9,0,7,7,0,13,13,0,20,20,0,16,16,0,14,14,5,38,39,0,15,15,0,25,25,0,267,267,0,44,44,0,5,5,5,522,523
LGA57000,0,0,0,0,0,0,0,3,3,0,0,0,0,10,12,0,3,3,0,3,3,0,3,6,0,13,10,0,9,13,4,5,8,0,13,13,0,16,17,0,6,6,0,8,4,0,20,14,0,7,5,0,6,6,13,125,139
LGA57080,4,390,391,0,91,91,4,191,194,6,288,290,4,410,411,8,420,427,9,399,407,11,544,552,7,798,800,12,818,831,8,785,798,13,790,801,21,1718,1740,6,645,655,11,821,836,24,2319,2338,6,644,650,0,108,108,150,12180,12329
LGA57140,0,15,17,0,5,5,0,3,3,3,14,18,6,39,52,7,25,29,8,41,47,4,31,35,4,30,31,3,34,33,0,21,17,0,12,18,3,27,33,0,10,15,0,19,24,0,21,21,4,27,30,0,13,13,46,389,432
LGA57210,0,30,30,0,12,12,0,31,31,5,50,56,4,190,192,7,118,122,3,173,177,11,151,158,0,146,147,6,137,141,8,91,92,0,86,91,10,165,177,5,115,118,4,68,70,4,154,155,10,160,170,0,54,54,82,1919,2001
LGA57280,25,32,57,4,7,15,22,15,41,39,26,66,39,24,66,28,33,60,52,38,86,38,54,88,46,99,143,45,124,171,36,181,215,45,197,249,115,542,654,59,279,337,86,443,528,202,1336,1544,120,315,429,51,66,117,1058,3814,4872
LGA57350,0,9,9,0,0,0,0,9,10,4,8,11,0,18,26,0,15,15,6,26,28,5,21,28,0,25,26,0,22,20,0,16,16,4,11,9,0,23,25,0,9,9,0,8,8,0,28,28,4,24,26,0,6,14,26,289,313
LGA57420,0,16,13,0,9,9,0,11,13,0,22,22,3,56,59,0,31,31,3,41,49,0,42,47,4,41,43,0,41,46,4,37,39,3,46,49,0,101,104,3,43,46,0,46,50,10,75,85,0,63,69,3,16,22,46,740,786
LGA57490,16,666,683,3,239,247,23,487,504,33,959,994,52,2441,2496,81,2066,2145,89,2707,2797,93,2700,2793,100,3004,3103,105,3014,3119,102,2688,2786,65,2549,2620,207,5332,5538,119,3443,3563,100,3114,3221,221,5955,6177,187,4705,4893,33,728,761,1626,46804,48428
LGA57630,0,0,0,0,0,0,0,0,0,0,5,5,0,4,4,0,0,0,0,3,3,0,3,3,0,4,4,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,0,43,43
LGA57700,3,114,116,0,45,45,0,81,81,6,109,112,0,265,268,9,241,250,16,420,436,14,410,423,27,544,570,28,631,655,22,576,592,22,640,663,51,1350,1397,39,944,980,36,763,799,51,1511,1568,52,1074,1129,4,125,128,384,9832,10211
LGA57770,4,11,13,0,0,0,0,0,8,0,12,12,3,32,38,3,5,12,0,27,27,7,19,27,0,22,23,3,17,25,0,11,10,3,25,25,3,30,35,5,17,22,0,14,14,0,16,17,5,27,31,3,13,18,56,313,360
LGA57840,9,376,381,4,136,139,7,238,247,12,373,382,13,809,821,18,741,767,15,716,725,8,811,823,12,1019,1030,14,1074,1093,11,921,938,9,857,868,24,1806,1830,11,974,990,11,1085,1095,55,4277,4332,23,1008,1030,8,199,205,263,17428,17690
LGA57910,34,1512,1552,18,571,585,36,1290,1330,57,2091,2151,80,5174,5256,58,3719,3773,77,4436,4511,96,4797,4887,94,5853,5950,100,6048,6149,65,4974,5044,41,4621,4664,117,9615,9733,77,5439,5519,72,5544,5617,207,16779,16988,88,5290,5382,42,1185,1226,1371,88941,90318
LGA57980,0,124,124,0,52,52,0,100,94,0,204,208,0,370,372,0,319,321,3,288,291,0,313,317,5,396,403,9,401,409,0,359,365,4,366,375,15,763,777,4,364,365,3,416,418,17,2189,2205,0,346,350,0,81,80,78,7456,7534
LGA58050,48,731,777,14,273,284,30,483,515,65,863,931,76,2110,2191,79,1647,1727,107,2469,2574,108,2637,2745,160,3485,3644,129,3755,3888,132,3090,3223,113,3035,3152,256,6579,6838,154,4383,4539,121,3377,3499,282,6537,6820,217,4345,4562,50,715,764,2152,50510,52666
LGA58190,0,0,0,0,4,4,0,4,4,0,0,4,0,14,19,0,13,7,0,10,10,0,8,7,0,7,10,0,10,11,0,5,5,0,7,7,3,7,12,0,7,13,0,3,3,0,5,5,0,15,15,0,3,3,10,127,136
LGA58260,0,6,6,0,0,0,0,0,0,0,8,8,0,13,13,0,9,13,0,9,9,5,10,14,0,16,16,6,10,16,0,12,10,0,3,6,3,23,27,0,8,8,0,5,9,0,26,24,0,23,23,0,0,0,19,186,205
LGA58330,4,32,38,0,13,13,0,24,24,0,36,42,0,148,155,0,75,79,0,136,135,0,137,141,4,127,134,3,118,122,0,77,80,0,84,86,5,160,164,3,88,95,8,84,88,5,138,142,9,173,182,0,41,43,59,1691,1749
LGA58400,0,0,0,0,5,5,0,0,0,0,10,10,5,16,22,0,4,4,0,9,9,0,18,18,0,15,15,0,4,4,0,7,7,0,5,5,0,7,8,0,3,3,0,0,0,0,5,5,0,14,14,6,3,11,7,123,131
LGA58470,0,4,4,0,0,0,3,0,3,0,0,0,6,0,3,0,0,0,0,0,4,3,0,3,3,0,5,4,0,6,4,0,5,0,0,0,0,3,6,0,0,0,0,5,5,0,0,4,0,8,8,0,0,0,28,28,57
LGA58510,9,294,297,0,94,91,15,204,212,16,400,413,14,790,805,19,719,738,13,673,688,30,768,795,20,912,925,22,976,998,26,849,874,18,748,768,35,1758,1793,23,976,994,17,999,1020,49,2788,2835,20,898,917,11,185,197,349,15016,15367
LGA58540,0,6,6,0,0,0,0,3,3,0,10,10,0,9,14,0,4,4,0,19,22,0,16,16,0,20,20,0,19,19,0,21,19,5,10,14,0,23,26,0,20,20,0,15,18,0,44,44,0,34,34,0,11,11,15,278,288
LGA58570,8,232,234,7,73,77,0,159,161,13,327,342,6,599,610,8,496,499,7,580,584,5,614,623,15,843,854,9,878,885,14,791,802,4,785,797,22,1739,1770,17,975,986,10,1094,1111,49,4039,4090,16,873,888,5,137,144,208,15240,15450
LGA58610,0,8,7,0,8,7,0,14,16,0,16,13,0,67,68,0,40,41,0,60,59,0,45,45,5,54,56,4,36,35,3,35,36,0,38,38,3,57,66,0,40,43,0,22,22,0,51,51,0,50,50,0,24,26,21,665,684
LGA58680,0,0,0,0,0,0,0,3,3,0,3,4,0,5,5,0,3,3,0,11,11,0,16,16,0,9,9,0,8,8,0,8,8,0,9,10,0,20,23,0,7,7,0,11,8,0,24,24,0,28,28,0,9,9,8,178,182
LGA58760,33,976,1008,9,306,318,29,628,662,32,1169,1199,78,2899,2973,77,2383,2458,99,3458,3558,109,3705,3809,99,4352,4445,117,4803,4923,100,4053,4154,92,3995,4092,200,8557,8751,128,6075,6208,104,5019,5125,214,9851,10070,188,6280,6469,22,996,1015,1737,69508,71246
LGA58820,0,41,41,0,20,20,0,29,29,0,45,52,3,113,119,3,69,71,0,125,123,3,101,109,7,97,104,0,87,91,4,65,70,3,70,72,3,141,147,8,81,90,4,70,80,14,148,159,8,155,164,0,52,52,69,1514,1584
LGA58890,0,3,3,0,0,0,0,8,8,0,0,0,4,19,19,0,13,8,0,21,22,0,15,15,0,33,34,0,19,19,0,15,15,0,13,16,3,24,28,0,6,6,0,19,19,0,26,26,0,30,28,0,12,12,19,277,293
LGA59030,0,0,0,0,0,0,0,4,4,0,0,0,0,11,9,0,0,5,0,9,9,0,6,6,0,9,9,0,9,9,0,4,4,0,3,3,0,3,6,0,8,8,0,0,0,0,10,10,0,3,3,0,5,5,4,91,101
LGA59100,0,5,5,0,4,4,0,0,0,0,3,3,0,25,25,0,5,5,0,14,14,3,20,24,0,20,20,0,19,19,0,17,17,0,12,12,3,15,17,0,15,19,0,6,6,0,14,14,0,19,17,0,9,9,7,222,229
LGA59170,0,5,5,0,0,0,0,0,0,0,4,4,0,25,25,0,11,11,0,27,29,0,22,22,0,19,18,0,30,35,4,25,25,0,23,23,0,38,39,0,27,27,0,21,18,0,53,53,0,21,21,0,14,14,9,356,365
LGA59250,0,0,4,0,0,0,4,0,7,5,0,5,9,4,8,0,0,5,8,0,6,0,3,9,9,3,6,3,6,9,4,0,3,0,3,3,0,4,6,0,3,3,0,3,3,0,3,3,0,3,5,0,6,9,39,49,84
LGA59310,0,8,8,0,3,3,0,8,15,0,11,11,6,45,46,3,27,29,4,36,44,0,41,42,0,46,49,7,31,36,7,20,27,0,25,25,6,53,56,0,27,28,0,25,30,0,39,40,3,42,43,0,8,8,31,485,521
LGA59320,0,0,0,0,0,0,0,0,0,0,3,3,0,17,18,0,3,3,0,9,9,0,11,10,3,12,17,0,12,12,0,15,15,0,9,9,0,15,15,0,7,7,0,9,9,0,14,14,0,14,14,0,4,4,4,153,161
LGA59330,0,7,7,0,5,5,0,6,5,0,8,7,0,28,22,0,17,19,0,21,26,0,10,11,0,16,16,0,16,16,0,9,6,0,8,8,0,15,22,0,8,8,0,3,3,0,16,16,0,5,5,0,0,0,11,194,209
LGA59340,13,18,35,9,6,16,27,4,37,39,19,56,50,29,76,31,29,63,44,31,77,61,37,98,65,68,132,67,78,140,26,97,124,27,91,120,59,185,244,35,127,160,20,132,155,52,226,278,79,149,221,38,44,85,744,1375,2122
LGA59350,0,0,0,0,0,0,0,0,0,4,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,4,7,4,3,3,0,3,3,0,0,0,0,0,0,3,3,0,4,6,3,0,0,0,20,24,44
LGA59360,0,7,7,0,3,3,0,12,12,0,5,11,0,29,30,4,16,19,0,19,18,0,21,23,0,32,31,0,26,28,0,11,11,0,14,14,3,40,42,0,29,29,0,20,20,0,31,31,3,36,38,0,11,11,15,362,377
LGA59370,0,32,31,0,11,13,0,23,25,0,43,49,4,148,154,5,83,88,0,121,119,0,105,108,7,100,102,3,89,87,0,68,68,8,71,75,9,125,134,6,78,80,5,46,51,3,98,98,5,94,95,3,32,36,56,1357,1420
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
