LGA_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
LGA56790,0,95,88,190,0,8,7,64,53,119,3,0,3,72,59,129,21,27,48,469,411,881,5,5,13,498,448,945,8,10,20,67,74,139,216,177,392,291,255,549,88,94,184,1376,1238,2611,234,192,431,1708,1522,3227
LGA56860,0,3,6,15,0,0,0,11,5,17,0,0,0,11,5,17,0,0,0,29,35,66,0,0,0,31,36,70,5,0,7,4,4,7,29,22,52,36,30,64,8,9,11,97,84,182,28,28,56,136,120,255
LGA56930,0,35,29,61,0,0,0,9,8,16,0,0,0,9,10,19,0,5,6,172,198,366,0,0,0,171,205,373,0,0,4,27,38,68,24,28,53,51,64,118,0,25,28,654,853,1512,25,30,58,684,912,1597
LGA57000,0,6,8,16,0,0,0,4,3,14,0,0,0,4,12,10,0,3,10,62,36,101,3,0,0,70,43,114,0,0,0,10,3,16,131,54,186,138,64,204,5,13,18,251,172,419,134,53,190,390,239,629
LGA57080,3,474,512,983,5,12,19,183,176,357,0,0,0,191,190,371,56,74,133,2741,2668,5411,9,12,21,2811,2755,5565,14,5,15,340,295,631,1524,1019,2539,1874,1319,3195,180,177,360,13261,12253,25512,1548,1037,2587,14996,13471,28463
LGA57140,0,43,46,88,0,0,4,16,20,36,0,0,0,15,24,34,17,18,35,184,159,342,5,4,5,198,191,384,0,6,8,22,21,40,21,26,52,46,54,99,47,55,104,456,417,873,31,30,60,534,502,1037
LGA57210,3,163,232,392,6,6,14,115,105,217,3,6,0,121,111,231,18,48,66,779,850,1638,10,12,24,813,914,1728,9,0,6,162,83,241,246,209,453,421,292,704,89,93,181,2412,2282,4698,277,240,512,2775,2610,5388
LGA57280,0,184,225,411,15,40,60,50,49,95,0,0,0,65,90,154,299,377,674,944,971,1910,3,9,10,1241,1351,2591,122,122,250,219,180,397,1209,936,2146,1548,1246,2791,1435,1476,2916,5554,5008,10559,1243,965,2207,8229,7449,15684
LGA57350,0,40,36,74,0,5,5,18,19,40,0,0,0,18,23,45,16,9,26,111,135,246,0,0,0,123,155,276,0,0,3,15,18,38,114,117,231,135,139,271,34,40,74,303,346,649,118,120,236,459,504,961
LGA57420,0,54,54,112,0,0,0,28,32,59,0,0,0,28,36,68,6,9,19,258,268,527,3,0,0,268,281,544,3,8,7,35,28,61,92,69,164,136,106,239,39,47,88,958,858,1817,101,80,184,1095,987,2085
LGA57490,56,3400,4783,8182,44,69,116,1712,2202,3919,23,27,44,1776,2296,4078,488,610,1098,16817,20848,37663,103,118,222,17405,21576,38980,120,107,234,2453,2666,5117,3978,2624,6597,6550,5397,11949,1771,1829,3605,61083,63892,124966,4230,2872,7108,67085,68591,135678
LGA57630,0,4,0,10,0,0,0,5,0,3,0,0,0,5,0,3,0,0,0,17,9,22,0,0,0,17,9,22,0,0,0,0,0,5,24,7,34,27,7,38,0,0,0,40,29,72,24,7,34,70,37,109
LGA57700,9,668,910,1581,4,8,10,271,342,617,0,4,6,279,358,634,103,121,227,3571,4255,7827,18,22,47,3698,4403,8095,80,20,106,838,542,1384,701,506,1210,1629,1067,2691,472,448,920,14832,15099,29929,766,556,1325,16069,16102,32173
LGA57770,0,19,23,43,7,0,7,11,4,20,0,0,0,15,4,20,27,12,36,88,101,193,0,0,4,116,116,230,3,5,5,17,22,37,75,75,151,91,105,198,67,38,101,377,398,774,81,79,158,520,507,1031
LGA57840,13,896,1232,2129,11,19,33,407,528,941,0,4,8,422,553,975,84,88,172,4908,5903,10808,17,34,50,5005,6028,11031,27,24,49,693,780,1476,839,794,1628,1559,1596,3156,327,309,636,20035,21001,41033,877,857,1732,21244,22163,43405
LGA57910,77,4721,6663,11383,36,82,116,2265,3059,5330,10,28,36,2318,3166,5480,365,523,885,24580,30917,55495,126,174,300,25071,31606,56679,91,82,165,3358,3562,6923,4792,4141,8931,8238,7780,16023,1255,1349,2606,103492,110649,214137,5119,4509,9626,109870,116500,226369
LGA57980,4,371,508,882,0,0,0,144,192,332,3,0,0,143,194,340,27,17,46,1972,2432,4404,16,10,25,2013,2463,4477,8,0,6,241,267,508,358,311,672,606,581,1183,62,65,128,7768,8644,16417,389,334,726,8219,9044,17267
LGA58050,37,3227,4641,7868,52,106,157,1479,2051,3524,6,20,28,1546,2176,3717,639,777,1414,16967,20331,37297,72,97,166,17673,21204,38878,191,300,489,2798,2807,5608,3404,2592,5992,6392,5698,12094,2568,2733,5302,69777,71421,141209,3647,2826,6471,75992,76981,152974
LGA58190,0,17,15,31,0,0,0,7,3,6,0,0,0,8,3,13,6,3,9,58,47,100,0,0,6,56,51,113,0,0,4,6,0,10,25,22,50,33,27,57,10,17,29,170,131,306,27,21,54,217,172,386
LGA58260,0,13,18,35,0,0,4,9,6,15,0,0,0,12,7,20,11,8,17,74,63,139,0,0,0,86,72,159,0,0,0,14,7,20,40,42,84,57,54,107,25,28,50,232,204,436,43,42,91,296,274,575
LGA58330,0,180,161,337,0,5,3,89,80,171,0,0,5,87,90,175,23,23,48,714,720,1430,8,6,15,744,745,1487,6,4,9,91,70,161,263,205,471,358,280,637,73,60,136,2015,1947,3959,283,222,508,2370,2229,4601
LGA58400,0,16,16,25,0,0,0,14,11,21,0,0,0,14,9,27,0,0,5,59,46,107,0,0,0,66,48,109,0,0,3,3,12,11,12,17,33,16,23,47,9,8,15,128,120,243,18,17,32,151,137,298
LGA58470,0,9,0,10,0,0,7,0,0,0,0,0,0,0,3,4,18,13,27,13,11,22,0,0,0,30,19,49,9,3,15,3,0,3,7,0,10,15,8,20,54,38,95,34,33,61,7,3,15,95,79,170
LGA58510,14,780,1074,1857,12,21,32,352,442,794,3,3,8,374,462,836,109,117,223,4027,4819,8839,27,22,51,4159,4956,9115,22,27,47,623,743,1369,1020,795,1819,1664,1568,3230,338,318,656,16998,17307,34306,1071,852,1921,18416,18477,36889
LGA58540,0,29,22,48,0,0,3,14,11,19,0,0,0,13,11,25,0,3,9,107,103,215,3,0,3,117,110,230,0,0,0,23,8,25,45,50,91,66,57,122,14,18,31,357,317,673,47,49,98,424,381,802
LGA58570,5,679,958,1634,3,6,12,270,318,588,0,0,3,269,329,602,43,72,116,3920,4773,8696,15,13,27,3973,4858,8833,13,8,19,545,489,1036,948,730,1673,1500,1229,2732,151,160,318,17107,17375,34483,981,754,1734,18240,18293,36537
LGA58610,0,60,55,121,0,0,0,35,33,66,3,0,3,38,33,71,6,3,13,258,287,546,3,5,6,270,298,564,3,7,3,32,26,64,80,94,176,117,125,245,24,24,49,764,747,1513,97,103,202,888,869,1761
LGA58680,0,12,17,33,0,0,0,10,8,9,0,0,0,6,11,17,0,3,6,65,66,129,0,5,5,63,71,138,0,0,0,13,5,12,53,43,91,62,48,108,3,6,11,227,200,428,57,43,97,290,250,535
LGA58760,56,4318,6083,10405,48,75,127,1998,2736,4735,17,22,38,2057,2835,4896,495,616,1116,22721,28364,51088,110,122,237,23329,29107,52436,140,135,280,3787,3807,7593,4182,3025,7214,8111,6971,15084,1910,2060,3971,96412,100920,197334,4485,3324,7809,102807,106304,209111
LGA58820,4,138,201,344,0,0,3,70,71,145,0,0,0,74,74,147,31,23,54,592,688,1280,5,5,8,627,713,1338,5,4,7,123,94,215,140,105,250,267,204,468,85,71,159,1878,1927,3800,159,122,280,2114,2120,4234
LGA58890,0,20,24,49,0,0,0,13,9,23,0,0,0,13,9,22,5,0,7,96,108,206,0,0,0,108,108,213,0,0,3,9,9,19,50,48,101,59,62,124,16,8,27,348,303,644,49,48,102,414,362,773
LGA59030,0,4,7,12,0,0,0,4,0,3,0,0,0,4,0,3,0,3,3,40,36,71,0,0,0,37,34,72,0,0,0,7,4,9,10,14,22,17,14,34,0,3,4,114,111,222,10,14,22,123,125,248
LGA59100,0,7,16,23,0,0,0,12,10,21,0,0,0,12,10,21,4,0,0,86,90,179,0,0,0,87,95,181,0,4,4,22,15,39,54,47,100,77,67,139,9,9,20,292,274,562,59,50,105,366,329,690
LGA59170,4,37,23,56,0,0,0,12,11,24,0,0,0,12,14,26,4,3,12,123,119,236,0,5,5,127,126,249,0,0,0,13,11,23,54,53,105,63,66,127,6,11,18,455,437,893,53,56,110,521,500,1021
LGA59250,0,9,10,26,13,20,28,0,0,0,0,0,0,13,18,31,26,27,56,27,18,43,0,0,0,54,45,97,5,0,8,11,3,7,117,39,161,130,45,177,63,73,141,162,75,236,117,39,161,345,189,535
LGA59310,0,38,51,88,0,0,0,20,19,39,0,0,0,20,22,43,8,13,17,182,193,374,5,0,6,189,209,400,0,4,4,20,14,31,48,34,87,72,56,124,42,31,76,594,524,1117,62,43,103,696,601,1297
LGA59320,0,14,13,32,0,0,0,6,14,24,0,0,0,12,14,22,0,0,3,78,69,145,0,0,0,79,71,146,0,0,0,5,9,17,23,18,40,31,27,55,9,0,7,212,188,395,27,22,47,238,210,448
LGA59330,0,27,19,47,0,4,4,15,16,30,0,0,0,17,19,33,8,6,9,96,78,170,0,0,0,106,85,185,0,0,0,7,9,13,23,26,41,25,30,58,12,19,29,206,189,397,18,26,43,244,227,470
LGA59340,0,111,123,231,8,31,39,23,18,46,0,0,4,34,55,85,191,251,439,387,407,792,8,9,14,582,664,1244,162,148,311,69,53,126,569,561,1132,799,766,1566,1186,1325,2515,1910,1860,3773,598,596,1191,3699,3775,7477
LGA59350,0,3,3,7,0,3,6,0,0,0,0,0,0,3,3,3,6,11,13,16,5,25,0,0,0,24,20,39,3,5,6,5,0,3,116,33,149,123,35,158,34,35,66,86,37,121,116,32,148,242,101,340
LGA59360,0,40,31,69,0,0,3,15,21,36,0,0,0,17,24,35,7,3,7,160,126,287,0,0,0,166,134,298,0,0,0,27,15,38,147,46,200,174,58,233,16,11,26,565,376,945,154,52,202,731,439,1173
LGA59370,4,145,142,287,3,10,15,69,78,143,0,0,0,74,81,155,27,26,56,552,609,1159,7,8,16,587,643,1225,3,4,8,62,56,119,146,107,260,212,168,379,64,75,144,1503,1518,3020,164,131,298,1731,1731,3459
LGA59499,0,152,163,318,12,5,18,64,61,125,0,3,5,79,67,147,81,76,152,676,629,1306,11,12,19,768,713,1482,610,492,1106,915,384,1303,753,436,1191,2281,1315,3591,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
LGA59799,0,3,0,3,0,0,0,7,0,7,0,0,0,7,0,7,3,0,3,35,4,39,0,0,0,43,4,43,0,0,0,5,0,8,191,19,214,204,20,226,7,3,9,256,32,293,193,19,218,455,58,514
