LGA_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
LGA51330,550,616,1165,20,9,31,13,26,45,586,652,1236,45613,45734,91347,1822,1455,3279,48021,47844,95860
LGA51400,229,254,487,0,0,0,3,10,12,234,267,498,8207,8678,16887,438,343,790,8882,9287,18175
LGA51470,9,12,22,0,0,0,0,0,0,9,12,22,236,209,446,44,38,83,287,261,552
LGA51540,388,455,839,3,0,4,0,5,7,392,462,857,1850,1660,3514,482,398,882,2732,2520,5251
LGA51610,36,34,70,0,0,0,0,0,0,36,33,74,658,616,1280,103,100,203,806,750,1556
LGA51680,83,79,159,0,0,0,0,0,4,85,84,161,2664,2640,5305,256,201,460,3005,2924,5930
LGA51710,4,6,9,0,0,0,0,0,0,4,4,10,867,577,1442,134,98,234,1006,685,1692
LGA51750,53,30,88,0,4,4,0,4,4,53,36,88,5072,5606,10685,251,261,512,5379,5909,11284
LGA51820,1074,1081,2159,22,7,27,26,25,42,1116,1116,2233,54562,56831,111391,2496,1965,4469,58179,59910,118091
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,261,244,510,45,47,86,302,292,593
LGA51890,190,170,364,4,0,4,5,0,11,200,178,374,3936,3881,7823,324,287,615,4468,4347,8812
LGA51960,140,171,306,3,0,0,0,3,6,144,173,311,1295,1083,2384,437,345,779,1881,1601,3478
LGA52030,10,18,31,0,0,0,0,0,0,10,18,31,489,407,899,72,53,128,577,482,1055
