LGA_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
LGA54130,..,0,0,4,6,0,9,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,4,6,0,9,..,142,33,56,28,3,266,..,..,..,0,0,4,7,..,..,..,..,..,0,0,..,142,33,60,28,8,274
LGA54170,..,165,162,131,68,33,554,..,..,..,12,12,14,32,..,..,..,..,..,7,7,..,165,162,133,74,46,589,..,19008,9525,11044,3726,846,44151,..,..,..,554,491,574,1624,..,..,..,..,..,43,43,..,19008,9525,11594,4222,1473,45819
LGA54200,..,133,110,112,61,36,448,..,..,..,6,13,17,37,..,..,..,..,..,0,0,..,133,110,115,74,55,490,..,6909,3259,3316,1376,447,15318,..,..,..,212,205,262,675,..,..,..,..,..,44,44,..,6909,3259,3528,1584,754,16033
LGA54280,..,179,126,110,79,58,550,..,..,..,19,16,36,66,..,..,..,..,..,0,0,..,179,126,123,94,101,622,..,2646,1393,1353,579,219,6197,..,..,..,56,51,94,206,..,..,..,..,..,3,3,..,2646,1393,1409,637,324,6400
LGA54310,..,168,153,156,89,55,629,..,..,..,20,9,44,65,..,..,..,..,..,3,3,..,168,153,169,102,106,698,..,1460,842,1105,495,118,4017,..,..,..,20,24,51,89,..,..,..,..,..,8,8,..,1460,842,1126,518,175,4113
LGA54340,..,42,35,20,14,8,109,..,..,..,3,0,6,11,..,..,..,..,..,4,4,..,42,35,21,14,21,125,..,431,162,149,51,45,838,..,..,..,3,6,30,46,..,..,..,..,..,0,0,..,431,162,150,58,81,888
LGA54410,..,10,7,4,0,0,28,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,10,7,4,0,0,28,..,143,45,27,14,12,246,..,..,..,3,6,0,10,..,..,..,..,..,0,0,..,143,45,36,12,14,253
LGA54480,..,3,0,0,0,0,3,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,0,0,0,0,3,..,41,19,32,13,5,109,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,41,19,32,13,5,109
LGA54550,..,13,13,4,4,0,34,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,13,13,4,4,0,34,..,223,64,81,44,17,427,..,..,..,3,0,9,9,..,..,..,..,..,0,0,..,223,64,80,44,19,434
LGA54620,..,4,6,4,0,0,14,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,4,6,4,0,0,19,..,110,27,27,11,8,179,..,..,..,3,0,0,6,..,..,..,..,..,0,0,..,110,27,28,17,8,184
LGA54690,..,0,0,0,0,0,3,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,3,..,49,11,18,12,0,89,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,49,11,18,12,0,91
LGA54760,..,0,4,0,0,0,7,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,4,0,0,0,9,..,99,23,27,24,3,184,..,..,..,0,0,5,4,..,..,..,..,..,0,0,..,99,23,30,24,6,187
LGA54830,..,153,128,111,57,43,488,..,..,..,5,5,34,47,..,..,..,..,..,0,0,..,153,128,112,68,78,535,..,4109,2588,2500,1049,442,10685,..,..,..,121,168,332,616,..,..,..,..,..,45,45,..,4109,2588,2619,1210,815,11343
