LGA_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA57280,3,58,86,142,71,92,165,64,63,126,1177,910,2085,1316,1064,2380,494,523,1019,1291,1425,2713,1181,914,2098,2961,2865,5828
LGA57350,0,0,6,6,0,4,5,3,9,10,110,118,227,121,124,242,11,11,20,39,55,96,110,118,227,159,188,340
LGA57420,0,4,10,11,3,4,8,18,19,35,92,72,161,118,94,209,14,18,30,168,192,363,95,75,171,278,276,559
LGA57490,5,522,735,1262,47,40,89,674,813,1489,3870,2550,6423,4590,3402,7995,746,787,1531,16402,17811,34212,3921,2598,6523,21066,21196,42267
LGA57630,0,0,0,0,0,0,0,0,0,0,24,7,34,26,9,41,0,0,0,0,0,0,24,7,34,26,11,36
LGA57700,0,122,172,291,61,0,65,413,133,547,686,485,1174,1162,628,1785,242,184,422,4334,4306,8640,702,498,1200,5279,4988,10265
LGA57770,0,0,0,0,0,0,0,18,17,28,75,74,145,90,87,177,22,7,29,54,75,131,75,74,149,147,159,304
LGA57840,0,157,200,360,16,10,32,229,305,536,814,772,1582,1059,1087,2146,176,130,306,5650,5488,11138,824,790,1611,6652,6405,13053
LGA57910,14,957,1377,2327,40,43,83,977,1123,2099,4672,4020,8694,5693,5183,10884,427,440,864,26520,28673,55199,4746,4095,8846,31703,33210,64913
LGA57980,0,53,85,134,0,0,4,112,97,205,358,304,664,470,405,869,23,23,46,2117,2335,4448,364,310,673,2502,2667,5165
LGA58050,0,653,929,1583,74,204,276,742,988,1733,3331,2501,5825,4142,3691,7833,1041,1208,2251,19040,19975,39018,3387,2561,5944,23468,23749,47215
LGA58190,0,0,0,0,0,0,0,3,0,4,27,21,50,29,27,55,9,3,14,38,28,65,31,24,50,72,57,125
LGA58260,0,0,0,5,7,6,8,0,4,4,44,42,80,50,48,99,11,17,26,35,44,84,44,44,80,90,96,187
LGA58330,0,17,24,35,0,6,3,41,27,69,259,204,459,301,234,538,32,23,59,337,376,715,267,209,481,641,614,1253
LGA58400,0,0,0,0,0,0,4,4,0,4,12,17,33,16,21,40,4,0,6,16,20,32,12,17,33,33,39,68
LGA58470,0,0,0,0,0,0,4,0,0,0,7,0,13,13,3,17,16,15,26,7,12,19,7,6,13,32,25,58
LGA58510,0,210,245,450,19,31,49,309,517,822,999,772,1771,1331,1319,2642,122,116,240,4365,4941,9308,1004,776,1777,5492,5837,11329
LGA58540,0,0,0,0,0,0,0,3,3,9,45,46,86,50,54,99,3,3,15,59,61,118,45,46,86,107,115,220
LGA58570,0,165,238,408,3,0,4,109,86,196,932,710,1644,1040,803,1845,59,60,118,4101,4490,8594,939,716,1655,5097,5271,10365
LGA58610,0,0,4,3,0,0,0,18,13,33,79,94,173,100,108,203,4,6,9,140,134,271,79,95,175,223,233,460
LGA58680,0,6,4,7,0,0,0,4,0,3,53,43,91,56,43,95,0,4,4,34,32,70,53,43,91,89,78,170
LGA58760,7,876,1304,2185,46,49,98,1049,1153,2207,4058,2920,6981,5160,4119,9278,807,864,1675,27591,29400,56995,4137,2998,7131,32541,33259,65803
LGA58820,0,4,13,13,3,0,3,55,65,120,140,102,241,198,172,370,35,27,61,377,460,838,140,103,243,548,592,1139
LGA58890,0,0,3,3,0,0,0,0,0,0,47,53,92,49,55,98,3,0,8,55,52,107,46,53,98,102,111,210
LGA59030,0,0,0,0,0,0,0,0,0,4,10,12,21,12,13,29,0,0,0,21,19,40,10,12,21,27,28,59
LGA59100,0,0,7,7,0,0,0,0,0,3,56,47,102,56,48,109,6,3,10,47,65,112,56,47,102,107,117,222
LGA59170,0,0,5,3,0,0,0,7,6,15,54,49,98,53,57,112,5,5,10,90,102,196,55,49,103,146,151,302
LGA59250,0,6,4,8,4,4,5,4,0,6,117,43,157,125,47,174,22,24,43,18,16,35,117,43,157,162,86,241
LGA59310,0,4,3,8,0,0,0,8,10,19,47,35,86,63,46,110,14,11,25,107,117,224,47,35,86,169,162,337
LGA59320,0,0,0,4,0,0,0,7,4,9,22,18,41,28,25,51,3,0,6,46,41,90,22,18,41,69,66,134
LGA59330,0,0,0,0,0,0,0,0,6,3,23,26,41,22,24,48,3,8,17,26,25,51,23,26,41,54,55,103
LGA59340,0,16,16,36,100,90,186,26,17,42,543,549,1095,668,657,1320,395,425,819,367,392,760,549,554,1108,1309,1378,2686
LGA59350,0,0,0,0,0,0,0,3,0,3,111,33,146,116,34,150,10,4,20,9,0,9,111,33,146,133,42,168
LGA59360,0,5,4,7,0,0,0,13,6,16,148,47,190,161,52,208,3,0,8,57,54,115,148,47,190,209,104,311
LGA59370,0,3,3,8,0,0,4,29,27,57,143,104,249,174,132,308,24,34,57,240,265,508,148,113,260,416,407,824
LGA59499,0,23,34,55,603,481,1082,892,362,1248,734,422,1159,2227,1260,3489,637,521,1157,1163,677,1838,736,422,1163,2535,1623,4160
LGA59799,0,0,0,3,0,0,0,0,0,6,191,19,214,193,20,219,0,0,0,16,9,28,191,19,214,209,28,237
