LGA_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
LGA53430,71,8344,21,8437,16,828,7,853,45,1624,8,1679,6,277,4,291,12,339,3,355,0,69,0,72,15,265,827,1099,170,11750,862,12783,88,9515,29,9634,28,687,10,723,36,1549,11,1597,16,264,0,283,13,439,3,456,0,93,0,95,11,338,620,967,190,12889,672,13752,161,17856,56,18074,46,1519,12,1576,86,3177,13,3274,23,545,4,566,21,778,9,808,5,165,0,167,22,602,1445,2067,357,24639,1533,26537
LGA53570,9,841,14,868,3,210,10,224,25,763,15,797,0,125,0,129,5,113,5,118,0,20,0,20,3,69,208,277,52,2143,243,2439,12,962,3,980,5,227,0,233,16,594,12,620,5,86,0,88,0,59,3,68,0,19,0,20,0,56,127,186,37,2006,147,2195,21,1807,15,1844,10,438,7,457,38,1356,20,1416,8,212,0,221,8,175,5,188,0,35,0,38,4,126,336,470,88,4149,390,4634
LGA53640,11,227,0,231,4,33,0,39,9,127,0,140,4,23,0,27,3,11,0,14,0,3,0,3,0,11,36,48,32,440,39,504,10,211,0,216,4,21,0,25,13,93,0,110,3,15,0,13,0,10,0,12,0,6,0,6,0,8,25,38,30,367,28,422,12,439,0,450,8,55,0,65,26,222,0,247,6,40,0,47,7,23,0,26,0,4,0,4,4,22,66,91,62,803,67,926
LGA53710,5,139,0,139,0,35,0,40,5,117,0,121,0,24,0,24,6,17,0,22,0,0,0,0,0,14,46,61,14,341,48,403,0,159,0,157,0,32,0,33,6,98,3,104,0,19,0,19,0,8,0,15,0,0,0,0,0,6,43,50,11,324,45,377,5,298,0,300,3,63,0,67,8,216,3,222,0,43,0,43,3,30,0,28,0,0,0,0,0,19,91,108,20,664,91,779
LGA53780,313,26066,75,26446,117,3863,22,4005,515,9425,42,9980,79,1722,8,1809,65,1509,7,1582,35,761,8,800,65,971,2130,3176,1185,44321,2290,47793,370,27436,65,27866,139,3693,15,3852,388,8709,35,9127,69,1597,9,1675,46,1652,15,1716,8,903,0,916,38,982,1728,2749,1067,44968,1866,47899,681,53499,140,54315,260,7554,38,7857,899,18132,72,19103,149,3319,18,3484,113,3166,23,3294,39,1665,4,1713,105,1958,3858,5920,2247,89290,4158,95694
LGA53800,302,5145,27,5466,133,1679,11,1828,422,3916,22,4362,95,731,5,826,71,574,7,652,22,67,0,88,75,230,1373,1675,1118,12340,1438,14908,381,6523,30,6930,235,1741,10,1983,393,3297,27,3715,98,602,6,705,55,456,10,519,18,88,0,100,86,249,1186,1522,1261,12948,1261,15475,677,11669,55,12397,372,3420,19,3805,817,7213,49,8076,194,1335,12,1536,122,1035,17,1172,43,149,0,189,157,483,2558,3199,2378,25294,2704,30374
LGA53920,136,141,6,280,130,32,0,157,275,56,3,339,84,6,0,89,127,5,0,135,38,0,0,37,102,5,118,218,880,244,134,1257,189,161,3,361,160,21,4,180,339,29,3,372,78,4,4,89,103,0,0,105,31,0,0,32,86,3,98,192,994,224,114,1331,319,305,14,638,283,53,4,339,612,84,12,713,163,5,4,174,231,9,0,240,68,0,3,73,188,9,208,410,1875,462,241,2588
LGA53990,75,4185,14,4278,30,1259,0,1296,90,3220,16,3324,19,534,8,557,8,317,8,331,0,24,0,27,12,169,605,780,232,9711,649,10588,74,5147,21,5244,46,1288,5,1344,90,2855,17,2960,18,420,5,440,0,293,7,301,0,24,0,25,9,182,426,615,239,10213,479,10934,146,9336,36,9521,77,2551,6,2638,179,6075,34,6287,34,950,7,996,4,606,12,630,0,47,0,54,20,350,1029,1397,474,19923,1129,21521
LGA54060,6,430,3,442,10,168,0,175,14,447,3,464,4,119,4,122,0,76,0,75,0,0,0,0,3,43,173,225,39,1278,188,1507,17,564,5,577,9,187,0,198,23,409,6,438,4,77,0,81,6,51,0,51,0,3,0,3,0,40,135,169,48,1327,139,1525,27,994,3,1020,15,356,5,374,36,855,9,907,5,194,4,204,6,122,0,125,0,3,0,3,7,82,308,393,91,2610,331,3032
LGA54130,3,224,0,228,0,36,0,36,10,119,0,127,0,27,0,25,0,11,0,11,0,0,0,0,0,8,37,49,18,418,37,473,5,218,0,223,0,51,0,51,0,89,0,89,5,8,0,12,0,3,0,3,0,0,0,0,0,5,38,41,10,370,38,422,9,440,0,449,0,87,0,87,10,204,0,213,0,35,0,41,0,20,0,20,0,0,0,0,3,10,73,90,26,793,73,892
LGA54170,209,38288,99,38592,43,5443,15,5500,107,11160,40,11308,28,1501,6,1532,15,747,4,767,0,132,8,145,7,683,2166,2857,421,57949,2339,60708,209,41716,98,42022,51,5217,18,5285,98,10952,50,11111,15,1419,14,1446,14,1013,10,1031,7,178,0,183,11,852,1430,2293,394,61347,1622,63360,412,79998,199,80617,95,10655,32,10784,211,22121,91,22419,40,2914,22,2975,26,1754,17,1798,4,316,10,329,19,1536,3599,5147,809,119299,3960,124072
LGA54200,137,11603,29,11772,49,2267,3,2327,111,5087,23,5218,32,875,8,910,12,534,3,555,7,112,0,123,14,305,961,1278,361,20795,1029,22186,166,13297,33,13499,67,2142,6,2218,108,4736,15,4860,25,719,5,755,15,538,8,561,0,133,0,136,16,411,726,1155,406,21984,788,23175,304,24904,59,25270,110,4416,11,4540,218,9820,35,10076,59,1592,12,1665,29,1075,7,1119,10,244,6,259,30,710,1683,2428,770,42774,1820,45359
LGA54280,200,4490,14,4705,87,1314,12,1412,287,2922,19,3228,53,467,3,524,60,230,0,287,22,50,0,69,79,235,1162,1476,781,9702,1217,11705,176,4965,12,5155,92,1016,0,1116,214,2050,13,2276,45,308,8,356,32,231,3,257,8,34,3,46,80,190,872,1144,654,8793,907,10357,376,9455,31,9860,175,2332,19,2524,507,4973,31,5506,99,775,7,882,90,458,4,547,34,79,3,114,158,421,2033,2621,1441,18488,2127,22056
LGA54310,262,3391,16,3663,150,868,4,1016,351,1529,5,1888,63,199,0,265,58,74,4,132,24,26,0,46,26,100,1610,1737,932,6189,1636,8751,252,3664,18,3932,145,558,0,708,238,877,7,1117,50,102,0,161,45,55,5,100,3,10,0,15,30,62,1047,1139,767,5324,1074,7166,514,7055,29,7605,295,1429,6,1726,584,2405,9,3003,116,307,3,429,97,124,5,227,31,34,0,65,57,164,2655,2873,1695,11520,2714,15921
LGA54340,20,527,3,554,17,149,0,169,36,356,5,396,9,93,4,100,14,107,0,120,0,56,0,59,9,73,139,221,104,1355,153,1615,30,567,9,604,19,151,0,174,42,293,5,332,15,65,0,80,7,85,3,103,3,56,0,56,10,60,116,187,126,1274,128,1535,57,1094,9,1158,37,296,3,341,73,646,10,725,25,156,4,179,15,196,4,216,0,115,0,121,18,132,259,402,228,2632,280,3147
LGA54410,5,145,0,158,4,38,0,40,14,114,0,135,6,34,0,44,0,27,6,32,0,0,0,3,7,21,60,83,36,387,65,494,0,160,0,165,0,49,0,51,10,120,0,130,4,24,0,23,0,16,0,21,0,0,0,0,3,22,50,78,25,398,54,474,8,308,3,327,7,80,0,93,24,240,0,263,10,58,0,64,5,46,9,52,0,3,0,5,7,46,106,160,63,781,121,966
LGA54480,0,99,0,102,0,14,0,14,0,50,0,50,0,3,0,5,0,8,0,10,0,0,0,0,0,3,21,25,0,173,19,201,0,88,0,88,0,14,0,15,0,24,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,135,18,158,0,191,0,191,0,26,0,25,0,73,0,72,0,7,0,10,0,7,0,11,0,0,0,0,0,4,41,48,3,314,40,357
LGA54550,5,339,3,349,0,69,0,69,8,189,3,198,5,37,0,42,5,26,0,29,0,0,0,0,4,26,52,86,29,685,59,779,10,369,0,378,4,62,0,63,12,140,5,156,0,14,0,19,5,28,0,31,0,0,0,0,4,20,51,75,33,638,57,730,14,711,4,726,4,132,4,137,24,330,9,356,4,57,4,58,5,56,0,62,0,0,0,0,7,43,105,160,61,1328,120,1508
LGA54620,0,131,0,131,0,35,0,34,8,91,4,104,3,20,0,22,0,18,0,24,0,4,0,4,0,9,41,54,14,316,46,376,3,145,0,145,0,29,0,32,13,60,0,76,3,13,0,15,3,6,0,10,0,0,0,0,0,6,36,44,21,260,39,314,3,279,0,285,0,63,0,64,19,153,6,175,6,32,0,43,6,28,0,29,0,4,0,4,0,18,74,90,37,569,83,689
LGA54690,0,63,0,63,0,18,0,19,0,49,0,49,0,12,0,12,0,11,0,11,0,0,0,0,0,9,7,15,0,159,7,166,0,65,0,63,4,9,0,14,0,36,0,35,0,4,0,9,0,3,0,3,0,0,0,0,0,3,0,8,3,122,0,127,0,127,0,125,5,31,0,33,0,86,0,87,0,20,0,21,0,14,0,14,0,0,0,0,0,13,5,20,8,283,7,298
LGA54760,6,153,0,159,0,26,0,26,0,68,0,70,0,10,0,14,0,17,0,17,0,0,0,3,3,5,33,33,10,279,33,315,3,151,0,151,0,27,0,26,4,48,0,53,0,7,0,7,0,4,0,4,0,0,0,0,0,0,28,35,8,236,28,282,6,306,0,313,0,50,0,48,0,115,0,124,0,15,0,17,0,22,0,22,0,3,0,0,5,3,63,70,15,522,62,596
LGA54830,183,8279,21,8474,46,1688,9,1745,514,4075,18,4600,38,649,3,695,53,387,4,444,50,97,0,153,25,351,896,1270,907,15528,949,17385,191,9339,24,9555,69,1538,4,1615,132,3338,14,3485,37,564,3,604,21,406,6,435,3,111,0,116,15,265,651,926,467,15561,704,16734,371,17620,39,18029,121,3224,17,3363,648,7407,30,8086,80,1217,9,1303,68,800,8,882,49,210,5,261,38,620,1545,2194,1376,31090,1651,34116
LGA54900,4,265,0,268,0,46,0,46,3,133,0,138,0,22,0,20,0,12,0,8,0,0,0,0,0,11,37,51,9,486,41,536,7,249,0,255,3,49,0,52,0,94,0,94,0,13,0,14,0,8,0,8,0,0,0,4,0,9,31,33,14,415,30,460,11,510,0,523,3,99,0,98,9,224,0,230,0,35,3,35,0,19,0,23,0,0,0,3,0,18,63,83,18,905,71,994
LGA54970,23,190,0,212,24,58,0,87,47,81,0,132,6,13,0,20,10,13,0,17,0,5,0,5,3,7,346,358,104,375,346,829,21,86,0,112,23,24,0,46,48,21,0,72,10,0,0,12,13,0,0,11,0,0,0,0,0,4,88,93,116,139,96,348,44,281,0,321,45,84,0,127,95,107,0,208,17,16,0,37,20,7,0,33,0,5,0,6,3,13,438,453,228,514,444,1178
LGA55040,14,222,0,235,6,62,0,70,13,121,0,131,4,31,5,35,5,10,0,9,0,5,0,3,0,10,327,346,40,461,336,836,11,160,0,172,13,32,0,44,12,75,0,91,6,13,0,14,15,9,0,22,0,0,0,0,0,13,116,129,62,299,113,473,24,385,0,411,18,100,0,117,32,193,0,222,6,38,5,50,19,16,0,36,0,6,0,7,3,23,441,475,99,757,449,1309
LGA55110,222,14132,63,14418,104,3697,16,3815,234,9438,54,9730,68,1931,25,2020,29,1178,20,1224,14,108,0,116,23,799,2039,2861,693,31275,2215,34191,285,16873,69,17226,97,4126,23,4250,260,10090,59,10407,59,1899,17,1972,30,1192,18,1238,10,100,5,107,33,1075,1502,2611,764,35358,1687,37807,509,31003,131,31645,197,7822,46,8061,498,19528,112,20141,127,3821,38,3989,55,2369,32,2462,18,204,3,228,49,1874,3544,5466,1454,66632,3905,71994
LGA55180,30,1344,8,1373,10,377,3,391,34,1078,5,1117,6,240,3,250,0,157,5,158,0,39,0,37,7,76,264,350,92,3297,289,3669,35,1625,8,1670,13,450,3,465,28,842,10,871,4,154,0,159,3,138,3,139,0,17,0,19,3,78,252,331,88,3300,275,3661,67,2966,13,3044,28,822,11,855,57,1923,14,1994,13,392,0,406,3,288,5,298,0,56,0,59,12,151,514,682,173,6592,563,7333
LGA55250,15,151,3,174,16,41,0,54,43,100,4,145,15,15,0,28,23,9,0,37,0,6,0,6,23,5,148,178,129,332,156,617,43,83,0,129,22,20,0,43,49,27,0,76,7,9,0,15,16,0,0,16,3,0,0,3,27,0,81,108,166,140,80,388,60,236,7,300,38,59,0,101,95,127,4,227,23,25,0,39,38,15,0,52,3,6,0,5,49,8,226,284,296,473,236,1003
LGA55320,136,27641,68,27839,38,2295,11,2338,62,4854,24,4940,24,751,8,779,16,601,3,624,0,133,0,130,10,563,1364,1940,288,36825,1476,38592,168,30297,57,30526,26,2481,12,2523,79,5986,43,6107,21,906,8,930,7,931,13,954,3,199,0,204,17,754,1150,1920,329,41556,1282,43162,308,57934,127,58367,67,4772,21,4859,143,10836,61,11046,44,1654,16,1712,24,1532,19,1576,3,330,0,340,29,1319,2518,3863,614,78380,2760,81752
LGA55390,11,111,0,121,4,25,0,30,15,53,0,70,8,6,0,10,5,4,0,7,0,0,0,7,0,6,129,142,45,211,129,382,10,32,0,39,3,9,0,14,14,15,0,27,0,0,0,0,0,0,0,4,7,0,0,7,0,0,19,23,35,56,19,109,21,139,0,159,9,31,0,47,30,69,0,97,3,7,0,11,5,5,0,11,4,0,0,8,0,10,147,157,77,265,147,493
LGA55460,17,452,0,473,4,146,0,154,19,316,0,342,4,66,0,70,3,58,3,66,0,0,0,0,8,7,153,172,53,1052,166,1273,12,485,3,499,5,135,0,138,15,256,0,270,7,54,0,60,4,32,0,41,0,4,0,4,8,31,117,153,48,998,127,1165,34,936,9,977,12,283,0,291,32,570,4,609,12,121,0,132,6,95,3,105,0,4,0,4,14,37,272,323,104,2044,292,2439
LGA55530,0,68,0,75,0,17,0,22,0,32,0,38,0,8,0,15,4,5,0,13,0,0,0,0,0,3,30,34,9,146,36,187,3,54,0,59,0,14,0,11,0,29,0,29,0,9,0,9,3,3,0,8,0,0,0,0,0,7,19,24,8,110,22,139,6,124,0,130,4,32,0,35,4,66,0,67,0,14,0,20,7,16,0,23,0,0,0,0,0,8,51,62,14,260,56,328
LGA55600,20,315,0,340,13,84,0,102,27,210,3,243,4,52,0,52,6,28,0,36,0,0,0,0,15,20,101,132,88,706,109,902,29,390,0,427,19,69,0,86,24,150,3,173,3,36,0,36,6,21,0,29,0,0,0,0,17,23,90,131,97,692,98,885,55,703,0,760,32,158,7,195,53,360,6,414,5,77,0,85,17,50,0,65,0,0,0,0,31,41,191,265,182,1400,205,1788
LGA55670,11,81,0,94,0,26,0,24,7,49,0,61,4,11,0,14,0,8,0,8,0,0,0,0,5,5,38,40,30,179,36,242,12,100,0,110,3,29,0,34,6,39,0,49,0,11,0,10,0,5,0,6,0,0,0,0,3,0,43,52,27,178,53,254,17,180,0,205,4,47,0,54,15,90,4,108,4,21,0,23,0,9,0,14,0,0,0,0,5,4,83,94,57,361,87,500
LGA55740,11,2671,8,2695,4,149,0,151,9,273,0,286,0,43,0,46,4,38,0,42,3,6,0,16,0,54,188,247,30,3243,198,3471,15,2941,6,2965,6,148,0,151,6,297,0,299,0,40,0,46,0,34,3,36,0,12,0,12,0,82,149,234,31,3556,160,3745,27,5613,19,5662,5,299,0,301,14,573,0,588,4,82,0,88,8,75,3,82,8,23,0,28,3,140,338,481,62,6800,357,7222
LGA55810,6,59,0,62,0,17,0,17,7,29,0,42,3,11,0,18,5,4,0,6,0,0,0,3,0,11,141,151,22,131,141,297,8,53,0,63,0,16,0,20,5,23,0,28,0,11,0,11,0,0,0,0,0,0,0,0,3,0,102,111,20,108,106,233,12,107,0,126,0,33,0,35,12,50,0,69,3,28,0,27,5,8,0,15,0,0,0,0,3,15,239,258,42,243,245,525
LGA55880,0,84,0,84,0,18,0,19,5,49,0,56,0,13,0,13,0,11,0,11,0,0,0,0,0,3,19,25,10,173,19,205,0,82,0,82,0,19,0,21,0,41,0,41,0,11,0,11,0,0,0,0,0,3,0,3,0,0,19,19,9,153,19,179,0,164,0,166,7,33,0,37,10,90,0,102,0,21,0,21,0,15,0,15,0,0,0,0,0,3,38,41,15,333,38,380
LGA55950,4,73,0,78,0,20,0,20,4,77,0,83,0,8,0,11,0,7,0,5,0,0,0,0,0,9,23,32,12,198,23,229,7,82,0,89,0,19,0,20,4,56,0,57,0,5,0,6,0,6,0,6,0,0,0,0,0,6,21,27,10,178,19,205,10,158,0,168,0,36,0,38,6,130,0,136,4,19,3,21,0,17,0,14,0,0,0,0,0,13,38,50,20,376,47,440
LGA56090,154,7381,31,7559,47,1523,13,1577,553,4234,15,4798,21,556,9,586,29,341,0,379,39,113,0,149,20,445,721,1182,862,14584,792,16237,134,8503,40,8677,31,1406,5,1446,56,3221,12,3297,13,475,9,496,10,328,4,339,0,36,0,40,7,263,506,779,258,14238,573,15070,280,15890,64,16239,84,2928,20,3024,610,7453,31,8094,32,1032,11,1077,41,669,3,719,40,144,0,190,26,710,1229,1966,1118,28824,1368,31311
LGA56160,4,16,0,13,6,0,0,3,7,5,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,18,18,3,39,0,12,0,18,3,3,0,6,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,21,0,36,6,27,0,35,10,4,0,10,8,7,0,17,0,3,0,7,0,0,0,0,0,0,0,0,0,0,8,3,25,41,8,73
LGA56230,43,2344,12,2395,39,788,3,827,41,2227,14,2286,13,470,6,490,8,302,10,316,7,21,0,30,7,185,520,714,155,6339,569,7058,46,2811,20,2878,20,937,6,965,52,2093,14,2157,8,351,4,367,4,214,0,221,0,10,0,12,5,195,398,602,145,6612,442,7197,87,5161,33,5278,60,1719,7,1795,96,4313,29,4444,23,824,6,853,13,515,14,538,7,33,0,40,11,386,917,1312,295,12955,1007,14254
LGA56300,7,258,0,263,0,65,0,65,9,181,0,194,0,28,0,34,0,22,0,22,0,3,0,3,0,12,85,95,18,571,87,668,3,278,0,285,0,77,0,73,5,140,0,143,0,21,0,21,0,12,0,16,0,0,0,0,0,15,67,83,15,545,69,627,13,529,0,546,0,142,0,145,14,320,0,337,0,50,0,50,0,36,0,38,0,4,0,4,0,29,150,176,31,1112,155,1296
LGA56370,0,122,0,126,0,35,0,34,0,70,0,77,0,19,0,24,0,14,0,13,0,0,0,0,0,10,62,69,6,268,64,334,0,130,0,131,0,25,0,29,4,54,0,64,0,12,0,12,0,13,0,20,0,0,0,0,0,11,34,50,6,255,40,297,0,253,0,252,0,65,0,63,9,126,0,135,0,26,0,27,0,30,0,33,0,0,0,0,0,18,99,120,10,516,102,631
LGA56460,26,690,7,721,10,172,7,192,22,459,4,490,5,104,0,108,11,70,0,85,0,15,0,16,0,68,171,241,78,1584,194,1851,26,819,6,852,13,221,0,229,24,396,6,427,11,84,3,95,4,65,3,70,0,11,0,11,4,68,155,226,80,1657,174,1910,49,1515,13,1572,21,395,5,419,46,851,17,914,12,188,4,207,12,132,0,153,0,19,0,24,9,132,322,466,157,3238,361,3764
LGA56580,21,6912,25,6959,0,254,5,255,0,425,0,428,0,73,0,76,0,47,0,47,0,11,0,12,0,94,247,339,19,7817,279,8117,16,7225,19,7262,4,274,5,282,5,633,6,647,0,99,4,103,0,60,0,66,0,19,0,19,0,112,257,368,29,8420,283,8736,38,14135,42,14221,4,529,5,537,7,1063,5,1078,0,170,4,175,0,111,0,110,0,29,0,29,0,201,505,712,50,16238,571,16858
LGA56620,55,40,0,96,69,0,0,70,107,15,0,121,50,3,0,56,50,5,0,58,11,0,0,11,36,0,40,73,385,63,40,483,67,31,0,101,64,9,0,71,140,10,0,152,42,0,0,44,68,0,0,68,17,0,0,17,47,3,35,84,439,60,34,537,121,73,0,197,132,8,0,139,244,27,0,273,92,3,0,98,120,5,0,120,24,0,0,24,78,3,71,157,827,123,74,1014
LGA56730,54,1367,10,1424,33,414,0,446,68,1212,10,1286,15,280,0,300,12,191,0,202,4,16,0,18,13,414,417,844,192,3891,444,4524,38,1733,8,1781,38,491,3,531,85,1123,9,1219,27,213,0,235,12,149,4,164,0,10,0,12,16,108,364,489,218,3817,391,4430,92,3094,21,3207,64,902,7,973,155,2338,18,2509,38,492,0,536,18,332,6,364,6,25,6,30,28,522,776,1336,407,7710,833,8953
LGA56790,15,412,4,439,9,120,0,125,23,438,6,462,6,88,0,92,4,66,0,70,0,10,0,10,0,27,184,213,56,1159,195,1412,14,471,13,491,11,131,0,145,22,323,0,345,3,58,3,65,3,44,0,51,0,5,0,5,0,24,148,174,52,1062,164,1277,28,885,15,928,16,253,0,268,39,755,10,807,14,145,3,162,8,114,0,122,0,16,0,16,4,54,337,394,111,2220,366,2692
LGA56860,0,39,0,39,0,7,0,10,0,24,0,29,0,8,0,8,0,0,0,0,0,0,0,0,5,3,19,32,5,80,25,108,0,32,0,39,0,14,0,12,0,19,0,21,0,7,0,7,0,0,0,0,0,0,0,0,0,0,21,25,9,72,25,102,0,68,0,70,0,25,0,24,0,47,0,50,0,13,0,13,0,3,0,3,0,0,0,0,7,5,43,57,11,157,46,211
LGA56930,0,461,0,464,0,20,0,20,0,21,0,21,0,3,0,3,0,0,0,0,0,0,0,0,0,3,25,25,0,515,20,535,0,508,6,514,0,31,0,31,0,36,0,36,0,11,0,9,0,0,0,0,0,3,0,3,0,8,22,29,7,596,24,621,0,974,7,980,0,45,0,45,0,61,0,61,0,12,0,13,0,5,0,5,0,3,0,3,0,12,43,53,7,1111,48,1162
LGA57000,0,113,0,110,0,27,0,27,0,51,0,53,0,5,0,10,0,15,0,14,0,0,0,0,0,8,117,118,6,218,114,339,3,65,0,74,0,27,0,26,4,34,0,41,0,6,0,6,0,3,0,0,0,0,0,0,0,3,45,52,9,134,46,196,6,174,0,180,0,52,0,56,5,87,0,92,0,14,0,14,0,11,0,16,0,0,0,0,0,10,162,174,15,356,164,531
LGA57080,110,10250,14,10370,17,657,3,673,21,839,9,862,7,159,3,163,0,83,0,90,0,58,0,62,10,190,1441,1640,162,12236,1466,13861,105,9552,8,9666,17,485,4,505,24,766,3,795,6,119,0,126,3,106,0,111,0,55,0,55,5,160,961,1120,159,11242,975,12383,212,19808,23,20038,36,1137,6,1175,43,1602,14,1662,11,274,3,287,8,191,0,200,0,116,0,116,11,354,2400,2763,320,23480,2441,26244
LGA57140,4,144,0,152,3,39,0,44,12,122,3,137,5,32,0,35,0,25,0,29,0,0,0,0,3,14,21,36,34,380,27,431,4,172,0,178,0,41,0,42,15,90,0,105,9,26,0,36,3,11,0,16,0,0,0,0,6,13,24,43,33,352,30,421,7,314,4,324,6,78,0,85,29,216,0,246,12,58,0,66,5,38,0,45,0,0,0,0,4,29,46,86,65,733,55,853
LGA57210,19,797,7,820,0,197,3,201,23,634,9,669,8,130,4,138,10,74,0,86,0,33,0,36,3,86,190,274,56,1953,214,2220,15,938,9,963,17,211,0,226,22,501,3,527,4,78,0,84,0,58,0,55,0,18,0,20,0,72,174,246,55,1871,194,2119,29,1732,18,1782,13,406,4,427,46,1135,19,1192,10,211,4,218,9,133,0,142,0,53,3,53,5,152,365,523,110,3823,412,4344
LGA57280,283,2188,15,2484,177,616,0,793,260,1053,6,1317,67,164,6,234,43,67,0,109,20,18,0,34,58,62,999,1117,899,4164,1029,6089,306,2409,12,2736,167,373,0,539,278,636,3,915,68,75,5,148,49,60,0,108,17,19,0,38,88,28,744,860,964,3612,768,5339,590,4598,21,5216,341,988,4,1334,530,1687,9,2235,134,238,6,382,88,131,3,221,34,41,0,74,143,91,1743,1977,1860,7776,1797,11429
LGA57350,0,97,0,103,0,30,0,33,14,93,0,104,4,12,0,16,6,19,0,22,0,0,0,0,0,8,95,102,26,265,97,382,10,121,0,130,8,23,0,24,7,105,0,108,0,22,0,19,6,10,0,15,0,0,0,0,0,6,101,110,30,286,101,416,11,219,0,231,8,47,0,57,19,197,0,216,4,33,0,39,8,30,0,42,0,0,0,0,0,18,198,211,52,551,200,802
LGA57420,3,357,0,364,3,68,0,78,5,248,3,260,3,52,0,51,0,26,0,29,0,3,0,3,6,26,93,119,24,774,96,894,12,364,0,375,7,84,0,91,4,163,3,173,4,37,0,37,0,20,0,19,0,0,0,0,4,22,55,79,33,682,62,773,15,713,0,734,7,158,0,162,17,409,3,427,9,81,0,93,0,46,0,50,0,3,0,5,4,43,146,201,52,1462,155,1668
LGA57490,377,22534,85,23002,147,5940,24,6115,304,12537,64,12908,68,2040,14,2121,33,1009,11,1056,7,152,5,161,38,791,3398,4230,975,45010,3600,49585,435,26464,82,26978,155,5805,19,5979,294,12184,59,12533,90,1927,14,2030,25,1118,18,1157,0,157,3,166,37,999,2081,3121,1029,48656,2271,51960,809,49002,162,49978,303,11747,48,12093,595,24720,123,25439,157,3970,27,4152,61,2125,30,2213,11,311,5,327,79,1793,5473,7345,2011,93668,5876,101553
LGA57630,0,18,0,18,0,4,0,4,0,13,0,13,0,3,0,3,0,4,0,4,0,0,0,0,0,3,24,30,0,40,24,70,0,15,0,15,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,29,7,37,0,29,0,29,0,8,0,8,0,21,0,21,0,5,0,5,0,0,0,0,0,0,0,0,0,5,34,36,0,72,34,113
