POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6050,1570,243,147,0,0,1962,1447,280,263,0,0,1997,272,336,697,4,0,1320,3,10,27,0,0,44,8,26,55,0,0,90,176,104,191,0,0,469,12,6,21,0,0,44,4,3,9,0,0,19,479,492,1008,5,0,1982,61,137,149,0,0,345,18,15,37,0,0,65,3569,1171,1597,13,0,6358
POA6051,652,270,232,0,0,1156,814,648,479,0,0,1939,285,714,1018,0,0,2017,6,152,125,0,0,282,0,17,17,0,0,38,159,231,308,0,0,702,8,33,34,0,3,79,0,4,8,0,0,11,458,1152,1512,0,5,3123,21,17,24,0,0,61,23,21,29,0,0,70,1967,2110,2268,3,6,6351
POA6052,1149,153,37,0,0,1335,1459,191,101,0,3,1754,417,148,243,0,0,807,88,64,52,0,0,203,4,3,50,0,0,60,206,57,64,0,0,334,12,0,11,0,0,29,4,4,0,0,0,8,738,282,423,0,0,1445,38,9,17,0,0,64,34,3,10,0,0,55,3422,635,593,0,6,4660
POA6053,1495,188,19,0,0,1702,2263,229,52,0,0,2544,617,193,123,0,0,937,48,153,6,0,0,203,12,30,0,0,0,40,355,81,26,0,0,461,25,8,5,0,0,39,4,6,0,0,0,8,1050,474,159,0,0,1685,46,60,0,0,0,112,39,31,0,0,0,72,4892,980,231,0,0,6111
POA6054,2123,255,78,0,3,2458,2878,411,85,0,6,3376,768,263,90,0,3,1121,166,226,38,0,0,423,41,39,0,0,0,87,430,122,26,0,0,582,21,7,0,0,0,32,6,7,0,0,0,16,1433,664,154,8,5,2266,75,34,9,0,0,119,73,27,0,0,0,103,6587,1394,321,8,12,8317
POA6055,1627,50,0,116,4,1802,6880,134,6,4,18,7043,939,80,26,0,0,1052,73,39,10,0,4,129,17,6,0,0,0,22,401,38,10,0,6,454,53,7,0,16,0,79,6,0,0,0,0,4,1498,173,42,20,8,1741,80,3,3,5,0,95,78,10,0,8,0,97,10164,375,61,151,26,10778
POA6056,4180,395,33,38,4,4641,5973,410,53,4,5,6445,1157,881,399,0,6,2442,209,340,50,0,0,596,30,74,22,0,0,122,870,276,34,8,5,1190,66,50,0,19,0,135,13,13,0,5,0,37,2349,1630,509,34,6,4526,157,17,13,0,3,189,188,62,10,0,3,271,12837,2514,622,75,22,16072
POA6057,1926,30,0,8,0,1959,2815,52,3,0,0,2876,642,66,9,0,3,716,66,11,0,0,0,75,7,0,0,0,0,10,345,16,0,0,0,359,40,0,0,0,0,41,3,0,0,0,0,3,1100,93,9,4,3,1203,78,13,0,0,0,94,73,4,0,0,0,73,5991,187,10,10,0,6204
POA6058,1230,90,0,88,0,1409,2221,90,0,3,0,2317,555,70,0,0,0,618,63,45,0,0,0,114,6,15,0,0,0,22,301,31,0,0,0,332,22,9,0,9,0,37,6,0,0,0,0,9,954,170,0,6,0,1131,46,99,3,6,0,153,63,14,0,4,0,84,4511,462,9,111,5,5096
POA6059,3052,606,64,0,0,3724,2537,660,37,0,0,3232,640,553,79,0,0,1274,17,113,82,0,0,212,9,21,24,0,0,56,403,262,24,0,0,692,34,25,6,0,0,64,10,14,0,0,0,20,1112,978,219,0,0,2310,82,53,57,0,0,197,69,38,10,0,0,117,6847,2334,388,0,5,9579
POA6060,1500,1149,190,0,0,2842,1592,1674,338,0,0,3599,654,1629,907,0,3,3194,65,145,94,0,0,303,10,32,22,0,0,62,337,596,201,0,0,1130,37,76,23,0,0,134,3,8,3,0,0,13,1110,2483,1243,0,8,4841,61,61,17,0,0,137,42,55,24,0,0,120,4291,5422,1814,0,11,11535
POA6061,2338,649,18,0,0,3010,3547,1826,75,0,0,5445,2121,1578,80,0,4,3785,387,723,31,0,0,1141,51,114,4,0,0,166,968,506,26,0,4,1499,245,103,11,0,0,353,42,23,0,0,0,66,3800,3052,150,0,10,7015,97,67,6,0,0,171,198,104,6,0,3,305,9980,5697,259,0,17,15948
POA6062,4209,476,8,0,3,4696,4030,580,18,0,0,4636,1393,528,20,0,0,1945,94,62,0,0,0,158,22,29,0,0,0,50,811,217,3,0,4,1033,114,36,0,0,0,151,11,4,0,0,0,15,2443,876,33,0,6,3354,108,44,10,0,0,162,129,42,0,0,6,182,10918,2016,65,3,15,13028
POA6063,1252,53,7,0,0,1314,2333,79,19,0,0,2434,429,46,3,0,0,481,101,54,26,0,0,179,12,20,0,0,0,33,306,25,3,0,0,334,42,3,0,0,0,39,4,6,0,0,0,9,896,150,33,0,0,1082,30,3,3,0,0,39,73,13,7,0,0,90,4585,304,69,0,0,4956
POA6064,2914,250,5,0,0,3169,4166,439,8,0,0,4616,868,197,8,0,0,1075,180,357,0,0,0,532,29,32,0,0,0,63,697,121,3,0,0,822,145,25,3,0,0,163,15,6,0,0,0,19,1928,734,17,0,0,2679,104,10,3,0,0,118,138,36,0,0,0,171,9250,1473,36,0,3,10758
