POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6024,4734,12258,360,686,41,70,404,752,21,29,0,0,0,0,0,0,5,6,26,36,0,0,0,0,0,0,0,0,0,0,0,5,5168,13053,269,..,5437,13053
POA6025,10524,28050,887,1562,178,325,1070,1889,84,123,11,20,3,0,0,0,19,35,117,187,0,0,6,7,0,0,0,0,6,7,5,6,11726,30148,717,..,12439,30148
POA6026,7188,20029,820,1360,84,127,907,1483,0,0,0,0,0,0,0,0,6,13,6,13,83,112,4,9,0,0,4,10,89,128,4,4,8195,21665,356,..,8553,21665
POA6027,13327,35650,769,1371,657,1401,1426,2771,51,84,335,539,469,780,0,0,29,60,878,1466,0,0,0,0,0,0,16,42,16,42,17,21,15667,39949,1077,..,16741,39949
POA6028,7425,21687,241,416,19,57,259,475,80,135,99,164,0,0,0,0,9,11,185,309,4,9,0,0,0,0,0,0,6,9,5,10,7877,22481,336,..,8209,22481
POA6029,867,2480,69,104,59,93,129,203,0,0,3,14,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,3,1001,2689,87,..,1085,2689
POA6030,12792,35191,1194,2028,202,356,1402,2380,8,13,110,180,3,7,0,0,14,42,141,245,0,0,0,0,0,0,0,7,5,8,10,15,14343,37837,1080,..,15426,37837
POA6031,5867,17425,171,354,23,43,197,399,0,0,0,0,0,0,0,0,9,20,9,20,0,0,0,0,0,0,0,10,0,10,3,7,6071,17860,280,..,6353,17860
POA6032,59,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,67,174,7,..,69,174
POA6033,124,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,131,408,20,..,150,408
POA6034,1225,3407,9,24,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1237,3432,91,..,1326,3432
POA6035,3635,9866,77,130,17,27,97,154,0,0,0,0,0,0,0,0,0,11,7,8,0,0,0,0,0,0,0,0,0,0,4,3,3740,10036,428,..,4167,10036
POA6036,5821,16215,98,175,57,78,155,254,38,70,0,0,0,0,0,0,5,8,44,79,0,0,0,0,0,0,0,0,0,0,5,7,6024,16550,390,..,6415,16550
POA6037,1340,3406,4,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,7,0,3,1350,3419,204,..,1550,3419
POA6038,3438,9395,38,83,37,71,78,153,4,9,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,3,5,3521,9555,257,..,3782,9555
POA6041,552,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,555,1384,512,..,1063,1384
POA6042,34,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,6,6,5,42,75,56,..,97,75
POA6043,95,166,3,4,5,4,3,9,5,5,0,0,0,0,0,0,0,0,5,5,0,0,10,17,0,0,0,3,13,19,0,0,115,193,348,..,467,193
POA6044,468,955,28,42,4,8,28,46,16,23,0,0,0,0,0,0,0,0,16,22,4,7,0,0,8,9,0,0,9,16,0,4,523,1040,861,..,1386,1040
POA6050,3569,9732,583,961,589,1127,1171,2092,624,878,483,692,389,552,94,141,3,5,1597,2276,0,0,0,0,0,0,13,32,13,32,0,3,6358,14130,694,..,7047,14130
POA6051,1967,4800,515,942,1597,2918,2110,3864,1144,1790,470,709,377,538,269,437,0,0,2268,3470,0,0,0,0,0,0,3,8,3,8,6,15,6351,12147,1268,..,7616,12147
POA6052,3422,8888,432,810,208,430,635,1241,288,422,219,302,76,85,0,0,7,5,593,819,0,4,0,0,0,0,0,0,0,4,6,12,4660,10962,387,..,5045,10962
