POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA6078,3,3,4,4,5,0,0,0,0,16,5,9,3,3,0,3,0,0,3,26,19,0,68,9,10,5,17,9,0,143,0,0,0,0,3,3,0,0,0,8,0,0,4,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,49,60,86,30,30,17,19,11,3,296
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
POA6081,20,32,9,22,21,3,5,0,3,116,33,30,22,37,32,8,0,5,3,175,83,34,296,78,68,25,55,44,19,707,3,0,3,7,10,4,0,5,0,41,6,6,3,15,9,4,3,3,0,54,0,3,0,0,3,4,5,0,0,18,4,7,3,6,5,0,0,5,8,38,254,482,369,211,206,62,78,75,37,1772
POA6082,11,23,11,11,8,4,0,0,5,78,20,15,13,28,11,9,9,5,0,105,44,24,213,71,47,29,43,24,8,500,0,0,11,0,3,0,5,9,0,29,4,6,6,15,3,5,4,5,0,46,0,7,0,0,0,0,0,0,0,5,0,3,0,11,9,6,6,0,3,31,116,271,277,163,104,51,60,45,17,1107
POA6083,26,19,16,14,18,0,0,9,0,97,23,15,22,28,19,10,5,9,0,128,85,31,212,62,47,17,43,22,20,536,5,3,7,3,9,12,0,6,0,39,3,6,6,6,6,0,3,3,0,40,0,4,0,0,3,0,0,0,0,7,5,0,0,5,6,0,8,3,4,31,236,254,281,131,147,48,60,60,25,1237
POA6084,27,42,21,29,41,9,12,5,0,182,44,35,39,68,52,9,12,14,3,271,158,54,607,153,161,49,190,99,26,1503,12,6,17,10,21,3,17,22,0,115,7,8,7,10,19,14,8,5,0,83,3,6,0,0,4,0,4,6,0,26,4,4,9,7,17,11,10,14,12,87,364,511,740,336,371,112,252,179,58,2924
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
POA6100,54,95,55,41,47,21,19,14,9,355,91,111,109,137,113,48,24,46,7,692,138,91,420,191,155,104,107,95,14,1322,7,4,15,25,22,24,9,17,0,139,16,13,11,23,18,9,8,13,4,116,11,27,11,11,10,3,6,4,4,85,18,27,19,18,10,11,5,10,23,148,1006,2786,871,791,794,365,266,353,109,7331
POA6101,60,95,70,42,43,14,19,32,0,375,96,107,111,139,101,48,23,47,9,684,139,106,505,197,169,75,98,107,27,1413,9,9,16,23,23,23,9,20,0,126,18,12,17,23,34,10,10,12,0,130,4,22,10,3,9,4,10,6,3,73,7,16,8,25,18,7,12,9,12,118,1007,2955,938,786,824,329,267,388,103,7597
POA6102,18,36,44,31,19,19,12,16,9,206,39,50,88,144,58,35,42,86,10,551,50,50,309,160,82,45,73,103,16,891,14,0,21,20,16,19,15,16,0,118,8,4,4,18,20,0,4,6,0,62,4,12,12,10,3,3,9,6,0,60,3,10,9,15,7,4,5,28,32,123,425,1447,670,767,469,305,348,574,109,5108
POA6103,43,41,39,30,29,21,16,15,4,235,87,80,125,117,60,33,27,28,11,562,78,77,386,155,134,63,84,78,19,1065,5,11,7,14,16,9,16,15,0,103,11,8,9,19,20,13,8,8,0,98,4,14,7,3,5,0,4,10,0,50,9,10,14,9,9,5,6,17,16,101,573,1528,750,590,525,265,231,277,59,4808
POA6104,49,60,48,50,34,15,28,14,4,304,101,86,99,117,87,38,46,38,7,605,118,97,566,220,164,71,131,114,23,1505,7,8,16,18,11,18,17,18,4,124,13,5,6,24,31,12,11,15,0,128,9,8,14,13,14,0,6,10,0,71,13,16,26,27,21,7,13,16,28,155,657,1478,900,675,612,264,332,308,82,5310
POA6105,45,58,64,45,59,3,18,27,4,331,79,66,124,115,91,36,43,55,6,624,117,67,607,212,146,91,164,118,26,1552,6,9,13,27,24,33,19,35,3,163,12,3,15,26,27,9,19,12,0,129,6,18,15,8,3,0,6,8,3,73,14,16,24,29,20,16,15,20,36,193,540,1387,1063,703,653,301,415,402,117,5588
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6107,91,138,176,146,127,48,94,88,12,915,158,180,450,450,239,120,211,238,33,2083,270,198,1486,619,400,217,412,383,79,4066,18,15,36,66,52,54,41,77,3,352,25,11,57,74,54,22,43,44,5,346,24,29,36,36,28,15,31,27,0,223,21,39,78,66,40,30,41,46,78,440,1462,4424,2976,2538,1964,945,1385,1526,329,17552
POA6108,49,102,71,58,75,27,30,36,5,456,99,104,130,194,116,50,69,64,8,825,175,113,941,368,231,125,239,243,32,2472,5,8,17,33,33,46,18,40,0,198,9,13,37,41,45,22,17,20,4,204,5,22,11,13,11,6,12,10,0,87,20,20,25,32,23,14,27,20,29,204,641,1604,1432,1022,867,399,518,557,108,7131
POA6109,13,21,32,25,24,9,9,18,3,163,19,33,69,94,51,19,41,31,5,364,75,42,488,207,95,57,154,148,29,1285,6,5,13,25,20,21,18,35,0,148,5,4,13,17,7,3,16,15,0,90,4,6,15,6,3,4,9,7,0,53,8,4,25,16,12,8,18,25,17,120,218,569,763,553,361,184,339,370,72,3429
POA6110,99,130,133,91,111,37,57,54,4,724,179,185,209,349,267,109,108,91,12,1504,341,198,1699,744,516,269,476,431,67,4741,11,14,53,64,63,80,55,93,5,438,29,21,40,82,80,39,24,52,9,380,11,29,23,28,23,14,23,16,0,158,35,44,44,48,39,16,32,51,48,360,1210,2894,2529,1919,1619,751,969,1006,211,13108
POA6111,82,103,57,68,68,19,24,20,4,451,94,100,98,139,135,49,37,37,7,707,271,171,1084,449,297,147,295,228,35,2975,9,12,32,39,34,43,24,38,0,235,14,16,29,36,52,28,19,20,0,200,5,9,5,4,14,8,10,14,0,77,16,17,18,27,21,23,19,20,36,202,815,1646,1470,945,814,391,473,442,106,7106
POA6112,172,263,196,192,173,60,93,67,14,1232,314,359,440,665,445,152,233,171,41,2812,582,337,2883,1291,870,373,800,631,113,7892,46,23,70,87,99,112,68,129,9,640,52,24,58,123,114,51,60,49,11,542,36,41,41,34,28,14,37,30,7,267,31,63,68,91,70,34,66,64,85,578,2263,5754,4336,3404,2784,1152,1722,1448,377,23245
POA6121,14,14,4,8,9,6,0,4,0,61,22,19,10,27,23,3,0,6,0,105,57,24,190,43,44,17,39,30,9,466,0,0,4,0,9,6,3,0,0,29,9,8,5,5,6,4,6,4,0,47,0,0,4,0,0,0,5,3,0,19,3,0,4,0,3,0,5,0,8,30,173,217,237,98,131,50,69,47,18,1045
POA6122,59,79,55,59,62,13,24,9,6,374,120,96,111,232,163,48,57,39,12,881,257,125,1375,425,379,158,351,249,56,3375,15,10,27,31,50,28,26,40,0,232,16,8,26,59,38,21,24,20,3,215,5,13,19,8,10,3,11,10,0,73,13,20,19,20,19,12,19,21,33,171,689,1256,1723,1056,897,347,596,443,135,7140
POA6123,8,7,5,3,3,0,4,0,0,26,16,11,4,22,20,4,3,3,0,76,29,10,151,46,33,13,48,29,7,366,4,0,6,0,4,5,4,5,0,24,0,0,5,0,3,0,5,0,7,20,0,3,0,0,0,0,0,0,0,8,0,0,0,5,0,0,6,0,3,18,64,86,183,97,86,30,67,47,16,674
POA6124,6,7,0,0,0,6,3,0,0,23,6,0,3,13,14,0,0,0,0,46,21,3,65,16,23,3,18,19,9,169,0,0,0,0,0,5,0,0,0,11,5,0,5,0,9,5,0,0,0,19,0,4,0,0,0,0,0,0,0,3,0,0,4,5,0,0,4,0,0,21,58,88,86,38,55,13,30,26,10,404
POA6125,12,11,5,9,11,3,6,0,0,62,18,12,16,22,14,10,0,3,0,98,51,21,231,51,51,21,45,41,18,527,0,0,4,5,10,4,0,4,0,26,12,0,3,4,8,3,0,0,0,31,4,0,0,0,3,0,3,0,0,10,12,0,5,5,7,0,7,7,11,45,154,196,280,112,126,43,65,67,30,1072
POA6126,0,0,3,0,0,3,0,0,0,11,3,0,0,0,0,0,0,0,0,6,3,0,9,5,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,13,16,20,8,4,5,4,0,0,67
POA6147,27,62,50,54,34,15,21,27,8,292,45,39,106,106,63,25,45,40,4,485,102,50,491,231,130,70,134,112,16,1335,3,4,20,20,11,20,16,12,0,108,5,9,13,33,19,4,11,24,0,115,6,13,7,13,8,4,3,6,0,60,7,8,31,19,5,7,8,16,23,130,379,1271,884,710,551,230,340,384,81,4826
POA6148,64,111,52,54,45,23,18,17,7,385,70,69,65,107,90,45,38,36,11,516,125,74,439,209,118,70,88,96,11,1233,6,0,12,22,14,15,7,26,0,109,27,11,7,16,21,10,6,14,3,117,13,19,11,7,3,4,0,10,0,61,15,13,9,16,15,13,3,16,21,115,946,2713,836,700,741,313,235,317,92,6881
POA6149,67,131,52,42,78,28,9,19,9,429,87,92,57,92,127,34,18,21,0,535,162,79,430,152,152,74,74,83,28,1231,0,4,18,27,21,24,5,12,0,110,23,15,9,25,41,12,7,11,0,141,11,25,9,7,16,3,4,3,0,83,15,27,10,25,18,3,4,10,16,131,986,2972,759,605,902,295,183,226,106,7042
POA6150,42,83,26,28,46,25,0,18,8,280,46,60,41,56,57,30,16,9,3,311,70,40,244,94,91,46,35,35,6,671,5,4,8,20,15,14,3,10,0,73,3,14,17,12,22,9,3,4,0,97,9,20,4,8,3,0,0,3,0,55,4,18,9,5,17,7,0,9,25,95,702,2023,472,385,569,247,104,158,72,4731
POA6151,104,124,41,50,52,22,7,8,3,413,104,93,59,78,83,43,16,16,11,503,131,76,312,123,111,65,38,69,8,934,0,5,7,24,23,10,5,17,0,91,10,13,11,12,29,13,5,4,0,98,12,14,7,6,12,3,0,5,6,62,13,33,8,17,14,8,5,4,16,112,1331,3410,594,593,770,328,144,219,103,7489
POA6152,76,150,58,54,79,36,17,25,8,507,134,134,89,149,141,70,20,45,10,793,160,107,513,239,206,112,91,97,29,1551,6,3,17,30,29,20,12,6,0,122,23,18,16,22,37,18,3,7,0,151,13,32,3,11,24,4,3,14,0,106,17,46,15,19,24,17,6,13,33,193,1575,4785,966,939,1168,510,259,371,147,10718
POA6153,105,131,43,56,89,38,12,14,7,497,92,93,68,82,93,59,12,11,3,503,179,89,318,150,130,70,31,63,15,1052,10,11,12,9,18,21,5,13,0,92,15,19,16,22,29,21,7,3,0,134,14,31,8,12,12,8,0,0,5,91,23,30,8,6,21,14,4,7,22,140,1677,3827,670,561,954,436,123,191,112,8546
POA6154,30,72,34,28,35,14,0,5,0,220,47,52,42,60,54,25,14,6,5,299,75,50,268,106,79,38,38,40,9,707,5,4,3,11,14,17,0,5,0,65,5,11,4,20,25,11,4,6,0,82,3,14,8,0,5,0,0,3,0,38,0,14,3,4,11,3,7,4,11,64,653,1661,462,365,466,200,91,105,57,4055
POA6155,199,274,188,163,165,63,78,55,17,1201,203,243,273,312,304,103,119,70,20,1655,387,199,1391,580,394,221,320,323,49,3857,13,12,32,56,64,63,33,52,4,345,43,35,40,76,88,36,30,31,0,384,27,64,27,27,39,19,13,21,3,236,29,74,43,50,37,27,21,27,59,365,2365,6914,2661,2093,2315,972,894,885,263,19374
POA6156,85,118,36,47,72,26,7,10,0,411,124,112,92,94,106,42,10,21,8,615,184,96,520,181,171,98,73,91,21,1434,11,9,16,27,29,23,5,18,0,134,23,17,20,23,53,15,12,5,6,177,13,18,5,0,13,3,0,6,0,64,20,20,13,7,13,21,3,10,16,131,1272,2690,796,584,804,353,161,212,95,6960
POA6157,61,113,51,45,64,26,12,9,0,377,98,84,54,86,83,40,6,18,3,466,164,70,439,163,141,59,48,80,8,1179,7,8,10,19,8,19,3,13,3,92,21,11,3,14,27,27,9,12,0,127,13,22,8,3,4,3,3,4,0,56,3,22,18,16,19,7,4,3,10,99,1001,2347,684,555,671,266,117,199,54,5884
POA6158,38,51,21,13,27,20,4,3,0,179,53,35,21,27,36,8,5,8,0,197,91,26,144,58,44,32,13,28,4,436,6,0,5,7,5,8,0,13,0,44,9,9,8,17,16,5,0,5,0,67,3,14,5,0,4,0,0,0,0,21,8,16,6,3,5,4,0,0,10,61,653,1440,251,234,287,136,38,85,28,3156
POA6159,29,40,5,13,14,0,0,3,7,103,25,23,10,20,19,6,0,0,3,106,25,13,60,19,14,11,6,17,3,173,0,0,0,5,0,0,0,5,0,11,7,7,0,6,7,3,0,0,0,35,7,4,0,0,5,0,0,0,0,21,11,10,0,9,0,0,0,0,3,32,351,875,107,128,120,49,14,38,31,1705
POA6160,43,81,26,30,28,10,0,7,8,239,43,54,41,42,28,19,3,12,8,260,67,46,239,92,43,27,29,54,6,612,5,13,8,11,9,9,4,4,0,56,13,6,9,20,17,3,6,11,0,74,5,13,0,9,6,4,0,3,0,44,3,20,10,15,9,6,0,7,11,89,612,1907,412,382,316,149,69,164,48,4059
POA6161,0,0,7,0,3,0,0,0,0,8,0,0,6,8,0,0,0,0,0,17,3,0,8,5,5,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,6,18,22,8,4,0,10,0,87
POA6162,46,106,50,43,29,10,7,9,5,290,85,72,56,66,48,19,8,13,7,370,102,66,309,118,73,32,54,68,17,842,3,0,10,11,8,12,4,4,0,64,14,12,9,15,15,9,3,3,0,86,7,10,9,6,9,0,0,0,0,40,11,16,8,8,3,0,4,0,18,72,797,2203,559,486,391,164,110,151,57,4926
POA6163,177,327,173,157,172,49,36,63,17,1177,271,288,313,380,284,129,60,102,22,1851,535,324,2325,777,550,263,379,441,85,5667,35,24,46,77,76,65,36,72,5,441,58,55,65,89,106,54,35,53,10,525,36,70,40,31,30,15,16,21,3,258,39,60,54,67,56,44,36,42,69,463,2483,6549,3507,2321,2114,910,755,1045,311,19985
POA6164,231,294,211,193,225,76,64,68,14,1379,411,397,390,587,474,198,120,142,36,2757,727,416,3248,1130,930,405,648,576,125,8202,54,40,80,98,123,95,49,110,8,654,73,35,73,110,152,68,47,55,8,618,24,72,49,34,35,14,15,21,4,270,69,101,78,77,77,31,36,60,62,592,3018,7619,4779,3064,3215,1216,1216,1302,363,25788
POA6165,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,17
POA6166,51,77,30,37,37,15,7,15,4,268,64,67,71,63,67,27,12,16,5,394,151,75,631,156,143,70,107,99,36,1463,6,7,14,13,15,11,3,12,0,75,18,7,18,26,26,8,5,6,0,114,0,14,9,6,0,0,4,3,4,38,8,14,22,13,12,5,4,12,13,98,586,1024,836,385,425,181,168,196,72,3872
POA6167,48,66,66,58,64,27,33,21,0,384,111,127,134,247,161,49,73,64,7,970,219,138,1245,492,314,169,349,308,49,3290,12,8,43,55,62,48,43,61,0,340,17,16,24,53,44,28,22,31,7,242,5,15,23,13,6,9,12,12,0,87,5,18,31,34,27,14,44,47,23,244,666,1546,1756,1239,973,449,671,668,116,8072
POA6168,72,77,51,60,67,18,23,16,8,394,97,108,97,177,124,31,36,44,8,721,207,130,1133,602,265,147,280,301,56,3118,19,8,41,50,27,32,25,41,0,248,20,8,21,53,27,12,15,21,0,185,8,15,4,17,10,6,4,9,3,78,11,17,26,45,31,11,13,22,28,217,613,1066,1456,1205,672,313,433,511,117,6398
POA6169,93,128,103,92,88,26,25,36,12,599,129,146,164,290,189,87,55,48,7,1117,341,226,1925,765,384,224,409,403,78,4754,23,8,39,69,68,57,49,67,0,382,27,18,36,70,60,42,33,38,4,332,11,20,20,10,18,10,8,12,0,102,19,26,33,60,33,31,38,45,32,314,973,2034,2446,1587,1052,533,669,735,169,10197
POA6170,31,51,42,49,24,14,26,14,3,265,81,85,95,187,112,35,43,45,9,681,137,93,855,395,235,114,234,164,32,2255,11,7,20,28,21,31,14,46,3,186,5,13,27,38,24,10,18,19,0,166,10,5,8,17,6,6,7,3,0,75,12,12,23,14,15,9,18,21,21,143,527,1392,1269,1017,681,336,483,428,91,6228
POA6171,90,130,96,125,92,28,34,30,17,643,241,257,226,431,261,87,76,60,19,1657,473,289,2105,849,590,234,498,388,79,5513,19,20,55,65,72,63,45,78,3,435,40,28,43,80,75,35,32,35,3,366,16,23,17,17,20,4,6,6,0,112,22,22,36,56,37,19,11,33,36,278,1352,2589,2771,1972,1434,585,803,717,179,12391
POA6172,34,44,47,44,31,15,14,14,6,245,72,69,78,116,76,33,19,18,5,469,135,90,760,333,168,104,203,165,29,1976,11,0,19,29,23,28,17,38,0,164,11,10,15,26,19,10,12,24,6,129,0,7,6,5,4,0,4,7,0,41,3,9,13,14,15,12,14,14,10,100,380,658,986,637,394,243,298,281,67,3944
POA6173,70,78,41,56,42,11,10,16,7,332,91,84,85,116,68,35,25,17,9,535,195,100,805,327,179,98,153,146,31,2023,8,10,16,28,28,21,11,24,0,144,12,8,13,38,23,19,15,8,0,139,3,16,5,9,0,4,7,0,0,40,8,9,12,17,18,0,6,7,19,98,595,1011,1027,712,456,220,228,236,70,4568
POA6174,10,22,8,16,10,10,3,3,0,86,36,28,37,61,32,15,15,13,8,233,90,52,358,159,93,51,82,67,14,962,12,0,11,9,13,12,15,16,0,78,3,3,13,11,8,5,5,0,0,56,3,4,0,3,0,0,0,0,0,16,0,4,8,4,6,4,4,7,6,39,211,389,459,311,195,106,139,113,32,1949
POA6175,11,24,12,19,9,0,0,4,3,84,29,28,26,40,16,8,8,5,5,164,48,26,282,96,67,22,60,45,12,649,0,0,7,0,5,9,8,6,0,33,3,5,6,0,4,4,4,6,0,44,6,4,6,3,3,4,0,0,0,22,3,5,9,10,3,0,4,3,8,41,153,341,355,206,129,59,83,79,32,1433
POA6176,8,0,4,0,4,4,0,4,0,32,10,13,14,29,12,4,5,3,4,95,36,19,120,57,26,14,40,26,11,347,4,0,0,4,0,0,3,0,0,11,0,0,0,0,0,0,4,6,0,17,0,0,0,5,0,0,0,0,0,11,4,0,3,4,0,0,6,4,4,20,80,106,142,115,73,38,58,53,18,677
POA6180,11,20,18,18,15,3,10,4,0,102,34,32,29,78,42,19,6,16,4,253,73,50,349,162,94,43,104,83,9,977,9,0,15,8,14,7,9,11,0,71,4,3,4,11,12,11,9,5,0,59,0,5,0,0,0,0,3,0,0,18,4,0,3,9,4,5,7,8,6,45,224,419,460,358,219,108,171,140,19,2109
POA6181,4,0,0,0,4,4,0,0,3,19,6,5,6,3,3,0,0,0,0,24,12,8,36,16,10,5,10,9,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,24,36,42,26,23,10,10,11,5,192
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,3,0,3,3,0,0,0,0,0,22,5,4,8,0,10,3,6,0,0,32,18,9,91,18,16,6,15,13,4,188,0,0,3,7,0,3,0,0,0,16,0,7,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,47,51,119,41,33,15,23,19,5,349
POA6208,39,33,7,29,17,4,11,12,0,147,53,45,41,74,41,22,10,17,0,305,113,72,646,227,143,77,199,129,22,1635,7,5,15,21,21,27,27,38,3,149,7,7,16,16,10,5,17,11,3,93,0,9,8,7,0,0,4,0,4,32,7,4,17,22,13,9,17,13,14,105,310,481,773,444,282,159,295,245,47,3031
POA6209,7,3,3,5,5,0,0,0,0,26,8,5,5,6,7,0,0,3,0,43,18,4,102,32,17,8,24,19,4,231,3,0,7,0,4,7,3,6,0,26,0,0,4,4,0,4,0,4,0,18,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,3,3,0,0,21,54,75,127,54,41,20,32,32,5,446
POA6210,196,242,171,206,181,63,42,46,20,1163,300,316,298,531,274,166,123,116,26,2140,669,355,3197,1390,701,482,935,707,146,8588,34,21,86,126,89,107,58,139,8,669,44,43,56,126,112,63,62,62,8,568,34,40,28,31,34,21,16,16,3,223,57,66,78,85,74,58,66,72,63,612,2034,3975,4139,2970,1846,1132,1421,1300,313,19138
POA6211,16,39,17,28,24,8,18,9,0,158,28,34,32,50,32,15,14,8,7,229,86,39,439,149,73,59,126,106,31,1100,7,0,7,11,18,7,11,11,0,64,8,0,12,17,9,10,11,10,0,69,0,3,8,0,0,3,0,0,0,20,0,5,9,10,7,8,8,3,10,65,241,449,555,312,217,125,192,162,46,2293
POA6213,3,0,4,0,0,0,0,6,0,9,0,0,0,3,0,0,0,0,0,17,7,5,20,12,4,0,14,7,7,79,0,0,3,0,0,0,0,0,0,10,0,3,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,24,36,33,25,15,0,23,16,4,172
POA6214,0,4,0,5,0,0,3,0,0,11,0,0,0,0,0,0,0,5,0,13,9,8,37,3,8,0,12,4,0,89,0,0,3,0,0,3,0,3,0,9,4,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,32,20,48,18,21,0,10,13,4,171
POA6215,13,10,5,13,10,0,0,5,0,64,15,12,20,11,7,4,10,3,0,79,43,11,257,65,42,17,77,47,15,567,4,0,15,0,4,0,10,5,0,44,3,0,5,8,5,3,6,7,0,38,4,0,3,0,0,0,0,4,0,12,13,4,5,5,4,4,7,8,12,60,121,137,311,126,89,36,113,81,27,1041
POA6218,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,4,0,7,3,4,25,8,3,4,5,10,3,70,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10,13,33,16,5,8,12,19,7,120
POA6219,0,0,6,0,0,0,0,0,0,7,8,3,0,4,0,0,7,5,0,18,6,8,37,11,9,0,5,13,0,95,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,24,26,52,19,11,5,11,12,0,160
POA6220,10,14,12,5,3,0,0,7,0,53,15,8,9,17,9,10,7,26,6,101,43,22,208,56,49,26,61,68,11,541,4,0,0,5,10,0,0,17,0,43,5,4,4,6,3,0,6,10,0,31,0,0,4,0,0,0,0,19,0,30,5,5,6,6,4,0,4,17,7,53,122,162,273,116,97,41,93,246,34,1196
POA6221,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,7,0,12,7,3,0,3,5,0,39,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,24,17,9,16,11,7,3,15,0,97
POA6223,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,10,4,4,0,3,4,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,13,15,6,10,6,3,3,0,70
POA6224,4,3,0,0,0,4,0,0,0,14,5,8,7,8,0,0,0,0,0,29,11,4,75,35,13,3,18,20,3,186,0,0,3,5,5,0,0,6,0,20,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,10,33,42,80,55,22,8,26,32,6,308
POA6225,10,15,11,25,12,0,4,6,0,74,20,20,27,43,21,3,17,7,0,166,75,35,566,169,109,44,195,109,28,1325,5,0,12,16,17,15,9,24,0,100,9,4,6,16,11,7,14,8,5,84,3,0,0,0,0,0,3,3,0,14,5,0,7,9,3,6,14,11,4,62,161,296,645,300,191,87,265,172,37,2151
POA6226,6,0,0,5,5,0,0,0,0,21,5,0,13,3,3,0,5,0,0,29,21,4,81,15,13,0,14,8,0,162,0,0,3,4,3,3,0,3,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,6,4,0,0,0,0,0,0,0,0,9,53,64,103,35,37,3,25,19,3,338
