POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA6336,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,5,13,14,28,25,11,21,28,8,60,3,195
POA6337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,15,27,20,20,19,58,24,90,7,271
POA6338,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,3,7,15,60,27,26,27,75,19,116,6,370
POA6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,11,14,3,14,22,13,48,8,137
POA6343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,5,4,5,25,5,52,5,122
POA6346,5,0,0,0,0,6,0,9,0,13,4,0,0,0,3,0,0,3,9,21,23,36,31,23,46,53,40,193,11,462
POA6348,0,5,3,0,0,0,0,5,0,12,4,3,0,4,0,0,0,4,5,17,39,68,36,31,40,32,21,179,9,459
POA6350,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,7,21,18,10,12,24,8,33,3,133
POA6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,13,0,7,0,33
POA6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,10,0,6,10,4,25,0,70
POA6353,0,0,4,0,0,8,0,3,0,17,0,0,0,0,0,6,0,3,3,18,25,45,40,29,46,116,27,131,5,460
POA6355,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,5,0,3,9,32,30,14,14,41,18,112,0,270
POA6356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,3,3,7,3,38,0,73
POA6357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,9,3,14,0,36
POA6358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,4,6,3,3,3,22,3,60
POA6359,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,4,7,17,23,18,9,24,34,19,84,4,242
POA6361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,6,7,3,19,0,51
POA6363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,3,0,4,4,21,0,59
POA6365,0,0,0,0,4,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,11,41,28,12,24,51,24,71,5,263
POA6367,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,3,25,13,12,14,25,19,54,8,171
POA6368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,9,3,21,0,44
POA6369,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,4,0,4,0,9,9,33,28,21,31,58,24,85,3,287
POA6370,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,13,24,25,14,29,24,20,52,10,207
POA6372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,6,12,0,5,0,50
POA6373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,14,10,20,0,54
POA6375,0,0,3,0,0,3,0,7,0,21,3,5,0,0,0,0,0,3,5,16,25,53,42,34,42,99,25,125,8,442
POA6383,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,14,41,30,14,33,50,21,79,4,288
POA6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,10,0,18
POA6385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,12
POA6386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,6,12,0,39
POA6390,0,3,4,5,4,3,3,3,0,25,3,4,4,0,7,0,0,0,3,21,67,81,84,32,65,104,60,231,20,745
POA6391,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,5,4,4,18,45,66,46,39,42,86,47,180,7,550
POA6392,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,0,4,9,30,34,12,31,31,10,54,5,218
POA6393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,3,11,0,13,3,46
POA6394,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,14,37,26,16,19,37,11,96,7,261
POA6395,0,3,6,0,3,4,0,5,0,21,0,4,3,0,11,9,3,3,7,47,45,91,101,57,92,136,50,169,29,760
POA6396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,15,15,15,17,51,19,50,6,205
POA6397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,11,3,12,0,36
POA6398,0,5,0,0,0,5,0,0,0,5,0,0,0,0,3,0,0,0,0,12,16,48,34,20,26,37,5,27,3,221
POA6401,7,25,11,10,21,44,12,18,0,145,0,17,11,4,16,18,13,31,20,124,148,431,373,257,575,612,218,608,55,3280
POA6403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,17,11,6,13,15,0,3,0,73
POA6405,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,7,30,11,4,23,11,9,39,4,147
POA6407,0,0,0,0,4,3,0,0,0,8,0,5,4,0,0,0,8,4,8,26,27,60,54,19,47,68,40,119,9,437
POA6409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,21,21,11,7,23,16,55,4,161
POA6410,0,4,0,0,0,0,0,0,0,6,0,3,6,3,3,0,0,0,5,19,17,63,36,33,54,68,26,67,9,372
POA6411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,6,8,5,14,0,29,5,72
POA6412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,11,0,8,0,23
POA6413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,4,4,0,5,0,23
POA6414,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,3,4,0,10,0,7,0,34
POA6415,5,12,4,0,10,18,0,14,0,67,0,10,3,0,5,10,4,3,4,46,69,201,103,81,196,236,88,244,28,1253
POA6418,0,0,6,0,3,0,0,4,0,9,0,0,4,0,3,0,0,0,3,8,6,31,31,14,33,49,29,99,5,298
POA6419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,3,0,13,0,31
POA6420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,8,0,23,0,50
POA6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,0,0,10,6,27,0,66
POA6422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,4,7,0,31
POA6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,3,14,11,3,22,0,66
POA6424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,3,12,0,44
POA6425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,11,5,23,0,44
POA6426,0,0,0,0,0,3,3,0,0,11,4,0,4,0,0,0,0,4,5,22,26,34,39,20,39,45,39,210,19,472
POA6427,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,33,3,46
POA6428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,13,0,25
POA6429,0,0,0,0,0,0,0,7,0,11,3,0,0,0,5,0,0,6,5,18,17,41,26,20,38,57,23,132,15,359
POA6430,27,46,36,24,71,95,49,193,3,547,19,26,37,21,52,91,27,110,82,471,543,1052,924,597,1605,2115,1080,3846,211,11967
POA6431,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,3,6,14,10,12,8,48,24,25,162,8,304
POA6432,9,15,13,4,19,30,10,58,0,150,7,25,12,8,20,33,9,39,31,188,124,319,270,168,432,527,265,1019,77,3202
POA6434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,6,11,72,0,94
POA6436,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,4,11,6,0,19,0,57
POA6437,0,0,0,0,0,3,0,9,0,14,0,0,0,0,0,0,0,3,0,3,24,27,16,9,11,25,22,220,6,364
POA6438,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,3,3,8,17,22,17,9,25,61,28,122,13,307
POA6440,0,0,0,0,4,0,0,0,0,8,0,3,0,0,0,0,0,0,8,15,50,30,21,18,40,42,23,284,13,518
POA6442,0,0,0,0,3,0,0,9,0,16,4,0,0,6,0,3,0,8,18,39,62,92,77,42,106,112,80,363,39,978
POA6443,0,0,0,0,0,0,0,4,0,0,0,0,0,3,6,0,0,0,4,19,20,25,23,19,38,33,21,95,12,287
POA6445,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,8,5,3,12,3,38,5,88
POA6446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,22,0,22,0,72
POA6447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,10,4,0,16,19,37,0,109
POA6448,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,5,3,10,11,23,14,9,23,33,14,49,9,185
POA6450,10,31,30,21,52,82,32,39,0,305,15,41,22,14,33,34,12,40,45,258,389,833,633,425,854,1168,414,1271,137,6133
POA6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6460,0,0,3,0,0,0,0,0,0,16,0,0,0,0,0,7,0,0,0,9,15,40,41,18,29,62,17,73,6,298
POA6461,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,4,0,7,11,26,19,22,15,36,13,54,9,212
POA6462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7,6,4,9,4,37,0,83
POA6463,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,14
POA6465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,16,0,24
POA6466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,5,0,9,4,14,0,33
POA6467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,22
POA6468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,12,9,3,13,15,12,46,0,107
POA6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11
POA6472,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,5,4,7,0,4,5,10,9,45,0,91
POA6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,15,0,24
POA6475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,25,20,11,18,34,16,52,11,183
POA6476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,9,0,25
POA6477,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,8,18,10,9,21,19,7,34,0,123
POA6479,0,0,0,0,3,0,0,9,0,14,0,3,0,0,0,0,0,0,3,9,14,31,22,16,25,53,19,85,12,270
POA6480,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,0,20
POA6484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,17
POA6485,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,17,20,20,16,31,32,12,53,0,193
POA6487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,6,0,15,0,28
POA6488,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,5,14,8,3,10,8,0,20,3,73
POA6489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,4,4,0,11,0,28
POA6490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,7,5,11,23,4,28,0,98
POA6501,0,3,0,0,0,3,0,10,0,16,4,0,3,3,8,9,0,6,14,40,23,61,51,38,74,78,30,96,20,467
POA6502,0,0,0,4,0,0,4,0,0,14,0,0,4,0,3,0,4,5,0,17,32,44,59,45,71,81,41,108,6,497
POA6503,3,9,5,0,5,4,0,4,0,32,4,5,15,9,7,5,0,4,12,57,68,147,144,83,152,206,94,272,36,1208
POA6504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,16,11,3,19,18,5,15,5,93
POA6505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,6,4,13,3,25,4,78
POA6506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,5,4,4,4,9,0,36
POA6507,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,6,6,26,27,16,23,34,21,123,3,286
POA6509,0,6,0,3,0,4,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,4,12,7,11,17,0,27,0,85
POA6510,0,8,3,3,5,10,0,12,4,49,0,4,5,0,0,7,0,6,3,23,40,113,76,71,109,175,68,219,14,878
POA6511,0,0,0,0,6,0,0,3,0,5,0,0,0,0,0,0,0,0,7,16,17,34,19,13,28,36,16,33,11,196
POA6512,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,7,8,6,9,8,9,0,20,3,55
POA6513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,15,0,6,10,0,35,5,89
POA6514,0,0,0,0,0,0,0,5,0,6,0,3,0,0,0,0,0,0,6,14,19,29,29,19,15,36,7,56,10,220
POA6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,19,21,13,16,25,11,65,0,163
POA6516,0,5,4,5,5,3,0,0,0,31,11,12,6,4,4,7,3,3,5,41,69,151,117,57,108,127,49,172,16,874
POA6517,0,0,4,0,0,3,0,3,0,17,0,0,0,0,0,0,0,0,0,5,9,20,16,14,29,34,9,54,0,186
POA6518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5,3,7,7,5,8,11,9,31,0,87
POA6519,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,15,27,17,16,26,44,21,80,4,242
POA6521,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,6,9,24,24,3,21,35,10,81,6,211
POA6522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,25,15,10,9,32,16,70,3,184
POA6525,6,6,5,0,9,8,0,0,0,35,8,12,0,8,12,12,6,21,15,82,84,244,169,109,183,236,80,313,45,1465
POA6528,0,0,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,8,15,26,17,14,14,31,9,50,5,182
POA6530,25,79,66,45,123,145,38,109,6,639,25,79,48,36,73,79,27,78,101,549,778,2181,1699,1273,2590,2623,1009,2505,243,14898
POA6532,0,26,17,10,21,38,11,40,3,168,7,12,11,3,8,29,6,31,9,129,186,452,378,243,476,639,237,838,49,3507
POA6535,0,0,0,0,0,0,0,0,0,6,3,0,0,0,5,4,0,7,5,22,35,97,64,51,45,105,37,149,20,608
POA6536,0,0,0,7,6,4,0,5,0,21,0,4,7,3,0,0,4,0,5,33,51,96,77,73,71,92,26,111,22,627
POA6537,0,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,4,10,23,39,54,26,86,66,29,108,17,456
POA6556,8,8,3,0,8,11,0,13,0,55,0,6,3,5,10,11,0,7,8,50,74,156,126,76,156,191,59,164,25,1037
POA6558,0,0,0,0,0,6,0,0,0,9,0,3,5,0,7,7,4,6,11,35,21,55,46,25,69,68,19,77,15,393
POA6560,0,4,3,0,0,5,0,7,0,20,0,3,0,3,3,5,0,0,7,31,20,83,55,50,104,126,38,82,10,569
POA6562,6,0,4,0,3,11,3,3,0,42,0,6,0,3,7,5,0,0,0,32,35,87,66,45,101,107,36,124,11,614
POA6564,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,7,11,11,19,7,17,20,26,6,34,5,148
POA6566,0,3,4,0,10,13,0,9,0,42,4,15,4,4,11,12,12,5,17,73,92,210,138,83,205,231,77,247,30,1310
POA6567,0,0,0,0,0,3,0,0,0,5,0,0,4,0,0,0,0,0,0,13,11,28,24,17,22,31,11,48,3,191
POA6568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,14,14,5,7,15,10,32,0,118
POA6569,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,4,20,13,12,13,19,5,30,3,120
POA6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,0,4,0,11,0,35
POA6572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,5,0,11,0,27
POA6574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,8,5,18,0,39
POA6575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,6,3,4,3,21,0,57
POA6603,0,4,0,0,0,8,7,0,0,23,3,3,4,0,0,4,0,10,3,31,29,77,50,24,48,127,45,131,9,546
POA6605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,0,21
POA6606,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,4,5,10,13,5,18,0,66
POA6608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,5,7,11,4,26,0,71
POA6609,0,0,0,0,0,9,4,6,0,25,0,9,0,3,0,0,5,4,0,20,4,51,27,26,35,80,50,120,5,398
POA6612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,9,3,0,5,3,32,4,71
POA6613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,3,5,3,10,0,25
POA6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,16
POA6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,5,0,7,0,21
POA6620,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14,22,23,9,19,25,22,120,4,248
POA6623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,24,13,18,24,39,19,58,4,204
POA6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,5,3,12,0,37
POA6627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,0,24
POA6628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,5
POA6630,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,15,6,18,29,11,72,6,179
POA6631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10
POA6632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,0,0,17,0,39
POA6635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,11,4,0,12,9,0,85,8,129
POA6638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,7,10,9,6,10,13,30,8,84,7,179
POA6639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,0,3,4,0,14,0,44
POA6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,15,4,0,9,16,3,61,3,111
POA6642,0,0,0,0,0,3,0,8,0,10,3,4,0,0,0,0,0,0,7,19,40,36,15,13,54,57,23,225,19,483
POA6646,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,5,13,3,10,23,14,4,113,13,196
POA6701,4,10,9,0,13,19,4,10,0,72,0,17,10,0,15,13,7,15,22,100,127,228,202,155,443,462,151,440,75,2285
POA6705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,3,11,4,25,6,56
POA6707,3,7,3,3,9,17,5,10,0,58,8,11,13,3,9,20,9,17,16,106,107,199,169,135,267,381,109,308,49,1727
POA6710,0,3,0,0,0,6,3,0,0,11,4,0,3,0,3,3,5,12,7,39,28,26,27,20,33,90,58,154,17,447
POA6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
POA6713,5,0,0,0,6,6,0,4,0,19,0,4,0,0,0,4,0,12,5,25,61,63,49,31,69,130,64,204,7,692
POA6714,9,45,24,22,43,57,32,110,3,344,16,30,19,15,52,94,48,155,61,481,529,817,614,456,1214,1748,919,2659,149,9105
POA6716,0,4,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,14,5,20,46,30,29,13,17,48,31,347,9,574
POA6718,0,0,8,5,7,0,0,0,0,17,0,0,0,0,0,0,0,4,0,8,13,32,22,12,20,41,14,31,9,201
POA6720,0,5,6,0,4,0,0,0,0,19,0,9,3,3,3,8,0,10,8,39,89,106,58,69,109,176,149,358,23,1132
POA6721,7,3,5,0,12,4,4,35,3,78,11,3,3,3,18,18,4,16,13,95,174,139,132,108,288,410,217,870,46,2387
POA6722,6,27,17,12,35,30,16,55,3,199,13,29,14,9,19,29,11,78,62,251,315,483,338,228,770,860,472,1777,156,5402
POA6725,9,17,20,10,36,34,16,43,4,185,12,25,13,17,42,26,12,46,75,269,270,465,390,400,1106,958,340,950,130,5002
POA6726,0,15,12,14,16,19,4,26,3,110,4,11,10,4,20,25,6,18,32,120,146,289,251,212,611,576,163,568,67,2889
POA6728,0,6,6,5,17,11,3,15,0,69,3,3,4,0,4,5,3,8,11,51,90,118,112,87,311,335,107,307,38,1501
POA6740,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,4,0,3,9,16,22,38,19,27,59,56,30,139,16,406
POA6743,3,14,4,6,18,30,12,29,0,113,8,22,7,4,29,23,9,25,39,165,141,232,193,189,602,591,216,652,76,2895
POA6751,0,12,3,0,5,6,4,9,0,45,4,14,0,0,3,10,0,25,23,74,170,170,123,70,127,260,141,1013,52,2130
POA6753,5,12,11,3,17,16,13,22,0,102,3,0,0,0,4,11,5,25,12,75,239,202,181,112,332,374,309,1712,72,3523
POA6754,0,5,0,0,0,3,0,9,0,14,0,3,0,0,3,0,0,5,3,14,75,49,25,22,41,64,44,334,20,669
POA6758,0,0,0,0,0,0,0,4,0,8,3,0,0,0,0,0,0,3,0,4,36,17,20,0,19,22,38,404,9,570
POA6760,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,11,23,22,12,3,15,21,17,269,16,394
POA6762,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,5,54,26,7,5,18,11,13,184,6,320
POA6765,0,3,5,0,6,3,0,7,0,17,9,0,0,0,4,0,0,0,11,32,23,49,46,23,120,92,41,77,26,498
POA6770,0,4,0,0,7,0,0,0,0,15,4,0,0,0,3,0,4,6,21,38,33,56,54,50,130,115,38,179,40,681
