POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6397,8,7,6,0,40
POA6398,68,72,44,7,291
POA6401,651,480,217,81,3714
POA6403,28,15,3,0,78
POA6405,18,23,8,0,129
POA6407,50,37,21,10,358
POA6409,36,15,7,3,162
POA6410,78,43,40,14,365
POA6411,19,10,6,0,73
POA6412,11,5,0,0,38
POA6413,6,8,4,0,29
POA6414,10,10,4,0,40
POA6415,202,133,58,23,1197
POA6418,54,51,30,9,311
POA6419,0,0,0,0,26
POA6420,0,0,0,0,27
POA6421,6,9,0,3,78
POA6422,3,0,0,0,31
POA6423,18,13,4,0,65
POA6424,11,3,0,0,32
POA6425,7,0,0,0,40
POA6426,66,32,15,6,420
POA6427,8,3,0,0,78
POA6428,8,0,0,0,25
POA6429,99,53,14,4,466
POA6430,1369,638,227,86,10424
POA6431,47,14,3,0,377
POA6432,506,228,62,8,2994
POA6434,9,0,0,0,129
POA6436,22,11,5,0,86
POA6437,39,9,0,0,417
POA6438,70,29,12,0,493
POA6440,134,29,4,0,794
POA6442,172,85,29,4,1105
POA6443,68,44,16,0,322
POA6445,19,8,0,0,57
POA6446,10,3,4,0,49
POA6447,9,4,0,0,80
POA6448,23,24,3,4,170
POA6450,951,634,424,99,5963
POA6452,0,0,0,0,4
POA6460,54,54,12,4,287
POA6461,27,50,13,3,196
POA6462,7,10,0,0,57
POA6463,0,0,0,0,11
POA6465,0,0,0,0,17
POA6466,3,7,0,0,25
POA6467,7,5,0,0,16
POA6468,16,0,6,0,96
POA6470,0,0,0,0,6
POA6472,8,0,0,4,56
POA6473,0,0,0,0,14
POA6475,24,23,12,0,124
POA6476,0,4,0,0,13
POA6477,26,3,3,0,105
POA6479,38,19,11,4,210
POA6480,8,0,0,0,21
POA6484,0,3,0,0,15
POA6485,30,32,21,5,186
POA6487,3,0,0,0,20
POA6488,13,5,5,0,67
POA6489,3,15,4,0,39
POA6490,28,23,6,0,118
POA6501,73,48,23,5,397
POA6502,129,95,48,8,575
POA6503,192,149,84,10,1048
POA6504,27,18,20,0,137
POA6505,13,11,3,0,52
POA6506,5,7,0,0,27
POA6507,43,27,13,6,277
POA6509,16,13,6,0,81
POA6510,147,117,49,23,818
POA6511,42,44,20,5,219
POA6512,8,12,0,0,41
POA6513,11,0,3,0,61
POA6514,71,87,38,8,300
